,station_id,stationname,date,daytype,rides
75,41120,35-Bronzeville-IIT,12/15/2017,W,"1,405"
222,41120,35-Bronzeville-IIT,12/23/2017,A,597
588,41120,35-Bronzeville-IIT,12/05/2017,W,"1,771"
751,41120,35-Bronzeville-IIT,12/03/2017,U,754
1226,41120,35-Bronzeville-IIT,12/04/2017,W,"1,835"
1250,41120,35-Bronzeville-IIT,12/26/2017,W,638
1422,41120,35-Bronzeville-IIT,12/10/2017,U,645
1499,41120,35-Bronzeville-IIT,12/18/2017,W,"1,407"
1529,41120,35-Bronzeville-IIT,12/24/2017,U,392
1542,41120,35-Bronzeville-IIT,12/07/2017,W,"1,937"
1587,41120,35-Bronzeville-IIT,12/14/2017,W,"1,475"
1973,41120,35-Bronzeville-IIT,12/19/2017,W,"1,602"
2045,41120,35-Bronzeville-IIT,12/25/2017,U,268
2260,41120,35-Bronzeville-IIT,12/02/2017,A,"1,073"
2261,41120,35-Bronzeville-IIT,12/17/2017,U,492
2296,41120,35-Bronzeville-IIT,12/13/2017,W,"1,496"
2529,41120,35-Bronzeville-IIT,12/08/2017,W,"1,923"
2800,41120,35-Bronzeville-IIT,12/09/2017,A,951
2825,41120,35-Bronzeville-IIT,12/16/2017,A,730
2868,41120,35-Bronzeville-IIT,12/30/2017,A,464
2919,41120,35-Bronzeville-IIT,12/01/2017,W,"2,047"
3009,41120,35-Bronzeville-IIT,12/28/2017,W,790
3279,41120,35-Bronzeville-IIT,12/11/2017,W,"1,541"
3289,41120,35-Bronzeville-IIT,12/22/2017,W,"1,250"
3404,41120,35-Bronzeville-IIT,12/06/2017,W,"1,835"
3507,41120,35-Bronzeville-IIT,12/20/2017,W,"1,444"
3990,41120,35-Bronzeville-IIT,12/29/2017,W,855
4055,41120,35-Bronzeville-IIT,12/27/2017,W,715
4353,41120,35-Bronzeville-IIT,12/31/2017,U,421
4437,41120,35-Bronzeville-IIT,12/21/2017,W,"1,374"
4443,41120,35-Bronzeville-IIT,12/12/2017,W,"1,476"
4673,41120,35-Bronzeville-IIT,02/03/2018,A,818
4792,41120,35-Bronzeville-IIT,03/18/2018,U,675
4904,41120,35-Bronzeville-IIT,03/29/2018,W,"1,521"
4907,41120,35-Bronzeville-IIT,02/26/2018,W,"1,781"
4931,41120,35-Bronzeville-IIT,01/17/2018,W,"1,772"
5022,41120,35-Bronzeville-IIT,01/19/2018,W,"1,891"
5247,41120,35-Bronzeville-IIT,03/27/2018,W,"1,496"
5369,41120,35-Bronzeville-IIT,03/07/2018,W,"1,754"
5385,41120,35-Bronzeville-IIT,02/04/2018,U,479
5388,41120,35-Bronzeville-IIT,03/14/2018,W,"1,516"
5502,41120,35-Bronzeville-IIT,03/31/2018,A,857
5648,41120,35-Bronzeville-IIT,01/01/2018,U,302
5655,41120,35-Bronzeville-IIT,03/17/2018,A,968
5814,41120,35-Bronzeville-IIT,03/19/2018,W,"1,666"
5926,41120,35-Bronzeville-IIT,01/25/2018,W,"1,864"
5979,41120,35-Bronzeville-IIT,02/10/2018,A,775
6112,41120,35-Bronzeville-IIT,02/14/2018,W,"1,839"
6156,41120,35-Bronzeville-IIT,02/17/2018,A,926
6352,41120,35-Bronzeville-IIT,02/02/2018,W,"1,578"
6487,41120,35-Bronzeville-IIT,02/18/2018,U,715
6537,41120,35-Bronzeville-IIT,03/01/2018,W,"1,697"
6721,41120,35-Bronzeville-IIT,03/23/2018,W,"1,745"
6894,41120,35-Bronzeville-IIT,01/26/2018,W,"1,867"
6898,41120,35-Bronzeville-IIT,03/10/2018,A,860
7289,41120,35-Bronzeville-IIT,02/15/2018,W,"1,813"
7558,41120,35-Bronzeville-IIT,02/19/2018,W,"1,153"
7892,41120,35-Bronzeville-IIT,02/24/2018,A,903
7989,41120,35-Bronzeville-IIT,01/09/2018,W,"1,764"
8308,41120,35-Bronzeville-IIT,03/09/2018,W,"1,817"
8540,41120,35-Bronzeville-IIT,02/16/2018,W,"1,803"
8896,41120,35-Bronzeville-IIT,02/25/2018,U,680
8940,41120,35-Bronzeville-IIT,02/20/2018,W,"1,727"
9016,41120,35-Bronzeville-IIT,03/13/2018,W,"1,529"
9024,41120,35-Bronzeville-IIT,02/27/2018,W,"1,821"
9166,41120,35-Bronzeville-IIT,03/11/2018,U,568
9169,41120,35-Bronzeville-IIT,01/10/2018,W,"1,842"
9228,41120,35-Bronzeville-IIT,01/21/2018,U,642
9294,41120,35-Bronzeville-IIT,03/26/2018,W,"1,471"
9299,41120,35-Bronzeville-IIT,01/15/2018,W,822
9320,41120,35-Bronzeville-IIT,02/23/2018,W,"1,825"
9492,41120,35-Bronzeville-IIT,01/07/2018,U,508
9619,41120,35-Bronzeville-IIT,02/06/2018,W,"1,651"
10276,41120,35-Bronzeville-IIT,01/12/2018,W,"1,684"
10297,41120,35-Bronzeville-IIT,03/06/2018,W,"1,731"
10503,41120,35-Bronzeville-IIT,02/11/2018,U,543
10637,41120,35-Bronzeville-IIT,02/05/2018,W,"1,547"
10968,41120,35-Bronzeville-IIT,01/16/2018,W,"1,719"
11260,41120,35-Bronzeville-IIT,01/20/2018,A,"1,022"
11339,41120,35-Bronzeville-IIT,03/28/2018,W,"1,534"
11515,41120,35-Bronzeville-IIT,02/13/2018,W,"1,825"
11684,41120,35-Bronzeville-IIT,02/12/2018,W,"1,532"
11750,41120,35-Bronzeville-IIT,03/02/2018,W,"1,769"
12320,41120,35-Bronzeville-IIT,03/20/2018,W,"1,628"
12429,41120,35-Bronzeville-IIT,03/25/2018,U,604
12728,41120,35-Bronzeville-IIT,01/24/2018,W,"1,742"
12797,41120,35-Bronzeville-IIT,01/18/2018,W,"1,803"
12824,41120,35-Bronzeville-IIT,02/08/2018,W,"1,687"
12975,41120,35-Bronzeville-IIT,02/28/2018,W,"1,763"
13012,41120,35-Bronzeville-IIT,02/01/2018,W,"1,815"
13036,41120,35-Bronzeville-IIT,01/05/2018,W,"1,075"
13056,41120,35-Bronzeville-IIT,01/02/2018,W,877
13084,41120,35-Bronzeville-IIT,01/03/2018,W,"1,062"
13131,41120,35-Bronzeville-IIT,01/04/2018,W,"1,008"
13161,41120,35-Bronzeville-IIT,03/22/2018,W,"1,723"
13309,41120,35-Bronzeville-IIT,03/04/2018,U,677
13321,41120,35-Bronzeville-IIT,03/30/2018,W,"1,631"
13328,41120,35-Bronzeville-IIT,01/23/2018,W,"1,801"
13378,41120,35-Bronzeville-IIT,03/05/2018,W,"1,541"
13498,41120,35-Bronzeville-IIT,03/16/2018,W,"1,446"
13706,41120,35-Bronzeville-IIT,01/30/2018,W,"1,786"
14058,41120,35-Bronzeville-IIT,03/08/2018,W,"1,820"
14279,41120,35-Bronzeville-IIT,03/24/2018,A,868
14295,41120,35-Bronzeville-IIT,01/11/2018,W,"1,722"
14334,41120,35-Bronzeville-IIT,03/12/2018,W,"1,517"
15041,41120,35-Bronzeville-IIT,01/29/2018,W,"1,635"
15058,41120,35-Bronzeville-IIT,03/15/2018,W,"1,557"
15140,41120,35-Bronzeville-IIT,01/13/2018,A,849
15242,41120,35-Bronzeville-IIT,02/22/2018,W,"1,788"
15375,41120,35-Bronzeville-IIT,01/31/2018,W,"1,873"
15741,41120,35-Bronzeville-IIT,03/03/2018,A,911
16004,41120,35-Bronzeville-IIT,02/07/2018,W,"1,657"
16050,41120,35-Bronzeville-IIT,01/08/2018,W,"1,639"
16476,41120,35-Bronzeville-IIT,01/22/2018,W,"1,672"
16483,41120,35-Bronzeville-IIT,02/21/2018,W,"1,755"
16516,41120,35-Bronzeville-IIT,02/09/2018,W,"1,141"
16826,41120,35-Bronzeville-IIT,01/14/2018,U,635
16867,41120,35-Bronzeville-IIT,03/21/2018,W,"1,727"
16949,41120,35-Bronzeville-IIT,01/27/2018,A,952
16999,41120,35-Bronzeville-IIT,01/28/2018,U,637
17456,41120,35-Bronzeville-IIT,01/06/2018,A,564
17660,41120,35-Bronzeville-IIT,06/16/2018,A,920
17802,41120,35-Bronzeville-IIT,05/28/2018,U,542
17990,41120,35-Bronzeville-IIT,06/23/2018,A,"1,001"
18039,41120,35-Bronzeville-IIT,04/24/2018,W,"1,833"
18269,41120,35-Bronzeville-IIT,06/09/2018,A,744
18286,41120,35-Bronzeville-IIT,06/12/2018,W,"1,575"
18298,41120,35-Bronzeville-IIT,05/20/2018,U,473
18324,41120,35-Bronzeville-IIT,06/28/2018,W,"1,849"
18449,41120,35-Bronzeville-IIT,06/05/2018,W,"1,525"
18640,41120,35-Bronzeville-IIT,06/07/2018,W,"1,557"
19386,41120,35-Bronzeville-IIT,05/11/2018,W,"1,523"
19418,41120,35-Bronzeville-IIT,04/27/2018,W,"1,711"
19799,41120,35-Bronzeville-IIT,04/28/2018,A,876
20098,41120,35-Bronzeville-IIT,05/24/2018,W,"1,557"
20107,41120,35-Bronzeville-IIT,04/11/2018,W,"1,805"
20204,41120,35-Bronzeville-IIT,04/23/2018,W,"1,676"
20462,41120,35-Bronzeville-IIT,06/29/2018,W,"1,541"
20493,41120,35-Bronzeville-IIT,06/30/2018,A,750
20590,41120,35-Bronzeville-IIT,06/21/2018,W,"1,252"
20723,41120,35-Bronzeville-IIT,04/02/2018,W,"1,551"
21092,41120,35-Bronzeville-IIT,06/14/2018,W,"1,707"
21178,41120,35-Bronzeville-IIT,06/22/2018,W,"1,540"
21566,41120,35-Bronzeville-IIT,05/03/2018,W,"1,843"
22028,41120,35-Bronzeville-IIT,04/14/2018,A,862
22371,41120,35-Bronzeville-IIT,05/29/2018,W,"1,491"
22374,41120,35-Bronzeville-IIT,04/17/2018,W,"1,717"
22409,41120,35-Bronzeville-IIT,06/11/2018,W,"1,468"
22518,41120,35-Bronzeville-IIT,04/18/2018,W,"1,574"
22641,41120,35-Bronzeville-IIT,05/15/2018,W,"1,514"
22888,41120,35-Bronzeville-IIT,05/16/2018,W,"1,577"
22909,41120,35-Bronzeville-IIT,06/02/2018,A,"1,065"
22964,41120,35-Bronzeville-IIT,04/12/2018,W,"1,733"
22977,41120,35-Bronzeville-IIT,05/09/2018,W,"1,602"
23010,41120,35-Bronzeville-IIT,06/20/2018,W,"1,519"
23088,41120,35-Bronzeville-IIT,04/30/2018,W,"1,887"
23220,41120,35-Bronzeville-IIT,05/12/2018,A,828
23618,41120,35-Bronzeville-IIT,05/14/2018,W,"1,306"
23681,41120,35-Bronzeville-IIT,05/22/2018,W,"1,581"
23732,41120,35-Bronzeville-IIT,06/25/2018,W,"1,505"
23768,41120,35-Bronzeville-IIT,04/07/2018,A,978
23900,41120,35-Bronzeville-IIT,05/13/2018,U,516
23905,41120,35-Bronzeville-IIT,05/30/2018,W,"1,496"
24220,41120,35-Bronzeville-IIT,05/06/2018,U,693
24229,41120,35-Bronzeville-IIT,05/21/2018,W,"1,331"
24230,41120,35-Bronzeville-IIT,05/26/2018,A,779
24357,41120,35-Bronzeville-IIT,05/10/2018,W,"1,689"
24461,41120,35-Bronzeville-IIT,04/16/2018,W,"1,548"
24546,41120,35-Bronzeville-IIT,04/21/2018,A,899
24831,41120,35-Bronzeville-IIT,06/19/2018,W,"1,496"
24882,41120,35-Bronzeville-IIT,06/13/2018,W,"1,774"
25139,41120,35-Bronzeville-IIT,04/15/2018,U,568
25228,41120,35-Bronzeville-IIT,05/17/2018,W,"1,606"
25245,41120,35-Bronzeville-IIT,04/13/2018,W,"1,677"
25345,41120,35-Bronzeville-IIT,06/03/2018,U,738
25785,41120,35-Bronzeville-IIT,04/04/2018,W,"1,654"
25840,41120,35-Bronzeville-IIT,05/07/2018,W,"1,563"
25889,41120,35-Bronzeville-IIT,04/09/2018,W,"1,546"
25971,41120,35-Bronzeville-IIT,04/05/2018,W,"1,937"
25993,41120,35-Bronzeville-IIT,04/10/2018,W,"1,721"
26048,41120,35-Bronzeville-IIT,05/08/2018,W,"1,690"
26087,41120,35-Bronzeville-IIT,06/18/2018,W,"1,424"
26168,41120,35-Bronzeville-IIT,06/26/2018,W,"1,542"
26247,41120,35-Bronzeville-IIT,05/31/2018,W,"1,522"
26326,41120,35-Bronzeville-IIT,06/04/2018,W,"1,518"
26327,41120,35-Bronzeville-IIT,06/06/2018,W,"1,500"
26337,41120,35-Bronzeville-IIT,05/23/2018,W,"1,604"
26637,41120,35-Bronzeville-IIT,04/19/2018,W,"1,699"
26800,41120,35-Bronzeville-IIT,06/01/2018,W,"1,713"
26850,41120,35-Bronzeville-IIT,04/29/2018,U,553
27224,41120,35-Bronzeville-IIT,06/27/2018,W,"1,642"
27308,41120,35-Bronzeville-IIT,05/01/2018,W,"1,780"
27761,41120,35-Bronzeville-IIT,04/26/2018,W,"1,756"
27910,41120,35-Bronzeville-IIT,06/10/2018,U,510
28113,41120,35-Bronzeville-IIT,04/01/2018,U,558
28299,41120,35-Bronzeville-IIT,05/19/2018,A,775
28339,41120,35-Bronzeville-IIT,06/08/2018,W,"1,319"
28347,41120,35-Bronzeville-IIT,05/25/2018,W,"1,504"
28464,41120,35-Bronzeville-IIT,05/18/2018,W,"1,503"
28801,41120,35-Bronzeville-IIT,04/25/2018,W,"1,784"
29181,41120,35-Bronzeville-IIT,04/06/2018,W,"1,602"
29203,41120,35-Bronzeville-IIT,04/20/2018,W,"1,883"
29252,41120,35-Bronzeville-IIT,05/04/2018,W,"1,967"
29404,41120,35-Bronzeville-IIT,04/08/2018,U,620
29672,41120,35-Bronzeville-IIT,04/03/2018,W,"1,566"
29690,41120,35-Bronzeville-IIT,06/15/2018,W,"1,580"
29704,41120,35-Bronzeville-IIT,06/24/2018,U,907
29741,41120,35-Bronzeville-IIT,05/05/2018,A,"1,156"
29945,41120,35-Bronzeville-IIT,04/22/2018,U,663
30107,41120,35-Bronzeville-IIT,05/27/2018,U,547
30221,41120,35-Bronzeville-IIT,06/17/2018,U,714
30286,41120,35-Bronzeville-IIT,05/02/2018,W,"1,835"
33791,41120,35-Bronzeville-IIT,07/01/2018,U,557
33792,41120,35-Bronzeville-IIT,07/02/2018,W,"1,444"
33793,41120,35-Bronzeville-IIT,07/03/2018,W,"1,542"
33794,41120,35-Bronzeville-IIT,07/04/2018,U,662
33795,41120,35-Bronzeville-IIT,07/05/2018,W,"1,294"
33796,41120,35-Bronzeville-IIT,07/06/2018,W,"1,489"
33797,41120,35-Bronzeville-IIT,07/07/2018,A,768
33798,41120,35-Bronzeville-IIT,07/08/2018,U,625
33799,41120,35-Bronzeville-IIT,07/09/2018,W,"1,468"
33800,41120,35-Bronzeville-IIT,07/10/2018,W,"1,772"
33801,41120,35-Bronzeville-IIT,07/11/2018,W,"1,913"
33802,41120,35-Bronzeville-IIT,07/12/2018,W,"1,639"
33803,41120,35-Bronzeville-IIT,07/13/2018,W,"1,762"
33804,41120,35-Bronzeville-IIT,07/14/2018,A,923
33805,41120,35-Bronzeville-IIT,07/15/2018,U,940
33806,41120,35-Bronzeville-IIT,07/16/2018,W,"1,592"
33807,41120,35-Bronzeville-IIT,07/17/2018,W,"1,599"
33808,41120,35-Bronzeville-IIT,07/18/2018,W,"1,656"
33809,41120,35-Bronzeville-IIT,07/19/2018,W,"1,618"
33810,41120,35-Bronzeville-IIT,07/20/2018,W,"1,524"
33811,41120,35-Bronzeville-IIT,07/21/2018,A,882
33812,41120,35-Bronzeville-IIT,07/22/2018,U,644
33813,41120,35-Bronzeville-IIT,07/23/2018,W,"1,574"
33814,41120,35-Bronzeville-IIT,07/24/2018,W,"1,598"
33815,41120,35-Bronzeville-IIT,07/25/2018,W,"1,575"
33816,41120,35-Bronzeville-IIT,07/26/2018,W,"1,666"
33817,41120,35-Bronzeville-IIT,07/27/2018,W,"1,620"
33818,41120,35-Bronzeville-IIT,07/28/2018,A,965
33819,41120,35-Bronzeville-IIT,07/29/2018,U,739
33820,41120,35-Bronzeville-IIT,07/30/2018,W,"1,424"
33821,41120,35-Bronzeville-IIT,07/31/2018,W,"1,578"
38265,41120,35-Bronzeville-IIT,08/01/2018,W,"1,746"
38266,41120,35-Bronzeville-IIT,08/02/2018,W,"1,794"
38267,41120,35-Bronzeville-IIT,08/03/2018,W,"1,701"
38268,41120,35-Bronzeville-IIT,08/04/2018,A,893
38269,41120,35-Bronzeville-IIT,08/05/2018,U,689
38270,41120,35-Bronzeville-IIT,08/06/2018,W,"1,547"
38271,41120,35-Bronzeville-IIT,08/07/2018,W,"1,619"
38272,41120,35-Bronzeville-IIT,08/08/2018,W,"1,680"
38273,41120,35-Bronzeville-IIT,08/09/2018,W,"1,576"
38274,41120,35-Bronzeville-IIT,08/10/2018,W,"1,885"
38275,41120,35-Bronzeville-IIT,08/11/2018,A,"1,461"
38276,41120,35-Bronzeville-IIT,08/12/2018,U,976
38277,41120,35-Bronzeville-IIT,08/13/2018,W,"1,537"
38278,41120,35-Bronzeville-IIT,08/14/2018,W,"1,641"
38279,41120,35-Bronzeville-IIT,08/15/2018,W,"1,602"
38280,41120,35-Bronzeville-IIT,08/16/2018,W,"1,704"
38281,41120,35-Bronzeville-IIT,08/17/2018,W,"1,760"
38282,41120,35-Bronzeville-IIT,08/18/2018,A,"1,244"
38283,41120,35-Bronzeville-IIT,08/19/2018,U,"1,009"
38284,41120,35-Bronzeville-IIT,08/20/2018,W,"1,823"
38285,41120,35-Bronzeville-IIT,08/21/2018,W,"2,121"
38286,41120,35-Bronzeville-IIT,08/22/2018,W,"2,167"
38287,41120,35-Bronzeville-IIT,08/23/2018,W,"2,136"
38288,41120,35-Bronzeville-IIT,08/24/2018,W,"2,009"
38289,41120,35-Bronzeville-IIT,08/25/2018,A,"1,116"
38290,41120,35-Bronzeville-IIT,08/26/2018,U,824
38291,41120,35-Bronzeville-IIT,08/27/2018,W,"1,964"
38292,41120,35-Bronzeville-IIT,08/28/2018,W,"2,030"
38293,41120,35-Bronzeville-IIT,08/29/2018,W,"1,963"
38294,41120,35-Bronzeville-IIT,08/30/2018,W,"2,246"
38295,41120,35-Bronzeville-IIT,08/31/2018,W,"2,310"
42627,41120,35-Bronzeville-IIT,09/01/2018,A,"1,188"
42628,41120,35-Bronzeville-IIT,09/02/2018,U,966
42629,41120,35-Bronzeville-IIT,09/03/2018,U,811
42630,41120,35-Bronzeville-IIT,09/04/2018,W,"2,261"
42631,41120,35-Bronzeville-IIT,09/05/2018,W,"2,082"
42632,41120,35-Bronzeville-IIT,09/06/2018,W,"2,027"
42633,41120,35-Bronzeville-IIT,09/07/2018,W,"2,171"
