,station_id,stationname,date,daytype,rides
8,40120,35th+Archer,12/07/2017,W,"3,353"
208,40120,35th+Archer,12/11/2017,W,"3,171"
215,40120,35th+Archer,12/09/2017,A,"1,521"
436,40120,35th+Archer,12/13/2017,W,"3,180"
527,40120,35th+Archer,12/08/2017,W,"3,131"
670,40120,35th+Archer,12/04/2017,W,"3,375"
798,40120,35th+Archer,12/18/2017,W,"2,815"
851,40120,35th+Archer,12/28/2017,W,"1,928"
856,40120,35th+Archer,12/06/2017,W,"3,350"
891,40120,35th+Archer,12/26/2017,W,"1,473"
985,40120,35th+Archer,12/01/2017,W,"3,304"
1065,40120,35th+Archer,12/23/2017,A,"1,479"
1592,40120,35th+Archer,12/15/2017,W,"2,879"
1701,40120,35th+Archer,12/24/2017,U,859
1719,40120,35th+Archer,12/31/2017,U,801
1781,40120,35th+Archer,12/29/2017,W,"1,939"
1847,40120,35th+Archer,12/16/2017,A,"1,591"
1873,40120,35th+Archer,12/05/2017,W,"3,266"
2113,40120,35th+Archer,12/10/2017,U,"1,056"
2622,40120,35th+Archer,12/02/2017,A,"1,906"
2684,40120,35th+Archer,12/25/2017,U,388
2698,40120,35th+Archer,12/17/2017,U,"1,177"
2793,40120,35th+Archer,12/30/2017,A,998
2813,40120,35th+Archer,12/12/2017,W,"3,074"
2843,40120,35th+Archer,12/19/2017,W,"3,020"
2875,40120,35th+Archer,12/14/2017,W,"3,156"
3067,40120,35th+Archer,12/20/2017,W,"2,931"
3637,40120,35th+Archer,12/27/2017,W,"1,756"
3979,40120,35th+Archer,12/21/2017,W,"2,896"
4116,40120,35th+Archer,12/22/2017,W,"2,714"
4358,40120,35th+Archer,12/03/2017,U,"1,373"
4670,40120,35th+Archer,01/18/2018,W,"3,144"
4694,40120,35th+Archer,02/09/2018,W,"1,831"
4858,40120,35th+Archer,02/26/2018,W,"3,051"
5083,40120,35th+Archer,03/31/2018,A,"1,291"
5102,40120,35th+Archer,02/22/2018,W,"3,243"
5166,40120,35th+Archer,02/28/2018,W,"3,181"
5470,40120,35th+Archer,03/20/2018,W,"3,097"
5521,40120,35th+Archer,01/20/2018,A,"1,437"
5818,40120,35th+Archer,01/12/2018,W,"2,667"
6007,40120,35th+Archer,03/16/2018,W,"2,954"
6055,40120,35th+Archer,01/23/2018,W,"3,091"
6137,40120,35th+Archer,03/17/2018,A,"1,803"
6278,40120,35th+Archer,02/08/2018,W,"2,970"
6284,40120,35th+Archer,02/13/2018,W,"3,156"
6291,40120,35th+Archer,01/30/2018,W,"3,181"
6355,40120,35th+Archer,01/27/2018,A,"1,370"
6763,40120,35th+Archer,02/12/2018,W,"2,945"
6853,40120,35th+Archer,03/11/2018,U,989
6866,40120,35th+Archer,03/04/2018,U,"1,006"
6878,40120,35th+Archer,01/10/2018,W,"2,892"
6918,40120,35th+Archer,01/09/2018,W,"2,810"
6922,40120,35th+Archer,03/22/2018,W,"3,116"
6940,40120,35th+Archer,02/18/2018,U,995
6955,40120,35th+Archer,01/31/2018,W,"3,134"
7017,40120,35th+Archer,01/16/2018,W,"3,039"
7060,40120,35th+Archer,02/21/2018,W,"3,202"
