,station_id,stationname,date,daytype,rides
185,41270,43rd,12/23/2017,A,502
188,41270,43rd,12/24/2017,U,381
319,41270,43rd,12/22/2017,W,906
682,41270,43rd,12/20/2017,W,"1,045"
755,41270,43rd,12/15/2017,W,"1,009"
888,41270,43rd,12/25/2017,U,226
984,41270,43rd,12/28/2017,W,670
1005,41270,43rd,12/08/2017,W,"1,083"
1068,41270,43rd,12/03/2017,U,469
1171,41270,43rd,12/29/2017,W,715
1183,41270,43rd,12/19/2017,W,"1,068"
1489,41270,43rd,12/31/2017,U,335
2018,41270,43rd,12/18/2017,W,"1,038"
2223,41270,43rd,12/10/2017,U,374
2349,41270,43rd,12/05/2017,W,"1,109"
2375,41270,43rd,12/27/2017,W,611
2385,41270,43rd,12/06/2017,W,"1,199"
2540,41270,43rd,12/02/2017,A,565
2566,41270,43rd,12/26/2017,W,527
2823,41270,43rd,12/12/2017,W,"1,073"
2959,41270,43rd,12/09/2017,A,492
3011,41270,43rd,12/14/2017,W,"1,043"
3161,41270,43rd,12/13/2017,W,"1,088"
3607,41270,43rd,12/04/2017,W,"1,156"
3784,41270,43rd,12/30/2017,A,360
4126,41270,43rd,12/17/2017,U,390
4258,41270,43rd,12/16/2017,A,559
4299,41270,43rd,12/21/2017,W,996
4314,41270,43rd,12/11/2017,W,"1,025"
4321,41270,43rd,12/07/2017,W,"1,089"
4449,41270,43rd,12/01/2017,W,"1,177"
4599,41270,43rd,01/27/2018,A,465
4643,41270,43rd,01/07/2018,U,290
4645,41270,43rd,03/01/2018,W,965
4752,41270,43rd,03/27/2018,W,896
5079,41270,43rd,03/29/2018,W,853
5290,41270,43rd,03/26/2018,W,864
5564,41270,43rd,02/02/2018,W,906
5941,41270,43rd,02/05/2018,W,886
5972,41270,43rd,02/27/2018,W,"1,016"
6008,41270,43rd,02/26/2018,W,"1,033"
6080,41270,43rd,01/09/2018,W,969
6239,41270,43rd,03/14/2018,W,"1,026"
6255,41270,43rd,03/28/2018,W,892
6302,41270,43rd,01/15/2018,W,479
6575,41270,43rd,01/01/2018,U,223
6822,41270,43rd,01/04/2018,W,836
7117,41270,43rd,01/12/2018,W,883
7130,41270,43rd,02/07/2018,W,980
7281,41270,43rd,02/28/2018,W,"1,039"
7751,41270,43rd,03/03/2018,A,510
7806,41270,43rd,01/18/2018,W,989
7926,41270,43rd,01/30/2018,W,"1,003"
8085,41270,43rd,01/28/2018,U,351
8108,41270,43rd,03/25/2018,U,345
8140,41270,43rd,03/15/2018,W,"1,061"
8146,41270,43rd,02/16/2018,W,"1,011"
8387,41270,43rd,01/24/2018,W,"1,025"
8554,41270,43rd,01/14/2018,U,306
8749,41270,43rd,03/10/2018,A,428
8758,41270,43rd,02/20/2018,W,"1,002"
8944,41270,43rd,03/19/2018,W,943
9182,41270,43rd,03/04/2018,U,390
9477,41270,43rd,02/11/2018,U,366
9513,41270,43rd,03/23/2018,W,851
9535,41270,43rd,03/12/2018,W,919
9540,41270,43rd,01/11/2018,W,989
9695,41270,43rd,03/30/2018,W,842
10152,41270,43rd,02/09/2018,W,599
10469,41270,43rd,01/21/2018,U,337
10557,41270,43rd,03/08/2018,W,966
11209,41270,43rd,01/05/2018,W,811
11405,41270,43rd,02/17/2018,A,454
11492,41270,43rd,02/24/2018,A,472
11722,41270,43rd,01/08/2018,W,991
11748,41270,43rd,02/03/2018,A,442
12027,41270,43rd,02/18/2018,U,354
12033,41270,43rd,02/08/2018,W,923
12114,41270,43rd,01/03/2018,W,743
12118,41270,43rd,03/06/2018,W,"1,023"
12550,41270,43rd,01/06/2018,A,376
12638,41270,43rd,02/15/2018,W,"1,017"
12759,41270,43rd,02/04/2018,U,309
12828,41270,43rd,03/24/2018,A,427
12980,41270,43rd,01/16/2018,W,973
13189,41270,43rd,03/02/2018,W,"1,007"
13346,41270,43rd,02/23/2018,W,"1,038"
13385,41270,43rd,01/31/2018,W,"1,098"
13519,41270,43rd,02/06/2018,W,928
13535,41270,43rd,02/21/2018,W,"1,078"
13599,41270,43rd,02/19/2018,W,649
13616,41270,43rd,01/02/2018,W,653
13786,41270,43rd,02/25/2018,U,364
14301,41270,43rd,03/18/2018,U,349
14310,41270,43rd,01/22/2018,W,950
14312,41270,43rd,01/23/2018,W,971
14484,41270,43rd,01/10/2018,W,985
15118,41270,43rd,02/14/2018,W,"1,071"
15330,41270,43rd,01/26/2018,W,"1,019"
15426,41270,43rd,03/13/2018,W,968
15503,41270,43rd,02/10/2018,A,425
15519,41270,43rd,03/16/2018,W,974
15673,41270,43rd,02/12/2018,W,900
15828,41270,43rd,03/21/2018,W,991
16140,41270,43rd,01/17/2018,W,962
16189,41270,43rd,01/25/2018,W,"1,004"
16275,41270,43rd,02/01/2018,W,"1,048"
16283,41270,43rd,01/20/2018,A,504
16572,41270,43rd,03/17/2018,A,543
16608,41270,43rd,03/07/2018,W,"1,014"
16612,41270,43rd,03/11/2018,U,335
16700,41270,43rd,01/19/2018,W,"1,044"
16759,41270,43rd,02/22/2018,W,"1,038"
16793,41270,43rd,03/22/2018,W,982
16977,41270,43rd,01/29/2018,W,957
16987,41270,43rd,02/13/2018,W,"1,001"
17002,41270,43rd,03/31/2018,A,426
17030,41270,43rd,03/05/2018,W,913
17063,41270,43rd,01/13/2018,A,424
17125,41270,43rd,03/09/2018,W,960
17151,41270,43rd,03/20/2018,W,995
17572,41270,43rd,05/22/2018,W,"1,068"
17661,41270,43rd,04/24/2018,W,"1,029"
17958,41270,43rd,06/03/2018,U,478
18051,41270,43rd,05/15/2018,W,"1,115"
18117,41270,43rd,05/13/2018,U,383
18253,41270,43rd,05/17/2018,W,"1,100"
18337,41270,43rd,05/08/2005,U,270
18340,41270,43rd,06/26/2018,W,"1,117"
18502,41270,43rd,06/19/2018,W,"1,089"
18542,41270,43rd,05/03/2018,W,"1,036"
18885,41270,43rd,04/29/2018,U,400
18920,41270,43rd,04/06/2018,W,958
19002,41270,43rd,05/23/2018,W,"1,141"
19009,41270,43rd,05/16/2018,W,"1,149"
19225,41270,43rd,06/29/2018,W,"1,038"
19262,41270,43rd,05/01/2018,W,"1,098"
19277,41270,43rd,06/13/2018,W,"1,127"
19372,41270,43rd,05/06/2018,U,420
19616,41270,43rd,04/12/2018,W,"1,058"
19920,41270,43rd,06/27/2018,W,"1,082"
20078,41270,43rd,04/18/2018,W,"1,003"
20111,41270,43rd,06/22/2018,W,"1,033"
20134,41270,43rd,06/07/2018,W,"1,081"
20264,41270,43rd,04/27/2018,W,984
20386,41270,43rd,05/26/2018,A,604
20528,41270,43rd,04/05/2018,W,"1,015"
20789,41270,43rd,04/21/2018,A,461
21320,41270,43rd,04/15/2018,U,323
21338,41270,43rd,06/09/2018,A,479
21413,41270,43rd,06/01/2018,W,"1,162"
21443,41270,43rd,04/14/2018,A,456
21496,41270,43rd,06/25/2018,W,978
21560,41270,43rd,04/07/2018,A,486
21729,41270,43rd,05/14/2018,W,910
21858,41270,43rd,06/15/2018,W,"1,076"
22000,41270,43rd,04/17/2018,W,"1,055"
22001,41270,43rd,05/04/2018,W,"1,040"
22156,41270,43rd,06/11/2018,W,"1,042"
22742,41270,43rd,04/26/2018,W,"1,040"
22821,41270,43rd,06/30/2018,A,540
22930,41270,43rd,06/10/2018,U,419
23143,41270,43rd,06/16/2018,A,548
23147,41270,43rd,06/23/2018,A,634
23299,41270,43rd,06/12/2018,W,"1,123"
23598,41270,43rd,04/11/2018,W,"1,096"
23655,41270,43rd,06/08/2018,W,991
23864,41270,43rd,06/24/2018,U,600
24375,41270,43rd,06/18/2018,W,985
24430,41270,43rd,04/01/2018,U,299
24752,41270,43rd,04/04/2018,W,"1,047"
24825,41270,43rd,04/10/2018,W,"1,048"
24848,41270,43rd,04/02/2018,W,950
