,station_id,stationname,date,daytype,rides
42,40580,54th+Cermak,12/20/2017,W,"2,088"
102,40580,54th+Cermak,12/12/2017,W,"2,108"
194,40580,54th+Cermak,12/09/2017,A,"1,263"
232,40580,54th+Cermak,12/06/2017,W,"2,364"
326,40580,54th+Cermak,12/08/2017,W,"2,157"
344,40580,54th+Cermak,12/14/2017,W,"2,143"
545,40580,54th+Cermak,12/23/2017,A,"1,103"
734,40580,54th+Cermak,12/11/2017,W,"2,091"
786,40580,54th+Cermak,12/25/2017,U,345
1109,40580,54th+Cermak,12/24/2017,U,573
1462,40580,54th+Cermak,12/18/2017,W,"1,973"
1541,40580,54th+Cermak,12/10/2017,U,791
2150,40580,54th+Cermak,12/19/2017,W,"2,139"
2212,40580,54th+Cermak,12/05/2017,W,"2,310"
2297,40580,54th+Cermak,12/04/2017,W,"2,204"
2307,40580,54th+Cermak,12/30/2017,A,850
2418,40580,54th+Cermak,12/27/2017,W,"1,484"
2443,40580,54th+Cermak,12/03/2017,U,974
2683,40580,54th+Cermak,12/26/2017,W,"1,260"
2695,40580,54th+Cermak,12/01/2017,W,"2,307"
2772,40580,54th+Cermak,12/22/2017,W,"1,936"
2936,40580,54th+Cermak,12/16/2017,A,"1,229"
3078,40580,54th+Cermak,12/29/2017,W,"1,610"
3157,40580,54th+Cermak,12/21/2017,W,"2,046"
3312,40580,54th+Cermak,12/28/2017,W,"1,581"
3586,40580,54th+Cermak,12/13/2017,W,"2,227"
4287,40580,54th+Cermak,12/15/2017,W,"2,098"
4306,40580,54th+Cermak,12/17/2017,U,830
4344,40580,54th+Cermak,12/02/2017,A,"1,330"
4357,40580,54th+Cermak,12/07/2017,W,"2,183"
4366,40580,54th+Cermak,12/31/2017,U,632
4556,40580,54th+Cermak,03/25/2018,U,740
4570,40580,54th+Cermak,03/28/2018,W,"1,981"
4884,40580,54th+Cermak,01/20/2018,A,"1,084"
5172,40580,54th+Cermak,02/20/2018,W,"2,041"
5265,40580,54th+Cermak,03/27/2018,W,"1,967"
5323,40580,54th+Cermak,03/30/2018,W,"1,714"
5626,40580,54th+Cermak,02/23/2018,W,"2,068"
5719,40580,54th+Cermak,03/24/2018,A,985
5747,40580,54th+Cermak,03/16/2018,W,"2,030"
5995,40580,54th+Cermak,01/22/2018,W,"1,977"
6033,40580,54th+Cermak,02/12/2018,W,"1,926"
6041,40580,54th+Cermak,03/04/2018,U,737
6070,40580,54th+Cermak,02/11/2018,U,620
6164,40580,54th+Cermak,02/04/2018,U,582
6231,40580,54th+Cermak,03/20/2018,W,"1,991"
6249,40580,54th+Cermak,01/17/2018,W,"2,031"
6330,40580,54th+Cermak,02/27/2018,W,"2,214"
6338,40580,54th+Cermak,01/16/2018,W,"1,977"
6402,40580,54th+Cermak,03/14/2018,W,"2,048"
6541,40580,54th+Cermak,03/22/2018,W,"2,075"
6618,40580,54th+Cermak,01/18/2018,W,"2,023"
6676,40580,54th+Cermak,01/15/2018,W,"1,243"
6813,40580,54th+Cermak,03/26/2018,W,"1,882"
7297,40580,54th+Cermak,01/27/2018,A,"1,073"
7342,40580,54th+Cermak,03/19/2018,W,"1,932"
7425,40580,54th+Cermak,02/16/2018,W,"2,075"
7656,40580,54th+Cermak,02/17/2018,A,"1,015"
7866,40580,54th+Cermak,01/23/2018,W,"2,117"
7947,40580,54th+Cermak,01/13/2018,A,922
7953,40580,54th+Cermak,03/29/2018,W,"1,930"
8265,40580,54th+Cermak,01/29/2018,W,"1,913"
8348,40580,54th+Cermak,01/02/2018,W,"1,439"
8680,40580,54th+Cermak,03/12/2018,W,"1,925"
8745,40580,54th+Cermak,03/18/2018,U,818
8813,40580,54th+Cermak,01/14/2018,U,588
8817,40580,54th+Cermak,01/31/2018,W,"2,038"
8947,40580,54th+Cermak,03/03/2018,A,"1,090"
9147,40580,54th+Cermak,01/03/2018,W,"1,673"
9165,40580,54th+Cermak,01/11/2018,W,"2,000"
9466,40580,54th+Cermak,02/15/2018,W,"2,129"
9764,40580,54th+Cermak,03/23/2018,W,"2,008"
9790,40580,54th+Cermak,03/02/2018,W,"2,061"
9996,40580,54th+Cermak,03/06/2018,W,"2,058"
10869,40580,54th+Cermak,03/11/2018,U,666
11218,40580,54th+Cermak,02/28/2018,W,"2,130"
11272,40580,54th+Cermak,01/08/2018,W,"1,822"
11553,40580,54th+Cermak,01/12/2018,W,"1,844"
11860,40580,54th+Cermak,03/17/2018,A,"1,402"
12360,40580,54th+Cermak,02/10/2018,A,893
12507,40580,54th+Cermak,01/19/2018,W,"1,982"
12531,40580,54th+Cermak,03/31/2018,A,934
12605,40580,54th+Cermak,02/08/2018,W,"2,022"
12659,40580,54th+Cermak,01/28/2018,U,688
12819,40580,54th+Cermak,02/25/2018,U,723
12863,40580,54th+Cermak,01/25/2018,W,"2,089"
12897,40580,54th+Cermak,02/24/2018,A,949
13080,40580,54th+Cermak,03/01/2018,W,"1,967"
13218,40580,54th+Cermak,03/05/2018,W,"1,852"
13354,40580,54th+Cermak,03/13/2018,W,"1,977"
13410,40580,54th+Cermak,02/26/2018,W,"2,097"
13449,40580,54th+Cermak,01/10/2018,W,"2,012"
13799,40580,54th+Cermak,02/13/2018,W,"2,098"
13887,40580,54th+Cermak,02/05/2018,W,"1,788"
13936,40580,54th+Cermak,02/03/2018,A,959
14111,40580,54th+Cermak,02/06/2018,W,"1,949"
14152,40580,54th+Cermak,01/21/2018,U,703
14358,40580,54th+Cermak,01/04/2018,W,"1,653"
14607,40580,54th+Cermak,01/01/2018,U,438
14677,40580,54th+Cermak,02/07/2018,W,"2,027"
14775,40580,54th+Cermak,01/26/2018,W,"2,068"
14847,40580,54th+Cermak,02/18/2018,U,722
14891,40580,54th+Cermak,01/05/2018,W,"1,658"
14986,40580,54th+Cermak,02/22/2018,W,"2,143"
15037,40580,54th+Cermak,01/07/2018,U,611
15191,40580,54th+Cermak,03/08/2018,W,"2,002"
15448,40580,54th+Cermak,02/14/2018,W,"2,186"
15461,40580,54th+Cermak,03/21/2018,W,"2,072"
15806,40580,54th+Cermak,03/07/2018,W,"2,091"
15846,40580,54th+Cermak,03/15/2018,W,"2,104"
15931,40580,54th+Cermak,01/24/2018,W,"2,013"
16051,40580,54th+Cermak,01/06/2018,A,864
16115,40580,54th+Cermak,03/09/2018,W,"2,038"
16224,40580,54th+Cermak,03/10/2018,A,986
16498,40580,54th+Cermak,01/30/2018,W,"2,018"
16730,40580,54th+Cermak,02/19/2018,W,"1,599"
16863,40580,54th+Cermak,02/02/2018,W,"1,795"
16940,40580,54th+Cermak,02/01/2018,W,"2,010"
17150,40580,54th+Cermak,01/09/2018,W,"1,943"
17186,40580,54th+Cermak,02/09/2018,W,"1,389"
17337,40580,54th+Cermak,02/21/2018,W,"2,144"
17551,40580,54th+Cermak,05/26/2018,A,"1,418"
17567,40580,54th+Cermak,05/13/2018,U,823
17756,40580,54th+Cermak,06/19/2018,W,"2,197"
17796,40580,54th+Cermak,05/06/2018,U,888
17858,40580,54th+Cermak,05/04/2018,W,"2,281"
17997,40580,54th+Cermak,05/24/2018,W,"2,187"
18191,40580,54th+Cermak,05/11/2018,W,"2,057"
18255,40580,54th+Cermak,04/30/2018,W,"2,086"
18389,40580,54th+Cermak,05/19/2018,A,"1,157"
18464,40580,54th+Cermak,06/17/2018,U,912
18601,40580,54th+Cermak,06/10/2018,U,966
18806,40580,54th+Cermak,04/15/2018,U,632
18939,40580,54th+Cermak,05/31/2018,W,"2,343"
18985,40580,54th+Cermak,06/29/2018,W,"2,291"
18990,40580,54th+Cermak,06/16/2018,A,"1,238"
19172,40580,54th+Cermak,05/27/2018,U,"1,033"
19333,40580,54th+Cermak,04/27/2018,W,"2,084"
19441,40580,54th+Cermak,05/03/2018,W,"2,137"
19604,40580,54th+Cermak,06/21/2018,W,"2,055"
19795,40580,54th+Cermak,04/18/2018,W,"2,011"
19804,40580,54th+Cermak,06/09/2018,A,"1,292"
19871,40580,54th+Cermak,04/26/2018,W,"2,189"
20313,40580,54th+Cermak,05/29/2018,W,"2,222"
20336,40580,54th+Cermak,05/16/2018,W,"2,188"
20505,40580,54th+Cermak,06/15/2018,W,"2,199"
20786,40580,54th+Cermak,04/04/2018,W,"2,020"
20793,40580,54th+Cermak,04/10/2018,W,"2,075"
20866,40580,54th+Cermak,06/26/2018,W,"2,111"
21024,40580,54th+Cermak,06/24/2018,U,"1,588"
21356,40580,54th+Cermak,06/23/2018,A,"1,223"
22234,40580,54th+Cermak,04/02/2018,W,"1,895"
22926,40580,54th+Cermak,05/07/2018,W,"2,144"
23301,40580,54th+Cermak,04/23/2018,W,"1,985"
23344,40580,54th+Cermak,04/09/2018,W,"1,881"
23396,40580,54th+Cermak,05/28/2018,U,"1,159"
23629,40580,54th+Cermak,05/30/2018,W,"2,130"
23709,40580,54th+Cermak,05/02/2018,W,"2,153"
23770,40580,54th+Cermak,06/22/2018,W,"2,066"
24427,40580,54th+Cermak,05/12/2018,A,"1,043"
24435,40580,54th+Cermak,05/01/2018,W,"2,166"
24454,40580,54th+Cermak,04/06/2018,W,"1,963"
24582,40580,54th+Cermak,04/21/2018,A,"1,053"
24619,40580,54th+Cermak,05/17/2018,W,"2,196"
24957,40580,54th+Cermak,05/09/2018,W,"2,127"
24966,40580,54th+Cermak,06/12/2018,W,"2,286"
25129,40580,54th+Cermak,04/17/2018,W,"2,082"
25149,40580,54th+Cermak,06/05/2018,W,"2,276"
25164,40580,54th+Cermak,06/27/2018,W,"2,153"
25196,40580,54th+Cermak,06/02/2018,A,"1,179"
25200,40580,54th+Cermak,06/30/2018,A,"1,251"
25231,40580,54th+Cermak,06/07/2018,W,"2,348"
25385,40580,54th+Cermak,04/22/2018,U,787
25525,40580,54th+Cermak,04/03/2018,W,"1,925"
25553,40580,54th+Cermak,06/03/2018,U,986
25713,40580,54th+Cermak,04/19/2018,W,"2,141"
25950,40580,54th+Cermak,06/14/2018,W,"2,273"
26084,40580,54th+Cermak,04/07/2018,A,"1,032"
26138,40580,54th+Cermak,05/10/2018,W,"2,124"
26316,40580,54th+Cermak,04/28/2018,A,"1,136"
26543,40580,54th+Cermak,04/08/2018,U,706
26715,40580,54th+Cermak,06/18/2018,W,"2,158"
26864,40580,54th+Cermak,05/20/2018,U,816
27208,40580,54th+Cermak,05/08/2018,W,"2,229"
27235,40580,54th+Cermak,04/12/2018,W,"2,210"
27307,40580,54th+Cermak,05/14/2018,W,"1,995"
27430,40580,54th+Cermak,06/04/2018,W,"2,192"
27678,40580,54th+Cermak,04/24/2018,W,"2,142"
27815,40580,54th+Cermak,05/23/2018,W,"2,190"
27958,40580,54th+Cermak,06/20/2018,W,"2,321"
27978,40580,54th+Cermak,04/05/2018,W,"2,051"
28272,40580,54th+Cermak,04/13/2018,W,"1,968"
28351,40580,54th+Cermak,05/22/2018,W,"2,139"
28489,40580,54th+Cermak,04/25/2018,W,"2,208"
28592,40580,54th+Cermak,06/25/2018,W,"2,218"
28659,40580,54th+Cermak,04/16/2018,W,"1,979"
28849,40580,54th+Cermak,06/01/2018,W,"2,332"
