,station_id,stationname,date,daytype,rides
28,40990,69th,12/31/2017,U,"2,437"
177,40990,69th,12/11/2017,W,"4,870"
294,40990,69th,12/02/2017,A,"4,166"
327,40990,69th,12/03/2017,U,"3,191"
347,40990,69th,12/30/2017,A,"2,978"
363,40990,69th,12/28/2017,W,"3,651"
470,40990,69th,12/21/2017,W,"4,924"
541,40990,69th,12/16/2017,A,"3,830"
1161,40990,69th,12/18/2017,W,"4,754"
1323,40990,69th,12/25/2017,U,"1,833"
1414,40990,69th,12/15/2017,W,"4,893"
1461,40990,69th,12/26/2017,W,"3,103"
1484,40990,69th,12/27/2017,W,"3,403"
1536,40990,69th,12/22/2017,W,"5,047"
1608,40990,69th,12/01/2017,W,"5,769"
1650,40990,69th,12/13/2017,W,"5,104"
1716,40990,69th,12/10/2017,U,"2,747"
1769,40990,69th,12/17/2017,U,"2,799"
1890,40990,69th,12/07/2017,W,"5,009"
2062,40990,69th,12/08/2017,W,"5,194"
2597,40990,69th,12/14/2017,W,"4,984"
2631,40990,69th,12/20/2017,W,"4,919"
2692,40990,69th,12/06/2017,W,"5,209"
2732,40990,69th,12/05/2017,W,"5,127"
2818,40990,69th,12/29/2017,W,"3,895"
3055,40990,69th,12/19/2017,W,"4,971"
3198,40990,69th,12/09/2017,A,"3,701"
3239,40990,69th,12/12/2017,W,"4,788"
3615,40990,69th,12/23/2017,A,"3,757"
4212,40990,69th,12/24/2017,U,"2,562"
4267,40990,69th,12/04/2017,W,"5,222"
4658,40990,69th,02/17/2018,A,"3,424"
4680,40990,69th,01/23/2018,W,"4,671"
4700,40990,69th,02/27/2018,W,"5,020"
4903,40990,69th,03/27/2018,W,"4,165"
5282,40990,69th,01/19/2018,W,"4,815"
5419,40990,69th,03/16/2018,W,"4,715"
5599,40990,69th,03/02/2018,W,"5,031"
5765,40990,69th,03/06/2018,W,"4,713"
5793,40990,69th,01/27/2018,A,"3,548"
5803,40990,69th,02/16/2018,W,"4,896"
5841,40990,69th,02/08/2018,W,"4,610"
5950,40990,69th,03/24/2018,A,"3,140"
6158,40990,69th,01/14/2018,U,"2,369"
6557,40990,69th,03/10/2018,A,"3,526"
6592,40990,69th,02/20/2018,W,"4,745"
6603,40990,69th,01/20/2018,A,"3,516"
6861,40990,69th,01/21/2018,U,"2,517"
7083,40990,69th,03/03/2018,A,"3,643"
7311,40990,69th,02/03/2018,A,"3,275"
7525,40990,69th,03/13/2018,W,"4,628"
7619,40990,69th,01/30/2018,W,"4,690"
7648,40990,69th,01/07/2018,U,"2,393"
7789,40990,69th,01/10/2018,W,"4,824"
7854,40990,69th,01/12/2018,W,"4,452"
7940,40990,69th,02/11/2018,U,"2,313"
7990,40990,69th,03/18/2018,U,"2,762"
7991,40990,69th,02/06/2018,W,"4,531"
8151,40990,69th,02/24/2018,A,"3,446"
8208,40990,69th,02/15/2018,W,"4,745"
8231,40990,69th,02/18/2018,U,"2,633"
8406,40990,69th,03/12/2018,W,"4,467"
