,station_id,stationname,date,daytype,rides
69,40680,Adams+Wabash,12/06/2017,W,"7,234"
284,40680,Adams+Wabash,12/02/2017,A,"3,393"
312,40680,Adams+Wabash,12/03/2017,U,"2,463"
365,40680,Adams+Wabash,12/05/2017,W,"7,130"
449,40680,Adams+Wabash,12/16/2017,A,"2,907"
839,40680,Adams+Wabash,12/28/2017,W,"4,315"
918,40680,Adams+Wabash,12/09/2017,A,"2,993"
961,40680,Adams+Wabash,12/15/2017,W,"6,481"
1228,40680,Adams+Wabash,12/17/2017,U,"1,940"
1537,40680,Adams+Wabash,12/01/2017,W,"7,097"
1746,40680,Adams+Wabash,12/19/2017,W,"6,473"
1809,40680,Adams+Wabash,12/26/2017,W,"2,740"
1907,40680,Adams+Wabash,12/30/2017,A,"1,905"
2071,40680,Adams+Wabash,12/14/2017,W,"7,016"
2115,40680,Adams+Wabash,12/24/2017,U,"1,279"
2118,40680,Adams+Wabash,12/29/2017,W,"4,274"
2308,40680,Adams+Wabash,12/07/2017,W,"7,745"
2455,40680,Adams+Wabash,12/25/2017,U,483
2632,40680,Adams+Wabash,12/31/2017,U,"1,419"
2763,40680,Adams+Wabash,12/08/2017,W,"6,938"
2899,40680,Adams+Wabash,12/20/2017,W,"6,225"
2940,40680,Adams+Wabash,12/12/2017,W,"6,798"
3065,40680,Adams+Wabash,12/22/2017,W,"5,129"
3370,40680,Adams+Wabash,12/11/2017,W,"6,518"
3402,40680,Adams+Wabash,12/18/2017,W,"6,141"
3422,40680,Adams+Wabash,12/04/2017,W,"7,056"
3726,40680,Adams+Wabash,12/27/2017,W,"3,842"
3733,40680,Adams+Wabash,12/23/2017,A,"2,410"
3820,40680,Adams+Wabash,12/10/2017,U,"2,089"
3970,40680,Adams+Wabash,12/21/2017,W,"6,146"
4341,40680,Adams+Wabash,12/13/2017,W,"6,806"
4806,40680,Adams+Wabash,03/14/2018,W,"7,766"
4872,40680,Adams+Wabash,03/11/2018,U,"1,985"
5135,40680,Adams+Wabash,03/22/2018,W,"7,086"
5364,40680,Adams+Wabash,02/15/2018,W,"8,046"
5894,40680,Adams+Wabash,01/15/2018,W,"3,588"
6031,40680,Adams+Wabash,03/01/2018,W,"8,138"
6049,40680,Adams+Wabash,02/12/2018,W,"7,341"
6077,40680,Adams+Wabash,03/29/2018,W,"7,870"
6120,40680,Adams+Wabash,02/25/2018,U,"2,062"
6197,40680,Adams+Wabash,02/23/2018,W,"6,860"
6361,40680,Adams+Wabash,01/10/2018,W,"7,474"
6374,40680,Adams+Wabash,03/17/2018,A,"6,277"
6622,40680,Adams+Wabash,02/11/2018,U,"1,566"
6939,40680,Adams+Wabash,02/05/2018,W,"7,349"
7056,40680,Adams+Wabash,02/09/2018,W,"4,311"
7115,40680,Adams+Wabash,01/24/2018,W,"7,905"
7293,40680,Adams+Wabash,01/06/2018,A,"1,893"
7451,40680,Adams+Wabash,02/02/2018,W,"6,566"
7494,40680,Adams+Wabash,03/28/2018,W,"7,986"
7946,40680,Adams+Wabash,03/05/2018,W,"7,291"
7974,40680,Adams+Wabash,01/05/2018,W,"5,382"
8135,40680,Adams+Wabash,03/26/2018,W,"7,258"
8190,40680,Adams+Wabash,03/31/2018,A,"2,687"
8313,40680,Adams+Wabash,01/21/2018,U,"1,697"
8326,40680,Adams+Wabash,02/28/2018,W,"8,255"
8332,40680,Adams+Wabash,03/19/2018,W,"7,104"
8391,40680,Adams+Wabash,01/09/2018,W,"7,172"
8436,40680,Adams+Wabash,02/03/2018,A,"2,546"
8633,40680,Adams+Wabash,02/24/2018,A,"3,047"
8694,40680,Adams+Wabash,02/16/2018,W,"6,586"
8801,40680,Adams+Wabash,01/13/2018,A,"2,162"
9094,40680,Adams+Wabash,02/18/2018,U,"2,039"
9184,40680,Adams+Wabash,02/27/2018,W,"8,091"
9319,40680,Adams+Wabash,01/01/2018,U,945
9460,40680,Adams+Wabash,02/14/2018,W,"7,739"
9609,40680,Adams+Wabash,03/30/2018,W,"6,251"
9682,40680,Adams+Wabash,01/14/2018,U,"1,614"
9758,40680,Adams+Wabash,02/17/2018,A,"2,904"
9909,40680,Adams+Wabash,02/10/2018,A,"2,450"
9915,40680,Adams+Wabash,01/07/2018,U,"1,306"
10243,40680,Adams+Wabash,01/20/2018,A,"6,698"
10650,40680,Adams+Wabash,01/08/2018,W,"7,058"
10912,40680,Adams+Wabash,02/26/2018,W,"7,934"
10952,40680,Adams+Wabash,03/09/2018,W,"6,995"
11003,40680,Adams+Wabash,01/29/2018,W,"7,432"
11061,40680,Adams+Wabash,01/31/2018,W,"7,757"
11606,40680,Adams+Wabash,02/06/2018,W,"7,781"
11720,40680,Adams+Wabash,03/03/2018,A,"2,958"
11997,40680,Adams+Wabash,03/25/2018,U,"3,498"
12095,40680,Adams+Wabash,01/04/2018,W,"6,522"
12243,40680,Adams+Wabash,01/03/2018,W,"6,145"
12253,40680,Adams+Wabash,02/22/2018,W,"8,378"
12272,40680,Adams+Wabash,03/24/2018,A,"2,965"
12292,40680,Adams+Wabash,01/25/2018,W,"8,392"
12690,40680,Adams+Wabash,02/08/2018,W,"8,026"
12747,40680,Adams+Wabash,03/23/2018,W,"6,805"
12860,40680,Adams+Wabash,03/12/2018,W,"7,743"
13031,40680,Adams+Wabash,01/22/2018,W,"7,705"
13077,40680,Adams+Wabash,03/08/2018,W,"8,082"
13114,40680,Adams+Wabash,02/21/2018,W,"8,120"
13481,40680,Adams+Wabash,03/20/2018,W,"6,905"
13502,40680,Adams+Wabash,02/19/2018,W,"5,564"
13539,40680,Adams+Wabash,03/04/2018,U,"1,838"
13807,40680,Adams+Wabash,01/28/2018,U,"1,802"
13938,40680,Adams+Wabash,03/21/2018,W,"7,073"
13974,40680,Adams+Wabash,03/15/2018,W,"7,970"
14086,40680,Adams+Wabash,02/07/2018,W,"7,759"
14221,40680,Adams+Wabash,03/06/2018,W,"7,814"
14351,40680,Adams+Wabash,01/11/2018,W,"7,851"
14355,40680,Adams+Wabash,02/13/2018,W,"8,048"
14493,40680,Adams+Wabash,01/19/2018,W,"6,366"
14581,40680,Adams+Wabash,01/26/2018,W,"6,862"
14824,40680,Adams+Wabash,01/02/2018,W,"5,122"
15254,40680,Adams+Wabash,01/16/2018,W,"7,382"
15422,40680,Adams+Wabash,01/30/2018,W,"8,268"
15432,40680,Adams+Wabash,02/20/2018,W,"7,825"
15706,40680,Adams+Wabash,02/04/2018,U,"1,481"
15986,40680,Adams+Wabash,03/27/2018,W,"7,683"
16058,40680,Adams+Wabash,03/18/2018,U,"2,283"
16065,40680,Adams+Wabash,02/01/2018,W,"8,077"
16093,40680,Adams+Wabash,01/17/2018,W,"7,410"
16589,40680,Adams+Wabash,03/10/2018,A,"2,902"
16633,40680,Adams+Wabash,01/18/2018,W,"8,026"
16732,40680,Adams+Wabash,01/12/2018,W,"6,025"
16901,40680,Adams+Wabash,03/02/2018,W,"6,964"
16988,40680,Adams+Wabash,03/07/2018,W,"7,873"
17017,40680,Adams+Wabash,01/27/2018,A,"2,674"
17170,40680,Adams+Wabash,03/16/2018,W,"6,844"
17340,40680,Adams+Wabash,01/23/2018,W,"7,914"
17421,40680,Adams+Wabash,03/13/2018,W,"7,570"
17568,40680,Adams+Wabash,04/03/2018,W,"7,530"
17580,40680,Adams+Wabash,05/01/2018,W,"8,397"
17625,40680,Adams+Wabash,06/22/2018,W,"6,763"
17687,40680,Adams+Wabash,04/06/2018,W,"7,019"
17864,40680,Adams+Wabash,05/08/2018,W,"8,468"
18130,40680,Adams+Wabash,05/26/2018,A,"4,238"
18135,40680,Adams+Wabash,04/13/2018,W,"6,885"
18274,40680,Adams+Wabash,04/14/2018,A,"2,941"
18597,40680,Adams+Wabash,05/04/2018,W,"6,993"
18881,40680,Adams+Wabash,05/18/2018,W,"6,948"
18908,40680,Adams+Wabash,04/27/2018,W,"6,972"
18919,40680,Adams+Wabash,05/31/2018,W,"8,119"
19224,40680,Adams+Wabash,06/19/2018,W,"6,992"
19276,40680,Adams+Wabash,05/28/2018,U,"2,539"
19468,40680,Adams+Wabash,06/08/2018,W,"7,065"
19486,40680,Adams+Wabash,06/11/2018,W,"7,056"
19504,40680,Adams+Wabash,06/02/2018,A,"3,372"
19528,40680,Adams+Wabash,04/28/2018,A,"3,184"
19643,40680,Adams+Wabash,06/30/2018,A,"3,971"
19938,40680,Adams+Wabash,04/29/2018,U,"2,354"
20022,40680,Adams+Wabash,04/26/2018,W,"8,410"
20079,40680,Adams+Wabash,06/04/2018,W,"7,453"
20100,40680,Adams+Wabash,05/30/2018,W,"7,719"
20645,40680,Adams+Wabash,05/23/2018,W,"8,469"
20683,40680,Adams+Wabash,06/28/2018,W,"8,170"
20908,40680,Adams+Wabash,06/25/2018,W,"6,867"
21279,40680,Adams+Wabash,04/24/2018,W,"7,929"
21432,40680,Adams+Wabash,05/05/2018,A,"3,473"
21576,40680,Adams+Wabash,05/21/2018,W,"7,146"
21624,40680,Adams+Wabash,06/10/2018,U,"2,379"
21699,40680,Adams+Wabash,04/19/2018,W,"8,355"
21973,40680,Adams+Wabash,06/24/2018,U,"3,294"
22082,40680,Adams+Wabash,06/20/2018,W,"7,096"
22170,40680,Adams+Wabash,04/11/2018,W,"8,207"
22232,40680,Adams+Wabash,05/06/2018,U,"2,311"
22240,40680,Adams+Wabash,05/14/2018,W,"7,262"
22431,40680,Adams+Wabash,04/18/2018,W,"7,930"
22609,40680,Adams+Wabash,05/02/2018,W,"8,056"
22629,40680,Adams+Wabash,04/07/2018,A,"3,081"
22898,40680,Adams+Wabash,05/19/2018,A,"3,192"
23627,40680,Adams+Wabash,05/25/2018,W,"6,690"
23638,40680,Adams+Wabash,04/02/2018,W,"7,283"
23657,40680,Adams+Wabash,05/11/2018,W,"6,874"
23712,40680,Adams+Wabash,06/01/2018,W,"7,535"
23729,40680,Adams+Wabash,04/21/2018,A,"2,875"
23960,40680,Adams+Wabash,06/06/2018,W,"7,566"
24021,40680,Adams+Wabash,04/12/2018,W,"8,411"
24140,40680,Adams+Wabash,04/08/2018,U,"2,066"
24515,40680,Adams+Wabash,04/05/2018,W,"8,213"
24597,40680,Adams+Wabash,06/16/2018,A,"3,394"
24664,40680,Adams+Wabash,06/17/2018,U,"2,152"
24827,40680,Adams+Wabash,04/01/2018,U,"1,660"
25201,40680,Adams+Wabash,06/13/2018,W,"7,300"
25288,40680,Adams+Wabash,05/29/2018,W,"7,344"
25310,40680,Adams+Wabash,06/14/2018,W,"7,446"
25314,40680,Adams+Wabash,04/30/2018,W,"8,025"
25679,40680,Adams+Wabash,05/16/2018,W,"7,772"
25698,40680,Adams+Wabash,05/27/2018,U,"3,130"
25736,40680,Adams+Wabash,06/23/2018,A,"3,416"
25743,40680,Adams+Wabash,06/05/2018,W,"7,662"
25782,40680,Adams+Wabash,04/20/2018,W,"7,112"
25784,40680,Adams+Wabash,06/18/2018,W,"6,599"
25802,40680,Adams+Wabash,04/15/2018,U,"1,979"
25953,40680,Adams+Wabash,04/16/2018,W,"7,574"
26221,40680,Adams+Wabash,06/03/2018,U,"2,602"
26268,40680,Adams+Wabash,05/17/2018,W,"7,838"
26440,40680,Adams+Wabash,05/24/2018,W,"8,949"
26526,40680,Adams+Wabash,05/12/2018,A,"2,964"
26674,40680,Adams+Wabash,04/23/2018,W,"7,317"
26955,40680,Adams+Wabash,04/22/2018,U,"1,974"
27210,40680,Adams+Wabash,05/07/2018,W,"7,641"
27591,40680,Adams+Wabash,06/21/2018,W,"6,833"
27867,40680,Adams+Wabash,06/09/2018,A,"3,493"
27924,40680,Adams+Wabash,05/10/2018,W,"8,350"
27941,40680,Adams+Wabash,06/07/2018,W,"7,941"
28093,40680,Adams+Wabash,05/03/2018,W,"8,149"
28126,40680,Adams+Wabash,05/22/2018,W,"7,853"
28213,40680,Adams+Wabash,04/10/2018,W,"7,979"
28251,40680,Adams+Wabash,04/04/2018,W,"8,218"
28861,40680,Adams+Wabash,05/09/2018,W,"8,010"
28976,40680,Adams+Wabash,04/17/2018,W,"8,337"
29431,40680,Adams+Wabash,04/25/2018,W,"8,163"
29771,40680,Adams+Wabash,06/29/2018,W,"6,881"
29773,40680,Adams+Wabash,05/20/2018,U,"2,117"
29846,40680,Adams+Wabash,06/27/2018,W,"7,386"
29977,40680,Adams+Wabash,04/09/2018,W,"7,666"
30200,40680,Adams+Wabash,05/13/2018,U,"2,228"
30271,40680,Adams+Wabash,06/12/2018,W,"7,239"
30342,40680,Adams+Wabash,06/15/2018,W,"6,828"
30348,40680,Adams+Wabash,05/15/2018,W,"7,725"
30413,40680,Adams+Wabash,06/26/2018,W,"7,125"
32551,40680,Adams+Wabash,07/01/2018,U,"2,406"
32552,40680,Adams+Wabash,07/02/2018,W,"6,652"
32553,40680,Adams+Wabash,07/03/2018,W,"6,706"
32554,40680,Adams+Wabash,07/04/2018,U,"2,663"
32555,40680,Adams+Wabash,07/05/2018,W,"6,180"
