,station_id,stationname,date,daytype,rides
167,41240,Addison-O'Hare,12/01/2017,W,"3,172"
209,41240,Addison-O'Hare,12/14/2017,W,"3,033"
300,41240,Addison-O'Hare,12/04/2017,W,"3,034"
960,41240,Addison-O'Hare,12/23/2017,A,"1,313"
1267,41240,Addison-O'Hare,12/21/2017,W,"2,916"
1582,41240,Addison-O'Hare,12/26/2017,W,"1,257"
1794,41240,Addison-O'Hare,12/17/2017,U,"1,015"
1921,41240,Addison-O'Hare,12/12/2017,W,"2,870"
2058,41240,Addison-O'Hare,12/15/2017,W,"2,866"
2236,41240,Addison-O'Hare,12/03/2017,U,"1,121"
2276,41240,Addison-O'Hare,12/02/2017,A,"1,533"
2352,41240,Addison-O'Hare,12/10/2017,U,876
2355,41240,Addison-O'Hare,12/16/2017,A,"1,378"
2361,41240,Addison-O'Hare,12/05/2017,W,"3,013"
2407,41240,Addison-O'Hare,12/06/2017,W,"3,051"
2568,41240,Addison-O'Hare,12/25/2017,U,358
2709,41240,Addison-O'Hare,12/09/2017,A,"1,315"
2739,41240,Addison-O'Hare,12/24/2017,U,809
2770,41240,Addison-O'Hare,12/28/2017,W,"1,395"
3052,41240,Addison-O'Hare,12/27/2017,W,"1,513"
3119,41240,Addison-O'Hare,12/22/2017,W,"2,658"
3127,41240,Addison-O'Hare,12/13/2017,W,"2,749"
3141,41240,Addison-O'Hare,12/19/2017,W,"3,026"
3145,41240,Addison-O'Hare,12/31/2017,U,732
3345,41240,Addison-O'Hare,12/11/2017,W,"2,853"
3584,41240,Addison-O'Hare,12/30/2017,A,764
4002,41240,Addison-O'Hare,12/07/2017,W,"3,033"
4115,41240,Addison-O'Hare,12/29/2017,W,"1,476"
4273,41240,Addison-O'Hare,12/08/2017,W,"3,054"
4363,41240,Addison-O'Hare,12/20/2017,W,"2,902"
4492,41240,Addison-O'Hare,12/18/2017,W,"2,869"
4631,41240,Addison-O'Hare,02/22/2018,W,"2,951"
4897,41240,Addison-O'Hare,03/11/2018,U,864
5611,41240,Addison-O'Hare,01/02/2018,W,"1,792"
5654,41240,Addison-O'Hare,03/25/2018,U,909
5713,41240,Addison-O'Hare,03/29/2018,W,"2,505"
5842,41240,Addison-O'Hare,02/09/2018,W,"1,931"
5948,41240,Addison-O'Hare,03/01/2018,W,"2,876"
5967,41240,Addison-O'Hare,02/19/2018,W,"1,904"
6032,41240,Addison-O'Hare,01/13/2018,A,996
6705,41240,Addison-O'Hare,03/28/2018,W,"2,577"
6847,41240,Addison-O'Hare,02/27/2018,W,"2,884"
7226,41240,Addison-O'Hare,01/15/2018,W,"1,570"
7464,41240,Addison-O'Hare,01/01/2018,U,541
7575,41240,Addison-O'Hare,03/04/2018,U,802
7693,41240,Addison-O'Hare,03/03/2018,A,"1,193"
7784,41240,Addison-O'Hare,01/22/2018,W,"2,748"
7999,41240,Addison-O'Hare,03/23/2018,W,"2,825"
8170,41240,Addison-O'Hare,01/31/2018,W,"2,837"
8268,41240,Addison-O'Hare,01/30/2018,W,"2,770"
8708,41240,Addison-O'Hare,02/01/2018,W,"2,810"
8885,41240,Addison-O'Hare,01/20/2018,A,"1,374"
9019,41240,Addison-O'Hare,03/18/2018,U,"1,020"
9269,41240,Addison-O'Hare,03/30/2018,W,"2,235"
9323,41240,Addison-O'Hare,01/10/2018,W,"2,845"
9426,41240,Addison-O'Hare,03/31/2018,A,"1,094"
9537,41240,Addison-O'Hare,01/04/2018,W,"2,149"
9562,41240,Addison-O'Hare,01/26/2018,W,"2,804"
10271,41240,Addison-O'Hare,02/25/2018,U,844
10286,41240,Addison-O'Hare,03/26/2018,W,"2,409"
10306,41240,Addison-O'Hare,01/17/2018,W,"2,739"
10435,41240,Addison-O'Hare,02/24/2018,A,"1,112"
10630,41240,Addison-O'Hare,02/06/2018,W,"2,774"
10751,41240,Addison-O'Hare,02/05/2018,W,"2,554"
10821,41240,Addison-O'Hare,02/04/2018,U,696
10872,41240,Addison-O'Hare,01/19/2018,W,"2,741"
10995,41240,Addison-O'Hare,01/29/2018,W,"2,667"
11130,41240,Addison-O'Hare,03/13/2018,W,"2,766"
11433,41240,Addison-O'Hare,03/10/2018,A,"1,281"
11532,41240,Addison-O'Hare,01/05/2018,W,"2,106"
11558,41240,Addison-O'Hare,03/07/2018,W,"2,877"
11645,41240,Addison-O'Hare,03/21/2018,W,"2,946"
11673,41240,Addison-O'Hare,02/11/2018,U,799
11804,41240,Addison-O'Hare,02/14/2018,W,"2,877"
12110,41240,Addison-O'Hare,01/03/2018,W,"2,045"
12288,41240,Addison-O'Hare,03/02/2018,W,"2,812"
12341,41240,Addison-O'Hare,03/22/2018,W,"2,984"
12613,41240,Addison-O'Hare,01/14/2018,U,700
12617,41240,Addison-O'Hare,02/15/2018,W,"2,903"
12890,41240,Addison-O'Hare,02/16/2018,W,"2,940"
13081,41240,Addison-O'Hare,02/13/2018,W,"2,879"
13306,41240,Addison-O'Hare,03/09/2018,W,"2,865"
13615,41240,Addison-O'Hare,02/26/2018,W,"2,827"
13730,41240,Addison-O'Hare,02/21/2018,W,"2,911"
14229,41240,Addison-O'Hare,01/11/2018,W,"2,851"
14329,41240,Addison-O'Hare,01/09/2018,W,"2,749"
14333,41240,Addison-O'Hare,02/03/2018,A,"1,067"
14376,41240,Addison-O'Hare,01/21/2018,U,803
14518,41240,Addison-O'Hare,01/08/2018,W,"2,550"
14575,41240,Addison-O'Hare,03/08/2018,W,"2,997"
