,station_id,stationname,date,daytype,rides
415,40660,Armitage,12/18/2017,W,"4,478"
828,40660,Armitage,12/02/2017,A,"3,013"
954,40660,Armitage,12/23/2017,A,"1,425"
986,40660,Armitage,12/07/2017,W,"4,458"
1053,40660,Armitage,12/15/2017,W,"4,491"
1074,40660,Armitage,12/16/2017,A,"2,426"
1237,40660,Armitage,12/10/2017,U,"1,524"
1275,40660,Armitage,12/05/2017,W,"4,427"
1669,40660,Armitage,12/09/2017,A,"2,242"
1693,40660,Armitage,12/01/2017,W,"4,852"
1954,40660,Armitage,12/22/2017,W,"3,593"
2076,40660,Armitage,12/11/2017,W,"4,234"
2105,40660,Armitage,12/25/2017,U,192
2256,40660,Armitage,12/12/2017,W,"4,497"
2462,40660,Armitage,12/27/2017,W,"1,758"
2637,40660,Armitage,12/21/2017,W,"4,301"
2708,40660,Armitage,12/04/2017,W,"4,516"
2734,40660,Armitage,12/30/2017,A,"1,284"
2837,40660,Armitage,12/24/2017,U,565
2870,40660,Armitage,12/14/2017,W,"4,406"
2873,40660,Armitage,12/17/2017,U,"1,490"
2886,40660,Armitage,12/06/2017,W,"4,516"
3206,40660,Armitage,12/19/2017,W,"4,616"
4049,40660,Armitage,12/26/2017,W,"1,114"
4050,40660,Armitage,12/29/2017,W,"2,263"
4056,40660,Armitage,12/08/2017,W,"4,735"
4075,40660,Armitage,12/31/2017,U,"1,116"
4099,40660,Armitage,12/13/2017,W,"4,403"
4127,40660,Armitage,12/20/2017,W,"4,532"
4227,40660,Armitage,12/28/2017,W,"2,057"
4242,40660,Armitage,12/03/2017,U,"1,627"
4856,40660,Armitage,01/27/2018,A,"2,273"
4973,40660,Armitage,01/21/2018,U,"1,440"
5031,40660,Armitage,02/06/2018,W,"4,493"
5062,40660,Armitage,03/19/2018,W,"4,323"
5082,40660,Armitage,03/04/2018,U,"1,408"
5252,40660,Armitage,03/30/2018,W,"3,294"
5609,40660,Armitage,01/15/2018,W,"2,509"
5728,40660,Armitage,03/20/2018,W,"4,211"
5863,40660,Armitage,02/04/2018,U,"1,227"
5923,40660,Armitage,03/27/2018,W,"3,774"
5991,40660,Armitage,01/26/2018,W,"4,580"
6299,40660,Armitage,02/24/2018,A,"2,166"
6347,40660,Armitage,03/16/2018,W,"4,607"
6444,40660,Armitage,03/13/2018,W,"4,054"
7173,40660,Armitage,03/06/2018,W,"4,465"
7204,40660,Armitage,02/18/2018,U,"1,498"
7240,40660,Armitage,01/06/2018,A,"1,573"
7324,40660,Armitage,02/21/2018,W,"4,552"
7374,40660,Armitage,02/26/2018,W,"4,414"
7681,40660,Armitage,03/31/2018,A,"1,715"
