,station_id,stationname,date,daytype,rides
43,40290,Ashland+63rd,12/06/2017,W,"1,177"
378,40290,Ashland+63rd,12/24/2017,U,509
497,40290,Ashland+63rd,12/09/2017,A,626
1286,40290,Ashland+63rd,12/10/2017,U,543
1365,40290,Ashland+63rd,12/29/2017,W,860
1456,40290,Ashland+63rd,12/27/2017,W,796
1471,40290,Ashland+63rd,12/14/2017,W,"1,153"
1588,40290,Ashland+63rd,12/02/2017,A,800
1655,40290,Ashland+63rd,12/23/2017,A,705
1694,40290,Ashland+63rd,12/05/2017,W,"1,163"
1922,40290,Ashland+63rd,12/19/2017,W,"1,208"
1947,40290,Ashland+63rd,12/11/2017,W,"1,130"
1952,40290,Ashland+63rd,12/30/2017,A,561
2015,40290,Ashland+63rd,12/17/2017,U,542
2185,40290,Ashland+63rd,12/08/2017,W,"1,198"
2338,40290,Ashland+63rd,12/15/2017,W,"1,111"
2542,40290,Ashland+63rd,12/07/2017,W,"1,154"
2553,40290,Ashland+63rd,12/03/2017,U,602
2590,40290,Ashland+63rd,12/04/2017,W,"1,233"
2666,40290,Ashland+63rd,12/18/2017,W,"1,041"
2877,40290,Ashland+63rd,12/28/2017,W,797
2953,40290,Ashland+63rd,12/01/2017,W,"1,238"
3108,40290,Ashland+63rd,12/26/2017,W,706
3142,40290,Ashland+63rd,12/22/2017,W,"1,086"
3168,40290,Ashland+63rd,12/12/2017,W,"1,075"
3260,40290,Ashland+63rd,12/31/2017,U,453
3357,40290,Ashland+63rd,12/13/2017,W,"1,161"
3786,40290,Ashland+63rd,12/20/2017,W,"1,136"
3955,40290,Ashland+63rd,12/16/2017,A,708
4149,40290,Ashland+63rd,12/21/2017,W,"1,083"
4481,40290,Ashland+63rd,12/25/2017,U,393
5060,40290,Ashland+63rd,03/24/2018,A,554
5146,40290,Ashland+63rd,02/20/2018,W,"1,115"
5199,40290,Ashland+63rd,03/05/2018,W,"1,068"
5264,40290,Ashland+63rd,02/03/2018,A,640
5384,40290,Ashland+63rd,01/27/2018,A,684
5472,40290,Ashland+63rd,01/19/2018,W,"1,116"
5484,40290,Ashland+63rd,03/07/2018,W,"1,159"
5657,40290,Ashland+63rd,01/03/2018,W,891
5738,40290,Ashland+63rd,01/09/2018,W,"1,070"
5956,40290,Ashland+63rd,01/07/2018,U,429
6027,40290,Ashland+63rd,01/02/2018,W,763
