,station_id,stationname,date,daytype,rides
199,40170,Ashland-Lake,12/01/2017,W,"2,568"
290,40170,Ashland-Lake,12/28/2017,W,"1,457"
472,40170,Ashland-Lake,12/29/2017,W,"1,547"
706,40170,Ashland-Lake,12/07/2017,W,"2,382"
946,40170,Ashland-Lake,12/09/2017,A,"1,164"
979,40170,Ashland-Lake,12/22/2017,W,"1,855"
995,40170,Ashland-Lake,12/03/2017,U,930
1066,40170,Ashland-Lake,12/05/2017,W,"2,530"
1217,40170,Ashland-Lake,12/08/2017,W,"2,455"
1339,40170,Ashland-Lake,12/16/2017,A,"1,249"
1791,40170,Ashland-Lake,12/26/2017,W,971
1828,40170,Ashland-Lake,12/13/2017,W,"2,487"
1863,40170,Ashland-Lake,12/11/2017,W,"2,495"
1916,40170,Ashland-Lake,12/30/2017,A,750
2024,40170,Ashland-Lake,12/27/2017,W,"1,333"
2171,40170,Ashland-Lake,12/31/2017,U,519
2322,40170,Ashland-Lake,12/04/2017,W,"2,629"
2367,40170,Ashland-Lake,12/10/2017,U,793
2432,40170,Ashland-Lake,12/18/2017,W,"2,433"
2481,40170,Ashland-Lake,12/23/2017,A,897
2615,40170,Ashland-Lake,12/21/2017,W,"2,244"
2679,40170,Ashland-Lake,12/17/2017,U,808
2780,40170,Ashland-Lake,12/20/2017,W,"2,398"
2977,40170,Ashland-Lake,12/06/2017,W,"2,447"
3231,40170,Ashland-Lake,12/02/2017,A,"1,295"
3363,40170,Ashland-Lake,12/24/2017,U,461
3655,40170,Ashland-Lake,12/14/2017,W,"2,490"
4011,40170,Ashland-Lake,12/12/2017,W,"2,410"
4305,40170,Ashland-Lake,12/25/2017,U,301
4365,40170,Ashland-Lake,12/15/2017,W,"2,263"
4477,40170,Ashland-Lake,12/19/2017,W,"2,315"
4559,40170,Ashland-Lake,02/27/2018,W,"2,514"
4664,40170,Ashland-Lake,02/08/2018,W,"2,506"
4715,40170,Ashland-Lake,02/20/2018,W,"2,337"
4722,40170,Ashland-Lake,03/01/2018,W,"2,424"
4803,40170,Ashland-Lake,03/08/2018,W,"2,559"
4899,40170,Ashland-Lake,03/16/2018,W,"2,411"
5068,40170,Ashland-Lake,03/05/2018,W,"2,495"
5685,40170,Ashland-Lake,03/18/2018,U,993
6135,40170,Ashland-Lake,02/25/2018,U,807
6208,40170,Ashland-Lake,02/01/2018,W,"2,404"
6331,40170,Ashland-Lake,02/05/2018,W,"2,083"
6510,40170,Ashland-Lake,03/31/2018,A,980
6536,40170,Ashland-Lake,03/03/2018,A,"1,217"
6571,40170,Ashland-Lake,03/15/2018,W,"2,449"
6665,40170,Ashland-Lake,02/22/2018,W,"2,630"
6691,40170,Ashland-Lake,03/19/2018,W,"2,413"
6715,40170,Ashland-Lake,01/03/2018,W,"1,769"
7430,40170,Ashland-Lake,03/22/2018,W,"2,557"
7561,40170,Ashland-Lake,02/23/2018,W,"2,524"
7593,40170,Ashland-Lake,02/17/2018,A,"1,137"
7971,40170,Ashland-Lake,02/15/2018,W,"2,607"
8065,40170,Ashland-Lake,03/30/2018,W,"1,935"
8091,40170,Ashland-Lake,03/25/2018,U,782
8362,40170,Ashland-Lake,02/18/2018,U,688
8372,40170,Ashland-Lake,03/10/2018,A,"1,135"
8378,40170,Ashland-Lake,03/26/2018,W,"2,142"
8668,40170,Ashland-Lake,02/13/2018,W,"2,400"
8707,40170,Ashland-Lake,01/17/2018,W,"2,376"
8802,40170,Ashland-Lake,03/21/2018,W,"2,558"
8848,40170,Ashland-Lake,03/20/2018,W,"2,380"
9070,40170,Ashland-Lake,01/12/2018,W,"2,199"
9141,40170,Ashland-Lake,01/23/2018,W,"2,365"
9668,40170,Ashland-Lake,02/19/2018,W,"1,674"
9937,40170,Ashland-Lake,01/19/2018,W,"2,225"
9973,40170,Ashland-Lake,02/03/2018,A,"1,036"
10009,40170,Ashland-Lake,01/15/2018,W,"1,374"
10094,40170,Ashland-Lake,03/02/2018,W,"2,415"
10127,40170,Ashland-Lake,03/09/2018,W,"2,486"
10147,40170,Ashland-Lake,01/31/2018,W,"2,379"
