,station_id,stationname,date,daytype,rides
151,41060,Ashland-Orange,12/14/2017,W,"1,648"
184,41060,Ashland-Orange,12/09/2017,A,757
299,41060,Ashland-Orange,12/17/2017,U,644
406,41060,Ashland-Orange,12/30/2017,A,558
477,41060,Ashland-Orange,12/06/2017,W,"1,675"
499,41060,Ashland-Orange,12/18/2017,W,"1,490"
562,41060,Ashland-Orange,12/13/2017,W,"1,625"
710,41060,Ashland-Orange,12/31/2017,U,507
826,41060,Ashland-Orange,12/04/2017,W,"1,676"
975,41060,Ashland-Orange,12/02/2017,A,"1,151"
1046,41060,Ashland-Orange,12/25/2017,U,237
1151,41060,Ashland-Orange,12/15/2017,W,"1,605"
1331,41060,Ashland-Orange,12/24/2017,U,526
1696,41060,Ashland-Orange,12/05/2017,W,"1,678"
2175,41060,Ashland-Orange,12/16/2017,A,900
2199,41060,Ashland-Orange,12/19/2017,W,"1,630"
2601,41060,Ashland-Orange,12/07/2017,W,"1,641"
2654,41060,Ashland-Orange,12/23/2017,A,843
2699,41060,Ashland-Orange,12/20/2017,W,"1,621"
2920,41060,Ashland-Orange,12/12/2017,W,"1,562"
2925,41060,Ashland-Orange,12/21/2017,W,"1,597"
2975,41060,Ashland-Orange,12/27/2017,W,"1,023"
3035,41060,Ashland-Orange,12/08/2017,W,"1,624"
3096,41060,Ashland-Orange,12/03/2017,U,835
3149,41060,Ashland-Orange,12/10/2017,U,639
3420,41060,Ashland-Orange,12/26/2017,W,797
3886,41060,Ashland-Orange,12/11/2017,W,"1,535"
4289,41060,Ashland-Orange,12/22/2017,W,"1,426"
4296,41060,Ashland-Orange,12/28/2017,W,"1,068"
4391,41060,Ashland-Orange,12/29/2017,W,"1,047"
4403,41060,Ashland-Orange,12/01/2017,W,"1,752"
4829,41060,Ashland-Orange,01/12/2018,W,"1,412"
4853,41060,Ashland-Orange,03/25/2018,U,629
4932,41060,Ashland-Orange,02/05/2018,W,"1,434"
5371,41060,Ashland-Orange,01/27/2018,A,816
5576,41060,Ashland-Orange,01/03/2018,W,"1,204"
5737,41060,Ashland-Orange,03/15/2018,W,"1,634"
5901,41060,Ashland-Orange,01/16/2018,W,"1,455"
5994,41060,Ashland-Orange,01/28/2018,U,583
6194,41060,Ashland-Orange,03/03/2018,A,946
6195,41060,Ashland-Orange,02/14/2018,W,"1,659"
6238,41060,Ashland-Orange,01/17/2018,W,"1,539"
