,station_id,stationname,date,daytype,rides
13,40010,Austin-Forest Park,12/03/2017,U,641
34,40010,Austin-Forest Park,12/28/2017,W,"1,155"
108,40010,Austin-Forest Park,12/13/2017,W,"1,916"
133,40010,Austin-Forest Park,12/22/2017,W,"1,535"
164,40010,Austin-Forest Park,12/16/2017,A,828
306,40010,Austin-Forest Park,12/12/2017,W,"1,950"
384,40010,Austin-Forest Park,12/25/2017,U,339
408,40010,Austin-Forest Park,12/27/2017,W,"1,074"
546,40010,Austin-Forest Park,12/08/2017,W,"2,045"
593,40010,Austin-Forest Park,12/23/2017,A,681
605,40010,Austin-Forest Park,12/10/2017,U,555
832,40010,Austin-Forest Park,12/15/2017,W,"1,820"
1575,40010,Austin-Forest Park,12/14/2017,W,"1,977"
1725,40010,Austin-Forest Park,12/02/2017,A,942
1778,40010,Austin-Forest Park,12/06/2017,W,"2,047"
1800,40010,Austin-Forest Park,12/09/2017,A,977
1833,40010,Austin-Forest Park,12/17/2017,U,626
1908,40010,Austin-Forest Park,12/19/2017,W,"1,942"
2065,40010,Austin-Forest Park,12/01/2017,W,"2,218"
2448,40010,Austin-Forest Park,12/11/2017,W,"1,938"
2453,40010,Austin-Forest Park,12/20/2017,W,"1,823"
2471,40010,Austin-Forest Park,12/21/2017,W,"1,797"
3376,40010,Austin-Forest Park,12/05/2017,W,"2,077"
3405,40010,Austin-Forest Park,12/04/2017,W,"2,111"
3651,40010,Austin-Forest Park,12/18/2017,W,"1,841"
3739,40010,Austin-Forest Park,12/24/2017,U,501
3860,40010,Austin-Forest Park,12/31/2017,U,511
3919,40010,Austin-Forest Park,12/30/2017,A,587
3974,40010,Austin-Forest Park,12/07/2017,W,"2,015"
3988,40010,Austin-Forest Park,12/26/2017,W,885
4407,40010,Austin-Forest Park,12/29/2017,W,"1,153"
4495,40010,Austin-Forest Park,11/01/2018,W,"2,248"
4496,40010,Austin-Forest Park,11/02/2018,W,"1,983"
4497,40010,Austin-Forest Park,11/03/2018,A,837
4498,40010,Austin-Forest Park,11/04/2018,U,604
4499,40010,Austin-Forest Park,11/05/2018,W,"2,161"
4500,40010,Austin-Forest Park,11/06/2018,W,"2,021"
4501,40010,Austin-Forest Park,11/07/2018,W,"2,185"
4502,40010,Austin-Forest Park,11/08/2018,W,"2,205"
4503,40010,Austin-Forest Park,11/09/2018,W,"1,893"
4504,40010,Austin-Forest Park,11/10/2018,A,769
4505,40010,Austin-Forest Park,11/11/2018,U,591
4506,40010,Austin-Forest Park,11/12/2018,W,"1,724"
4507,40010,Austin-Forest Park,11/13/2018,W,"2,140"
4508,40010,Austin-Forest Park,11/14/2018,W,"2,147"
4509,40010,Austin-Forest Park,11/15/2018,W,"2,095"
4510,40010,Austin-Forest Park,11/16/2018,W,"2,030"
4511,40010,Austin-Forest Park,11/17/2018,A,807
4512,40010,Austin-Forest Park,11/18/2018,U,597
4513,40010,Austin-Forest Park,11/19/2018,W,"2,056"
4514,40010,Austin-Forest Park,11/20/2018,W,"2,027"
4515,40010,Austin-Forest Park,11/21/2018,W,"1,638"
4516,40010,Austin-Forest Park,11/22/2018,U,518
4517,40010,Austin-Forest Park,11/23/2018,W,921
4518,40010,Austin-Forest Park,11/24/2018,A,805
4519,40010,Austin-Forest Park,11/25/2018,U,518
4520,40010,Austin-Forest Park,11/26/2018,W,"1,742"
4521,40010,Austin-Forest Park,11/27/2018,W,"2,047"
4522,40010,Austin-Forest Park,11/28/2018,W,"2,108"
4523,40010,Austin-Forest Park,11/29/2018,W,"2,106"
4524,40010,Austin-Forest Park,11/30/2018,W,"1,968"
4601,40010,Austin-Forest Park,03/06/2018,W,"1,929"
4650,40010,Austin-Forest Park,02/04/2018,U,481
4843,40010,Austin-Forest Park,01/10/2018,W,"1,832"
4869,40010,Austin-Forest Park,03/30/2018,W,"1,418"
5157,40010,Austin-Forest Park,02/02/2018,W,"1,789"
5396,40010,Austin-Forest Park,01/13/2018,A,601
5478,40010,Austin-Forest Park,02/08/2018,W,"1,947"
5480,40010,Austin-Forest Park,01/17/2018,W,"1,939"
5528,40010,Austin-Forest Park,03/02/2018,W,"1,873"
5698,40010,Austin-Forest Park,01/29/2018,W,"1,888"
5851,40010,Austin-Forest Park,03/18/2018,U,604
6051,40010,Austin-Forest Park,03/25/2018,U,548
6177,40010,Austin-Forest Park,03/01/2018,W,"1,911"
6373,40010,Austin-Forest Park,02/17/2018,A,713
6376,40010,Austin-Forest Park,03/05/2018,W,"1,875"
6654,40010,Austin-Forest Park,02/27/2018,W,"2,039"
6754,40010,Austin-Forest Park,01/07/2018,U,450
6865,40010,Austin-Forest Park,03/04/2018,U,559
7019,40010,Austin-Forest Park,03/24/2018,A,671
7147,40010,Austin-Forest Park,03/15/2018,W,"1,946"
7296,40010,Austin-Forest Park,02/09/2018,W,"1,203"
7568,40010,Austin-Forest Park,01/31/2018,W,"1,963"
7797,40010,Austin-Forest Park,01/15/2018,W,966
8482,40010,Austin-Forest Park,01/27/2018,A,714
8576,40010,Austin-Forest Park,03/26/2018,W,"1,598"
8581,40010,Austin-Forest Park,03/11/2018,U,543
8611,40010,Austin-Forest Park,02/10/2018,A,648
8669,40010,Austin-Forest Park,01/02/2018,W,"1,187"
8908,40010,Austin-Forest Park,02/06/2018,W,"1,889"
9097,40010,Austin-Forest Park,02/18/2018,U,546
9211,40010,Austin-Forest Park,02/11/2018,U,532
9298,40010,Austin-Forest Park,01/30/2018,W,"1,941"
9445,40010,Austin-Forest Park,03/21/2018,W,"1,963"
9517,40010,Austin-Forest Park,01/08/2018,W,"1,773"
9548,40010,Austin-Forest Park,03/27/2018,W,"1,701"
9751,40010,Austin-Forest Park,01/25/2018,W,"2,047"
9765,40010,Austin-Forest Park,02/05/2018,W,"1,802"
9845,40010,Austin-Forest Park,01/05/2018,W,"1,391"
9926,40010,Austin-Forest Park,03/31/2018,A,648
10112,40010,Austin-Forest Park,03/07/2018,W,"1,997"
10135,40010,Austin-Forest Park,02/28/2018,W,"1,968"
10226,40010,Austin-Forest Park,01/01/2018,U,343
10328,40010,Austin-Forest Park,03/13/2018,W,"1,934"
10416,40010,Austin-Forest Park,01/23/2018,W,"2,027"
10583,40010,Austin-Forest Park,01/28/2018,U,522
10589,40010,Austin-Forest Park,03/29/2018,W,"1,700"
10785,40010,Austin-Forest Park,02/13/2018,W,"2,014"
11219,40010,Austin-Forest Park,01/26/2018,W,"1,882"
11274,40010,Austin-Forest Park,01/21/2018,U,511
11363,40010,Austin-Forest Park,01/14/2018,U,503
11426,40010,Austin-Forest Park,03/20/2018,W,"1,914"
11732,40010,Austin-Forest Park,02/19/2018,W,"1,392"
11815,40010,Austin-Forest Park,02/21/2018,W,"1,993"
11892,40010,Austin-Forest Park,01/11/2018,W,"1,849"
12086,40010,Austin-Forest Park,03/19/2018,W,"1,874"
12873,40010,Austin-Forest Park,01/20/2018,A,"1,018"
13055,40010,Austin-Forest Park,02/15/2018,W,"1,985"
13096,40010,Austin-Forest Park,01/04/2018,W,"1,447"
13120,40010,Austin-Forest Park,02/12/2018,W,"1,832"
13403,40010,Austin-Forest Park,02/23/2018,W,"2,033"
13446,40010,Austin-Forest Park,02/22/2018,W,"1,996"
13557,40010,Austin-Forest Park,02/24/2018,A,727
13633,40010,Austin-Forest Park,03/14/2018,W,"1,952"
13668,40010,Austin-Forest Park,03/03/2018,A,809
13808,40010,Austin-Forest Park,02/03/2018,A,694
14172,40010,Austin-Forest Park,02/14/2018,W,"2,032"
14281,40010,Austin-Forest Park,03/17/2018,A,904
14433,40010,Austin-Forest Park,01/06/2018,A,532
14837,40010,Austin-Forest Park,03/12/2018,W,"1,890"
14855,40010,Austin-Forest Park,03/28/2018,W,"1,694"
15046,40010,Austin-Forest Park,01/24/2018,W,"1,979"
15158,40010,Austin-Forest Park,01/22/2018,W,"1,985"
15205,40010,Austin-Forest Park,02/07/2018,W,"1,889"
15415,40010,Austin-Forest Park,01/19/2018,W,"1,920"
15483,40010,Austin-Forest Park,01/18/2018,W,"1,938"
15546,40010,Austin-Forest Park,02/25/2018,U,534
15666,40010,Austin-Forest Park,03/08/2018,W,"1,968"
15693,40010,Austin-Forest Park,02/16/2018,W,"1,836"
15832,40010,Austin-Forest Park,03/22/2018,W,"1,944"
15879,40010,Austin-Forest Park,01/09/2018,W,"1,808"
16268,40010,Austin-Forest Park,01/03/2018,W,"1,429"
16413,40010,Austin-Forest Park,03/16/2018,W,"1,843"
16515,40010,Austin-Forest Park,03/23/2018,W,"1,847"
16642,40010,Austin-Forest Park,02/20/2018,W,"1,912"
16860,40010,Austin-Forest Park,03/09/2018,W,"1,854"
17082,40010,Austin-Forest Park,02/26/2018,W,"1,942"
17090,40010,Austin-Forest Park,01/16/2018,W,"1,946"
17149,40010,Austin-Forest Park,03/10/2018,A,707
17423,40010,Austin-Forest Park,01/12/2018,W,"1,719"
17445,40010,Austin-Forest Park,02/01/2018,W,"1,914"
17515,40010,Austin-Forest Park,05/10/2018,W,"1,937"
17937,40010,Austin-Forest Park,04/05/2018,W,"1,999"
17981,40010,Austin-Forest Park,05/02/2018,W,"2,070"
18035,40010,Austin-Forest Park,04/07/2018,A,748
18092,40010,Austin-Forest Park,05/08/2018,W,"2,027"
18354,40010,Austin-Forest Park,06/15/2018,W,"1,906"
18358,40010,Austin-Forest Park,04/12/2018,W,"2,086"
18453,40010,Austin-Forest Park,05/05/2018,A,816
18750,40010,Austin-Forest Park,05/01/2018,W,"2,105"
18801,40010,Austin-Forest Park,05/30/2018,W,"1,934"
