,station_id,stationname,date,daytype,rides
273,41380,Bryn Mawr,12/16/2017,A,"3,333"
289,41380,Bryn Mawr,12/26/2017,W,"2,249"
348,41380,Bryn Mawr,12/04/2017,W,"4,714"
402,41380,Bryn Mawr,12/14/2017,W,"4,732"
612,41380,Bryn Mawr,12/31/2017,U,"2,201"
747,41380,Bryn Mawr,12/06/2017,W,"4,775"
838,41380,Bryn Mawr,12/07/2017,W,"4,746"
964,41380,Bryn Mawr,12/09/2017,A,"3,075"
1123,41380,Bryn Mawr,12/25/2017,U,"1,024"
1304,41380,Bryn Mawr,12/24/2017,U,"1,705"
1625,41380,Bryn Mawr,12/11/2017,W,"4,492"
1992,41380,Bryn Mawr,12/18/2017,W,"4,222"
2228,41380,Bryn Mawr,12/17/2017,U,"2,368"
2263,41380,Bryn Mawr,12/19/2017,W,"4,509"
2572,41380,Bryn Mawr,12/10/2017,U,"2,303"
2714,41380,Bryn Mawr,12/22/2017,W,"3,896"
2926,41380,Bryn Mawr,12/03/2017,U,"2,533"
3068,41380,Bryn Mawr,12/13/2017,W,"4,640"
3216,41380,Bryn Mawr,12/15/2017,W,"4,680"
3294,41380,Bryn Mawr,12/02/2017,A,"3,358"
3453,41380,Bryn Mawr,12/29/2017,W,"3,309"
3474,41380,Bryn Mawr,12/08/2017,W,"4,824"
3484,41380,Bryn Mawr,12/12/2017,W,"4,678"
3653,41380,Bryn Mawr,12/20/2017,W,"4,377"
3656,41380,Bryn Mawr,12/21/2017,W,"4,229"
3696,41380,Bryn Mawr,12/23/2017,A,"2,441"
3701,41380,Bryn Mawr,12/30/2017,A,"2,201"
3980,41380,Bryn Mawr,12/28/2017,W,"3,109"
3999,41380,Bryn Mawr,12/01/2017,W,"5,164"
4196,41380,Bryn Mawr,12/05/2017,W,"4,749"
4220,41380,Bryn Mawr,12/27/2017,W,"2,787"
4578,41380,Bryn Mawr,03/16/2018,W,"4,690"
4647,41380,Bryn Mawr,03/23/2018,W,"4,520"
4955,41380,Bryn Mawr,01/12/2018,W,"2,795"
5045,41380,Bryn Mawr,02/15/2018,W,"4,867"
5104,41380,Bryn Mawr,02/11/2018,U,"2,162"
5403,41380,Bryn Mawr,02/27/2018,W,"4,799"
5539,41380,Bryn Mawr,01/15/2018,W,"2,957"
5687,41380,Bryn Mawr,02/21/2018,W,"4,737"
5752,41380,Bryn Mawr,01/02/2018,W,"3,422"
5881,41380,Bryn Mawr,03/13/2018,W,"4,721"
5965,41380,Bryn Mawr,01/21/2018,U,"2,266"
5986,41380,Bryn Mawr,01/19/2018,W,"4,517"
6108,41380,Bryn Mawr,01/03/2018,W,"3,867"
6163,41380,Bryn Mawr,01/30/2018,W,"4,690"
6570,41380,Bryn Mawr,03/08/2018,W,"4,637"
6864,41380,Bryn Mawr,02/12/2018,W,"4,526"
6899,41380,Bryn Mawr,02/07/2018,W,"4,601"
7001,41380,Bryn Mawr,03/25/2018,U,"2,355"
7051,41380,Bryn Mawr,03/12/2018,W,"4,418"
7064,41380,Bryn Mawr,02/20/2018,W,"4,584"
7471,41380,Bryn Mawr,01/24/2018,W,"4,654"
7825,41380,Bryn Mawr,02/28/2018,W,"4,693"
7878,41380,Bryn Mawr,02/01/2018,W,"4,734"
8004,41380,Bryn Mawr,02/14/2018,W,"4,745"
8219,41380,Bryn Mawr,03/01/2018,W,"4,744"
8346,41380,Bryn Mawr,03/11/2018,U,"2,285"
8375,41380,Bryn Mawr,01/28/2018,U,"2,360"
8437,41380,Bryn Mawr,03/07/2018,W,"4,644"
8553,41380,Bryn Mawr,03/19/2018,W,"4,446"
8562,41380,Bryn Mawr,02/02/2018,W,"4,350"
8687,41380,Bryn Mawr,02/10/2018,A,"2,854"
8765,41380,Bryn Mawr,01/10/2018,W,"4,442"
8942,41380,Bryn Mawr,01/27/2018,A,"3,066"
8982,41380,Bryn Mawr,02/09/2018,W,"3,537"
9023,41380,Bryn Mawr,03/31/2018,A,"2,777"
9156,41380,Bryn Mawr,02/18/2018,U,"2,280"
9178,41380,Bryn Mawr,03/02/2018,W,"4,874"
9348,41380,Bryn Mawr,01/23/2018,W,"4,751"
9763,41380,Bryn Mawr,01/13/2018,A,"2,632"
9967,41380,Bryn Mawr,03/28/2018,W,"4,323"
10199,41380,Bryn Mawr,01/05/2018,W,"3,824"
10220,41380,Bryn Mawr,01/09/2018,W,"4,395"
10356,41380,Bryn Mawr,01/29/2018,W,"4,403"
10487,41380,Bryn Mawr,01/01/2018,U,"1,475"
10670,41380,Bryn Mawr,01/17/2018,W,"4,624"
10744,41380,Bryn Mawr,03/24/2018,A,"2,911"
10807,41380,Bryn Mawr,01/06/2018,A,"2,440"
10985,41380,Bryn Mawr,02/03/2018,A,"2,888"
11006,41380,Bryn Mawr,03/17/2018,A,"3,866"
11031,41380,Bryn Mawr,03/20/2018,W,"4,676"
11066,41380,Bryn Mawr,01/08/2018,W,"4,205"
11252,41380,Bryn Mawr,03/03/2018,A,"3,093"
11471,41380,Bryn Mawr,02/08/2018,W,"4,598"
11603,41380,Bryn Mawr,02/13/2018,W,"4,727"
11963,41380,Bryn Mawr,03/21/2018,W,"4,627"
11990,41380,Bryn Mawr,01/31/2018,W,"4,771"
12089,41380,Bryn Mawr,03/22/2018,W,"4,661"
12093,41380,Bryn Mawr,01/11/2018,W,"4,464"
12119,41380,Bryn Mawr,02/16/2018,W,"4,536"
12366,41380,Bryn Mawr,03/09/2018,W,"4,582"
12637,41380,Bryn Mawr,01/18/2018,W,"4,713"
12662,41380,Bryn Mawr,03/04/2018,U,"2,281"
12832,41380,Bryn Mawr,02/05/2018,W,"4,255"
13174,41380,Bryn Mawr,03/06/2018,W,"4,647"
13330,41380,Bryn Mawr,02/25/2018,U,"2,396"
13658,41380,Bryn Mawr,01/20/2018,A,"3,395"
13698,41380,Bryn Mawr,01/07/2018,U,"2,052"
13699,41380,Bryn Mawr,03/29/2018,W,"4,355"
13870,41380,Bryn Mawr,03/15/2018,W,"4,840"
13940,41380,Bryn Mawr,01/16/2018,W,"4,673"
14140,41380,Bryn Mawr,02/17/2018,A,"2,969"
14277,41380,Bryn Mawr,02/24/2018,A,"3,073"
14517,41380,Bryn Mawr,02/04/2018,U,"2,011"
14738,41380,Bryn Mawr,02/22/2018,W,"4,739"
14800,41380,Bryn Mawr,01/25/2018,W,"4,776"
14809,41380,Bryn Mawr,03/05/2018,W,"4,356"
15315,41380,Bryn Mawr,02/23/2018,W,"4,644"
15340,41380,Bryn Mawr,03/27/2018,W,"4,319"
15411,41380,Bryn Mawr,01/22/2018,W,"4,479"
15506,41380,Bryn Mawr,03/30/2018,W,"3,946"
15637,41380,Bryn Mawr,02/19/2018,W,"3,421"
15784,41380,Bryn Mawr,03/18/2018,U,"2,394"
15834,41380,Bryn Mawr,03/10/2018,A,"3,152"
15970,41380,Bryn Mawr,01/14/2018,U,"2,118"
16021,41380,Bryn Mawr,02/06/2018,W,"4,570"
16207,41380,Bryn Mawr,01/04/2018,W,"3,851"
16282,41380,Bryn Mawr,02/26/2018,W,"4,551"
16468,41380,Bryn Mawr,03/14/2018,W,"4,774"
