,station_id,stationname,date,daytype,rides
321,41360,California-Lake,12/07/2017,W,991
370,41360,California-Lake,12/16/2017,A,527
424,41360,California-Lake,12/26/2017,W,499
595,41360,California-Lake,12/29/2017,W,737
708,41360,California-Lake,12/08/2017,W,953
731,41360,California-Lake,12/20/2017,W,962
1130,41360,California-Lake,12/11/2017,W,"1,007"
1191,41360,California-Lake,12/25/2017,U,264
1363,41360,California-Lake,12/09/2017,A,478
1477,41360,California-Lake,12/04/2017,W,"1,095"
1547,41360,California-Lake,12/23/2017,A,468
1556,41360,California-Lake,12/10/2017,U,365
1581,41360,California-Lake,12/14/2017,W,"1,006"
1605,41360,California-Lake,12/03/2017,U,438
1740,41360,California-Lake,12/28/2017,W,659
1856,41360,California-Lake,12/31/2017,U,311
2382,41360,California-Lake,12/22/2017,W,887
2454,41360,California-Lake,12/02/2017,A,573
2493,41360,California-Lake,12/17/2017,U,372
2582,41360,California-Lake,12/18/2017,W,"1,005"
2788,41360,California-Lake,12/01/2017,W,"1,104"
2894,41360,California-Lake,12/12/2017,W,"1,006"
3044,41360,California-Lake,12/13/2017,W,956
3163,41360,California-Lake,12/30/2017,A,413
3176,41360,California-Lake,12/15/2017,W,"1,001"
3272,41360,California-Lake,12/19/2017,W,"1,023"
3539,41360,California-Lake,12/06/2017,W,"1,073"
3608,41360,California-Lake,12/27/2017,W,632
3699,41360,California-Lake,12/21/2017,W,943
3853,41360,California-Lake,12/24/2017,U,316
4279,41360,California-Lake,12/05/2017,W,"1,041"
4649,41360,California-Lake,02/08/2018,W,953
4864,41360,California-Lake,03/19/2018,W,952
4930,41360,California-Lake,01/19/2018,W,949
4976,41360,California-Lake,02/09/2018,W,593
5143,41360,California-Lake,01/25/2018,W,"1,043"
5145,41360,California-Lake,01/11/2018,W,977
5195,41360,California-Lake,03/24/2018,A,558
5310,41360,California-Lake,01/12/2018,W,874
5366,41360,California-Lake,01/06/2018,A,426
5421,41360,California-Lake,01/26/2018,W,975
5476,41360,California-Lake,02/15/2018,W,"1,020"
5656,41360,California-Lake,01/09/2018,W,"1,023"
5896,41360,California-Lake,02/27/2018,W,"1,074"
5980,41360,California-Lake,01/03/2018,W,762
6346,41360,California-Lake,02/24/2018,A,537
6394,41360,California-Lake,03/31/2018,A,475
6609,41360,California-Lake,03/28/2018,W,883
6773,41360,California-Lake,02/13/2018,W,"1,117"
7061,41360,California-Lake,01/02/2018,W,650
7066,41360,California-Lake,02/26/2018,W,"1,035"
7218,41360,California-Lake,01/17/2018,W,960
7287,41360,California-Lake,01/16/2018,W,916
7417,41360,California-Lake,02/12/2018,W,859
7474,41360,California-Lake,03/04/2018,U,421
7499,41360,California-Lake,01/28/2018,U,369
7715,41360,California-Lake,03/29/2018,W,853
7960,41360,California-Lake,01/24/2018,W,"1,035"
8097,41360,California-Lake,01/14/2018,U,338
8178,41360,California-Lake,02/16/2018,W,"1,008"
8236,41360,California-Lake,02/01/2018,W,963
8249,41360,California-Lake,02/03/2018,A,474
8358,41360,California-Lake,03/05/2018,W,958
8542,41360,California-Lake,03/01/2018,W,986
8606,41360,California-Lake,02/21/2018,W,"1,031"
8697,41360,California-Lake,02/02/2018,W,859
8728,41360,California-Lake,03/26/2018,W,851
9000,41360,California-Lake,03/08/2018,W,995
9406,41360,California-Lake,03/22/2018,W,947
9622,41360,California-Lake,03/07/2018,W,951
9738,41360,California-Lake,02/28/2018,W,"1,078"
9843,41360,California-Lake,02/23/2018,W,"1,049"
9849,41360,California-Lake,01/15/2018,W,490
10022,41360,California-Lake,02/14/2018,W,"1,066"
10126,41360,California-Lake,02/22/2018,W,"1,019"
10418,41360,California-Lake,02/11/2018,U,289
10470,41360,California-Lake,02/06/2018,W,951
10635,41360,California-Lake,03/13/2018,W,"1,005"
10861,41360,California-Lake,01/29/2018,W,986
11055,41360,California-Lake,03/03/2018,A,540
11235,41360,California-Lake,01/07/2018,U,318
11481,41360,California-Lake,03/12/2018,W,956
11529,41360,California-Lake,02/19/2018,W,672
11747,41360,California-Lake,03/23/2018,W,960
11789,41360,California-Lake,03/20/2018,W,916
11984,41360,California-Lake,03/25/2018,U,365
12209,41360,California-Lake,01/10/2018,W,"1,052"
12287,41360,California-Lake,01/04/2018,W,758
12709,41360,California-Lake,02/25/2018,U,393
12888,41360,California-Lake,03/06/2018,W,"1,020"
13042,41360,California-Lake,01/05/2018,W,777
13105,41360,California-Lake,02/07/2018,W,986
13256,41360,California-Lake,03/18/2018,U,436
13289,41360,California-Lake,02/18/2018,U,421
13778,41360,California-Lake,02/20/2018,W,981
14096,41360,California-Lake,03/10/2018,A,524
14207,41360,California-Lake,01/08/2018,W,948
14383,41360,California-Lake,01/21/2018,U,385
14413,41360,California-Lake,01/20/2018,A,560
14441,41360,California-Lake,03/09/2018,W,967
14657,41360,California-Lake,01/01/2018,U,208
14866,41360,California-Lake,02/05/2018,W,869
14873,41360,California-Lake,01/27/2018,A,544
14908,41360,California-Lake,01/18/2018,W,892
15195,41360,California-Lake,03/15/2018,W,973
15229,41360,California-Lake,01/31/2018,W,978
15277,41360,California-Lake,03/30/2018,W,791
15325,41360,California-Lake,03/14/2018,W,983
15767,41360,California-Lake,01/22/2018,W,964
15887,41360,California-Lake,01/23/2018,W,997
15898,41360,California-Lake,02/17/2018,A,521
15988,41360,California-Lake,03/21/2018,W,979
16117,41360,California-Lake,02/04/2018,U,324
16276,41360,California-Lake,01/30/2018,W,997
16304,41360,California-Lake,03/16/2018,W,959
16367,41360,California-Lake,03/27/2018,W,864
16412,41360,California-Lake,01/13/2018,A,456
16470,41360,California-Lake,02/10/2018,A,402
16544,41360,California-Lake,03/11/2018,U,406
16742,41360,California-Lake,03/02/2018,W,"1,067"
16851,41360,California-Lake,03/17/2018,A,621
17538,41360,California-Lake,04/07/2018,A,582
17672,41360,California-Lake,06/03/2018,U,473
17685,41360,California-Lake,06/19/2018,W,"1,084"
17686,41360,California-Lake,04/30/2018,W,"1,053"
17730,41360,California-Lake,04/22/2018,U,421
17919,41360,California-Lake,05/20/2018,U,404
17972,41360,California-Lake,05/18/2018,W,"1,052"
17987,41360,California-Lake,04/08/2018,U,414
18102,41360,California-Lake,05/25/2018,W,"1,049"
18361,41360,California-Lake,06/02/2018,A,607
18594,41360,California-Lake,06/15/2018,W,"1,063"
18622,41360,California-Lake,04/18/2018,W,913
18944,41360,California-Lake,06/22/2018,W,938
19148,41360,California-Lake,04/28/2018,A,552
19184,41360,California-Lake,06/04/2018,W,"1,134"
19612,41360,California-Lake,05/12/2018,A,489
19667,41360,California-Lake,05/27/2018,U,438
19761,41360,California-Lake,04/05/2018,W,"1,014"
19941,41360,California-Lake,05/01/2018,W,"1,110"
19957,41360,California-Lake,05/14/2018,W,932
20158,41360,California-Lake,06/18/2018,W,"1,012"
20172,41360,California-Lake,05/11/2018,W,978
20209,41360,California-Lake,06/26/2018,W,"1,072"
20294,41360,California-Lake,06/30/2018,A,563
20364,41360,California-Lake,06/08/2018,W,"1,053"
20368,41360,California-Lake,04/14/2018,A,440
20378,41360,California-Lake,04/04/2018,W,"1,041"
20523,41360,California-Lake,06/13/2018,W,"1,150"
20802,41360,California-Lake,04/19/2018,W,"1,012"
21597,41360,California-Lake,04/12/2018,W,"1,047"
21657,41360,California-Lake,05/03/2018,W,"1,030"
21676,41360,California-Lake,06/12/2018,W,"1,118"
21886,41360,California-Lake,04/21/2018,A,524
22011,41360,California-Lake,05/09/2018,W,"1,058"
22020,41360,California-Lake,04/26/2018,W,"1,025"
22295,41360,California-Lake,06/23/2018,A,593
22495,41360,California-Lake,05/21/2018,W,905
22601,41360,California-Lake,05/29/2018,W,"1,052"
22745,41360,California-Lake,04/03/2018,W,965
22956,41360,California-Lake,05/15/2018,W,"1,073"
23229,41360,California-Lake,06/25/2018,W,"1,056"
23346,41360,California-Lake,06/20/2018,W,"1,069"
23463,41360,California-Lake,05/04/2018,W,"1,034"
23468,41360,California-Lake,06/16/2018,A,584
23684,41360,California-Lake,06/09/2018,A,617
23780,41360,California-Lake,06/29/2018,W,"1,040"
24118,41360,California-Lake,04/02/2018,W,903
24161,41360,California-Lake,06/28/2018,W,"1,065"
24259,41360,California-Lake,04/15/2018,U,418
24335,41360,California-Lake,04/17/2018,W,"1,049"
24419,41360,California-Lake,05/16/2018,W,"1,072"
24477,41360,California-Lake,06/27/2018,W,"1,053"
24832,41360,California-Lake,05/24/2018,W,"1,108"
24869,41360,California-Lake,06/01/2018,W,"1,106"
24889,41360,California-Lake,04/29/2018,U,411
25065,41360,California-Lake,04/25/2018,W,"1,018"
25189,41360,California-Lake,05/19/2018,A,546
25373,41360,California-Lake,05/30/2018,W,"1,066"
25458,41360,California-Lake,06/24/2018,U,529
25471,41360,California-Lake,06/21/2018,W,898
25747,41360,California-Lake,04/16/2018,W,909
25755,41360,California-Lake,04/09/2018,W,939
25856,41360,California-Lake,06/07/2018,W,"1,175"
26421,41360,California-Lake,05/26/2018,A,624
26504,41360,California-Lake,05/13/2018,U,422
26552,41360,California-Lake,04/13/2018,W,931
26636,41360,California-Lake,05/08/2018,W,"1,134"
26897,41360,California-Lake,04/23/2018,W,953
26958,41360,California-Lake,06/17/2018,U,412
27106,41360,California-Lake,05/31/2018,W,"1,093"
27461,41360,California-Lake,05/10/2018,W,"1,098"
28092,41360,California-Lake,05/02/2018,W,"1,076"
28474,41360,California-Lake,04/06/2018,W,997
28499,41360,California-Lake,05/28/2018,U,458
28510,41360,California-Lake,04/20/2018,W,981
28618,41360,California-Lake,04/11/2018,W,"1,039"
28642,41360,California-Lake,06/11/2018,W,992
28903,41360,California-Lake,05/06/2018,U,438
28909,41360,California-Lake,06/05/2018,W,"1,146"
28987,41360,California-Lake,05/17/2018,W,"1,034"
29066,41360,California-Lake,06/06/2018,W,"1,193"
29396,41360,California-Lake,04/01/2018,U,353
29469,41360,California-Lake,06/14/2018,W,"1,125"
29668,41360,California-Lake,05/23/2018,W,"1,005"
29742,41360,California-Lake,05/05/2018,A,585
29815,41360,California-Lake,04/27/2018,W,"1,158"
30115,41360,California-Lake,05/07/2018,W,"1,061"
30175,41360,California-Lake,05/22/2018,W,"1,088"
30223,41360,California-Lake,06/10/2018,U,421
30273,41360,California-Lake,04/10/2018,W,990
30417,41360,California-Lake,04/24/2018,W,"1,028"
34535,41360,California-Lake,07/01/2018,U,411
34536,41360,California-Lake,07/02/2018,W,"1,016"
34537,41360,California-Lake,07/03/2018,W,"1,069"
34538,41360,California-Lake,07/04/2018,U,521
34539,41360,California-Lake,07/05/2018,W,914
34540,41360,California-Lake,07/06/2018,W,"1,041"
34541,41360,California-Lake,07/07/2018,A,588
34542,41360,California-Lake,07/08/2018,U,459
34543,41360,California-Lake,07/09/2018,W,"1,071"
34544,41360,California-Lake,07/10/2018,W,"1,162"
34545,41360,California-Lake,07/11/2018,W,"1,258"
34546,41360,California-Lake,07/12/2018,W,"1,149"
34547,41360,California-Lake,07/13/2018,W,"1,059"
34548,41360,California-Lake,07/14/2018,A,524
34549,41360,California-Lake,07/15/2018,U,498
34550,41360,California-Lake,07/16/2018,W,"1,024"
34551,41360,California-Lake,07/17/2018,W,"1,168"
34552,41360,California-Lake,07/18/2018,W,"1,145"
34553,41360,California-Lake,07/19/2018,W,"1,069"
34554,41360,California-Lake,07/20/2018,W,"1,091"
34555,41360,California-Lake,07/21/2018,A,575
34556,41360,California-Lake,07/22/2018,U,467
34557,41360,California-Lake,07/23/2018,W,"1,064"
34558,41360,California-Lake,07/24/2018,W,"1,155"
34559,41360,California-Lake,07/25/2018,W,"1,110"
34560,41360,California-Lake,07/26/2018,W,"1,130"
34561,41360,California-Lake,07/27/2018,W,"1,093"
34562,41360,California-Lake,07/28/2018,A,600
34563,41360,California-Lake,07/29/2018,U,459
34564,41360,California-Lake,07/30/2018,W,"1,085"
34565,41360,California-Lake,07/31/2018,W,"1,120"
39009,41360,California-Lake,08/01/2018,W,"1,145"
39010,41360,California-Lake,08/02/2018,W,"1,172"
39011,41360,California-Lake,08/03/2018,W,"1,102"
39012,41360,California-Lake,08/04/2018,A,585
39013,41360,California-Lake,08/05/2018,U,509
39014,41360,California-Lake,08/06/2018,W,"1,021"
39015,41360,California-Lake,08/07/2018,W,"1,132"
39016,41360,California-Lake,08/08/2018,W,"1,139"
39017,41360,California-Lake,08/09/2018,W,"1,101"
39018,41360,California-Lake,08/10/2018,W,"1,033"
39019,41360,California-Lake,08/11/2018,A,633
39020,41360,California-Lake,08/12/2018,U,472
39021,41360,California-Lake,08/13/2018,W,"1,024"
39022,41360,California-Lake,08/14/2018,W,"1,104"
39023,41360,California-Lake,08/15/2018,W,"1,103"
39024,41360,California-Lake,08/16/2018,W,"1,117"
39025,41360,California-Lake,08/17/2018,W,"1,008"
39026,41360,California-Lake,08/18/2018,A,647
39027,41360,California-Lake,08/19/2018,U,497
39028,41360,California-Lake,08/20/2018,W,"1,082"
39029,41360,California-Lake,08/21/2018,W,"1,041"
39030,41360,California-Lake,08/22/2018,W,"1,136"
39031,41360,California-Lake,08/23/2018,W,"1,118"
39032,41360,California-Lake,08/24/2018,W,978
39033,41360,California-Lake,08/25/2018,A,589
39034,41360,California-Lake,08/26/2018,U,434
39035,41360,California-Lake,08/27/2018,W,"1,109"
39036,41360,California-Lake,08/28/2018,W,"1,109"
39037,41360,California-Lake,08/29/2018,W,"1,128"
39038,41360,California-Lake,08/30/2018,W,"1,117"
39039,41360,California-Lake,08/31/2018,W,"1,109"
43347,41360,California-Lake,09/01/2018,A,516
43348,41360,California-Lake,09/02/2018,U,450
43349,41360,California-Lake,09/03/2018,U,391
43350,41360,California-Lake,09/04/2018,W,"1,150"
43351,41360,California-Lake,09/05/2018,W,"1,229"
43352,41360,California-Lake,09/06/2018,W,"1,098"
43353,41360,California-Lake,09/07/2018,W,"1,135"
43354,41360,California-Lake,09/08/2018,A,584
43355,41360,California-Lake,09/09/2018,U,467
43356,41360,California-Lake,09/10/2018,W,"1,186"
43357,41360,California-Lake,09/11/2018,W,"1,234"
43358,41360,California-Lake,09/12/2018,W,"1,229"
43359,41360,California-Lake,09/13/2018,W,"1,167"
43360,41360,California-Lake,09/14/2018,W,"1,147"
43361,41360,California-Lake,09/15/2018,A,629
43362,41360,California-Lake,09/16/2018,U,480
43363,41360,California-Lake,09/17/2018,W,"1,204"
43364,41360,California-Lake,09/18/2018,W,"1,200"
43365,41360,California-Lake,09/19/2018,W,"1,192"
43366,41360,California-Lake,09/20/2018,W,"1,200"
43367,41360,California-Lake,09/21/2018,W,"1,197"
43368,41360,California-Lake,09/22/2018,A,594
43369,41360,California-Lake,09/23/2018,U,446
43370,41360,California-Lake,09/24/2018,W,"1,190"
43371,41360,California-Lake,09/25/2018,W,"1,203"
43372,41360,California-Lake,09/26/2018,W,"1,222"
43373,41360,California-Lake,09/27/2018,W,"1,247"
43374,41360,California-Lake,09/28/2018,W,"1,130"
43375,41360,California-Lake,09/29/2018,A,546
43376,41360,California-Lake,09/30/2018,U,434
47807,41360,California-Lake,10/01/2018,W,"1,198"
47808,41360,California-Lake,10/02/2018,W,"1,196"
47809,41360,California-Lake,10/03/2018,W,"1,252"
47810,41360,California-Lake,10/04/2018,W,"1,189"
47811,41360,California-Lake,10/05/2018,W,"1,120"
47812,41360,California-Lake,10/06/2018,A,544
47813,41360,California-Lake,10/07/2018,U,447
47814,41360,California-Lake,10/08/2018,W,931
47815,41360,California-Lake,10/09/2018,W,"1,197"
47816,41360,California-Lake,10/10/2018,W,"1,164"
47817,41360,California-Lake,10/11/2018,W,"1,150"
47818,41360,California-Lake,10/12/2018,W,"1,056"
47819,41360,California-Lake,10/13/2018,A,561
47820,41360,California-Lake,10/14/2018,U,467
47821,41360,California-Lake,10/15/2018,W,"1,193"
47822,41360,California-Lake,10/16/2018,W,"1,212"
47823,41360,California-Lake,10/17/2018,W,"1,201"
47824,41360,California-Lake,10/18/2018,W,"1,202"
47825,41360,California-Lake,10/19/2018,W,"1,108"
47826,41360,California-Lake,10/20/2018,A,536
47827,41360,California-Lake,10/21/2018,U,387
47828,41360,California-Lake,10/22/2018,W,"1,149"
47829,41360,California-Lake,10/23/2018,W,"1,208"
47830,41360,California-Lake,10/24/2018,W,"1,139"
47831,41360,California-Lake,10/25/2018,W,"1,149"
47832,41360,California-Lake,10/26/2018,W,"1,074"
47833,41360,California-Lake,10/27/2018,A,502
47834,41360,California-Lake,10/28/2018,U,396
47835,41360,California-Lake,10/29/2018,W,"1,059"
47836,41360,California-Lake,10/30/2018,W,"1,163"
47837,41360,California-Lake,10/31/2018,W,"1,141"
52058,41360,California-Lake,11/01/2018,W,"1,138"
52059,41360,California-Lake,11/02/2018,W,"1,049"
52060,41360,California-Lake,11/03/2018,A,546
52061,41360,California-Lake,11/04/2018,U,391
52062,41360,California-Lake,11/05/2018,W,"1,144"
52063,41360,California-Lake,11/06/2018,W,"1,172"
52064,41360,California-Lake,11/07/2018,W,"1,199"
52065,41360,California-Lake,11/08/2018,W,"1,161"
52066,41360,California-Lake,11/09/2018,W,"1,067"
52067,41360,California-Lake,11/10/2018,A,521
52068,41360,California-Lake,11/11/2018,U,375
52069,41360,California-Lake,11/12/2018,W,843
52070,41360,California-Lake,11/13/2018,W,"1,197"
52071,41360,California-Lake,11/14/2018,W,"1,134"
52072,41360,California-Lake,11/15/2018,W,"1,169"
52073,41360,California-Lake,11/16/2018,W,"1,178"
52074,41360,California-Lake,11/17/2018,A,544
52075,41360,California-Lake,11/18/2018,U,407
52076,41360,California-Lake,11/19/2018,W,"1,122"
52077,41360,California-Lake,11/20/2018,W,"1,158"
52078,41360,California-Lake,11/21/2018,W,937
52079,41360,California-Lake,11/22/2018,U,300
52080,41360,California-Lake,11/23/2018,W,543
52081,41360,California-Lake,11/24/2018,A,488
52082,41360,California-Lake,11/25/2018,U,358
52083,41360,California-Lake,11/26/2018,W,969
52084,41360,California-Lake,11/27/2018,W,"1,103"
52085,41360,California-Lake,11/28/2018,W,"1,122"
52086,41360,California-Lake,11/29/2018,W,"1,172"
52087,41360,California-Lake,11/30/2018,W,"1,095"
56528,41360,California-Lake,12/01/2018,A,434
56529,41360,California-Lake,12/02/2018,U,378
56530,41360,California-Lake,12/03/2018,W,"1,115"
56531,41360,California-Lake,12/04/2018,W,"1,112"
56532,41360,California-Lake,12/05/2018,W,"1,069"
56533,41360,California-Lake,12/06/2018,W,"1,109"
56534,41360,California-Lake,12/07/2018,W,"1,061"
56535,41360,California-Lake,12/08/2018,A,531
56536,41360,California-Lake,12/09/2018,U,394
56537,41360,California-Lake,12/10/2018,W,"1,122"
56538,41360,California-Lake,12/11/2018,W,"1,097"
56539,41360,California-Lake,12/12/2018,W,"1,080"
56540,41360,California-Lake,12/13/2018,W,"1,114"
56541,41360,California-Lake,12/14/2018,W,"1,088"
56542,41360,California-Lake,12/15/2018,A,538
56543,41360,California-Lake,12/16/2018,U,417
56544,41360,California-Lake,12/17/2018,W,"1,023"
56545,41360,California-Lake,12/18/2018,W,"1,121"
56546,41360,California-Lake,12/19/2018,W,"1,108"
56547,41360,California-Lake,12/20/2018,W,"1,085"
56548,41360,California-Lake,12/21/2018,W,955
56549,41360,California-Lake,12/22/2018,A,523
56550,41360,California-Lake,12/23/2018,U,337
56551,41360,California-Lake,12/24/2018,W,584
56552,41360,California-Lake,12/25/2018,U,291
56553,41360,California-Lake,12/26/2018,W,788
56554,41360,California-Lake,12/27/2018,W,775
56555,41360,California-Lake,12/28/2018,W,849
56556,41360,California-Lake,12/29/2018,A,414
56557,41360,California-Lake,12/30/2018,U,363
56558,41360,California-Lake,12/31/2018,W,634
61005,41360,California-Lake,01/01/2019,U,309
61006,41360,California-Lake,01/02/2019,W,803
61007,41360,California-Lake,01/03/2019,W,952
61008,41360,California-Lake,01/04/2019,W,916
61009,41360,California-Lake,01/05/2019,A,498
61010,41360,California-Lake,01/06/2019,U,370
61011,41360,California-Lake,01/07/2019,W,"1,018"
61012,41360,California-Lake,01/08/2019,W,"1,048"
61013,41360,California-Lake,01/09/2019,W,"1,030"
61014,41360,California-Lake,01/10/2019,W,"1,106"
61015,41360,California-Lake,01/11/2019,W,"1,065"
61016,41360,California-Lake,01/12/2019,A,447
61017,41360,California-Lake,01/13/2019,U,361
61018,41360,California-Lake,01/14/2019,W,990
61019,41360,California-Lake,01/15/2019,W,"1,103"
61020,41360,California-Lake,01/16/2019,W,"1,055"
61021,41360,California-Lake,01/17/2019,W,"1,066"
61022,41360,California-Lake,01/18/2019,W,"1,029"
61023,41360,California-Lake,01/19/2019,A,358
61024,41360,California-Lake,01/20/2019,U,287
61025,41360,California-Lake,01/21/2019,W,526
61026,41360,California-Lake,01/22/2019,W,"1,033"
61027,41360,California-Lake,01/23/2019,W,"1,025"
61028,41360,California-Lake,01/24/2019,W,999
61029,41360,California-Lake,01/25/2019,W,791
61030,41360,California-Lake,01/26/2019,A,374
61031,41360,California-Lake,01/27/2019,U,272
61032,41360,California-Lake,01/28/2019,W,906
61033,41360,California-Lake,01/29/2019,W,787
61034,41360,California-Lake,01/30/2019,W,157
61035,41360,California-Lake,01/31/2019,W,387
65077,41360,California-Lake,02/01/2019,W,889
65078,41360,California-Lake,02/02/2019,A,489
65079,41360,California-Lake,02/03/2019,U,321
65080,41360,California-Lake,02/04/2019,W,"1,039"
65081,41360,California-Lake,02/05/2019,W,"1,031"
65082,41360,California-Lake,02/06/2019,W,"1,070"
65083,41360,California-Lake,02/07/2019,W,"1,046"
65084,41360,California-Lake,02/08/2019,W,908
65085,41360,California-Lake,02/09/2019,A,394
65086,41360,California-Lake,02/10/2019,U,351
65087,41360,California-Lake,02/11/2019,W,"1,000"
65088,41360,California-Lake,02/12/2019,W,920
65089,41360,California-Lake,02/13/2019,W,"1,048"
65090,41360,California-Lake,02/14/2019,W,999
65091,41360,California-Lake,02/15/2019,W,974
65092,41360,California-Lake,02/16/2019,A,467
65093,41360,California-Lake,02/17/2019,U,319
65094,41360,California-Lake,02/18/2019,W,638
65095,41360,California-Lake,02/19/2019,W,"1,064"
65096,41360,California-Lake,02/20/2019,W,"1,057"
65097,41360,California-Lake,02/21/2019,W,986
65098,41360,California-Lake,02/22/2019,W,953
65099,41360,California-Lake,02/23/2019,A,410
65100,41360,California-Lake,02/24/2019,U,310
65101,41360,California-Lake,02/25/2019,W,965
65102,41360,California-Lake,02/26/2019,W,"1,001"
65103,41360,California-Lake,02/27/2019,W,969
65104,41360,California-Lake,02/28/2019,W,986
69456,41360,California-Lake,03/01/2019,W,"1,011"
69457,41360,California-Lake,03/02/2019,A,455
69458,41360,California-Lake,03/03/2019,U,308
69459,41360,California-Lake,03/04/2019,W,868
69460,41360,California-Lake,03/05/2019,W,902
69461,41360,California-Lake,03/06/2019,W,"1,041"
69462,41360,California-Lake,03/07/2019,W,"1,016"
69463,41360,California-Lake,03/08/2019,W,927
69464,41360,California-Lake,03/09/2019,A,451
69465,41360,California-Lake,03/10/2019,U,294
69466,41360,California-Lake,03/11/2019,W,995
69467,41360,California-Lake,03/12/2019,W,"1,047"
69468,41360,California-Lake,03/13/2019,W,"1,082"
69469,41360,California-Lake,03/14/2019,W,"1,026"
69470,41360,California-Lake,03/15/2019,W,957
69471,41360,California-Lake,03/16/2019,A,564
69472,41360,California-Lake,03/17/2019,U,397
69473,41360,California-Lake,03/18/2019,W,"1,077"
69474,41360,California-Lake,03/19/2019,W,"1,105"
69475,41360,California-Lake,03/20/2019,W,"1,080"
69476,41360,California-Lake,03/21/2019,W,"1,051"
69477,41360,California-Lake,03/22/2019,W,"1,027"
69478,41360,California-Lake,03/23/2019,A,536
69479,41360,California-Lake,03/24/2019,U,371
69480,41360,California-Lake,03/25/2019,W,"1,012"
69481,41360,California-Lake,03/26/2019,W,"1,100"
69482,41360,California-Lake,03/27/2019,W,"1,074"
69483,41360,California-Lake,03/28/2019,W,992
69484,41360,California-Lake,03/29/2019,W,"1,019"
69485,41360,California-Lake,03/30/2019,A,439
69486,41360,California-Lake,03/31/2019,U,342
73827,41360,California-Lake,04/01/2019,W,"1,090"
73828,41360,California-Lake,04/02/2019,W,"1,091"
73829,41360,California-Lake,04/03/2019,W,"1,117"
73830,41360,California-Lake,04/04/2019,W,"1,004"
73831,41360,California-Lake,04/05/2019,W,"1,000"
73832,41360,California-Lake,04/06/2019,A,548
73833,41360,California-Lake,04/07/2019,U,355
73834,41360,California-Lake,04/08/2019,W,"1,069"
73835,41360,California-Lake,04/09/2019,W,"1,143"
73836,41360,California-Lake,04/10/2019,W,993
73837,41360,California-Lake,04/11/2019,W,"1,032"
73838,41360,California-Lake,04/12/2019,W,"1,001"
73839,41360,California-Lake,04/13/2019,A,521
73840,41360,California-Lake,04/14/2019,U,288
73841,41360,California-Lake,04/15/2019,W,967
73842,41360,California-Lake,04/16/2019,W,983
73843,41360,California-Lake,04/17/2019,W,"1,002"
73844,41360,California-Lake,04/18/2019,W,936
73845,41360,California-Lake,04/19/2019,W,850
73846,41360,California-Lake,04/20/2019,A,568
73847,41360,California-Lake,04/21/2019,U,333
73848,41360,California-Lake,04/22/2019,W,"1,009"
73849,41360,California-Lake,04/23/2019,W,"1,101"
73850,41360,California-Lake,04/24/2019,W,"1,046"
73851,41360,California-Lake,04/25/2019,W,"1,144"
73852,41360,California-Lake,04/26/2019,W,"1,055"
73853,41360,California-Lake,04/27/2019,A,420
73854,41360,California-Lake,04/28/2019,U,372
73855,41360,California-Lake,04/29/2019,W,942
73856,41360,California-Lake,04/30/2019,W,999
78211,41360,California-Lake,05/01/2019,W,"1,127"
78212,41360,California-Lake,05/02/2019,W,"1,039"
78213,41360,California-Lake,05/03/2019,W,"1,072"
78214,41360,California-Lake,05/04/2019,A,520
78215,41360,California-Lake,05/05/2019,U,416
78216,41360,California-Lake,05/06/2019,W,"1,105"
78217,41360,California-Lake,05/07/2019,W,"1,121"
78218,41360,California-Lake,05/08/2019,W,"1,095"
78219,41360,California-Lake,05/09/2019,W,"1,140"
78220,41360,California-Lake,05/10/2019,W,"1,100"
78221,41360,California-Lake,05/11/2019,A,517
78222,41360,California-Lake,05/12/2019,U,426
78223,41360,California-Lake,05/13/2019,W,"1,023"
78224,41360,California-Lake,05/14/2019,W,"1,140"
78225,41360,California-Lake,05/15/2019,W,"1,108"
