,station_id,stationname,date,daytype,rides
257,41250,Central-Evanston,12/20/2017,W,704
332,41250,Central-Evanston,12/15/2017,W,749
352,41250,Central-Evanston,12/27/2017,W,461
616,41250,Central-Evanston,12/13/2017,W,757
901,41250,Central-Evanston,12/30/2017,A,234
928,41250,Central-Evanston,12/23/2017,A,278
1135,41250,Central-Evanston,12/06/2017,W,734
1488,41250,Central-Evanston,12/02/2017,A,368
1772,41250,Central-Evanston,12/12/2017,W,759
1910,41250,Central-Evanston,12/21/2017,W,758
2028,41250,Central-Evanston,12/22/2017,W,621
2116,41250,Central-Evanston,12/26/2017,W,376
2516,41250,Central-Evanston,12/28/2017,W,497
2811,41250,Central-Evanston,12/09/2017,A,314
2867,41250,Central-Evanston,12/05/2017,W,783
2947,41250,Central-Evanston,12/07/2017,W,743
2983,41250,Central-Evanston,12/18/2017,W,727
3019,41250,Central-Evanston,12/31/2017,U,216
3042,41250,Central-Evanston,12/10/2017,U,212
3540,41250,Central-Evanston,12/17/2017,U,234
3550,41250,Central-Evanston,12/19/2017,W,706
3599,41250,Central-Evanston,12/29/2017,W,511
3720,41250,Central-Evanston,12/16/2017,A,365
3761,41250,Central-Evanston,12/24/2017,U,181
3863,41250,Central-Evanston,12/14/2017,W,748
3914,41250,Central-Evanston,12/03/2017,U,247
3935,41250,Central-Evanston,12/01/2017,W,801
3965,41250,Central-Evanston,12/04/2017,W,726
4006,41250,Central-Evanston,12/08/2017,W,751
4107,41250,Central-Evanston,12/11/2017,W,720
4263,41250,Central-Evanston,12/25/2017,U,99
4549,41250,Central-Evanston,02/07/2018,W,771
4553,41250,Central-Evanston,01/10/2018,W,721
5150,41250,Central-Evanston,03/27/2018,W,690
5447,41250,Central-Evanston,01/19/2018,W,761
5455,41250,Central-Evanston,02/01/2018,W,680
5650,41250,Central-Evanston,01/23/2018,W,736
5837,41250,Central-Evanston,01/12/2018,W,686
5940,41250,Central-Evanston,01/25/2018,W,738
6157,41250,Central-Evanston,03/19/2018,W,693
6174,41250,Central-Evanston,02/11/2018,U,223
6242,41250,Central-Evanston,03/31/2018,A,265
6325,41250,Central-Evanston,03/22/2018,W,722
6520,41250,Central-Evanston,02/19/2018,W,637
6527,41250,Central-Evanston,01/09/2018,W,699
6607,41250,Central-Evanston,02/09/2018,W,697
6644,41250,Central-Evanston,01/21/2018,U,241
6726,41250,Central-Evanston,01/01/2018,U,133
7188,41250,Central-Evanston,01/22/2018,W,668
7280,41250,Central-Evanston,03/15/2018,W,735
7326,41250,Central-Evanston,02/10/2018,A,328
7524,41250,Central-Evanston,01/31/2018,W,757
7548,41250,Central-Evanston,02/13/2018,W,778
7743,41250,Central-Evanston,01/28/2018,U,218
7765,41250,Central-Evanston,01/14/2018,U,186
8150,41250,Central-Evanston,02/14/2018,W,792
8365,41250,Central-Evanston,02/08/2018,W,744
8588,41250,Central-Evanston,01/03/2018,W,597
8689,41250,Central-Evanston,02/27/2018,W,796
8778,41250,Central-Evanston,03/08/2018,W,691
9071,41250,Central-Evanston,03/20/2018,W,747
9152,41250,Central-Evanston,03/26/2018,W,696
9354,41250,Central-Evanston,03/13/2018,W,765
9567,41250,Central-Evanston,02/25/2018,U,223
9951,41250,Central-Evanston,01/05/2018,W,612
10003,41250,Central-Evanston,02/17/2018,A,327
10054,41250,Central-Evanston,02/02/2018,W,674
10143,41250,Central-Evanston,02/24/2018,A,322
10448,41250,Central-Evanston,02/26/2018,W,720
10484,41250,Central-Evanston,02/18/2018,U,248
10706,41250,Central-Evanston,02/05/2018,W,718
10740,41250,Central-Evanston,01/16/2018,W,698
10753,41250,Central-Evanston,03/14/2018,W,772
10864,41250,Central-Evanston,03/12/2018,W,749
10946,41250,Central-Evanston,02/04/2018,U,183
10989,41250,Central-Evanston,01/07/2018,U,186
11032,41250,Central-Evanston,01/29/2018,W,696
11208,41250,Central-Evanston,03/16/2018,W,744
11233,41250,Central-Evanston,03/24/2018,A,355
11379,41250,Central-Evanston,03/30/2018,W,616
