,station_id,stationname,date,daytype,rides
1,41000,Cermak-Chinatown,12/18/2017,W,"3,636"
310,41000,Cermak-Chinatown,12/04/2017,W,"3,842"
765,41000,Cermak-Chinatown,12/21/2017,W,"3,701"
1129,41000,Cermak-Chinatown,12/22/2017,W,"3,688"
1185,41000,Cermak-Chinatown,12/30/2017,A,"2,518"
1308,41000,Cermak-Chinatown,12/05/2017,W,"3,419"
1562,41000,Cermak-Chinatown,12/31/2017,U,"2,377"
1657,41000,Cermak-Chinatown,12/03/2017,U,"3,052"
1687,41000,Cermak-Chinatown,12/25/2017,U,"1,813"
1782,41000,Cermak-Chinatown,12/29/2017,W,"2,866"
1825,41000,Cermak-Chinatown,12/10/2017,U,"2,514"
1937,41000,Cermak-Chinatown,12/12/2017,W,"3,189"
2227,41000,Cermak-Chinatown,12/08/2017,W,"3,922"
2255,41000,Cermak-Chinatown,12/06/2017,W,"3,608"
2269,41000,Cermak-Chinatown,12/24/2017,U,"2,065"
2656,41000,Cermak-Chinatown,12/23/2017,A,"2,898"
2716,41000,Cermak-Chinatown,12/07/2017,W,"3,473"
2808,41000,Cermak-Chinatown,12/19/2017,W,"3,589"
2865,41000,Cermak-Chinatown,12/28/2017,W,"2,698"
3220,41000,Cermak-Chinatown,12/17/2017,U,"2,669"
3290,41000,Cermak-Chinatown,12/13/2017,W,"3,315"
3464,41000,Cermak-Chinatown,12/15/2017,W,"3,889"
3473,41000,Cermak-Chinatown,12/11/2017,W,"3,467"
3769,41000,Cermak-Chinatown,12/14/2017,W,"3,457"
3777,41000,Cermak-Chinatown,12/09/2017,A,"3,238"
3918,41000,Cermak-Chinatown,12/27/2017,W,"2,560"
4122,41000,Cermak-Chinatown,12/01/2017,W,"4,454"
4151,41000,Cermak-Chinatown,12/20/2017,W,"3,527"
4201,41000,Cermak-Chinatown,12/16/2017,A,"4,209"
4268,41000,Cermak-Chinatown,12/26/2017,W,"1,985"
4347,41000,Cermak-Chinatown,12/02/2017,A,"4,383"
4625,41000,Cermak-Chinatown,03/06/2018,W,"3,602"
4799,41000,Cermak-Chinatown,02/17/2018,A,"4,853"
4818,41000,Cermak-Chinatown,02/27/2018,W,"3,605"
4983,41000,Cermak-Chinatown,02/18/2018,U,"3,650"
5219,41000,Cermak-Chinatown,03/19/2018,W,"3,939"
5254,41000,Cermak-Chinatown,01/20/2018,A,"4,289"
5287,41000,Cermak-Chinatown,01/10/2018,W,"3,337"
5357,41000,Cermak-Chinatown,03/20/2018,W,"3,782"
5401,41000,Cermak-Chinatown,02/04/2018,U,"1,774"
5491,41000,Cermak-Chinatown,02/07/2018,W,"3,361"
5813,41000,Cermak-Chinatown,03/04/2018,U,"3,060"
5827,41000,Cermak-Chinatown,01/11/2018,W,"3,263"
5929,41000,Cermak-Chinatown,01/23/2018,W,"3,479"
5970,41000,Cermak-Chinatown,02/23/2018,W,"4,222"
6000,41000,Cermak-Chinatown,01/21/2018,U,"2,575"
6170,41000,Cermak-Chinatown,02/20/2018,W,"3,296"
6245,41000,Cermak-Chinatown,01/15/2018,W,"2,384"
6385,41000,Cermak-Chinatown,03/03/2018,A,"4,503"
6416,41000,Cermak-Chinatown,02/05/2018,W,"2,954"
6753,41000,Cermak-Chinatown,03/21/2018,W,"3,889"
6895,41000,Cermak-Chinatown,02/06/2018,W,"3,263"
6908,41000,Cermak-Chinatown,02/09/2018,W,"2,540"
7470,41000,Cermak-Chinatown,01/28/2018,U,"2,688"
7563,41000,Cermak-Chinatown,01/04/2018,W,"2,739"
7566,41000,Cermak-Chinatown,03/10/2018,A,"4,393"
7759,41000,Cermak-Chinatown,01/13/2018,A,"3,061"
7791,41000,Cermak-Chinatown,01/24/2018,W,"3,568"
7844,41000,Cermak-Chinatown,03/23/2018,W,"4,410"
8351,41000,Cermak-Chinatown,01/30/2018,W,"3,347"
8393,41000,Cermak-Chinatown,01/22/2018,W,"3,573"
8421,41000,Cermak-Chinatown,02/28/2018,W,"3,661"
9229,41000,Cermak-Chinatown,01/27/2018,A,"3,985"
9361,41000,Cermak-Chinatown,01/09/2018,W,"3,242"
9408,41000,Cermak-Chinatown,01/14/2018,U,"2,366"
9644,41000,Cermak-Chinatown,01/26/2018,W,"4,195"
9803,41000,Cermak-Chinatown,02/13/2018,W,"3,553"
10103,41000,Cermak-Chinatown,02/24/2018,A,"4,163"
10111,41000,Cermak-Chinatown,02/11/2018,U,"2,516"
10221,41000,Cermak-Chinatown,02/12/2018,W,"3,434"
10246,41000,Cermak-Chinatown,02/03/2018,A,"3,249"
10606,41000,Cermak-Chinatown,01/05/2018,W,"2,816"
11024,41000,Cermak-Chinatown,03/13/2018,W,"4,152"
11166,41000,Cermak-Chinatown,02/15/2018,W,"3,983"
11397,41000,Cermak-Chinatown,01/25/2018,W,"3,597"
11404,41000,Cermak-Chinatown,03/05/2018,W,"3,499"
11407,41000,Cermak-Chinatown,01/02/2018,W,"2,446"
11735,41000,Cermak-Chinatown,03/12/2018,W,"4,180"
11825,41000,Cermak-Chinatown,02/01/2018,W,"3,448"
11942,41000,Cermak-Chinatown,03/31/2018,A,"4,046"
12146,41000,Cermak-Chinatown,01/17/2018,W,"3,183"
12190,41000,Cermak-Chinatown,03/09/2018,W,"4,473"
12296,41000,Cermak-Chinatown,02/21/2018,W,"3,446"
12343,41000,Cermak-Chinatown,03/18/2018,U,"3,474"
12433,41000,Cermak-Chinatown,01/08/2018,W,"3,073"
12732,41000,Cermak-Chinatown,01/16/2018,W,"3,016"
12757,41000,Cermak-Chinatown,01/03/2018,W,"2,641"
12865,41000,Cermak-Chinatown,01/01/2018,U,"1,869"
13001,41000,Cermak-Chinatown,02/08/2018,W,"3,341"
13391,41000,Cermak-Chinatown,03/11/2018,U,"3,178"
13488,41000,Cermak-Chinatown,03/08/2018,W,"3,888"
13526,41000,Cermak-Chinatown,03/30/2018,W,"4,585"
13719,41000,Cermak-Chinatown,01/18/2018,W,"3,347"
14162,41000,Cermak-Chinatown,03/29/2018,W,"3,991"
15270,41000,Cermak-Chinatown,02/25/2018,U,"6,121"
15322,41000,Cermak-Chinatown,02/14/2018,W,"4,005"
15379,41000,Cermak-Chinatown,01/07/2018,U,"1,980"
15517,41000,Cermak-Chinatown,02/16/2018,W,"4,729"
15559,41000,Cermak-Chinatown,02/26/2018,W,"3,573"
15702,41000,Cermak-Chinatown,02/19/2018,W,"3,045"
15899,41000,Cermak-Chinatown,03/25/2018,U,"3,071"
15910,41000,Cermak-Chinatown,03/16/2018,W,"4,438"
16086,41000,Cermak-Chinatown,01/06/2018,A,"2,520"
16101,41000,Cermak-Chinatown,03/22/2018,W,"3,777"
16391,41000,Cermak-Chinatown,02/22/2018,W,"3,595"
16426,41000,Cermak-Chinatown,03/15/2018,W,"4,157"
16510,41000,Cermak-Chinatown,03/28/2018,W,"4,104"
16602,41000,Cermak-Chinatown,03/27/2018,W,"3,812"
16706,41000,Cermak-Chinatown,01/12/2018,W,"3,554"
16847,41000,Cermak-Chinatown,03/07/2018,W,"3,881"
16877,41000,Cermak-Chinatown,01/29/2018,W,"3,166"
17006,41000,Cermak-Chinatown,01/31/2018,W,"3,430"
17018,41000,Cermak-Chinatown,02/02/2018,W,"3,655"
17076,41000,Cermak-Chinatown,03/02/2018,W,"4,472"
17113,41000,Cermak-Chinatown,03/14/2018,W,"4,129"
