,station_id,stationname,date,daytype,rides
56,41690,Cermak-McCormick Place,12/19/2017,W,"1,304"
335,41690,Cermak-McCormick Place,12/23/2017,A,789
455,41690,Cermak-McCormick Place,12/17/2017,U,462
651,41690,Cermak-McCormick Place,12/07/2017,W,"1,223"
675,41690,Cermak-McCormick Place,12/14/2017,W,"1,179"
1200,41690,Cermak-McCormick Place,12/08/2017,W,"1,370"
1427,41690,Cermak-McCormick Place,12/13/2017,W,"1,195"
1432,41690,Cermak-McCormick Place,12/26/2017,W,559
1760,41690,Cermak-McCormick Place,12/06/2017,W,"1,320"
1918,41690,Cermak-McCormick Place,12/21/2017,W,"1,552"
2162,41690,Cermak-McCormick Place,12/27/2017,W,810
2279,41690,Cermak-McCormick Place,12/02/2017,A,"1,035"
2293,41690,Cermak-McCormick Place,12/25/2017,U,208
2611,41690,Cermak-McCormick Place,12/28/2017,W,789
2616,41690,Cermak-McCormick Place,12/22/2017,W,"1,505"
2874,41690,Cermak-McCormick Place,12/15/2017,W,"1,248"
3015,41690,Cermak-McCormick Place,12/29/2017,W,798
3154,41690,Cermak-McCormick Place,12/01/2017,W,"1,518"
3221,41690,Cermak-McCormick Place,12/18/2017,W,"1,107"
3234,41690,Cermak-McCormick Place,12/30/2017,A,477
3244,41690,Cermak-McCormick Place,12/05/2017,W,"1,212"
3445,41690,Cermak-McCormick Place,12/12/2017,W,"1,174"
3470,41690,Cermak-McCormick Place,12/09/2017,A,717
3723,41690,Cermak-McCormick Place,12/03/2017,U,621
3806,41690,Cermak-McCormick Place,12/24/2017,U,404
3825,41690,Cermak-McCormick Place,12/31/2017,U,379
4048,41690,Cermak-McCormick Place,12/20/2017,W,"1,587"
4097,41690,Cermak-McCormick Place,12/10/2017,U,493
4393,41690,Cermak-McCormick Place,12/04/2017,W,"1,410"
4436,41690,Cermak-McCormick Place,12/16/2017,A,"1,343"
4454,41690,Cermak-McCormick Place,12/11/2017,W,"1,227"
4753,41690,Cermak-McCormick Place,03/23/2018,W,"2,032"
4933,41690,Cermak-McCormick Place,02/24/2018,A,"1,286"
