,station_id,stationname,date,daytype,rides
243,40630,Clark+Division,12/29/2017,W,"5,479"
261,40630,Clark+Division,12/03/2017,U,"5,305"
373,40630,Clark+Division,12/12/2017,W,"7,512"
492,40630,Clark+Division,12/26/2017,W,"3,369"
606,40630,Clark+Division,12/01/2017,W,"8,958"
717,40630,Clark+Division,12/31/2017,U,"3,551"
801,40630,Clark+Division,12/10/2017,U,"4,721"
830,40630,Clark+Division,12/27/2017,W,"4,443"
840,40630,Clark+Division,12/17/2017,U,"4,596"
884,40630,Clark+Division,12/23/2017,A,"4,373"
969,40630,Clark+Division,12/24/2017,U,"2,724"
1007,40630,Clark+Division,12/02/2017,A,"7,255"
1105,40630,Clark+Division,12/21/2017,W,"7,404"
1156,40630,Clark+Division,12/07/2017,W,"7,822"
1303,40630,Clark+Division,12/15/2017,W,"8,088"
1527,40630,Clark+Division,12/30/2017,A,"4,065"
1745,40630,Clark+Division,12/28/2017,W,"4,961"
2124,40630,Clark+Division,12/11/2017,W,"7,577"
2126,40630,Clark+Division,12/09/2017,A,"6,184"
2406,40630,Clark+Division,12/13/2017,W,"7,889"
2463,40630,Clark+Division,12/08/2017,W,"8,371"
2713,40630,Clark+Division,12/16/2017,A,"6,407"
2869,40630,Clark+Division,12/14/2017,W,"7,789"
3209,40630,Clark+Division,12/05/2017,W,"7,722"
3235,40630,Clark+Division,12/04/2017,W,"7,890"
3266,40630,Clark+Division,12/18/2017,W,"7,344"
3306,40630,Clark+Division,12/19/2017,W,"7,687"
3374,40630,Clark+Division,12/22/2017,W,"6,802"
3444,40630,Clark+Division,12/20/2017,W,"7,795"
3714,40630,Clark+Division,12/06/2017,W,"8,097"
4385,40630,Clark+Division,12/25/2017,U,"1,292"
4622,40630,Clark+Division,03/30/2018,W,"6,859"
4756,40630,Clark+Division,03/07/2018,W,"7,749"
4784,40630,Clark+Division,03/21/2018,W,"7,629"
4862,40630,Clark+Division,01/26/2018,W,"8,219"
4966,40630,Clark+Division,01/05/2018,W,"6,305"
5263,40630,Clark+Division,02/05/2018,W,"7,087"
5318,40630,Clark+Division,01/15/2018,W,"5,225"
5646,40630,Clark+Division,01/01/2018,U,"3,107"
5712,40630,Clark+Division,02/21/2018,W,"7,934"
5720,40630,Clark+Division,01/09/2018,W,"7,249"
5750,40630,Clark+Division,03/20/2018,W,"7,485"
5955,40630,Clark+Division,02/04/2018,U,"4,054"
6254,40630,Clark+Division,03/12/2018,W,"7,515"
