,station_id,stationname,date,daytype,rides
84,40590,Damen+Milwaukee,12/24/2017,U,"1,552"
522,40590,Damen+Milwaukee,12/28/2017,W,"3,817"
581,40590,Damen+Milwaukee,12/16/2017,A,"4,584"
1257,40590,Damen+Milwaukee,12/27/2017,W,"3,383"
1673,40590,Damen+Milwaukee,12/29/2017,W,"4,174"
1685,40590,Damen+Milwaukee,12/19/2017,W,"6,572"
1742,40590,Damen+Milwaukee,12/11/2017,W,"6,167"
1933,40590,Damen+Milwaukee,12/08/2017,W,"6,741"
2377,40590,Damen+Milwaukee,12/20/2017,W,"6,312"
2416,40590,Damen+Milwaukee,12/21/2017,W,"6,250"
2474,40590,Damen+Milwaukee,12/13/2017,W,"6,089"
2503,40590,Damen+Milwaukee,12/23/2017,A,"3,295"
2560,40590,Damen+Milwaukee,12/02/2017,A,"4,952"
2664,40590,Damen+Milwaukee,12/01/2017,W,"7,448"
2724,40590,Damen+Milwaukee,12/07/2017,W,"6,441"
2803,40590,Damen+Milwaukee,12/06/2017,W,"6,334"
2826,40590,Damen+Milwaukee,12/31/2017,U,"2,255"
2841,40590,Damen+Milwaukee,12/03/2017,U,"3,702"
2932,40590,Damen+Milwaukee,12/25/2017,U,614
3214,40590,Damen+Milwaukee,12/15/2017,W,"6,498"
3293,40590,Damen+Milwaukee,12/18/2017,W,"6,245"
3437,40590,Damen+Milwaukee,12/04/2017,W,"6,330"
3526,40590,Damen+Milwaukee,12/10/2017,U,"3,152"
3836,40590,Damen+Milwaukee,12/22/2017,W,"5,533"
4037,40590,Damen+Milwaukee,12/09/2017,A,"4,225"
4039,40590,Damen+Milwaukee,12/05/2017,W,"6,217"
4109,40590,Damen+Milwaukee,12/26/2017,W,"2,256"
4176,40590,Damen+Milwaukee,12/12/2017,W,"6,165"
4301,40590,Damen+Milwaukee,12/30/2017,A,"2,687"
4465,40590,Damen+Milwaukee,12/14/2017,W,"6,400"
4479,40590,Damen+Milwaukee,12/17/2017,U,"3,166"
4746,40590,Damen+Milwaukee,03/09/2018,W,"6,598"
4842,40590,Damen+Milwaukee,02/01/2018,W,"6,024"
5575,40590,Damen+Milwaukee,01/14/2018,U,"2,470"
5906,40590,Damen+Milwaukee,01/11/2018,W,"6,094"
6060,40590,Damen+Milwaukee,03/06/2018,W,"6,242"
6181,40590,Damen+Milwaukee,02/27/2018,W,"6,297"
6182,40590,Damen+Milwaukee,03/28/2018,W,"6,290"
6266,40590,Damen+Milwaukee,01/22/2018,W,"5,929"
6449,40590,Damen+Milwaukee,01/21/2018,U,"2,629"
6470,40590,Damen+Milwaukee,02/08/2018,W,"6,060"
6631,40590,Damen+Milwaukee,01/30/2018,W,"5,855"
6693,40590,Damen+Milwaukee,01/08/2018,W,"5,845"
6734,40590,Damen+Milwaukee,03/17/2018,A,"6,968"
6983,40590,Damen+Milwaukee,03/01/2018,W,"6,111"
7119,40590,Damen+Milwaukee,02/03/2018,A,"3,550"
7432,40590,Damen+Milwaukee,02/15/2018,W,"6,330"
7500,40590,Damen+Milwaukee,01/10/2018,W,"5,923"
7954,40590,Damen+Milwaukee,03/07/2018,W,"6,551"
8056,40590,Damen+Milwaukee,01/04/2018,W,"5,259"
8201,40590,Damen+Milwaukee,01/18/2018,W,"6,140"
8481,40590,Damen+Milwaukee,03/04/2018,U,"3,223"
8605,40590,Damen+Milwaukee,01/23/2018,W,"6,143"
8637,40590,Damen+Milwaukee,03/24/2018,A,"3,847"
8790,40590,Damen+Milwaukee,01/03/2018,W,"5,221"
8809,40590,Damen+Milwaukee,02/02/2018,W,"5,975"
8878,40590,Damen+Milwaukee,02/05/2018,W,"5,418"
9018,40590,Damen+Milwaukee,01/20/2018,A,"4,917"
9067,40590,Damen+Milwaukee,02/28/2018,W,"6,337"
9099,40590,Damen+Milwaukee,03/02/2018,W,"6,633"
9265,40590,Damen+Milwaukee,01/15/2018,W,"4,162"
9279,40590,Damen+Milwaukee,01/24/2018,W,"6,194"
9364,40590,Damen+Milwaukee,02/21/2018,W,"6,333"
9510,40590,Damen+Milwaukee,02/14/2018,W,"6,495"
9616,40590,Damen+Milwaukee,03/18/2018,U,"3,881"
9680,40590,Damen+Milwaukee,02/12/2018,W,"5,939"
10123,40590,Damen+Milwaukee,02/06/2018,W,"5,891"
10155,40590,Damen+Milwaukee,02/18/2018,U,"3,075"
10728,40590,Damen+Milwaukee,01/12/2018,W,"6,027"
10738,40590,Damen+Milwaukee,02/11/2018,U,"2,879"
10846,40590,Damen+Milwaukee,03/08/2018,W,"6,424"
10850,40590,Damen+Milwaukee,01/19/2018,W,"6,328"
10911,40590,Damen+Milwaukee,02/10/2018,A,"3,896"
10976,40590,Damen+Milwaukee,01/06/2018,A,"2,876"
11159,40590,Damen+Milwaukee,01/29/2018,W,"5,793"
11292,40590,Damen+Milwaukee,03/30/2018,W,"6,431"
11442,40590,Damen+Milwaukee,03/21/2018,W,"6,480"
11511,40590,Damen+Milwaukee,03/15/2018,W,"6,822"
11569,40590,Damen+Milwaukee,02/19/2018,W,"4,785"
11736,40590,Damen+Milwaukee,02/16/2018,W,"6,637"
11769,40590,Damen+Milwaukee,02/13/2018,W,"6,280"
12012,40590,Damen+Milwaukee,01/07/2018,U,"2,272"
12076,40590,Damen+Milwaukee,03/03/2018,A,"4,454"
12096,40590,Damen+Milwaukee,02/17/2018,A,"4,054"
12219,40590,Damen+Milwaukee,03/19/2018,W,"6,462"
12475,40590,Damen+Milwaukee,03/25/2018,U,"3,469"
12552,40590,Damen+Milwaukee,02/22/2018,W,"6,339"
12636,40590,Damen+Milwaukee,01/31/2018,W,"5,989"
12738,40590,Damen+Milwaukee,03/13/2018,W,"6,259"
12878,40590,Damen+Milwaukee,01/26/2018,W,"6,899"
12899,40590,Damen+Milwaukee,03/05/2018,W,"5,851"
12925,40590,Damen+Milwaukee,03/14/2018,W,"6,750"
13175,40590,Damen+Milwaukee,03/16/2018,W,"7,135"
13209,40590,Damen+Milwaukee,01/02/2018,W,"4,335"
13239,40590,Damen+Milwaukee,01/09/2018,W,"5,890"
13332,40590,Damen+Milwaukee,02/26/2018,W,"6,280"
13591,40590,Damen+Milwaukee,02/07/2018,W,"5,995"
13693,40590,Damen+Milwaukee,03/11/2018,U,"3,274"
13864,40590,Damen+Milwaukee,02/04/2018,U,"2,273"
14112,40590,Damen+Milwaukee,03/10/2018,A,"4,416"
14161,40590,Damen+Milwaukee,02/25/2018,U,"3,107"
14180,40590,Damen+Milwaukee,03/23/2018,W,"6,611"
14558,40590,Damen+Milwaukee,03/20/2018,W,"6,192"
14559,40590,Damen+Milwaukee,01/16/2018,W,"6,054"
14818,40590,Damen+Milwaukee,01/27/2018,A,"4,356"
14992,40590,Damen+Milwaukee,03/31/2018,A,"3,932"
15134,40590,Damen+Milwaukee,03/27/2018,W,"6,235"
15226,40590,Damen+Milwaukee,02/23/2018,W,"6,384"
15247,40590,Damen+Milwaukee,01/05/2018,W,"5,205"
15268,40590,Damen+Milwaukee,02/20/2018,W,"5,881"
15518,40590,Damen+Milwaukee,01/25/2018,W,"6,387"
15520,40590,Damen+Milwaukee,03/26/2018,W,"6,185"
15694,40590,Damen+Milwaukee,02/24/2018,A,"3,932"
15973,40590,Damen+Milwaukee,03/22/2018,W,"6,481"
16103,40590,Damen+Milwaukee,01/17/2018,W,"6,037"
16203,40590,Damen+Milwaukee,01/28/2018,U,"2,819"
16584,40590,Damen+Milwaukee,01/01/2018,U,"2,583"
16779,40590,Damen+Milwaukee,03/12/2018,W,"6,347"
16819,40590,Damen+Milwaukee,03/29/2018,W,"6,298"
17210,40590,Damen+Milwaukee,02/09/2018,W,"4,512"
17258,40590,Damen+Milwaukee,01/13/2018,A,"3,313"
17774,40590,Damen+Milwaukee,06/23/2018,A,"4,842"
18082,40590,Damen+Milwaukee,05/14/2018,W,"5,802"
18314,40590,Damen+Milwaukee,05/26/2018,A,"4,691"
18460,40590,Damen+Milwaukee,06/09/2018,A,"4,651"
18550,40590,Damen+Milwaukee,04/21/2018,A,"4,250"
18758,40590,Damen+Milwaukee,06/18/2018,W,"6,394"
18775,40590,Damen+Milwaukee,05/04/2018,W,"7,106"
18871,40590,Damen+Milwaukee,05/05/2018,A,"4,666"
18892,40590,Damen+Milwaukee,05/28/2018,U,"3,070"
18947,40590,Damen+Milwaukee,04/11/2018,W,"6,403"
19016,40590,Damen+Milwaukee,06/27/2018,W,"6,840"
19100,40590,Damen+Milwaukee,06/01/2018,W,"7,511"
19144,40590,Damen+Milwaukee,04/22/2018,U,"3,032"
19250,40590,Damen+Milwaukee,05/25/2018,W,"6,756"
19257,40590,Damen+Milwaukee,06/29/2018,W,"6,946"
19298,40590,Damen+Milwaukee,06/08/2018,W,"7,039"
19575,40590,Damen+Milwaukee,04/16/2018,W,"5,973"
19580,40590,Damen+Milwaukee,05/13/2018,U,"2,932"
19892,40590,Damen+Milwaukee,04/26/2018,W,"6,578"
19951,40590,Damen+Milwaukee,06/20/2018,W,"6,860"
20343,40590,Damen+Milwaukee,04/23/2018,W,"6,087"
20350,40590,Damen+Milwaukee,05/03/2018,W,"6,622"
20389,40590,Damen+Milwaukee,04/13/2018,W,"6,556"
20501,40590,Damen+Milwaukee,04/24/2018,W,"6,373"
20506,40590,Damen+Milwaukee,04/29/2018,U,"3,168"
20673,40590,Damen+Milwaukee,05/27/2018,U,"3,644"
20770,40590,Damen+Milwaukee,06/13/2018,W,"7,028"
20805,40590,Damen+Milwaukee,04/15/2018,U,"2,679"
20822,40590,Damen+Milwaukee,04/01/2018,U,"2,243"
21019,40590,Damen+Milwaukee,05/15/2018,W,"6,487"
21119,40590,Damen+Milwaukee,05/09/2018,W,"6,764"
21212,40590,Damen+Milwaukee,04/20/2018,W,"6,941"
21258,40590,Damen+Milwaukee,06/15/2018,W,"7,168"
21285,40590,Damen+Milwaukee,05/02/2018,W,"6,331"
21335,40590,Damen+Milwaukee,06/10/2018,U,"3,418"
21595,40590,Damen+Milwaukee,05/23/2018,W,"6,706"
21644,40590,Damen+Milwaukee,05/01/2018,W,"6,526"
22252,40590,Damen+Milwaukee,05/06/2018,U,"3,603"
22264,40590,Damen+Milwaukee,04/02/2018,W,"5,805"
22656,40590,Damen+Milwaukee,06/24/2018,U,"3,832"
22727,40590,Damen+Milwaukee,06/07/2018,W,"6,986"
22758,40590,Damen+Milwaukee,04/05/2018,W,"6,241"
22908,40590,Damen+Milwaukee,06/03/2018,U,"4,451"
23256,40590,Damen+Milwaukee,04/09/2018,W,"6,034"
23397,40590,Damen+Milwaukee,06/04/2018,W,"6,535"
23402,40590,Damen+Milwaukee,05/31/2018,W,"6,777"
24456,40590,Damen+Milwaukee,05/22/2018,W,"6,582"
24508,40590,Damen+Milwaukee,05/24/2018,W,"6,857"
24655,40590,Damen+Milwaukee,06/26/2018,W,"6,410"
24748,40590,Damen+Milwaukee,04/28/2018,A,"4,345"
25014,40590,Damen+Milwaukee,06/17/2018,U,"3,417"
25026,40590,Damen+Milwaukee,04/18/2018,W,"6,195"
25119,40590,Damen+Milwaukee,06/02/2018,A,"5,228"
25122,40590,Damen+Milwaukee,05/16/2018,W,"6,716"
25294,40590,Damen+Milwaukee,06/21/2018,W,"6,103"
25578,40590,Damen+Milwaukee,06/25/2018,W,"6,511"
25645,40590,Damen+Milwaukee,05/19/2018,A,"4,229"
25835,40590,Damen+Milwaukee,04/30/2018,W,"6,399"
25944,40590,Damen+Milwaukee,05/10/2018,W,"6,969"
26132,40590,Damen+Milwaukee,05/21/2018,W,"5,809"
26246,40590,Damen+Milwaukee,06/22/2018,W,"6,462"
26325,40590,Damen+Milwaukee,06/12/2018,W,"6,910"
26389,40590,Damen+Milwaukee,06/30/2018,A,"4,526"
26709,40590,Damen+Milwaukee,04/06/2018,W,"6,586"
26711,40590,Damen+Milwaukee,04/07/2018,A,"4,371"
26781,40590,Damen+Milwaukee,05/29/2018,W,"6,227"
26833,40590,Damen+Milwaukee,05/11/2018,W,"6,998"
