,station_id,stationname,date,daytype,rides
97,40210,Damen-Cermak,12/15/2017,W,"1,485"
585,40210,Damen-Cermak,12/24/2017,U,415
962,40210,Damen-Cermak,12/21/2017,W,"1,410"
967,40210,Damen-Cermak,12/05/2017,W,"1,661"
998,40210,Damen-Cermak,12/23/2017,A,680
1004,40210,Damen-Cermak,12/13/2017,W,"1,546"
1194,40210,Damen-Cermak,12/10/2017,U,606
1214,40210,Damen-Cermak,12/28/2017,W,943
1224,40210,Damen-Cermak,12/20/2017,W,"1,464"
1238,40210,Damen-Cermak,12/26/2017,W,691
1627,40210,Damen-Cermak,12/16/2017,A,921
1722,40210,Damen-Cermak,12/25/2017,U,207
1919,40210,Damen-Cermak,12/03/2017,U,731
2109,40210,Damen-Cermak,12/29/2017,W,991
2161,40210,Damen-Cermak,12/14/2017,W,"1,537"
2284,40210,Damen-Cermak,12/19/2017,W,"1,501"
2345,40210,Damen-Cermak,12/27/2017,W,877
2551,40210,Damen-Cermak,12/01/2017,W,"1,659"
2742,40210,Damen-Cermak,12/09/2017,A,810
2853,40210,Damen-Cermak,12/12/2017,W,"1,534"
2938,40210,Damen-Cermak,12/22/2017,W,"1,399"
3024,40210,Damen-Cermak,12/18/2017,W,"1,444"
3184,40210,Damen-Cermak,12/17/2017,U,613
3423,40210,Damen-Cermak,12/04/2017,W,"1,578"
3497,40210,Damen-Cermak,12/31/2017,U,501
3544,40210,Damen-Cermak,12/30/2017,A,587
3713,40210,Damen-Cermak,12/08/2017,W,"1,516"
3763,40210,Damen-Cermak,12/07/2017,W,"1,573"
3841,40210,Damen-Cermak,12/02/2017,A,932
4395,40210,Damen-Cermak,12/11/2017,W,"1,444"
4421,40210,Damen-Cermak,12/06/2017,W,"1,594"
4708,40210,Damen-Cermak,03/11/2018,U,523
4740,40210,Damen-Cermak,01/11/2018,W,"1,432"
4969,40210,Damen-Cermak,01/16/2018,W,"1,482"
4998,40210,Damen-Cermak,01/05/2018,W,"1,105"
5073,40210,Damen-Cermak,02/17/2018,A,787
5116,40210,Damen-Cermak,03/10/2018,A,785
5522,40210,Damen-Cermak,03/29/2018,W,"1,382"
5709,40210,Damen-Cermak,03/09/2018,W,"1,557"
5921,40210,Damen-Cermak,03/01/2018,W,"1,495"
5998,40210,Damen-Cermak,01/06/2018,A,606
6188,40210,Damen-Cermak,03/03/2018,A,827
6192,40210,Damen-Cermak,02/22/2018,W,"1,511"
6326,40210,Damen-Cermak,02/10/2018,A,734
6509,40210,Damen-Cermak,01/01/2018,U,296
6950,40210,Damen-Cermak,03/31/2018,A,743
6954,40210,Damen-Cermak,03/30/2018,W,"1,195"
7114,40210,Damen-Cermak,03/12/2018,W,"1,521"
7292,40210,Damen-Cermak,02/16/2018,W,"1,496"
7389,40210,Damen-Cermak,01/26/2018,W,"1,515"
7557,40210,Damen-Cermak,03/16/2018,W,"1,512"
7738,40210,Damen-Cermak,02/03/2018,A,649
7740,40210,Damen-Cermak,03/21/2018,W,"1,570"
8000,40210,Damen-Cermak,03/25/2018,U,580
8014,40210,Damen-Cermak,01/28/2018,U,486
8186,40210,Damen-Cermak,03/18/2018,U,621
8459,40210,Damen-Cermak,02/27/2018,W,"1,541"
8477,40210,Damen-Cermak,03/08/2018,W,"1,527"
8550,40210,Damen-Cermak,02/23/2018,W,"1,540"
8620,40210,Damen-Cermak,02/06/2018,W,"1,470"
8695,40210,Damen-Cermak,03/28/2018,W,"1,453"
8808,40210,Damen-Cermak,02/01/2018,W,"1,466"
8862,40210,Damen-Cermak,03/06/2018,W,"1,531"
8873,40210,Damen-Cermak,01/25/2018,W,"1,496"
8912,40210,Damen-Cermak,02/07/2018,W,"1,437"
9062,40210,Damen-Cermak,02/20/2018,W,"1,457"
9231,40210,Damen-Cermak,01/29/2018,W,"1,400"
9312,40210,Damen-Cermak,01/17/2018,W,"1,446"
9472,40210,Damen-Cermak,02/19/2018,W,974
9627,40210,Damen-Cermak,02/09/2018,W,"1,021"
9651,40210,Damen-Cermak,01/21/2018,U,551
9777,40210,Damen-Cermak,01/22/2018,W,"1,477"
9791,40210,Damen-Cermak,02/08/2018,W,"1,445"
9916,40210,Damen-Cermak,03/22/2018,W,"1,602"
10038,40210,Damen-Cermak,03/27/2018,W,"1,377"
10104,40210,Damen-Cermak,03/24/2018,A,839
10194,40210,Damen-Cermak,03/07/2018,W,"1,553"
10218,40210,Damen-Cermak,01/15/2018,W,812
10492,40210,Damen-Cermak,03/26/2018,W,"1,332"
10539,40210,Damen-Cermak,01/14/2018,U,489
10642,40210,Damen-Cermak,02/02/2018,W,"1,274"
10671,40210,Damen-Cermak,03/14/2018,W,"1,549"
10707,40210,Damen-Cermak,01/08/2018,W,"1,324"
11052,40210,Damen-Cermak,01/10/2018,W,"1,359"
11679,40210,Damen-Cermak,01/30/2018,W,"1,501"
11692,40210,Damen-Cermak,01/04/2018,W,"1,041"
12133,40210,Damen-Cermak,02/12/2018,W,"1,443"
12768,40210,Damen-Cermak,03/20/2018,W,"1,541"
12798,40210,Damen-Cermak,03/13/2018,W,"1,482"
12911,40210,Damen-Cermak,02/11/2018,U,543
13037,40210,Damen-Cermak,01/31/2018,W,"1,530"
13144,40210,Damen-Cermak,02/18/2018,U,559
13281,40210,Damen-Cermak,02/25/2018,U,550
13310,40210,Damen-Cermak,01/20/2018,A,868
13371,40210,Damen-Cermak,03/05/2018,W,"1,350"
13392,40210,Damen-Cermak,02/05/2018,W,"1,332"
13534,40210,Damen-Cermak,02/24/2018,A,781
13670,40210,Damen-Cermak,01/12/2018,W,"1,359"
14267,40210,Damen-Cermak,02/13/2018,W,"1,494"
14901,40210,Damen-Cermak,02/04/2018,U,466
15026,40210,Damen-Cermak,01/27/2018,A,772
15252,40210,Damen-Cermak,01/13/2018,A,644
15253,40210,Damen-Cermak,01/24/2018,W,"1,466"
15269,40210,Damen-Cermak,01/07/2018,U,494
15302,40210,Damen-Cermak,01/03/2018,W,"1,116"
15579,40210,Damen-Cermak,03/19/2018,W,"1,444"
15587,40210,Damen-Cermak,02/26/2018,W,"1,478"
15643,40210,Damen-Cermak,02/21/2018,W,"1,532"
15661,40210,Damen-Cermak,01/19/2018,W,"1,374"
15820,40210,Damen-Cermak,03/02/2018,W,"1,479"
15919,40210,Damen-Cermak,02/28/2018,W,"1,503"
16059,40210,Damen-Cermak,03/17/2018,A,"1,081"
16317,40210,Damen-Cermak,01/18/2018,W,"1,498"
16692,40210,Damen-Cermak,01/02/2018,W,949
16702,40210,Damen-Cermak,03/15/2018,W,"1,595"
17176,40210,Damen-Cermak,02/15/2018,W,"1,550"
17353,40210,Damen-Cermak,03/04/2018,U,630
17418,40210,Damen-Cermak,01/09/2018,W,"1,367"
17422,40210,Damen-Cermak,03/23/2018,W,"1,533"
17493,40210,Damen-Cermak,02/14/2018,W,"1,492"
17500,40210,Damen-Cermak,01/23/2018,W,"1,517"
17697,40210,Damen-Cermak,04/27/2018,W,"1,548"
17719,40210,Damen-Cermak,05/20/2018,U,546
17893,40210,Damen-Cermak,04/30/2018,W,"1,483"
17950,40210,Damen-Cermak,06/05/2018,W,"1,596"
18001,40210,Damen-Cermak,04/08/2018,U,548
18044,40210,Damen-Cermak,06/17/2018,U,634
18428,40210,Damen-Cermak,05/09/2018,W,"1,521"
18476,40210,Damen-Cermak,05/23/2018,W,"1,561"
18545,40210,Damen-Cermak,04/24/2018,W,"1,553"
18689,40210,Damen-Cermak,05/14/2018,W,"1,393"
18807,40210,Damen-Cermak,06/20/2018,W,"1,538"
18943,40210,Damen-Cermak,04/12/2018,W,"1,505"
19143,40210,Damen-Cermak,05/19/2018,A,857
19383,40210,Damen-Cermak,05/30/2018,W,"1,508"
