,station_id,stationname,date,daytype,rides
3,40140,Dempster-Skokie,12/19/2017,W,"1,759"
165,40140,Dempster-Skokie,12/10/2017,U,628
246,40140,Dempster-Skokie,12/06/2017,W,"1,892"
473,40140,Dempster-Skokie,12/09/2017,A,848
607,40140,Dempster-Skokie,12/18/2017,W,"1,689"
681,40140,Dempster-Skokie,12/29/2017,W,"1,247"
862,40140,Dempster-Skokie,12/23/2017,A,899
1251,40140,Dempster-Skokie,12/24/2017,U,486
1301,40140,Dempster-Skokie,12/31/2017,U,572
1408,40140,Dempster-Skokie,12/20/2017,W,"1,679"
1445,40140,Dempster-Skokie,12/12/2017,W,"1,787"
1479,40140,Dempster-Skokie,12/17/2017,U,619
1574,40140,Dempster-Skokie,12/05/2017,W,"1,891"
1610,40140,Dempster-Skokie,12/21/2017,W,"1,657"
1932,40140,Dempster-Skokie,12/15/2017,W,"1,701"
2176,40140,Dempster-Skokie,12/14/2017,W,"1,762"
2182,40140,Dempster-Skokie,12/07/2017,W,"1,838"
2235,40140,Dempster-Skokie,12/08/2017,W,"1,758"
2290,40140,Dempster-Skokie,12/01/2017,W,"1,890"
2536,40140,Dempster-Skokie,12/16/2017,A,"1,033"
2576,40140,Dempster-Skokie,12/04/2017,W,"1,935"
2921,40140,Dempster-Skokie,12/25/2017,U,258
3021,40140,Dempster-Skokie,12/11/2017,W,"1,741"
3144,40140,Dempster-Skokie,12/27/2017,W,"1,252"
3191,40140,Dempster-Skokie,12/26/2017,W,941
3449,40140,Dempster-Skokie,12/30/2017,A,590
3588,40140,Dempster-Skokie,12/13/2017,W,"1,779"
3922,40140,Dempster-Skokie,12/22/2017,W,"2,573"
3945,40140,Dempster-Skokie,12/03/2017,U,761
4162,40140,Dempster-Skokie,12/28/2017,W,"1,199"
4302,40140,Dempster-Skokie,12/02/2017,A,"1,020"
4889,40140,Dempster-Skokie,02/14/2018,W,"1,810"
5304,40140,Dempster-Skokie,03/05/2018,W,"1,718"
5422,40140,Dempster-Skokie,01/26/2018,W,"1,703"
5542,40140,Dempster-Skokie,03/14/2018,W,"1,762"
5628,40140,Dempster-Skokie,03/23/2018,W,"1,620"
5695,40140,Dempster-Skokie,01/16/2018,W,"1,822"
6011,40140,Dempster-Skokie,03/17/2018,A,"1,712"
6253,40140,Dempster-Skokie,01/31/2018,W,"1,863"
6303,40140,Dempster-Skokie,02/28/2018,W,"1,807"
6310,40140,Dempster-Skokie,02/23/2018,W,"1,640"
7053,40140,Dempster-Skokie,02/10/2018,A,688
7149,40140,Dempster-Skokie,02/11/2018,U,486
7321,40140,Dempster-Skokie,02/18/2018,U,670
7399,40140,Dempster-Skokie,03/15/2018,W,"1,873"
7565,40140,Dempster-Skokie,01/19/2018,W,"1,681"
7662,40140,Dempster-Skokie,01/30/2018,W,"1,819"
7817,40140,Dempster-Skokie,02/17/2018,A,794
7868,40140,Dempster-Skokie,01/06/2018,A,533
7959,40140,Dempster-Skokie,03/13/2018,W,"1,835"
8002,40140,Dempster-Skokie,03/19/2018,W,"1,736"
8082,40140,Dempster-Skokie,03/22/2018,W,"1,824"
8184,40140,Dempster-Skokie,03/04/2018,U,559
8274,40140,Dempster-Skokie,01/08/2018,W,"1,616"
8538,40140,Dempster-Skokie,01/13/2018,A,593
8691,40140,Dempster-Skokie,03/12/2018,W,"1,920"
8761,40140,Dempster-Skokie,03/11/2018,U,587
8791,40140,Dempster-Skokie,03/03/2018,A,833
8967,40140,Dempster-Skokie,02/15/2018,W,"1,821"
9263,40140,Dempster-Skokie,02/05/2018,W,"1,699"
9373,40140,Dempster-Skokie,01/05/2018,W,"1,286"
9560,40140,Dempster-Skokie,01/15/2018,W,"1,119"
9630,40140,Dempster-Skokie,02/04/2018,U,431
9740,40140,Dempster-Skokie,02/01/2018,W,"1,803"
9970,40140,Dempster-Skokie,01/12/2018,W,"1,355"
10006,40140,Dempster-Skokie,01/02/2018,W,"1,313"
10493,40140,Dempster-Skokie,02/07/2018,W,"1,831"
10546,40140,Dempster-Skokie,02/08/2018,W,"1,755"
10577,40140,Dempster-Skokie,02/03/2018,A,709
10672,40140,Dempster-Skokie,03/29/2018,W,"1,718"
11078,40140,Dempster-Skokie,02/02/2018,W,"1,546"
11664,40140,Dempster-Skokie,01/29/2018,W,"1,795"
11858,40140,Dempster-Skokie,01/11/2018,W,"1,638"
12016,40140,Dempster-Skokie,02/24/2018,A,704
12291,40140,Dempster-Skokie,01/04/2018,W,"1,376"
12336,40140,Dempster-Skokie,03/02/2018,W,"1,721"
12370,40140,Dempster-Skokie,03/06/2018,W,"1,759"
12383,40140,Dempster-Skokie,03/31/2018,A,734
12600,40140,Dempster-Skokie,03/20/2018,W,"1,531"
12726,40140,Dempster-Skokie,01/25/2018,W,"1,844"
12835,40140,Dempster-Skokie,01/17/2018,W,"1,812"
12924,40140,Dempster-Skokie,03/26/2018,W,"1,732"
12987,40140,Dempster-Skokie,01/14/2018,U,516
13433,40140,Dempster-Skokie,02/22/2018,W,"1,859"
13517,40140,Dempster-Skokie,02/13/2018,W,"1,821"
13785,40140,Dempster-Skokie,01/21/2018,U,515
13961,40140,Dempster-Skokie,02/19/2018,W,"1,492"
14028,40140,Dempster-Skokie,03/01/2018,W,"1,763"
14323,40140,Skokie,02/01/2003,A,0
14360,40140,Dempster-Skokie,02/27/2018,W,"1,863"
14418,40140,Dempster-Skokie,03/25/2018,U,573
14508,40140,Dempster-Skokie,02/09/2018,W,"1,035"
14658,40140,Dempster-Skokie,03/27/2018,W,"1,827"
14801,40140,Dempster-Skokie,01/18/2018,W,"1,821"
14995,40140,Dempster-Skokie,01/24/2018,W,"1,896"
14998,40140,Dempster-Skokie,02/16/2018,W,"1,644"
15042,40140,Dempster-Skokie,01/09/2018,W,"1,685"
15125,40140,Dempster-Skokie,01/20/2018,A,"1,034"
15283,40140,Dempster-Skokie,02/21/2018,W,"1,863"
15306,40140,Dempster-Skokie,02/12/2018,W,"1,753"
15312,40140,Dempster-Skokie,02/25/2018,U,608
15318,40140,Dempster-Skokie,01/28/2018,U,548
15499,40140,Dempster-Skokie,03/08/2018,W,"1,746"
15555,40140,Dempster-Skokie,01/22/2018,W,"1,838"
15578,40140,Dempster-Skokie,02/26/2018,W,"1,845"
15588,40140,Dempster-Skokie,03/18/2018,U,616
15635,40140,Dempster-Skokie,03/30/2018,W,"1,395"
