,station_id,stationname,date,daytype,rides
4,40690,Dempster,12/03/2017,U,499
24,40690,Dempster,12/24/2017,U,326
52,40690,Dempster,12/18/2017,W,696
90,40690,Dempster,12/06/2017,W,863
206,40690,Dempster,12/08/2017,W,884
286,40690,Dempster,12/21/2017,W,773
339,40690,Dempster,12/26/2017,W,349
357,40690,Dempster,12/13/2017,W,846
680,40690,Dempster,12/22/2017,W,701
712,40690,Dempster,12/05/2017,W,805
726,40690,Dempster,12/31/2017,U,430
1108,40690,Dempster,12/09/2017,A,672
1259,40690,Dempster,12/23/2017,A,452
1327,40690,Dempster,12/10/2017,U,498
1474,40690,Dempster,12/17/2017,U,461
1522,40690,Dempster,12/19/2017,W,764
1773,40690,Dempster,12/15/2017,W,851
1777,40690,Dempster,12/04/2017,W,821
1853,40690,Dempster,12/25/2017,U,134
2067,40690,Dempster,12/02/2017,A,665
2330,40690,Dempster,12/20/2017,W,778
2710,40690,Dempster,12/07/2017,W,865
2761,40690,Dempster,12/12/2017,W,780
2829,40690,Dempster,12/16/2017,A,695
3457,40690,Dempster,12/28/2017,W,470
3465,40690,Dempster,12/30/2017,A,400
3604,40690,Dempster,12/11/2017,W,761
3639,40690,Dempster,12/01/2017,W,881
3796,40690,Dempster,12/14/2017,W,817
4171,40690,Dempster,12/29/2017,W,523
4480,40690,Dempster,12/27/2017,W,478
4573,40690,Dempster,02/20/2018,W,773
4815,40690,Dempster,03/27/2018,W,769
4929,40690,Dempster,03/25/2018,U,529
5072,40690,Dempster,01/16/2018,W,757
5117,40690,Dempster,03/11/2018,U,483
5162,40690,Dempster,02/12/2018,W,770
5163,40690,Dempster,01/28/2018,U,480
5343,40690,Dempster,02/26/2018,W,783
5428,40690,Dempster,01/07/2018,U,455
5437,40690,Dempster,03/21/2018,W,853
5568,40690,Dempster,02/02/2018,W,818
5668,40690,Dempster,01/26/2018,W,906
5678,40690,Dempster,01/15/2018,W,584
5683,40690,Dempster,02/22/2018,W,831
5806,40690,Dempster,03/13/2018,W,800
5872,40690,Dempster,01/01/2018,U,246
5915,40690,Dempster,01/25/2018,W,803
6328,40690,Dempster,02/25/2018,U,495
6362,40690,Dempster,03/09/2018,W,872
6371,40690,Dempster,02/14/2018,W,904
6400,40690,Dempster,02/06/2018,W,772
6528,40690,Dempster,01/13/2018,A,576
6830,40690,Dempster,02/23/2018,W,874
7004,40690,Dempster,01/14/2018,U,504
7176,40690,Dempster,01/02/2018,W,553
7217,40690,Dempster,03/26/2018,W,746
7376,40690,Dempster,03/23/2018,W,808
7672,40690,Dempster,03/08/2018,W,810
7760,40690,Dempster,03/22/2018,W,801
8071,40690,Dempster,01/19/2018,W,826
8204,40690,Dempster,02/19/2018,W,614
8215,40690,Dempster,02/10/2018,A,653
8271,40690,Dempster,02/04/2018,U,445
8344,40690,Dempster,03/17/2018,A,838
8426,40690,Dempster,03/20/2018,W,797
8461,40690,Dempster,01/27/2018,A,631
8603,40690,Dempster,03/03/2018,A,671
8819,40690,Dempster,02/27/2018,W,853
8995,40690,Dempster,03/28/2018,W,741
9060,40690,Dempster,02/03/2018,A,612
9503,40690,Dempster,01/09/2018,W,780
9952,40690,Dempster,01/20/2018,A,773
10129,40690,Dempster,01/23/2018,W,828
10636,40690,Dempster,02/18/2018,U,514
10712,40690,Dempster,01/29/2018,W,775
10782,40690,Dempster,03/01/2018,W,774
10991,40690,Dempster,02/28/2018,W,801
11046,40690,Dempster,01/12/2018,W,736
11249,40690,Dempster,02/15/2018,W,803
11494,40690,Dempster,03/05/2018,W,727
11715,40690,Dempster,03/12/2018,W,790
11792,40690,Dempster,03/16/2018,W,870
11844,40690,Dempster,01/10/2018,W,779
11893,40690,Dempster,03/31/2018,A,539
11937,40690,Dempster,01/31/2018,W,841
12295,40690,Dempster,03/04/2018,U,427
12350,40690,Dempster,01/17/2018,W,777
12453,40690,Dempster,02/01/2018,W,836
12462,40690,Dempster,01/11/2018,W,784
12697,40690,Dempster,03/06/2018,W,815
12984,40690,Dempster,03/29/2018,W,735
13004,40690,Dempster,03/14/2018,W,844
13060,40690,Dempster,01/24/2018,W,775
13123,40690,Dempster,03/18/2018,U,490
13166,40690,Dempster,01/30/2018,W,798
13460,40690,Dempster,02/07/2018,W,828
13546,40690,Dempster,01/06/2018,A,534
13621,40690,Dempster,02/16/2018,W,797
13815,40690,Dempster,03/15/2018,W,859
13819,40690,Dempster,02/09/2018,W,661
13929,40690,Dempster,01/03/2018,W,635
14134,40690,Dempster,02/08/2018,W,830
14500,40690,Dempster,03/02/2018,W,831
14556,40690,Dempster,02/17/2018,A,592
14762,40690,Dempster,02/13/2018,W,807
14783,40690,Dempster,02/11/2018,U,478
15554,40690,Dempster,03/07/2018,W,838
15762,40690,Dempster,02/24/2018,A,614
15768,40690,Dempster,03/24/2018,A,626
15962,40690,Dempster,02/21/2018,W,872
16067,40690,Dempster,01/05/2018,W,711
16134,40690,Dempster,02/05/2018,W,744
16152,40690,Dempster,01/08/2018,W,779
16280,40690,Dempster,03/19/2018,W,739
16354,40690,Dempster,01/21/2018,U,442
16415,40690,Dempster,01/18/2018,W,752
16795,40690,Dempster,03/30/2018,W,765
16885,40690,Dempster,03/10/2018,A,616
17308,40690,Dempster,01/22/2018,W,766
17433,40690,Dempster,01/04/2018,W,668
17579,40690,Dempster,04/11/2018,W,809
17759,40690,Dempster,06/10/2018,U,507
18155,40690,Dempster,04/16/2018,W,776
18174,40690,Dempster,05/18/2018,W,910
18199,40690,Dempster,05/20/2018,U,475
18262,40690,Dempster,04/06/2018,W,878
18287,40690,Dempster,06/23/2018,A,626
18406,40690,Dempster,04/18/2018,W,785
18868,40690,Dempster,05/06/2018,U,460
19174,40690,Dempster,05/21/2018,W,774
19202,40690,Dempster,04/17/2018,W,868
19366,40690,Dempster,04/30/2018,W,801
19531,40690,Dempster,04/24/2018,W,790
19597,40690,Dempster,04/01/2018,U,402
19744,40690,Dempster,04/02/2018,W,771
19867,40690,Dempster,04/10/2018,W,859
19954,40690,Dempster,06/09/2018,A,715
20087,40690,Dempster,05/19/2018,A,648
20212,40690,Dempster,05/22/2018,W,831
20311,40690,Dempster,05/30/2018,W,789
20365,40690,Dempster,05/10/2018,W,823
20430,40690,Dempster,04/07/2018,A,607
20597,40690,Dempster,06/11/2018,W,783
20755,40690,Dempster,05/07/2018,W,824
20756,40690,Dempster,06/16/2018,A,712
20853,40690,Dempster,06/13/2018,W,929
20922,40690,Dempster,06/18/2018,W,886
21020,40690,Dempster,05/04/2018,W,901
21071,40690,Dempster,04/27/2018,W,901
21143,40690,Dempster,06/15/2018,W,942
21204,40690,Dempster,04/22/2018,U,498
21298,40690,Dempster,05/26/2018,A,603
21383,40690,Dempster,06/06/2018,W,891
21507,40690,Dempster,06/12/2018,W,895
21509,40690,Dempster,04/25/2018,W,763
21533,40690,Dempster,04/14/2018,A,641
21543,40690,Dempster,05/15/2018,W,809
21709,40690,Dempster,06/04/2018,W,895
21779,40690,Dempster,05/08/2018,W,861
22366,40690,Dempster,05/12/2018,A,554
22369,40690,Dempster,05/16/2018,W,807
22828,40690,Dempster,04/15/2018,U,470
22866,40690,Dempster,06/25/2018,W,836
22925,40690,Dempster,05/02/2018,W,822
23178,40690,Dempster,04/04/2018,W,805
23221,40690,Dempster,06/07/2018,W,932
23550,40690,Dempster,04/12/2018,W,865
23762,40690,Dempster,05/03/2018,W,829
23867,40690,Dempster,06/28/2018,W,970
23942,40690,Dempster,05/14/2018,W,766
23994,40690,Dempster,05/29/2018,W,806
24004,40690,Dempster,04/29/2018,U,557
24084,40690,Dempster,06/08/2018,W,945
24527,40690,Dempster,05/24/2018,W,832
24729,40690,Dempster,05/13/2018,U,486
25088,40690,Dempster,06/21/2018,W,853
25251,40690,Dempster,05/05/2018,A,610
25326,40690,Dempster,05/01/2018,W,820
25579,40690,Dempster,04/03/2018,W,781
25769,40690,Dempster,06/26/2018,W,878
25933,40690,Dempster,06/17/2018,U,496
26011,40690,Dempster,06/14/2018,W,925
26162,40690,Dempster,04/19/2018,W,803
26351,40690,Dempster,04/20/2018,W,820
26538,40690,Dempster,04/05/2018,W,846
26601,40690,Dempster,06/27/2018,W,949
26604,40690,Dempster,04/09/2018,W,779
26921,40690,Dempster,04/28/2018,A,702
27157,40690,Dempster,04/21/2018,A,623
27559,40690,Dempster,06/24/2018,U,634
27767,40690,Dempster,05/17/2018,W,865
27876,40690,Dempster,05/28/2018,U,402
28019,40690,Dempster,05/23/2018,W,853
28036,40690,Dempster,06/02/2018,A,622
28076,40690,Dempster,06/22/2018,W,949
28111,40690,Dempster,05/31/2018,W,896
28241,40690,Dempster,04/23/2018,W,797
28419,40690,Dempster,06/20/2018,W,977
28762,40690,Dempster,05/09/2018,W,851
28876,40690,Dempster,06/19/2018,W,943
28898,40690,Dempster,06/30/2018,A,743
29052,40690,Dempster,06/05/2018,W,892
29154,40690,Dempster,06/29/2018,W,"1,013"
29495,40690,Dempster,06/03/2018,U,546
29586,40690,Dempster,04/08/2018,U,491
29635,40690,Dempster,04/13/2018,W,881
29714,40690,Dempster,05/11/2018,W,891
30312,40690,Dempster,06/01/2018,W,984
30421,40690,Dempster,05/25/2018,W,918
30538,40690,Dempster,05/27/2018,U,598
30561,40690,Dempster,04/26/2018,W,839
32582,40690,Dempster,07/01/2018,U,541
32583,40690,Dempster,07/02/2018,W,818
32584,40690,Dempster,07/03/2018,W,875
32585,40690,Dempster,07/04/2018,U,561
32586,40690,Dempster,07/05/2018,W,803
32587,40690,Dempster,07/06/2018,W,902
32588,40690,Dempster,07/07/2018,A,660
32589,40690,Dempster,07/08/2018,U,551
32590,40690,Dempster,07/09/2018,W,798
32591,40690,Dempster,07/10/2018,W,872
32592,40690,Dempster,07/11/2018,W,889
32593,40690,Dempster,07/12/2018,W,891
32594,40690,Dempster,07/13/2018,W,941
32595,40690,Dempster,07/14/2018,A,723
32596,40690,Dempster,07/15/2018,U,522
32597,40690,Dempster,07/16/2018,W,853
32598,40690,Dempster,07/17/2018,W,903
32599,40690,Dempster,07/18/2018,W,890
32600,40690,Dempster,07/19/2018,W,955
32601,40690,Dempster,07/20/2018,W,925
32602,40690,Dempster,07/21/2018,A,683
32603,40690,Dempster,07/22/2018,U,532
32604,40690,Dempster,07/23/2018,W,861
32605,40690,Dempster,07/24/2018,W,974
32606,40690,Dempster,07/25/2018,W,951
32607,40690,Dempster,07/26/2018,W,944
32608,40690,Dempster,07/27/2018,W,961
32609,40690,Dempster,07/28/2018,A,678
32610,40690,Dempster,07/29/2018,U,554
32611,40690,Dempster,07/30/2018,W,850
32612,40690,Dempster,07/31/2018,W,833
37056,40690,Dempster,08/01/2018,W,844
37057,40690,Dempster,08/02/2018,W,"1,072"
37058,40690,Dempster,08/03/2018,W,"1,091"
37059,40690,Dempster,08/04/2018,A,782
37060,40690,Dempster,08/05/2018,U,568
37061,40690,Dempster,08/06/2018,W,774
37062,40690,Dempster,08/07/2018,W,834
37063,40690,Dempster,08/08/2018,W,908
37064,40690,Dempster,08/09/2018,W,845
37065,40690,Dempster,08/10/2018,W,939
37066,40690,Dempster,08/11/2018,A,784
37067,40690,Dempster,08/12/2018,U,527
37068,40690,Dempster,08/13/2018,W,793
37069,40690,Dempster,08/14/2018,W,841
37070,40690,Dempster,08/15/2018,W,801
37071,40690,Dempster,08/16/2018,W,880
37072,40690,Dempster,08/17/2018,W,877
37073,40690,Dempster,08/18/2018,A,785
37074,40690,Dempster,08/19/2018,U,497
37075,40690,Dempster,08/20/2018,W,783
37076,40690,Dempster,08/21/2018,W,811
37077,40690,Dempster,08/22/2018,W,896
37078,40690,Dempster,08/23/2018,W,919
37079,40690,Dempster,08/24/2018,W,843
