,station_id,stationname,date,daytype,rides
351,40530,Diversey,12/10/2017,U,"1,912"
687,40530,Diversey,12/21/2017,W,"5,020"
694,40530,Diversey,12/15/2017,W,"5,491"
760,40530,Diversey,12/03/2017,U,"2,067"
812,40530,Diversey,12/27/2017,W,"2,533"
849,40530,Diversey,12/20/2017,W,"5,334"
881,40530,Diversey,12/11/2017,W,"5,419"
983,40530,Diversey,12/06/2017,W,"5,741"
1138,40530,Diversey,12/16/2017,A,"2,915"
1210,40530,Diversey,12/23/2017,A,"1,657"
1229,40530,Diversey,12/01/2017,W,"5,866"
1500,40530,Diversey,12/07/2017,W,"5,712"
1517,40530,Diversey,12/31/2017,U,"1,519"
2026,40530,Diversey,12/08/2017,W,"5,601"
2203,40530,Diversey,12/17/2017,U,"1,843"
2658,40530,Diversey,12/14/2017,W,"5,685"
2768,40530,Diversey,12/05/2017,W,"5,758"
2834,40530,Diversey,12/09/2017,A,"2,846"
2913,40530,Diversey,12/02/2017,A,"3,371"
3073,40530,Diversey,12/30/2017,A,"1,686"
3126,40530,Diversey,12/12/2017,W,"5,618"
3189,40530,Diversey,12/28/2017,W,"3,018"
3330,40530,Diversey,12/25/2017,U,384
3365,40530,Diversey,12/22/2017,W,"3,793"
3450,40530,Diversey,12/24/2017,U,841
3683,40530,Diversey,12/26/2017,W,"1,559"
3875,40530,Diversey,12/04/2017,W,"5,667"
3906,40530,Diversey,12/18/2017,W,"5,267"
4119,40530,Diversey,12/13/2017,W,"5,663"
4327,40530,Diversey,12/19/2017,W,"5,585"
4427,40530,Diversey,12/29/2017,W,"3,019"
4712,40530,Diversey,02/25/2018,U,"1,816"
4900,40530,Diversey,01/25/2018,W,"5,888"
5069,40530,Diversey,01/20/2018,A,"3,006"
5110,40530,Diversey,01/21/2018,U,"1,694"
5168,40530,Diversey,01/17/2018,W,"5,667"
5238,40530,Diversey,03/21/2018,W,"5,507"
5420,40530,Diversey,01/26/2018,W,"5,704"
5649,40530,Diversey,01/03/2018,W,"5,149"
5749,40530,Diversey,02/03/2018,A,"2,451"
5778,40530,Diversey,03/06/2018,W,"5,726"
5861,40530,Diversey,03/05/2018,W,"5,393"
6126,40530,Diversey,03/19/2018,W,"5,512"
6257,40530,Diversey,01/31/2018,W,"5,772"
6263,40530,Diversey,03/12/2018,W,"5,601"
6271,40530,Diversey,01/27/2018,A,"2,929"
6423,40530,Diversey,02/04/2018,U,"1,653"
6521,40530,Diversey,01/18/2018,W,"5,738"
6530,40530,Diversey,02/23/2018,W,"5,605"
6747,40530,Diversey,02/17/2018,A,"2,812"
6770,40530,Diversey,01/05/2018,W,"4,936"
7175,40530,Diversey,01/13/2018,A,"2,408"
7241,40530,Diversey,03/03/2018,A,"2,804"
7295,40530,Diversey,01/29/2018,W,"5,465"
7400,40530,Diversey,01/09/2018,W,"5,741"
7489,40530,Diversey,03/15/2018,W,"5,894"
7632,40530,Diversey,02/09/2018,W,"4,030"
7922,40530,Diversey,03/25/2018,U,"1,880"
8010,40530,Diversey,02/19/2018,W,"3,989"
8132,40530,Diversey,01/28/2018,U,"1,815"
8199,40530,Diversey,02/07/2018,W,"5,641"
8234,40530,Diversey,03/28/2018,W,"5,686"
8330,40530,Diversey,02/18/2018,U,"1,945"
8657,40530,Diversey,03/22/2018,W,"5,594"
8722,40530,Diversey,01/11/2018,W,"5,685"
8859,40530,Diversey,03/16/2018,W,"5,766"
9210,40530,Diversey,02/06/2018,W,"5,675"
9341,40530,Diversey,01/02/2018,W,"4,266"
9440,40530,Diversey,02/26/2018,W,"5,588"
9505,40530,Diversey,01/19/2018,W,"5,699"
9525,40530,Diversey,03/27/2018,W,"5,614"
9547,40530,Diversey,03/24/2018,A,"2,441"
9865,40530,Diversey,02/27/2018,W,"5,844"
9957,40530,Diversey,03/08/2018,W,"5,691"
9994,40530,Diversey,02/28/2018,W,"5,792"
10011,40530,Diversey,01/22/2018,W,"5,465"
10048,40530,Diversey,02/02/2018,W,"5,287"
10409,40530,Diversey,01/14/2018,U,"1,576"
10423,40530,Diversey,02/20/2018,W,"5,550"
10568,40530,Diversey,02/14/2018,W,"5,777"
10927,40530,Diversey,01/06/2018,A,"2,090"
11128,40530,Diversey,01/23/2018,W,"5,879"
11152,40530,Diversey,03/26/2018,W,"5,354"
11294,40530,Diversey,02/11/2018,U,"1,884"
11489,40530,Diversey,03/17/2018,A,"4,876"
11969,40530,Diversey,03/02/2018,W,"5,707"
12022,40530,Diversey,01/16/2018,W,"5,688"
12180,40530,Diversey,02/01/2018,W,"5,508"
12651,40530,Diversey,03/30/2018,W,"4,679"
12673,40530,Diversey,02/22/2018,W,"5,783"
12696,40530,Diversey,03/04/2018,U,"1,838"
13068,40530,Diversey,02/10/2018,A,"2,805"
13113,40530,Diversey,01/24/2018,W,"5,832"
13159,40530,Diversey,02/15/2018,W,"5,572"
13216,40530,Diversey,03/14/2018,W,"5,895"
13237,40530,Diversey,01/07/2018,U,"1,560"
13299,40530,Diversey,01/10/2018,W,"5,695"
13462,40530,Diversey,02/13/2018,W,"5,751"
13518,40530,Diversey,01/04/2018,W,"5,072"
13558,40530,Diversey,01/01/2018,U,"1,068"
13576,40530,Diversey,03/10/2018,A,"3,072"
13735,40530,Diversey,03/13/2018,W,"5,762"
13834,40530,Diversey,03/20/2018,W,"5,558"
13908,40530,Diversey,03/29/2018,W,"5,572"
13937,40530,Diversey,01/30/2018,W,"5,818"
14252,40530,Diversey,01/12/2018,W,"5,253"
14370,40530,Diversey,02/05/2018,W,"5,182"
14407,40530,Diversey,02/21/2018,W,"5,806"
14561,40530,Diversey,03/01/2018,W,"5,727"
14955,40530,Diversey,02/08/2018,W,"5,542"
15014,40530,Diversey,02/16/2018,W,"5,431"
15362,40530,Diversey,02/24/2018,A,"2,728"
15688,40530,Diversey,03/23/2018,W,"5,320"
