,station_id,stationname,date,daytype,rides
15,40720,East 63rd-Cottage Grove,12/26/2017,W,613
39,40720,East 63rd-Cottage Grove,12/27/2017,W,708
309,40720,East 63rd-Cottage Grove,12/15/2017,W,"1,092"
868,40720,East 63rd-Cottage Grove,12/18/2017,W,"1,037"
913,40720,East 63rd-Cottage Grove,12/06/2017,W,"1,151"
980,40720,East 63rd-Cottage Grove,12/14/2017,W,"1,088"
1032,40720,East 63rd-Cottage Grove,12/04/2017,W,"1,217"
1054,40720,East 63rd-Cottage Grove,12/20/2017,W,"1,089"
1070,40720,East 63rd-Cottage Grove,12/28/2017,W,733
1143,40720,East 63rd-Cottage Grove,12/17/2017,U,504
1166,40720,East 63rd-Cottage Grove,12/09/2017,A,586
1393,40720,East 63rd-Cottage Grove,12/12/2017,W,"1,034"
1759,40720,East 63rd-Cottage Grove,12/30/2017,A,515
1839,40720,East 63rd-Cottage Grove,12/13/2017,W,"1,108"
2049,40720,East 63rd-Cottage Grove,12/21/2017,W,"1,001"
2090,40720,East 63rd-Cottage Grove,12/05/2017,W,"1,084"
2168,40720,East 63rd-Cottage Grove,12/10/2017,U,476
2231,40720,East 63rd-Cottage Grove,12/24/2017,U,414
2250,40720,East 63rd-Cottage Grove,12/01/2017,W,"1,268"
2292,40720,East 63rd-Cottage Grove,12/07/2017,W,"1,104"
2311,40720,East 63rd-Cottage Grove,12/29/2017,W,848
2428,40720,East 63rd-Cottage Grove,12/23/2017,A,574
2757,40720,East 63rd-Cottage Grove,12/22/2017,W,982
2828,40720,East 63rd-Cottage Grove,12/02/2017,A,700
2893,40720,East 63rd-Cottage Grove,12/16/2017,A,671
3424,40720,East 63rd-Cottage Grove,12/25/2017,U,390
3794,40720,East 63rd-Cottage Grove,12/08/2017,W,"1,101"
3877,40720,East 63rd-Cottage Grove,12/11/2017,W,"1,109"
3887,40720,East 63rd-Cottage Grove,12/31/2017,U,404
3937,40720,East 63rd-Cottage Grove,12/03/2017,U,589
4300,40720,East 63rd-Cottage Grove,12/19/2017,W,"1,127"
4606,40720,East 63rd-Cottage Grove,03/05/2018,W,"1,059"
4607,40720,East 63rd-Cottage Grove,01/04/2018,W,869
4618,40720,East 63rd-Cottage Grove,01/22/2018,W,"1,120"
4971,40720,East 63rd-Cottage Grove,02/04/2018,U,401
5010,40720,East 63rd-Cottage Grove,02/21/2018,W,"1,087"
5070,40720,East 63rd-Cottage Grove,03/22/2018,W,"1,091"
5349,40720,East 63rd-Cottage Grove,03/14/2018,W,"1,108"
5721,40720,East 63rd-Cottage Grove,02/12/2018,W,944
5928,40720,East 63rd-Cottage Grove,01/05/2018,W,903
5987,40720,East 63rd-Cottage Grove,02/18/2018,U,467
6212,40720,East 63rd-Cottage Grove,01/18/2018,W,"1,069"
6383,40720,East 63rd-Cottage Grove,03/09/2018,W,"1,111"
6604,40720,East 63rd-Cottage Grove,01/20/2018,A,607
6881,40720,East 63rd-Cottage Grove,01/30/2018,W,"1,002"
7097,40720,East 63rd-Cottage Grove,02/05/2018,W,968
7312,40720,East 63rd-Cottage Grove,03/30/2018,W,"1,034"
7317,40720,East 63rd-Cottage Grove,02/14/2018,W,"1,118"
7659,40720,East 63rd-Cottage Grove,01/07/2018,U,436
7969,40720,East 63rd-Cottage Grove,03/04/2018,U,504
8126,40720,East 63rd-Cottage Grove,03/13/2018,W,"1,040"
8543,40720,East 63rd-Cottage Grove,01/19/2018,W,"1,090"
8706,40720,East 63rd-Cottage Grove,02/03/2018,A,526
8734,40720,East 63rd-Cottage Grove,03/20/2018,W,"1,056"
8793,40720,East 63rd-Cottage Grove,01/12/2018,W,"1,008"
8971,40720,East 63rd-Cottage Grove,02/22/2018,W,"1,138"
9315,40720,East 63rd-Cottage Grove,01/27/2018,A,679
9673,40720,East 63rd-Cottage Grove,01/10/2018,W,"1,005"
9742,40720,East 63rd-Cottage Grove,02/06/2018,W,"1,036"
9931,40720,East 63rd-Cottage Grove,03/16/2018,W,"1,164"
10035,40720,East 63rd-Cottage Grove,02/02/2018,W,"1,016"
10091,40720,East 63rd-Cottage Grove,01/06/2018,A,525
10179,40720,East 63rd-Cottage Grove,03/15/2018,W,"1,096"
10361,40720,East 63rd-Cottage Grove,02/25/2018,U,533
10587,40720,East 63rd-Cottage Grove,03/25/2018,U,536
10771,40720,East 63rd-Cottage Grove,03/24/2018,A,561
10787,40720,East 63rd-Cottage Grove,03/26/2018,W,999
10860,40720,East 63rd-Cottage Grove,02/24/2018,A,667
10902,40720,East 63rd-Cottage Grove,02/10/2018,A,517
10922,40720,East 63rd-Cottage Grove,02/17/2018,A,546
