,station_id,stationname,date,daytype,rides
324,40510,Garfield-South Elevated,12/22/2017,W,"1,042"
458,40510,Garfield-South Elevated,12/24/2017,U,431
491,40510,Garfield-South Elevated,12/09/2017,A,688
889,40510,Garfield-South Elevated,12/17/2017,U,486
1175,40510,Garfield-South Elevated,12/31/2017,U,393
1378,40510,Garfield-South Elevated,12/21/2017,W,"1,127"
1561,40510,Garfield-South Elevated,12/01/2017,W,"1,424"
1991,40510,Garfield-South Elevated,12/27/2017,W,787
1994,40510,Garfield-South Elevated,12/07/2017,W,"1,282"
2070,40510,Garfield-South Elevated,12/12/2017,W,"1,162"
2360,40510,Garfield-South Elevated,12/18/2017,W,"1,212"
2363,40510,Garfield-South Elevated,12/10/2017,U,579
2466,40510,Garfield-South Elevated,12/29/2017,W,851
2477,40510,Garfield-South Elevated,12/04/2017,W,"1,330"
2738,40510,Garfield-South Elevated,12/13/2017,W,"1,250"
2930,40510,Garfield-South Elevated,12/16/2017,A,669
3197,40510,Garfield-South Elevated,12/30/2017,A,500
3360,40510,Garfield-South Elevated,12/11/2017,W,"1,239"
3417,40510,Garfield-South Elevated,12/05/2017,W,"1,335"
3493,40510,Garfield-South Elevated,12/20/2017,W,"1,165"
3567,40510,Garfield-South Elevated,12/03/2017,U,586
3593,40510,Garfield-South Elevated,12/28/2017,W,819
3662,40510,Garfield-South Elevated,12/08/2017,W,"1,330"
3719,40510,Garfield-South Elevated,12/15/2017,W,"1,202"
3737,40510,Garfield-South Elevated,12/23/2017,A,619
3740,40510,Garfield-South Elevated,12/06/2017,W,"1,294"
3830,40510,Garfield-South Elevated,12/19/2017,W,"1,240"
3835,40510,Garfield-South Elevated,12/02/2017,A,847
4180,40510,Garfield-South Elevated,12/25/2017,U,304
4219,40510,Garfield-South Elevated,12/26/2017,W,668
4249,40510,Garfield-South Elevated,12/14/2017,W,"1,261"
5250,40510,Garfield-South Elevated,02/09/2018,W,961
5324,40510,Garfield-South Elevated,01/08/2018,W,"1,218"
5342,40510,Garfield-South Elevated,02/20/2018,W,"1,224"
5344,40510,Garfield-South Elevated,01/15/2018,W,763
5433,40510,Garfield-South Elevated,03/30/2018,W,"1,197"
5783,40510,Garfield-South Elevated,01/13/2018,A,612
5801,40510,Garfield-South Elevated,03/19/2018,W,"1,147"
5871,40510,Garfield-South Elevated,02/28/2018,W,"1,308"
6061,40510,Garfield-South Elevated,01/24/2018,W,"1,200"
6224,40510,Garfield-South Elevated,02/04/2018,U,437
6339,40510,Garfield-South Elevated,01/16/2018,W,"1,169"
6375,40510,Garfield-South Elevated,01/02/2018,W,834
6393,40510,Garfield-South Elevated,01/04/2018,W,952
6465,40510,Garfield-South Elevated,03/24/2018,A,709
6507,40510,Garfield-South Elevated,01/30/2018,W,"1,218"
6639,40510,Garfield-South Elevated,03/21/2018,W,"1,253"
6789,40510,Garfield-South Elevated,01/03/2018,W,961
6835,40510,Garfield-South Elevated,01/07/2018,U,431
6927,40510,Garfield-South Elevated,03/17/2018,A,762
6969,40510,Garfield-South Elevated,03/15/2018,W,"1,286"
6981,40510,Garfield-South Elevated,02/11/2018,U,464
7057,40510,Garfield-South Elevated,01/19/2018,W,"1,252"
7109,40510,Garfield-South Elevated,01/26/2018,W,"1,356"
7481,40510,Garfield-South Elevated,03/04/2018,U,535
7540,40510,Garfield-South Elevated,02/26/2018,W,"1,271"
7737,40510,Garfield-South Elevated,03/23/2018,W,"1,185"
8074,40510,Garfield-South Elevated,02/27/2018,W,"1,304"
8087,40510,Garfield-South Elevated,03/22/2018,W,"1,317"
8096,40510,Garfield-South Elevated,01/27/2018,A,790
8136,40510,Garfield-South Elevated,03/29/2018,W,"1,194"
8163,40510,Garfield-South Elevated,02/01/2018,W,"1,276"
8240,40510,Garfield-South Elevated,03/18/2018,U,516
8455,40510,Garfield-South Elevated,03/09/2018,W,"1,280"
8469,40510,Garfield-South Elevated,01/28/2018,U,470
8532,40510,Garfield-South Elevated,02/05/2018,W,"1,112"
9149,40510,Garfield-South Elevated,03/20/2018,W,"1,162"
9718,40510,Garfield-South Elevated,03/05/2018,W,"1,189"
9721,40510,Garfield-South Elevated,01/25/2018,W,"1,309"
9776,40510,Garfield-South Elevated,01/20/2018,A,740
9835,40510,Garfield-South Elevated,01/14/2018,U,509
9889,40510,Garfield-South Elevated,02/25/2018,U,497
10073,40510,Garfield-South Elevated,03/13/2018,W,"1,334"
10137,40510,Garfield-South Elevated,02/07/2018,W,"1,184"
10163,40510,Garfield-South Elevated,03/02/2018,W,"1,332"
10387,40510,Garfield-South Elevated,02/18/2018,U,553
10490,40510,Garfield-South Elevated,01/18/2018,W,"1,183"
10573,40510,Garfield-South Elevated,03/25/2018,U,537
10723,40510,Garfield-South Elevated,01/21/2018,U,520
11403,40510,Garfield-South Elevated,03/03/2018,A,782
11826,40510,Garfield-South Elevated,03/01/2018,W,"1,202"
11986,40510,Garfield-South Elevated,01/23/2018,W,"1,194"
12003,40510,Garfield-South Elevated,02/17/2018,A,763
12193,40510,Garfield-South Elevated,02/21/2018,W,"1,284"
12297,40510,Garfield-South Elevated,01/12/2018,W,"1,195"
12377,40510,Garfield-South Elevated,02/16/2018,W,"1,319"
12471,40510,Garfield-South Elevated,03/12/2018,W,"1,233"
12886,40510,Garfield-South Elevated,02/22/2018,W,"1,304"
13355,40510,Garfield-South Elevated,02/12/2018,W,"1,140"
13441,40510,Garfield-South Elevated,01/29/2018,W,"1,192"
13454,40510,Garfield-South Elevated,01/01/2018,U,313
13512,40510,Garfield-South Elevated,03/08/2018,W,"1,272"
13816,40510,Garfield-South Elevated,03/26/2018,W,"1,126"
13818,40510,Garfield-South Elevated,03/11/2018,U,478
13905,40510,Garfield-South Elevated,02/19/2018,W,853
14019,40510,Garfield-South Elevated,02/13/2018,W,"1,217"
14065,40510,Garfield-South Elevated,02/15/2018,W,"1,262"
14105,40510,Garfield-South Elevated,03/14/2018,W,"1,277"
14136,40510,Garfield-South Elevated,02/14/2018,W,"1,291"
14811,40510,Garfield-South Elevated,03/28/2018,W,"1,129"
14869,40510,Garfield-South Elevated,01/10/2018,W,"1,166"
