,station_id,stationname,date,daytype,rides
27,40490,Grand+Milwaukee,12/19/2017,W,"2,583"
127,40490,Grand+Milwaukee,12/18/2017,W,"2,579"
311,40490,Grand+Milwaukee,12/25/2017,U,279
346,40490,Grand+Milwaukee,12/26/2017,W,"1,017"
395,40490,Grand+Milwaukee,12/12/2017,W,"2,580"
468,40490,Grand+Milwaukee,12/28/2017,W,"1,715"
691,40490,Grand+Milwaukee,12/17/2017,U,"1,171"
902,40490,Grand+Milwaukee,12/16/2017,A,"1,462"
1028,40490,Grand+Milwaukee,12/08/2017,W,"2,779"
1041,40490,Grand+Milwaukee,12/13/2017,W,"2,571"
1668,40490,Grand+Milwaukee,12/07/2017,W,"2,689"
1710,40490,Grand+Milwaukee,12/10/2017,U,"1,158"
1738,40490,Grand+Milwaukee,12/23/2017,A,"1,186"
1762,40490,Grand+Milwaukee,12/02/2017,A,"1,557"
1785,40490,Grand+Milwaukee,12/04/2017,W,"2,745"
1822,40490,Grand+Milwaukee,12/20/2017,W,"2,519"
1832,40490,Grand+Milwaukee,12/03/2017,U,"1,268"
1925,40490,Grand+Milwaukee,12/15/2017,W,"2,748"
2324,40490,Grand+Milwaukee,12/22/2017,W,"2,277"
2364,40490,Grand+Milwaukee,12/01/2017,W,"3,081"
2504,40490,Grand+Milwaukee,12/29/2017,W,"1,623"
3135,40490,Grand+Milwaukee,12/05/2017,W,"2,716"
3270,40490,Grand+Milwaukee,12/30/2017,A,"1,000"
3281,40490,Grand+Milwaukee,12/11/2017,W,"2,612"
3496,40490,Grand+Milwaukee,12/31/2017,U,823
3542,40490,Grand+Milwaukee,12/06/2017,W,"2,695"
3614,40490,Grand+Milwaukee,12/21/2017,W,"2,563"
3663,40490,Grand+Milwaukee,12/27/2017,W,"1,458"
3710,40490,Grand+Milwaukee,12/09/2017,A,"1,441"
3826,40490,Grand+Milwaukee,12/14/2017,W,"2,761"
3881,40490,Grand+Milwaukee,12/24/2017,U,599
4668,40490,Grand+Milwaukee,03/02/2018,W,"2,701"
4822,40490,Grand+Milwaukee,03/30/2018,W,"2,510"
4825,40490,Grand+Milwaukee,01/16/2018,W,"2,511"
5007,40490,Grand+Milwaukee,03/14/2018,W,"2,864"
5152,40490,Grand+Milwaukee,01/03/2018,W,"2,103"
5204,40490,Grand+Milwaukee,02/20/2018,W,"2,521"
5269,40490,Grand+Milwaukee,02/03/2018,A,"1,284"
5339,40490,Grand+Milwaukee,01/27/2018,A,"1,470"
5368,40490,Grand+Milwaukee,02/01/2018,W,"2,574"
5438,40490,Grand+Milwaukee,03/12/2018,W,"2,612"
5729,40490,Grand+Milwaukee,03/31/2018,A,"1,345"
6006,40490,Grand+Milwaukee,01/26/2018,W,"2,752"
6017,40490,Grand+Milwaukee,01/17/2018,W,"2,551"
6234,40490,Grand+Milwaukee,02/17/2018,A,"1,495"
6345,40490,Grand+Milwaukee,03/15/2018,W,"2,915"
6414,40490,Grand+Milwaukee,01/23/2018,W,"2,610"
6483,40490,Grand+Milwaukee,01/13/2018,A,"1,130"
6614,40490,Grand+Milwaukee,02/23/2018,W,"2,714"
6987,40490,Grand+Milwaukee,03/03/2018,A,"1,480"
7062,40490,Grand+Milwaukee,01/22/2018,W,"2,515"
7069,40490,Grand+Milwaukee,02/26/2018,W,"2,599"
7172,40490,Grand+Milwaukee,01/01/2018,U,"1,032"
7366,40490,Grand+Milwaukee,02/05/2018,W,"2,510"
7468,40490,Grand+Milwaukee,01/10/2018,W,"2,515"
7704,40490,Grand+Milwaukee,01/29/2018,W,"2,469"
7729,40490,Grand+Milwaukee,01/02/2018,W,"1,865"
7801,40490,Grand+Milwaukee,03/16/2018,W,"2,925"
7845,40490,Grand+Milwaukee,03/26/2018,W,"2,451"
7910,40490,Grand+Milwaukee,02/10/2018,A,"1,272"
7929,40490,Grand+Milwaukee,03/10/2018,A,"1,538"
8038,40490,Grand+Milwaukee,03/06/2018,W,"2,637"
8076,40490,Grand+Milwaukee,02/28/2018,W,"2,707"
8692,40490,Grand+Milwaukee,01/30/2018,W,"2,488"
8965,40490,Grand+Milwaukee,03/24/2018,A,"1,580"
9096,40490,Grand+Milwaukee,03/29/2018,W,"2,642"
9335,40490,Grand+Milwaukee,01/31/2018,W,"2,558"
9339,40490,Grand+Milwaukee,02/08/2018,W,"2,747"
9469,40490,Grand+Milwaukee,02/19/2018,W,"2,116"
9542,40490,Grand+Milwaukee,01/12/2018,W,"2,549"
9592,40490,Grand+Milwaukee,03/04/2018,U,"1,165"
9823,40490,Grand+Milwaukee,03/23/2018,W,"2,696"
9991,40490,Grand+Milwaukee,01/07/2018,U,859
10233,40490,Grand+Milwaukee,03/17/2018,A,"2,359"
10472,40490,Grand+Milwaukee,01/04/2018,W,"2,144"
10552,40490,Grand+Milwaukee,01/20/2018,A,"1,524"
10596,40490,Grand+Milwaukee,02/06/2018,W,"2,545"
10773,40490,Grand+Milwaukee,03/21/2018,W,"2,575"
10837,40490,Grand+Milwaukee,01/09/2018,W,"2,460"
10960,40490,Grand+Milwaukee,01/08/2018,W,"2,391"
11072,40490,Grand+Milwaukee,03/11/2018,U,"1,120"
11180,40490,Grand+Milwaukee,01/11/2018,W,"2,522"
11221,40490,Grand+Milwaukee,02/04/2018,U,930
11777,40490,Grand+Milwaukee,02/14/2018,W,"2,792"
12056,40490,Grand+Milwaukee,03/18/2018,U,"1,435"
12062,40490,Grand+Milwaukee,03/08/2018,W,"2,686"
12149,40490,Grand+Milwaukee,03/13/2018,W,"2,690"
12166,40490,Grand+Milwaukee,03/28/2018,W,"2,594"
12710,40490,Grand+Milwaukee,03/07/2018,W,"2,692"
12736,40490,Grand+Milwaukee,02/12/2018,W,"2,661"
12983,40490,Grand+Milwaukee,02/25/2018,U,"1,095"
13141,40490,Grand+Milwaukee,02/16/2018,W,"2,725"
13173,40490,Grand+Milwaukee,02/15/2018,W,"2,812"
13186,40490,Grand+Milwaukee,02/18/2018,U,"1,114"
13435,40490,Grand+Milwaukee,01/21/2018,U,969
13463,40490,Grand+Milwaukee,02/24/2018,A,"1,473"
13776,40490,Grand+Milwaukee,01/28/2018,U,"1,031"
14078,40490,Grand+Milwaukee,02/27/2018,W,"2,742"
14082,40490,Grand+Milwaukee,03/20/2018,W,"2,618"
14159,40490,Grand+Milwaukee,03/25/2018,U,"1,216"
15105,40490,Grand+Milwaukee,01/15/2018,W,"1,718"
15109,40490,Grand+Milwaukee,02/09/2018,W,"2,030"
15511,40490,Grand+Milwaukee,02/11/2018,U,"1,108"
15562,40490,Grand+Milwaukee,03/01/2018,W,"2,768"
15628,40490,Grand+Milwaukee,03/09/2018,W,"2,765"
15867,40490,Grand+Milwaukee,03/19/2018,W,"2,598"
16068,40490,Grand+Milwaukee,02/13/2018,W,"2,721"
16251,40490,Grand+Milwaukee,01/24/2018,W,"2,653"
16277,40490,Grand+Milwaukee,01/05/2018,W,"2,126"
16295,40490,Grand+Milwaukee,03/22/2018,W,"2,711"
16687,40490,Grand+Milwaukee,03/05/2018,W,"2,445"
16754,40490,Grand+Milwaukee,01/14/2018,U,887
16762,40490,Grand+Milwaukee,02/07/2018,W,"2,575"
16858,40490,Grand+Milwaukee,02/22/2018,W,"2,747"
17033,40490,Grand+Milwaukee,02/02/2018,W,"2,426"
17117,40490,Grand+Milwaukee,01/06/2018,A,978
17240,40490,Grand+Milwaukee,02/21/2018,W,"2,637"
17255,40490,Grand+Milwaukee,01/18/2018,W,"2,604"
17303,40490,Grand+Milwaukee,01/25/2018,W,"2,714"
17408,40490,Grand+Milwaukee,01/19/2018,W,"2,606"
17435,40490,Grand+Milwaukee,03/27/2018,W,"2,583"
