,station_id,stationname,date,daytype,rides
135,40760,Granville,12/05/2017,W,"4,230"
371,40760,Granville,12/18/2017,W,"3,364"
664,40760,Granville,12/28/2017,W,"2,308"
723,40760,Granville,12/15/2017,W,"4,058"
844,40760,Granville,12/22/2017,W,"2,918"
930,40760,Granville,12/30/2017,A,"1,742"
1361,40760,Granville,12/16/2017,A,"3,270"
1383,40760,Granville,12/11/2017,W,"3,822"
1442,40760,Granville,12/13/2017,W,"4,129"
1512,40760,Granville,12/04/2017,W,"4,062"
1564,40760,Granville,12/03/2017,U,"2,657"
1620,40760,Granville,12/27/2017,W,"2,129"
1644,40760,Granville,12/09/2017,A,"3,117"
1714,40760,Granville,12/25/2017,U,714
1717,40760,Granville,12/20/2017,W,"3,411"
2030,40760,Granville,12/19/2017,W,"3,433"
2204,40760,Granville,12/14/2017,W,"4,081"
2298,40760,Granville,12/26/2017,W,"1,701"
2332,40760,Granville,12/21/2017,W,"3,220"
2490,40760,Granville,12/12/2017,W,"4,134"
2577,40760,Granville,12/24/2017,U,"1,357"
2752,40760,Granville,12/08/2017,W,"4,555"
3222,40760,Granville,12/29/2017,W,"2,477"
3361,40760,Granville,12/01/2017,W,"4,929"
3369,40760,Granville,12/31/2017,U,"1,711"
3400,40760,Granville,12/10/2017,U,"2,267"
3452,40760,Granville,12/23/2017,A,"2,017"
3600,40760,Granville,12/02/2017,A,"3,731"
4183,40760,Granville,12/07/2017,W,"4,099"
4251,40760,Granville,12/06/2017,W,"4,121"
4339,40760,Granville,12/17/2017,U,"2,211"
4567,40760,Granville,03/03/2018,A,"2,790"
4978,40760,Granville,01/04/2018,W,"3,020"
5037,40760,Granville,02/28/2018,W,"3,958"
5266,40760,Granville,03/21/2018,W,"3,873"
5330,40760,Granville,03/01/2018,W,"4,123"
5450,40760,Granville,01/01/2018,U,"1,077"
5510,40760,Granville,03/07/2018,W,"3,681"
6176,40760,Granville,02/09/2018,W,"3,634"
6543,40760,Granville,02/19/2018,W,"3,262"
6580,40760,Granville,02/13/2018,W,"4,066"
6582,40760,Granville,03/28/2018,W,"3,939"
6924,40760,Granville,02/21/2018,W,"4,099"
6933,40760,Granville,03/12/2018,W,"3,959"
6959,40760,Granville,01/20/2018,A,"3,719"
7029,40760,Granville,01/15/2018,W,"3,074"
7194,40760,Granville,01/24/2018,W,"4,064"
7327,40760,Granville,02/10/2018,A,"3,246"
7851,40760,Granville,03/10/2018,A,"2,669"
7857,40760,Granville,01/31/2018,W,"4,020"
7887,40760,Granville,01/23/2018,W,"4,033"
8018,40760,Granville,01/05/2018,W,"2,876"
8067,40760,Granville,01/02/2018,W,"2,668"
8122,40760,Granville,03/06/2018,W,"3,562"
8221,40760,Granville,02/16/2018,W,"4,449"
8354,40760,Granville,02/18/2018,U,"2,333"
8470,40760,Granville,03/31/2018,A,"2,500"
8789,40760,Granville,01/13/2018,A,"2,241"
8872,40760,Granville,02/01/2018,W,"4,018"
8899,40760,Granville,02/22/2018,W,"4,133"
