,station_id,stationname,date,daytype,rides
158,41130,Halsted-Orange,12/24/2017,U,644
277,41130,Halsted-Orange,12/14/2017,W,"2,586"
350,41130,Halsted-Orange,12/09/2017,A,"1,085"
555,41130,Halsted-Orange,12/16/2017,A,"1,246"
559,41130,Halsted-Orange,12/03/2017,U,"1,027"
647,41130,Halsted-Orange,12/06/2017,W,"2,940"
905,41130,Halsted-Orange,12/13/2017,W,"2,590"
1071,41130,Halsted-Orange,12/01/2017,W,"2,905"
1176,41130,Halsted-Orange,12/05/2017,W,"2,897"
1330,41130,Halsted-Orange,12/02/2017,A,"1,405"
1485,41130,Halsted-Orange,12/12/2017,W,"2,542"
1540,41130,Halsted-Orange,12/17/2017,U,841
1951,41130,Halsted-Orange,12/30/2017,A,710
2051,41130,Halsted-Orange,12/07/2017,W,"2,884"
2148,41130,Halsted-Orange,12/08/2017,W,"2,841"
2393,41130,Halsted-Orange,12/28/2017,W,"1,489"
2574,41130,Halsted-Orange,12/27/2017,W,"1,384"
2846,41130,Halsted-Orange,12/10/2017,U,752
2911,41130,Halsted-Orange,12/31/2017,U,600
3013,41130,Halsted-Orange,12/20/2017,W,"2,246"
3029,41130,Halsted-Orange,12/23/2017,A,"1,126"
3038,41130,Halsted-Orange,12/22/2017,W,"2,027"
3132,41130,Halsted-Orange,12/26/2017,W,"1,126"
3167,41130,Halsted-Orange,12/25/2017,U,328
3187,41130,Halsted-Orange,12/11/2017,W,"2,500"
3217,41130,Halsted-Orange,12/29/2017,W,"1,481"
3277,41130,Halsted-Orange,12/04/2017,W,"2,981"
3314,41130,Halsted-Orange,12/18/2017,W,"2,110"
3575,41130,Halsted-Orange,12/19/2017,W,"2,298"
4022,41130,Halsted-Orange,12/21/2017,W,"2,148"
4025,41130,Halsted-Orange,12/15/2017,W,"2,400"
4661,41130,Halsted-Orange,02/26/2018,W,"2,802"
4801,41130,Halsted-Orange,01/07/2018,U,595
4942,41130,Halsted-Orange,03/15/2018,W,"2,859"
5039,41130,Halsted-Orange,02/09/2018,W,"1,537"
5383,41130,Halsted-Orange,01/30/2018,W,"2,800"
5525,41130,Halsted-Orange,01/12/2018,W,"2,051"
5538,41130,Halsted-Orange,01/31/2018,W,"2,818"
5620,41130,Halsted-Orange,01/01/2018,U,424
5693,41130,Halsted-Orange,02/22/2018,W,"2,718"
5856,41130,Halsted-Orange,03/02/2018,W,"2,668"
5983,41130,Halsted-Orange,01/21/2018,U,716
6155,41130,Halsted-Orange,01/04/2018,W,"1,742"
6298,41130,Halsted-Orange,02/15/2018,W,"2,806"
6307,41130,Halsted-Orange,03/04/2018,U,809
6613,41130,Halsted-Orange,02/28/2018,W,"2,807"
6860,41130,Halsted-Orange,02/04/2018,U,548
6970,41130,Halsted-Orange,03/30/2018,W,"2,040"
7002,41130,Halsted-Orange,02/24/2018,A,"1,126"
7014,41130,Halsted-Orange,03/23/2018,W,"2,641"
7202,41130,Halsted-Orange,01/11/2018,W,"2,184"
7328,41130,Halsted-Orange,03/09/2018,W,"2,670"
7604,41130,Halsted-Orange,02/06/2018,W,"2,682"
7649,41130,Halsted-Orange,01/15/2018,W,"1,269"
7975,41130,Halsted-Orange,02/17/2018,A,"1,075"
8037,41130,Halsted-Orange,01/18/2018,W,"2,672"
8389,41130,Halsted-Orange,03/26/2018,W,"2,027"
8471,41130,Halsted-Orange,01/02/2018,W,"1,421"
8490,41130,Halsted-Orange,02/07/2018,W,"2,646"
8545,41130,Halsted-Orange,03/13/2018,W,"2,798"
8870,41130,Halsted-Orange,03/19/2018,W,"2,761"
8962,41130,Halsted-Orange,03/16/2018,W,"2,723"
9439,41130,Halsted-Orange,03/11/2018,U,746
9544,41130,Halsted-Orange,02/18/2018,U,776
9559,41130,Halsted-Orange,03/14/2018,W,"2,842"
9788,41130,Halsted-Orange,03/28/2018,W,"2,168"
9964,41130,Halsted-Orange,02/16/2018,W,"2,583"
10023,41130,Halsted-Orange,01/24/2018,W,"2,786"
10075,41130,Halsted-Orange,01/17/2018,W,"2,746"
10301,41130,Halsted-Orange,03/03/2018,A,"1,205"
10315,41130,Halsted-Orange,03/29/2018,W,"2,108"
10755,41130,Halsted-Orange,03/12/2018,W,"2,747"
10886,41130,Halsted-Orange,03/06/2018,W,"2,820"
