,station_id,stationname,date,daytype,rides
45,41490,Harrison,12/30/2017,A,"1,627"
154,41490,Harrison,12/02/2017,A,"3,086"
201,41490,Harrison,12/27/2017,W,"1,653"
202,41490,Harrison,12/21/2017,W,"3,053"
256,41490,Harrison,12/13/2017,W,"4,337"
303,41490,Harrison,12/10/2017,U,"1,948"
445,41490,Harrison,12/12/2017,W,"4,407"
561,41490,Harrison,12/22/2017,W,"2,738"
1055,41490,Harrison,12/07/2017,W,"4,663"
1121,41490,Harrison,12/15/2017,W,"4,074"
1127,41490,Harrison,12/04/2017,W,"4,311"
1154,41490,Harrison,12/28/2017,W,"1,924"
1290,41490,Harrison,12/25/2017,U,485
1307,41490,Harrison,12/29/2017,W,"1,958"
1373,41490,Harrison,12/03/2017,U,"2,413"
1382,41490,Harrison,12/18/2017,W,"3,217"
1631,41490,Harrison,12/17/2017,U,"1,765"
1737,41490,Harrison,12/19/2017,W,"3,156"
1999,41490,Harrison,12/11/2017,W,"4,181"
2437,41490,Harrison,12/08/2017,W,"4,333"
2489,41490,Harrison,12/14/2017,W,"4,597"
2532,41490,Harrison,12/20/2017,W,"3,214"
2659,41490,Harrison,12/09/2017,A,"2,841"
2686,41490,Harrison,12/26/2017,W,"1,379"
2798,41490,Harrison,12/31/2017,U,"1,458"
2949,41490,Harrison,12/05/2017,W,"4,563"
3705,41490,Harrison,12/23/2017,A,"1,600"
3768,41490,Harrison,12/01/2017,W,"4,475"
3793,41490,Harrison,12/24/2017,U,"1,027"
4101,41490,Harrison,12/16/2017,A,"2,406"
4209,41490,Harrison,12/06/2017,W,"4,531"
4690,41490,Harrison,03/30/2018,W,"3,379"
4698,41490,Harrison,02/16/2018,W,"4,271"
5009,41490,Harrison,01/09/2018,W,"3,305"
5105,41490,Harrison,01/03/2018,W,"2,548"
5281,41490,Harrison,02/15/2018,W,"4,519"
5294,41490,Harrison,02/25/2018,U,"2,139"
5642,41490,Harrison,02/18/2018,U,"2,187"
5792,41490,Harrison,01/11/2018,W,"3,419"
5934,41490,Harrison,03/03/2018,A,"2,943"
5951,41490,Harrison,03/24/2018,A,"2,443"
6497,41490,Harrison,03/20/2018,W,"3,344"
6553,41490,Harrison,03/04/2018,U,"1,936"
6785,41490,Harrison,01/16/2018,W,"3,465"
6902,41490,Harrison,02/14/2018,W,"4,579"
7152,41490,Harrison,03/29/2018,W,"3,908"
7224,41490,Harrison,03/02/2018,W,"4,261"
7298,41490,Harrison,03/25/2018,U,"2,756"
7325,41490,Harrison,02/17/2018,A,"3,075"
7420,41490,Harrison,01/26/2018,W,"4,423"
7434,41490,Harrison,03/05/2018,W,"4,069"
7819,41490,Harrison,03/16/2018,W,"4,218"
7961,41490,Harrison,01/17/2018,W,"3,702"
8041,41490,Harrison,03/07/2018,W,"4,564"
8081,41490,Harrison,02/22/2018,W,"4,572"
8367,41490,Harrison,03/09/2018,W,"4,181"
8388,41490,Harrison,03/23/2018,W,"3,871"
8565,41490,Harrison,03/12/2018,W,"4,028"
8645,41490,Harrison,02/28/2018,W,"4,543"
8939,41490,Harrison,03/21/2018,W,"3,449"
8985,41490,Harrison,03/31/2018,A,"2,476"
9205,41490,Harrison,01/22/2018,W,"4,150"
9235,41490,Harrison,02/13/2018,W,"4,402"
9456,41490,Harrison,01/31/2018,W,"4,462"
9598,41490,Harrison,03/14/2018,W,"4,411"
9605,41490,Harrison,01/02/2018,W,"2,183"
10186,41490,Harrison,03/13/2018,W,"4,404"
10365,41490,Harrison,01/07/2018,U,"1,372"
10431,41490,Harrison,01/04/2018,W,"2,554"
10520,41490,Harrison,03/15/2018,W,"4,241"
10625,41490,Harrison,01/21/2018,U,"1,925"
10730,41490,Harrison,01/01/2018,U,"1,198"
10731,41490,Harrison,01/05/2018,W,"2,456"
10780,41490,Harrison,02/12/2018,W,"4,118"
10940,41490,Harrison,01/29/2018,W,"4,320"
11232,41490,Harrison,01/27/2018,A,"2,851"
11335,41490,Harrison,01/24/2018,W,"4,535"
11454,41490,Harrison,01/20/2018,A,"3,237"
11564,41490,Harrison,02/11/2018,U,"1,911"
11638,41490,Harrison,02/07/2018,W,"4,510"
11912,41490,Harrison,02/19/2018,W,"3,058"
12013,41490,Harrison,03/22/2018,W,"3,703"
12361,41490,Harrison,03/11/2018,U,"2,053"
12386,41490,Harrison,01/10/2018,W,"3,301"
12784,41490,Harrison,02/06/2018,W,"4,449"
12910,41490,Harrison,02/23/2018,W,"4,277"
13050,41490,Harrison,02/02/2018,W,"3,577"
13279,41490,Harrison,01/06/2018,A,"1,764"
13542,41490,Harrison,03/17/2018,A,"4,509"
13700,41490,Harrison,02/26/2018,W,"4,173"
13820,41490,Harrison,02/24/2018,A,"2,988"
13895,41490,Harrison,02/03/2018,A,"2,545"
13993,41490,Harrison,02/21/2018,W,"4,553"
14049,41490,Harrison,01/13/2018,A,"2,005"
14076,41490,Harrison,01/15/2018,W,"1,929"
14081,41490,Harrison,03/01/2018,W,"4,555"
14273,41490,Harrison,03/28/2018,W,"3,910"
14531,41490,Harrison,01/18/2018,W,"3,780"
