,station_id,stationname,date,daytype,rides
153974,41580,Homan,07/20/2001,W,0
214338,41580,Homan,07/14/2001,A,0
281000,41580,Homan,07/07/2001,A,0
350365,41580,Homan,07/11/2001,W,0
397095,41580,Homan,07/18/2001,W,0
420495,41580,Homan,07/04/2001,U,0
469122,41580,Homan,07/19/2001,W,0
483316,41580,Homan,07/24/2001,W,0
495585,41580,Homan,07/02/2001,W,0
527475,41580,Homan,07/30/2001,W,0
529144,41580,Homan,07/31/2001,W,27
593541,41580,Homan,07/22/2001,U,0
619165,41580,Homan,07/01/2001,U,0
621448,41580,Homan,07/09/2001,W,0
636700,41580,Homan,07/23/2001,W,0
662777,41580,Homan,07/13/2001,W,0
677123,41580,Homan,07/26/2001,W,0
681045,41580,Homan,07/28/2001,A,0
689158,41580,Homan,07/17/2001,W,0
714877,41580,Homan,07/06/2001,W,0
748468,41580,Homan,07/08/2001,U,0
795062,41580,Homan,07/16/2001,W,0
799578,41580,Homan,07/15/2001,U,0
832763,41580,Homan,07/27/2001,W,0
869284,41580,Homan,07/03/2001,W,0
930338,41580,Homan,07/10/2001,W,0
938300,41580,Homan,07/29/2001,U,0
955412,41580,Homan,07/21/2001,A,0
981348,41580,Homan,07/12/2001,W,0
987955,41580,Homan,07/25/2001,W,0
1014165,41580,Homan,07/05/2001,W,0
