,station_id,stationname,date,daytype,rides
132,40900,Howard,12/29/2017,W,"4,159"
157,40900,Howard,12/31/2017,U,"2,692"
556,40900,Howard,12/10/2017,U,"2,967"
697,40900,Howard,12/27/2017,W,"3,709"
951,40900,Howard,12/28/2017,W,"3,940"
1141,40900,Howard,12/21/2017,W,"5,328"
1201,40900,Howard,12/24/2017,U,"2,295"
1207,40900,Howard,12/25/2017,U,"1,548"
1276,40900,Howard,12/30/2017,A,"2,882"
1351,40900,Howard,12/13/2017,W,"5,595"
1392,40900,Howard,12/01/2017,W,"6,084"
1661,40900,Howard,12/20/2017,W,"5,331"
2104,40900,Howard,12/05/2017,W,"5,694"
2187,40900,Howard,12/23/2017,A,"3,472"
2401,40900,Howard,12/04/2017,W,"5,680"
2484,40900,Howard,12/19/2017,W,"5,358"
2723,40900,Howard,12/12/2017,W,"5,498"
2779,40900,Howard,12/08/2017,W,"5,660"
3043,40900,Howard,12/18/2017,W,"5,291"
3115,40900,Howard,12/07/2017,W,"5,611"
3250,40900,Howard,12/03/2017,U,"3,167"
3568,40900,Howard,12/15/2017,W,"5,629"
3744,40900,Howard,12/06/2017,W,"5,628"
3776,40900,Howard,12/26/2017,W,"3,256"
3864,40900,Howard,12/02/2017,A,"4,107"
3899,40900,Howard,12/11/2017,W,"5,433"
3963,40900,Howard,12/22/2017,W,"5,339"
4114,40900,Howard,12/09/2017,A,"3,786"
4214,40900,Howard,12/14/2017,W,"5,621"
4372,40900,Howard,12/17/2017,U,"3,002"
4447,40900,Howard,12/16/2017,A,"4,255"
4551,40900,Howard,03/31/2018,A,"3,288"
4675,40900,Howard,01/04/2018,W,"4,547"
4876,40900,Howard,03/13/2018,W,"5,431"
4893,40900,Howard,03/28/2018,W,"5,087"
5409,40900,Howard,03/12/2018,W,"5,103"
5613,40900,Howard,01/03/2018,W,"4,457"
5616,40900,Howard,03/01/2018,W,"5,320"
5631,40900,Howard,03/16/2018,W,"5,316"
5634,40900,Howard,02/28/2018,W,"5,429"
5636,40900,Howard,01/28/2018,U,"2,691"
5777,40900,Howard,02/14/2018,W,"5,736"
5816,40900,Howard,03/11/2018,U,"2,783"
5925,40900,Howard,03/18/2018,U,"3,035"
6019,40900,Howard,01/08/2018,W,"4,869"
6265,40900,Howard,03/02/2018,W,"5,458"
6309,40900,Howard,01/25/2018,W,"5,652"
6412,40900,Howard,01/09/2018,W,"5,256"
6804,40900,Howard,02/26/2018,W,"5,288"
6972,40900,Howard,03/03/2018,A,"3,741"
7112,40900,Howard,01/06/2018,A,"3,058"
7166,40900,Howard,03/09/2018,W,"5,400"
7258,40900,Howard,03/20/2018,W,"5,602"
7282,40900,Howard,01/30/2018,W,"5,341"
7453,40900,Howard,02/11/2018,U,"2,595"
7639,40900,Howard,03/08/2018,W,"5,404"
7667,40900,Howard,02/23/2018,W,"5,439"
7870,40900,Howard,02/12/2018,W,"5,096"
7933,40900,Howard,02/25/2018,U,"2,723"
8078,40900,Howard,01/23/2018,W,"5,455"
8124,40900,Howard,03/05/2018,W,"5,183"
8258,40900,Howard,02/04/2018,U,"2,353"
8263,40900,Howard,01/16/2018,W,"5,301"
8329,40900,Howard,01/19/2018,W,"5,440"
8409,40900,Howard,01/12/2018,W,"5,246"
8589,40900,Howard,01/27/2018,A,"3,639"
8785,40900,Howard,01/26/2018,W,"5,533"
8815,40900,Howard,02/03/2018,A,"3,290"
8876,40900,Howard,03/10/2018,A,"3,694"
9007,40900,Howard,02/27/2018,W,"5,521"
9066,40900,Howard,01/22/2018,W,"5,372"
9236,40900,Howard,03/07/2018,W,"5,449"
9284,40900,Howard,03/25/2018,U,"2,750"
9308,40900,Howard,03/23/2018,W,"5,290"
10209,40900,Howard,01/29/2018,W,"5,230"
10329,40900,Howard,01/01/2018,U,"1,810"
10360,40900,Howard,01/24/2018,W,"5,437"
10830,40900,Howard,01/10/2018,W,"5,350"
10870,40900,Howard,02/18/2018,U,"2,894"
11036,40900,Howard,01/14/2018,U,"2,471"
11253,40900,Howard,03/26/2018,W,"4,914"
11299,40900,Howard,03/21/2018,W,"5,311"
11362,40900,Howard,02/19/2018,W,"4,310"
11446,40900,Howard,02/02/2018,W,"5,057"
11593,40900,Howard,01/20/2018,A,"3,930"
11657,40900,Howard,02/05/2018,W,"5,044"
11694,40900,Howard,02/24/2018,A,"3,596"
11729,40900,Howard,03/30/2018,W,"4,704"
11977,40900,Howard,03/22/2018,W,"5,428"
12101,40900,Howard,03/15/2018,W,"5,509"
12469,40900,Howard,03/27/2018,W,"4,920"
12545,40900,Howard,01/07/2018,U,"2,487"
12577,40900,Howard,02/08/2018,W,"5,425"
12601,40900,Howard,02/15/2018,W,"5,481"
12606,40900,Howard,03/14/2018,W,"5,591"
12869,40900,Howard,03/17/2018,A,"4,253"
13115,40900,Howard,01/15/2018,W,"3,864"
13117,40900,Howard,02/10/2018,A,"3,316"
13208,40900,Howard,02/21/2018,W,"5,471"
13687,40900,Howard,02/22/2018,W,"5,543"
13798,40900,Howard,03/29/2018,W,"4,988"
14544,40900,Howard,02/01/2018,W,"5,505"
14679,40900,Howard,02/09/2018,W,"4,031"
14859,40900,Howard,02/16/2018,W,"5,498"
14950,40900,Howard,02/06/2018,W,"5,064"
14984,40900,Howard,01/11/2018,W,"5,390"
14988,40900,Howard,02/20/2018,W,"5,351"
15215,40900,Howard,02/07/2018,W,"4,755"
15409,40900,Howard,03/04/2018,U,"2,815"
15751,40900,Howard,03/06/2018,W,"5,434"
16320,40900,Howard,01/31/2018,W,"5,413"
16553,40900,Howard,01/18/2018,W,"5,498"
16587,40900,Howard,02/13/2018,W,"5,574"
16638,40900,Howard,01/17/2018,W,"5,254"
16729,40900,Howard,01/13/2018,A,"3,082"
16810,40900,Howard,02/17/2018,A,"3,572"
16817,40900,Howard,01/05/2018,W,"4,412"
16842,40900,Howard,03/24/2018,A,"3,495"
16917,40900,Howard,01/02/2018,W,"3,944"
17066,40900,Howard,01/21/2018,U,"2,673"
17326,40900,Howard,03/19/2018,W,"5,310"
17822,40900,Howard,04/26/2018,W,"5,675"
18188,40900,Howard,06/15/2018,W,"5,577"
18330,40900,Howard,06/03/2018,U,"3,058"
18375,40900,Howard,06/14/2018,W,"5,691"
18479,40900,Howard,05/15/2018,W,"5,402"
18592,40900,Howard,05/22/2018,W,"5,706"
18675,40900,Howard,06/30/2018,A,"3,996"
18676,40900,Howard,04/03/2018,W,"5,320"
18769,40900,Howard,05/08/2018,W,"5,716"
18842,40900,Howard,06/10/2018,U,"3,075"
18992,40900,Howard,05/05/2018,A,"4,013"
19161,40900,Howard,04/23/2018,W,"5,453"
19226,40900,Howard,06/20/2018,W,"5,649"
19332,40900,Howard,04/01/2018,U,"2,533"
19402,40900,Howard,06/06/2018,W,"5,620"
19464,40900,Howard,06/19/2018,W,"5,679"
19622,40900,Howard,04/27/2018,W,"5,544"
19942,40900,Howard,06/25/2018,W,"5,271"
20049,40900,Howard,04/10/2018,W,"5,690"
20317,40900,Howard,05/20/2018,U,"2,582"
20689,40900,Howard,05/06/2018,U,"2,985"
20742,40900,Howard,04/30/2018,W,"5,599"
20896,40900,Howard,05/03/2018,W,"5,654"
20993,40900,Howard,04/21/2018,A,"3,573"
21072,40900,Howard,06/02/2018,A,"3,833"
21181,40900,Howard,05/30/2018,W,"5,438"
21347,40900,Howard,04/11/2018,W,"5,629"
21611,40900,Howard,05/14/2018,W,"5,073"
21700,40900,Howard,06/28/2018,W,"5,595"
21986,40900,Howard,04/06/2018,W,"5,278"
22133,40900,Howard,06/09/2018,A,"3,986"
22148,40900,Howard,05/13/2018,U,"3,013"
22226,40900,Howard,05/11/2018,W,"5,489"
22294,40900,Howard,06/16/2018,A,"4,089"
22591,40900,Howard,06/17/2018,U,"2,958"
22920,40900,Howard,04/13/2018,W,"5,268"
23097,40900,Howard,06/26/2018,W,"5,316"
23321,40900,Howard,05/19/2018,A,"3,563"
23431,40900,Howard,06/21/2018,W,"5,127"
23487,40900,Howard,05/31/2018,W,"5,581"
23613,40900,Howard,04/19/2018,W,"5,566"
23644,40900,Howard,05/07/2018,W,"5,579"
23777,40900,Howard,06/11/2018,W,"5,293"
23889,40900,Howard,06/08/2018,W,"5,638"
23919,40900,Howard,05/09/2018,W,"5,546"
23958,40900,Howard,04/14/2018,A,"3,349"
24057,40900,Howard,05/10/2018,W,"5,658"
24144,40900,Howard,04/22/2018,U,"2,813"
24769,40900,Howard,06/24/2018,U,"4,081"
24783,40900,Howard,06/22/2018,W,"5,477"
24880,40900,Howard,05/17/2018,W,"5,680"
24968,40900,Howard,06/04/2018,W,"5,311"
25220,40900,Howard,06/07/2018,W,"5,873"
25237,40900,Howard,04/15/2018,U,"2,605"
25262,40900,Howard,06/27/2018,W,"5,518"
25315,40900,Howard,05/04/2018,W,"5,667"
25351,40900,Howard,05/12/2018,A,"3,712"
25582,40900,Howard,06/23/2018,A,"3,889"
25810,40900,Howard,04/16/2018,W,"5,318"
26028,40900,Howard,06/29/2018,W,"5,779"
26306,40900,Howard,05/16/2018,W,"5,418"
26319,40900,Howard,04/12/2018,W,"5,693"
26423,40900,Howard,06/13/2018,W,"5,607"
26430,40900,Howard,04/29/2018,U,"3,091"
26596,40900,Howard,05/25/2018,W,"5,825"
26970,40900,Howard,05/24/2018,W,"5,750"
27259,40900,Howard,04/02/2018,W,"5,084"
27341,40900,Howard,04/18/2018,W,"5,370"
27404,40900,Howard,05/01/2018,W,"5,870"
27420,40900,Howard,04/20/2018,W,"5,589"
27592,40900,Howard,04/17/2018,W,"5,557"
27971,40900,Howard,05/29/2018,W,"5,416"
28030,40900,Howard,06/18/2018,W,"5,304"
28031,40900,Howard,04/05/2018,W,"5,448"
28090,40900,Howard,05/02/2018,W,"5,756"
28266,40900,Howard,04/09/2018,W,"5,243"
28701,40900,Howard,06/01/2018,W,"5,882"
28890,40900,Howard,05/28/2018,U,"3,015"
28939,40900,Howard,04/08/2018,U,"2,619"
28960,40900,Howard,06/12/2018,W,"5,591"
29346,40900,Howard,05/27/2018,U,"3,249"
29422,40900,Howard,05/26/2018,A,"4,068"
29449,40900,Howard,04/07/2018,A,"3,731"
29479,40900,Howard,04/28/2018,A,"3,984"
