,station_id,stationname,date,daytype,rides
63,41460,Irving Park-Brown,12/07/2017,W,"3,459"
65,41460,Irving Park-Brown,12/24/2017,U,460
89,41460,Irving Park-Brown,12/27/2017,W,"1,608"
212,41460,Irving Park-Brown,12/23/2017,A,"1,018"
249,41460,Irving Park-Brown,12/04/2017,W,"3,312"
463,41460,Irving Park-Brown,12/16/2017,A,"1,793"
478,41460,Irving Park-Brown,12/02/2017,A,"1,995"
563,41460,Irving Park-Brown,12/13/2017,W,"3,481"
815,41460,Irving Park-Brown,12/03/2017,U,"1,166"
897,41460,Irving Park-Brown,12/28/2017,W,"1,908"
1082,41460,Irving Park-Brown,12/05/2017,W,"3,347"
1223,41460,Irving Park-Brown,12/22/2017,W,"2,602"
1410,41460,Irving Park-Brown,12/20/2017,W,"3,237"
1496,41460,Irving Park-Brown,12/08/2017,W,"3,440"
1826,41460,Irving Park-Brown,12/29/2017,W,"1,809"
2230,41460,Irving Park-Brown,12/26/2017,W,"1,019"
2950,41460,Irving Park-Brown,12/11/2017,W,"3,274"
3049,41460,Irving Park-Brown,12/14/2017,W,"3,414"
3153,41460,Irving Park-Brown,12/01/2017,W,"3,579"
3208,41460,Irving Park-Brown,12/15/2017,W,"3,199"
3477,41460,Irving Park-Brown,12/10/2017,U,"1,122"
3482,41460,Irving Park-Brown,12/18/2017,W,"3,158"
3561,41460,Irving Park-Brown,12/21/2017,W,"3,020"
3617,41460,Irving Park-Brown,12/17/2017,U,"1,153"
3624,41460,Irving Park-Brown,12/12/2017,W,"3,400"
3627,41460,Irving Park-Brown,12/06/2017,W,"3,492"
3748,41460,Irving Park-Brown,12/09/2017,A,"1,724"
3827,41460,Irving Park-Brown,12/31/2017,U,847
3850,41460,Irving Park-Brown,12/19/2017,W,"3,300"
3992,41460,Irving Park-Brown,12/30/2017,A,954
4142,41460,Irving Park-Brown,12/25/2017,U,224
4612,41460,Irving Park-Brown,01/20/2018,A,"2,015"
4659,41460,Irving Park-Brown,01/07/2018,U,906
4665,41460,Irving Park-Brown,03/17/2018,A,"2,659"
4759,41460,Irving Park-Brown,01/06/2018,A,"1,265"
4995,41460,Irving Park-Brown,03/01/2018,W,"3,212"
5084,41460,Irving Park-Brown,03/26/2018,W,"2,935"
5260,41460,Irving Park-Brown,01/30/2018,W,"3,398"
5509,41460,Irving Park-Brown,03/02/2018,W,"3,302"
5741,41460,Irving Park-Brown,03/08/2018,W,"3,351"
5978,41460,Irving Park-Brown,02/02/2018,W,"2,888"
6001,41460,Irving Park-Brown,01/24/2018,W,"3,338"
6078,41460,Irving Park-Brown,02/05/2018,W,"3,096"
6317,41460,Irving Park-Brown,02/19/2018,W,"2,269"
6366,41460,Irving Park-Brown,02/27/2018,W,"3,352"
6397,41460,Irving Park-Brown,02/16/2018,W,"3,195"
6474,41460,Irving Park-Brown,02/11/2018,U,"1,070"
6588,41460,Irving Park-Brown,03/31/2018,A,"1,301"
6670,41460,Irving Park-Brown,01/14/2018,U,885
6673,41460,Irving Park-Brown,02/09/2018,W,"2,381"
6733,41460,Irving Park-Brown,03/05/2018,W,"3,155"
6766,41460,Irving Park-Brown,03/23/2018,W,"3,180"
7035,41460,Irving Park-Brown,01/25/2018,W,"3,387"
7122,41460,Irving Park-Brown,03/03/2018,A,"1,606"
7191,41460,Irving Park-Brown,03/06/2018,W,"3,326"
7273,41460,Irving Park-Brown,02/26/2018,W,"3,190"
7283,41460,Irving Park-Brown,02/12/2018,W,"3,256"
7362,41460,Irving Park-Brown,01/01/2018,U,483
7388,41460,Irving Park-Brown,03/25/2018,U,"1,098"
7496,41460,Irving Park-Brown,03/12/2018,W,"3,213"
7552,41460,Irving Park-Brown,01/22/2018,W,"3,082"
7647,41460,Irving Park-Brown,03/22/2018,W,"3,279"
7938,41460,Irving Park-Brown,03/21/2018,W,"3,331"
8248,41460,Irving Park-Brown,03/30/2018,W,"2,585"
8506,41460,Irving Park-Brown,02/24/2018,A,"1,479"
8621,41460,Irving Park-Brown,01/31/2018,W,"3,453"
9316,41460,Irving Park-Brown,02/14/2018,W,"3,414"
9381,41460,Irving Park-Brown,01/05/2018,W,"2,657"
9388,41460,Irving Park-Brown,02/18/2018,U,"1,217"
9425,41460,Irving Park-Brown,03/24/2018,A,"1,582"
9484,41460,Irving Park-Brown,01/09/2018,W,"3,377"
9597,41460,Irving Park-Brown,01/17/2018,W,"3,350"
9920,41460,Irving Park-Brown,03/29/2018,W,"3,080"
10284,41460,Irving Park-Brown,02/17/2018,A,"1,542"
10314,41460,Irving Park-Brown,01/19/2018,W,"3,226"
10322,41460,Irving Park-Brown,03/13/2018,W,"3,394"
10411,41460,Irving Park-Brown,01/02/2018,W,"2,411"
10463,41460,Irving Park-Brown,02/28/2018,W,"3,376"
10473,41460,Irving Park-Brown,03/04/2018,U,"1,058"
10547,41460,Irving Park-Brown,02/21/2018,W,"3,439"
11044,41460,Irving Park-Brown,02/23/2018,W,"3,306"
11155,41460,Irving Park-Brown,02/13/2018,W,"3,474"
11215,41460,Irving Park-Brown,01/03/2018,W,"2,717"
11261,41460,Irving Park-Brown,02/07/2018,W,"3,307"
11276,41460,Irving Park-Brown,02/25/2018,U,"1,054"
11480,41460,Irving Park-Brown,01/13/2018,A,"1,340"
11589,41460,Irving Park-Brown,01/27/2018,A,"1,671"
11917,41460,Irving Park-Brown,03/16/2018,W,"3,377"
12115,41460,Irving Park-Brown,03/10/2018,A,"1,674"
12158,41460,Irving Park-Brown,02/08/2018,W,"3,347"
12234,41460,Irving Park-Brown,03/11/2018,U,"1,020"
12260,41460,Irving Park-Brown,01/04/2018,W,"2,763"
12660,41460,Irving Park-Brown,02/03/2018,A,"1,434"
12680,41460,Irving Park-Brown,02/10/2018,A,"1,731"
12781,41460,Irving Park-Brown,03/07/2018,W,"3,278"
12809,41460,Irving Park-Brown,01/11/2018,W,"3,334"
12875,41460,Irving Park-Brown,03/09/2018,W,"3,269"
12905,41460,Irving Park-Brown,01/10/2018,W,"3,368"
12979,41460,Irving Park-Brown,02/20/2018,W,"3,271"
13062,41460,Irving Park-Brown,02/01/2018,W,"3,345"
13659,41460,Irving Park-Brown,03/15/2018,W,"3,481"
13836,41460,Irving Park-Brown,03/27/2018,W,"2,999"
13999,41460,Irving Park-Brown,03/18/2018,U,"1,139"
14048,41460,Irving Park-Brown,02/06/2018,W,"3,270"
14313,41460,Irving Park-Brown,03/14/2018,W,"3,428"
14626,41460,Irving Park-Brown,03/28/2018,W,"3,048"
14670,41460,Irving Park-Brown,03/20/2018,W,"3,354"
15021,41460,Irving Park-Brown,01/12/2018,W,"3,150"
15147,41460,Irving Park-Brown,03/19/2018,W,"3,202"
15231,41460,Irving Park-Brown,01/16/2018,W,"3,388"
15489,41460,Irving Park-Brown,02/22/2018,W,"3,363"
16002,41460,Irving Park-Brown,01/28/2018,U,964
16135,41460,Irving Park-Brown,01/08/2018,W,"3,175"
16173,41460,Irving Park-Brown,01/21/2018,U,"1,011"
16433,41460,Irving Park-Brown,02/15/2018,W,"3,458"
16564,41460,Irving Park-Brown,01/18/2018,W,"3,394"
16712,41460,Irving Park-Brown,01/29/2018,W,"3,236"
16862,41460,Irving Park-Brown,01/15/2018,W,"1,945"
16973,41460,Irving Park-Brown,01/23/2018,W,"3,353"
17050,41460,Irving Park-Brown,02/04/2018,U,895
17279,41460,Irving Park-Brown,01/26/2018,W,"3,275"
17621,41460,Irving Park-Brown,05/17/2018,W,"3,488"
17809,41460,Irving Park-Brown,06/23/2018,A,"2,200"
17971,41460,Irving Park-Brown,04/11/2018,W,"3,451"
18263,41460,Irving Park-Brown,04/05/2018,W,"3,377"
18281,41460,Irving Park-Brown,05/30/2018,W,"3,459"
18424,41460,Irving Park-Brown,05/21/2018,W,"3,128"
18532,41460,Irving Park-Brown,06/17/2018,U,"1,046"
18652,41460,Irving Park-Brown,05/31/2018,W,"3,538"
18850,41460,Irving Park-Brown,05/16/2018,W,"3,475"
19032,41460,Irving Park-Brown,05/09/2018,W,"3,461"
19238,41460,Irving Park-Brown,04/23/2018,W,"3,221"
19388,41460,Irving Park-Brown,04/27/2018,W,"3,196"
19512,41460,Irving Park-Brown,04/02/2018,W,"3,084"
19532,41460,Irving Park-Brown,06/05/2018,W,"3,487"
19665,41460,Irving Park-Brown,06/13/2018,W,"3,466"
19763,41460,Irving Park-Brown,05/03/2018,W,"3,399"
19798,41460,Irving Park-Brown,05/28/2018,U,854
19829,41460,Irving Park-Brown,04/01/2018,U,676
20009,41460,Irving Park-Brown,04/08/2018,U,987
20164,41460,Irving Park-Brown,04/12/2018,W,"3,436"
20207,41460,Irving Park-Brown,04/16/2018,W,"3,206"
20268,41460,Irving Park-Brown,04/14/2018,A,"1,369"
20363,41460,Irving Park-Brown,04/28/2018,A,"1,606"
20762,41460,Irving Park-Brown,06/22/2018,W,"3,005"
20782,41460,Irving Park-Brown,04/25/2018,W,"3,345"
20820,41460,Irving Park-Brown,05/12/2018,A,"1,440"
21067,41460,Irving Park-Brown,05/27/2018,U,"1,532"
21455,41460,Irving Park-Brown,05/10/2018,W,"3,489"
21483,41460,Irving Park-Brown,06/20/2018,W,"3,324"
21668,41460,Irving Park-Brown,05/05/2018,A,"1,648"
21687,41460,Irving Park-Brown,04/26/2018,W,"3,490"
21889,41460,Irving Park-Brown,04/06/2018,W,"3,321"
21968,41460,Irving Park-Brown,06/11/2018,W,"3,293"
22384,41460,Irving Park-Brown,05/11/2018,W,"3,325"
22507,41460,Irving Park-Brown,04/21/2018,A,"1,560"
22581,41460,Irving Park-Brown,06/06/2018,W,"3,543"
22959,41460,Irving Park-Brown,06/29/2018,W,"3,077"
23019,41460,Irving Park-Brown,06/19/2018,W,"3,480"
23110,41460,Irving Park-Brown,05/08/2018,W,"3,456"
23157,41460,Irving Park-Brown,05/29/2018,W,"3,317"
23287,41460,Irving Park-Brown,04/20/2018,W,"3,106"
23319,41460,Irving Park-Brown,05/23/2018,W,"3,582"
23517,41460,Irving Park-Brown,06/10/2018,U,"1,669"
23530,41460,Irving Park-Brown,04/03/2018,W,"3,260"
23536,41460,Irving Park-Brown,04/07/2018,A,"1,621"
23589,41460,Irving Park-Brown,05/22/2018,W,"3,446"
23776,41460,Irving Park-Brown,05/04/2018,W,"3,301"
23911,41460,Irving Park-Brown,06/16/2018,A,"1,671"
23932,41460,Irving Park-Brown,04/17/2018,W,"3,311"
24209,41460,Irving Park-Brown,06/24/2018,U,"1,721"
24531,41460,Irving Park-Brown,06/02/2018,A,"1,618"
24552,41460,Irving Park-Brown,05/18/2018,W,"3,204"
24565,41460,Irving Park-Brown,05/24/2018,W,"3,563"
24667,41460,Irving Park-Brown,06/01/2018,W,"3,534"
24688,41460,Irving Park-Brown,06/28/2018,W,"3,391"
24976,41460,Irving Park-Brown,06/27/2018,W,"3,322"
25146,41460,Irving Park-Brown,05/13/2018,U,934
25356,41460,Irving Park-Brown,04/09/2018,W,"3,185"
25741,41460,Irving Park-Brown,05/26/2018,A,"2,090"
25983,41460,Irving Park-Brown,04/19/2018,W,"3,250"
26793,41460,Irving Park-Brown,04/15/2018,U,886
26804,41460,Irving Park-Brown,06/03/2018,U,"1,279"
26807,41460,Irving Park-Brown,04/24/2018,W,"3,388"
