,station_id,stationname,date,daytype,rides
91,41040,Kedzie-Cermak,12/18/2017,W,945
405,41040,Kedzie-Cermak,12/05/2017,W,"1,091"
460,41040,Kedzie-Cermak,12/29/2017,W,801
513,41040,Kedzie-Cermak,12/16/2017,A,698
521,41040,Kedzie-Cermak,12/30/2017,A,491
784,41040,Kedzie-Cermak,12/08/2017,W,"1,002"
1133,41040,Kedzie-Cermak,12/27/2017,W,673
1295,41040,Kedzie-Cermak,12/09/2017,A,688
1577,41040,Kedzie-Cermak,12/31/2017,U,440
1616,41040,Kedzie-Cermak,12/01/2017,W,"1,139"
1654,41040,Kedzie-Cermak,12/12/2017,W,"1,013"
1695,41040,Kedzie-Cermak,12/23/2017,A,676
1739,41040,Kedzie-Cermak,12/02/2017,A,794
2056,41040,Kedzie-Cermak,12/22/2017,W,995
2117,41040,Kedzie-Cermak,12/24/2017,U,398
2136,41040,Kedzie-Cermak,12/17/2017,U,510
2218,41040,Kedzie-Cermak,12/07/2017,W,"1,098"
2387,41040,Kedzie-Cermak,12/21/2017,W,"1,008"
2961,41040,Kedzie-Cermak,12/26/2017,W,627
3056,41040,Kedzie-Cermak,12/13/2017,W,"1,024"
3103,41040,Kedzie-Cermak,12/10/2017,U,524
3443,41040,Kedzie-Cermak,12/11/2017,W,992
3537,41040,Kedzie-Cermak,12/19/2017,W,"1,020"
3587,41040,Kedzie-Cermak,12/15/2017,W,"1,011"
3788,41040,Kedzie-Cermak,12/28/2017,W,741
3940,41040,Kedzie-Cermak,12/03/2017,U,553
4297,41040,Kedzie-Cermak,12/20/2017,W,"1,025"
4411,41040,Kedzie-Cermak,12/06/2017,W,"1,103"
4419,41040,Kedzie-Cermak,12/25/2017,U,233
4450,41040,Kedzie-Cermak,12/04/2017,W,"1,053"
4452,41040,Kedzie-Cermak,12/14/2017,W,"1,054"
4686,41040,Kedzie-Cermak,01/18/2018,W,"1,004"
4847,41040,Kedzie-Cermak,01/24/2018,W,"1,016"
5030,41040,Kedzie-Cermak,01/07/2018,U,392
5121,41040,Kedzie-Cermak,03/10/2018,A,580
5213,41040,Kedzie-Cermak,03/29/2018,W,923
5301,41040,Kedzie-Cermak,01/23/2018,W,960
5526,41040,Kedzie-Cermak,02/09/2018,W,755
5718,41040,Kedzie-Cermak,02/02/2018,W,870
6241,41040,Kedzie-Cermak,02/27/2018,W,"1,022"
6426,41040,Kedzie-Cermak,01/12/2018,W,939
6476,41040,Kedzie-Cermak,02/24/2018,A,652
6568,41040,Kedzie-Cermak,02/25/2018,U,484
6581,41040,Kedzie-Cermak,03/07/2018,W,"1,030"
6594,41040,Kedzie-Cermak,01/25/2018,W,"1,074"
6667,41040,Kedzie-Cermak,01/21/2018,U,454
6911,41040,Kedzie-Cermak,02/19/2018,W,720
6929,41040,Kedzie-Cermak,03/22/2018,W,"1,027"
6967,41040,Kedzie-Cermak,03/02/2018,W,"1,060"
6994,41040,Kedzie-Cermak,02/05/2018,W,866
7026,41040,Kedzie-Cermak,03/24/2018,A,642
7244,41040,Kedzie-Cermak,02/16/2018,W,993
7306,41040,Kedzie-Cermak,01/30/2018,W,995
7443,41040,Kedzie-Cermak,03/25/2018,U,455
7447,41040,Kedzie-Cermak,03/19/2018,W,983
7655,41040,Kedzie-Cermak,01/06/2018,A,523
7698,41040,Kedzie-Cermak,03/05/2018,W,989
7891,41040,Kedzie-Cermak,02/11/2018,U,406
8090,41040,Kedzie-Cermak,01/08/2018,W,853
8473,41040,Kedzie-Cermak,02/12/2018,W,883
8583,41040,Kedzie-Cermak,01/13/2018,A,548
8710,41040,Kedzie-Cermak,03/01/2018,W,"1,088"
8756,41040,Kedzie-Cermak,02/01/2018,W,985
8992,41040,Kedzie-Cermak,03/09/2018,W,963
9042,41040,Kedzie-Cermak,02/21/2018,W,"1,038"
9085,41040,Kedzie-Cermak,03/31/2018,A,650
9139,41040,Kedzie-Cermak,01/19/2018,W,989
9218,41040,Kedzie-Cermak,02/14/2018,W,"1,043"
9367,41040,Kedzie-Cermak,03/03/2018,A,645
9896,41040,Kedzie-Cermak,03/08/2018,W,"1,002"
9901,41040,Kedzie-Cermak,03/04/2018,U,486
10272,41040,Kedzie-Cermak,01/28/2018,U,458
10343,41040,Kedzie-Cermak,03/23/2018,W,996
10482,41040,Kedzie-Cermak,01/14/2018,U,407
10591,41040,Kedzie-Cermak,01/03/2018,W,788
10834,41040,Kedzie-Cermak,01/09/2018,W,935
10972,41040,Kedzie-Cermak,03/28/2018,W,992
11063,41040,Kedzie-Cermak,02/28/2018,W,"1,093"
11343,41040,Kedzie-Cermak,02/22/2018,W,"1,083"
11600,41040,Kedzie-Cermak,01/27/2018,A,652
11875,41040,Kedzie-Cermak,03/11/2018,U,432
11903,41040,Kedzie-Cermak,01/11/2018,W,982
11987,41040,Kedzie-Cermak,03/26/2018,W,921
12038,41040,Kedzie-Cermak,02/23/2018,W,"1,045"
12221,41040,Kedzie-Cermak,02/08/2018,W,992
12267,41040,Kedzie-Cermak,03/16/2018,W,"1,062"
12382,41040,Kedzie-Cermak,03/18/2018,U,546
12389,41040,Kedzie-Cermak,03/17/2018,A,777
12392,41040,Kedzie-Cermak,01/10/2018,W,945
12406,41040,Kedzie-Cermak,02/17/2018,A,592
12557,41040,Kedzie-Cermak,02/10/2018,A,551
12607,41040,Kedzie-Cermak,03/14/2018,W,"1,007"
12608,41040,Kedzie-Cermak,01/04/2018,W,811
12957,41040,Kedzie-Cermak,01/05/2018,W,800
13086,41040,Kedzie-Cermak,03/13/2018,W,990
13103,41040,Kedzie-Cermak,02/03/2018,A,602
