,station_id,stationname,date,daytype,rides
61,41070,Kedzie-Lake,12/03/2017,U,781
259,41070,Kedzie-Lake,12/29/2017,W,"1,197"
329,41070,Kedzie-Lake,12/10/2017,U,743
379,41070,Kedzie-Lake,12/20/2017,W,"1,701"
519,41070,Kedzie-Lake,12/18/2017,W,"1,630"
570,41070,Kedzie-Lake,12/16/2017,A,"1,051"
614,41070,Kedzie-Lake,12/15/2017,W,"1,587"
642,41070,Kedzie-Lake,12/01/2017,W,"1,850"
911,41070,Kedzie-Lake,12/09/2017,A,892
1104,41070,Kedzie-Lake,12/25/2017,U,587
1120,41070,Kedzie-Lake,12/12/2017,W,"1,641"
1234,41070,Kedzie-Lake,12/27/2017,W,"1,011"
1284,41070,Kedzie-Lake,12/31/2017,U,675
1490,41070,Kedzie-Lake,12/22/2017,W,"1,622"
1750,41070,Kedzie-Lake,12/26/2017,W,833
2085,41070,Kedzie-Lake,12/06/2017,W,"1,670"
2289,41070,Kedzie-Lake,12/04/2017,W,"1,735"
2317,41070,Kedzie-Lake,12/23/2017,A,968
2565,41070,Kedzie-Lake,12/19/2017,W,"1,713"
2578,41070,Kedzie-Lake,12/21/2017,W,"1,652"
2707,41070,Kedzie-Lake,12/28/2017,W,"1,076"
2726,41070,Kedzie-Lake,12/05/2017,W,"1,606"
3088,41070,Kedzie-Lake,12/13/2017,W,"1,641"
3427,41070,Kedzie-Lake,12/24/2017,U,743
3765,41070,Kedzie-Lake,12/07/2017,W,"1,654"
3795,41070,Kedzie-Lake,12/17/2017,U,810
3870,41070,Kedzie-Lake,12/11/2017,W,"1,556"
3967,41070,Kedzie-Lake,12/14/2017,W,"1,687"
4103,41070,Kedzie-Lake,12/30/2017,A,805
4185,41070,Kedzie-Lake,12/08/2017,W,"1,690"
4485,41070,Kedzie-Lake,12/02/2017,A,"1,083"
4685,41070,Kedzie-Lake,01/19/2018,W,"1,537"
4823,41070,Kedzie-Lake,01/31/2018,W,"1,626"
4865,41070,Kedzie-Lake,01/03/2018,W,"1,148"
5113,41070,Kedzie-Lake,02/12/2018,W,"1,372"
5350,41070,Kedzie-Lake,02/20/2018,W,"1,619"
5554,41070,Kedzie-Lake,03/22/2018,W,"1,584"
5640,41070,Kedzie-Lake,02/13/2018,W,"1,578"
5757,41070,Kedzie-Lake,01/21/2018,U,701
5802,41070,Kedzie-Lake,02/19/2018,W,921
5884,41070,Kedzie-Lake,01/30/2018,W,"1,603"
5917,41070,Kedzie-Lake,03/27/2018,W,"1,189"
6098,41070,Kedzie-Lake,02/11/2018,U,606
6132,41070,Kedzie-Lake,01/13/2018,A,745
6357,41070,Kedzie-Lake,02/21/2018,W,"1,604"
6768,41070,Kedzie-Lake,01/24/2018,W,"1,631"
6775,41070,Kedzie-Lake,01/26/2018,W,"1,652"
6825,41070,Kedzie-Lake,03/14/2018,W,"1,634"
6854,41070,Kedzie-Lake,03/30/2018,W,"1,189"
6942,41070,Kedzie-Lake,02/04/2018,U,600
7257,41070,Kedzie-Lake,03/06/2018,W,"1,592"
7774,41070,Kedzie-Lake,03/31/2018,A,841
7780,41070,Kedzie-Lake,02/28/2018,W,"1,679"
7881,41070,Kedzie-Lake,02/14/2018,W,"1,669"
7993,41070,Kedzie-Lake,02/23/2018,W,"1,558"
8036,41070,Kedzie-Lake,02/26/2018,W,"1,596"
8120,41070,Kedzie-Lake,01/10/2018,W,"1,708"
8255,41070,Kedzie-Lake,01/15/2018,W,768
8402,41070,Kedzie-Lake,03/28/2018,W,"1,192"
8508,41070,Kedzie-Lake,02/16/2018,W,"1,557"
8590,41070,Kedzie-Lake,02/03/2018,A,859
8615,41070,Kedzie-Lake,03/11/2018,U,699
8764,41070,Kedzie-Lake,02/17/2018,A,861
8795,41070,Kedzie-Lake,02/02/2018,W,"1,277"
8823,41070,Kedzie-Lake,03/03/2018,A,897
8977,41070,Kedzie-Lake,03/15/2018,W,"1,590"
9030,41070,Kedzie-Lake,01/06/2018,A,750
9242,41070,Kedzie-Lake,01/28/2018,U,655
9577,41070,Kedzie-Lake,01/14/2018,U,632
9897,41070,Kedzie-Lake,03/01/2018,W,"1,603"
10223,41070,Kedzie-Lake,02/08/2018,W,"1,550"
10351,41070,Kedzie-Lake,03/09/2018,W,"1,517"
10833,41070,Kedzie-Lake,03/02/2018,W,"1,611"
10853,41070,Kedzie-Lake,03/25/2018,U,642
11287,41070,Kedzie-Lake,03/04/2018,U,695
11573,41070,Kedzie-Lake,01/17/2018,W,"1,583"
11761,41070,Kedzie-Lake,01/22/2018,W,"1,568"
