,station_id,stationname,date,daytype,rides
33,41290,Kimball,12/31/2017,U,"1,458"
160,41290,Kimball,12/21/2017,W,"3,804"
548,41290,Kimball,12/04/2017,W,"4,067"
582,41290,Kimball,12/18/2017,W,"3,687"
609,41290,Kimball,12/02/2017,A,"3,355"
749,41290,Kimball,12/08/2017,W,"4,067"
970,41290,Kimball,12/19/2017,W,"3,855"
1324,41290,Kimball,12/06/2017,W,"4,135"
1338,41290,Kimball,12/07/2017,W,"4,261"
1637,41290,Kimball,12/01/2017,W,"4,373"
1751,41290,Kimball,12/15/2017,W,"3,906"
1802,41290,Kimball,12/22/2017,W,"3,494"
1834,41290,Kimball,12/23/2017,A,"2,221"
1979,41290,Kimball,12/26/2017,W,"2,132"
2040,41290,Kimball,12/30/2017,A,"1,851"
2143,41290,Kimball,12/29/2017,W,"2,704"
2319,41290,Kimball,12/09/2017,A,"2,616"
2321,41290,Kimball,12/05/2017,W,"4,169"
2326,41290,Kimball,12/25/2017,U,718
2506,41290,Kimball,12/20/2017,W,"3,825"
2527,41290,Kimball,12/17/2017,U,"1,588"
3071,41290,Kimball,12/10/2017,U,"1,637"
3172,41290,Kimball,12/12/2017,W,"3,980"
3213,41290,Kimball,12/24/2017,U,"1,218"
3904,41290,Kimball,12/16/2017,A,"2,414"
4005,41290,Kimball,12/03/2017,U,"1,875"
4095,41290,Kimball,12/28/2017,W,"2,648"
4133,41290,Kimball,12/14/2017,W,"4,130"
4282,41290,Kimball,12/11/2017,W,"3,965"
4442,41290,Kimball,12/13/2017,W,"4,097"
4486,41290,Kimball,12/27/2017,W,"2,516"
4768,41290,Kimball,01/11/2018,W,"3,998"
4902,41290,Kimball,03/12/2018,W,"3,777"
5002,41290,Kimball,01/12/2018,W,"3,705"
5180,41290,Kimball,01/15/2018,W,"2,437"
5236,41290,Kimball,03/11/2018,U,"1,566"
5325,41290,Kimball,03/03/2018,A,"2,401"
5375,41290,Kimball,02/28/2018,W,"4,097"
5504,41290,Kimball,03/10/2018,A,"2,347"
