,station_id,stationname,date,daytype,rides
66,40160,LaSalle+Van Buren,12/05/2017,W,"3,326"
703,40160,LaSalle+Van Buren,12/30/2017,A,342
756,40160,LaSalle+Van Buren,12/24/2017,U,208
795,40160,LaSalle+Van Buren,12/08/2017,W,"2,839"
814,40160,LaSalle+Van Buren,12/17/2017,U,311
878,40160,LaSalle+Van Buren,12/06/2017,W,"3,329"
894,40160,LaSalle+Van Buren,12/12/2017,W,"3,295"
968,40160,LaSalle+Van Buren,12/29/2017,W,"1,844"
1064,40160,LaSalle+Van Buren,12/31/2017,U,336
1196,40160,LaSalle+Van Buren,12/10/2017,U,344
1258,40160,LaSalle+Van Buren,12/23/2017,A,332
1300,40160,LaSalle+Van Buren,12/02/2017,A,551
1451,40160,LaSalle+Van Buren,12/26/2017,W,"1,446"
1568,40160,LaSalle+Van Buren,12/04/2017,W,"3,084"
1619,40160,LaSalle+Van Buren,12/20/2017,W,"2,929"
1976,40160,LaSalle+Van Buren,12/14/2017,W,"3,180"
2234,40160,LaSalle+Van Buren,12/11/2017,W,"3,158"
2384,40160,LaSalle+Van Buren,12/28/2017,W,"2,023"
2430,40160,LaSalle+Van Buren,12/19/2017,W,"3,047"
2505,40160,LaSalle+Van Buren,12/22/2017,W,"2,007"
2538,40160,LaSalle+Van Buren,12/01/2017,W,"2,892"
3183,40160,LaSalle+Van Buren,12/25/2017,U,194
3512,40160,LaSalle+Van Buren,12/15/2017,W,"2,668"
3547,40160,LaSalle+Van Buren,12/18/2017,W,"2,931"
3664,40160,LaSalle+Van Buren,12/21/2017,W,"2,749"
3822,40160,LaSalle+Van Buren,12/27/2017,W,"1,947"
3854,40160,LaSalle+Van Buren,12/03/2017,U,381
4063,40160,LaSalle+Van Buren,12/07/2017,W,"3,283"
4161,40160,LaSalle+Van Buren,12/13/2017,W,"3,187"
4418,40160,LaSalle+Van Buren,12/16/2017,A,502
4434,40160,LaSalle+Van Buren,12/09/2017,A,549
4748,40160,LaSalle+Van Buren,03/18/2018,U,381
5013,40160,LaSalle+Van Buren,01/10/2018,W,"3,180"
5593,40160,LaSalle+Van Buren,03/14/2018,W,"3,382"
5799,40160,LaSalle+Van Buren,02/28/2018,W,"3,212"
5830,40160,LaSalle+Van Buren,03/17/2018,A,922
6118,40160,LaSalle+Van Buren,01/03/2018,W,"2,909"
6166,40160,LaSalle+Van Buren,01/14/2018,U,324
6220,40160,LaSalle+Van Buren,02/15/2018,W,"3,343"
6240,40160,LaSalle+Van Buren,03/13/2018,W,"3,397"
6287,40160,LaSalle+Van Buren,02/23/2018,W,"2,847"
6408,40160,LaSalle+Van Buren,01/31/2018,W,"3,228"
6623,40160,LaSalle+Van Buren,01/26/2018,W,"2,881"
6680,40160,LaSalle+Van Buren,01/02/2018,W,"2,621"
6821,40160,LaSalle+Van Buren,01/30/2018,W,"3,395"
