,station_id,stationname,date,daytype,rides
37,40770,Lawrence,12/21/2017,W,"2,958"
161,40770,Lawrence,12/09/2017,A,"2,734"
338,40770,Lawrence,12/17/2017,U,"2,032"
482,40770,Lawrence,12/06/2017,W,"3,258"
632,40770,Lawrence,12/22/2017,W,"2,496"
776,40770,Lawrence,12/04/2017,W,"3,153"
841,40770,Lawrence,12/05/2017,W,"3,284"
974,40770,Lawrence,12/24/2017,U,"1,411"
1187,40770,Lawrence,12/14/2017,W,"3,272"
1218,40770,Lawrence,12/25/2017,U,684
1353,40770,Lawrence,12/15/2017,W,"3,655"
1366,40770,Lawrence,12/07/2017,W,"3,576"
1571,40770,Lawrence,12/26/2017,W,"1,549"
1678,40770,Lawrence,12/27/2017,W,"1,879"
1827,40770,Lawrence,12/12/2017,W,"3,225"
1978,40770,Lawrence,12/30/2017,A,"1,799"
2144,40770,Lawrence,12/01/2017,W,"4,638"
2630,40770,Lawrence,12/02/2017,A,"3,160"
2728,40770,Lawrence,12/23/2017,A,"1,713"
2969,40770,Lawrence,12/29/2017,W,"2,251"
3028,40770,Lawrence,12/13/2017,W,"3,215"
3046,40770,Lawrence,12/31/2017,U,"1,748"
3107,40770,Lawrence,12/19/2017,W,"3,183"
3116,40770,Lawrence,12/11/2017,W,"3,144"
3549,40770,Lawrence,12/03/2017,U,"1,929"
3711,40770,Lawrence,12/18/2017,W,"3,084"
3900,40770,Lawrence,12/08/2017,W,"3,363"
3911,40770,Lawrence,12/16/2017,A,"2,303"
4082,40770,Lawrence,12/20/2017,W,"3,076"
4382,40770,Lawrence,12/10/2017,U,"1,874"
4459,40770,Lawrence,12/28/2017,W,"2,136"
4579,40770,Lawrence,01/27/2018,A,"2,613"
4651,40770,Lawrence,02/22/2018,W,"3,212"
4709,40770,Lawrence,01/02/2018,W,"2,367"
4886,40770,Lawrence,01/07/2018,U,"1,394"
4919,40770,Lawrence,02/20/2018,W,"3,408"
5178,40770,Lawrence,01/29/2018,W,"2,901"
5184,40770,Lawrence,01/30/2018,W,"3,156"
5335,40770,Lawrence,03/22/2018,W,"3,134"
5679,40770,Lawrence,03/05/2018,W,"3,082"
6038,40770,Lawrence,02/28/2018,W,"3,228"
6311,40770,Lawrence,03/04/2018,U,"1,827"
6663,40770,Lawrence,03/17/2018,A,"2,558"
6719,40770,Lawrence,02/24/2018,A,"2,691"
6740,40770,Lawrence,01/05/2018,W,"2,635"
6765,40770,Lawrence,02/06/2018,W,"3,419"
7177,40770,Lawrence,02/04/2018,U,"1,504"
7266,40770,Lawrence,02/27/2018,W,"3,228"
7422,40770,Lawrence,03/25/2018,U,"1,652"
7703,40770,Lawrence,01/09/2018,W,"3,061"
7829,40770,Lawrence,01/22/2018,W,"2,902"
7977,40770,Lawrence,03/20/2018,W,"3,085"
8103,40770,Lawrence,02/13/2018,W,"3,163"
8327,40770,Lawrence,02/18/2018,U,"1,935"
8552,40770,Lawrence,03/01/2018,W,"3,192"
8711,40770,Lawrence,03/02/2018,W,"4,152"
9089,40770,Lawrence,03/19/2018,W,"3,026"
9532,40770,Lawrence,01/17/2018,W,"3,328"
9661,40770,Lawrence,03/18/2018,U,"1,780"
9714,40770,Lawrence,03/23/2018,W,"3,285"
9927,40770,Lawrence,02/09/2018,W,"2,508"
9988,40770,Lawrence,02/05/2018,W,"2,960"
10249,40770,Lawrence,02/16/2018,W,"4,011"
10262,40770,Lawrence,02/26/2018,W,"2,965"
10279,40770,Lawrence,03/24/2018,A,"1,673"
10368,40770,Lawrence,01/11/2018,W,"3,080"
10464,40770,Lawrence,01/19/2018,W,"3,187"
10651,40770,Lawrence,03/08/2018,W,"3,089"
10695,40770,Lawrence,03/28/2018,W,"2,935"
10825,40770,Lawrence,01/10/2018,W,"3,171"
10891,40770,Lawrence,02/01/2018,W,"3,161"
10925,40770,Lawrence,02/14/2018,W,"3,513"
11393,40770,Lawrence,03/13/2018,W,"3,207"
11522,40770,Lawrence,03/26/2018,W,"2,864"
11570,40770,Lawrence,03/16/2018,W,"3,534"
11663,40770,Lawrence,02/23/2018,W,"3,589"
11742,40770,Lawrence,01/25/2018,W,"3,184"
12047,40770,Lawrence,03/11/2018,U,"1,717"
12153,40770,Lawrence,02/19/2018,W,"2,369"
12197,40770,Lawrence,01/28/2018,U,"1,578"
12206,40770,Lawrence,03/31/2018,A,"2,210"
12252,40770,Lawrence,01/31/2018,W,"3,222"
12418,40770,Lawrence,01/14/2018,U,"1,529"
12964,40770,Lawrence,02/15/2018,W,"3,182"
12974,40770,Lawrence,03/09/2018,W,"3,800"
13100,40770,Lawrence,03/07/2018,W,"3,128"
13171,40770,Lawrence,01/23/2018,W,"3,228"
13326,40770,Lawrence,01/08/2018,W,"2,971"
13396,40770,Lawrence,02/02/2018,W,"3,261"
13402,40770,Lawrence,03/14/2018,W,"3,167"
13851,40770,Lawrence,02/03/2018,A,"2,466"
13891,40770,Lawrence,03/12/2018,W,"3,030"
14000,40770,Lawrence,02/25/2018,U,"1,825"
