,station_id,stationname,date,daytype,rides
211,40850,Library,12/25/2017,U,392
316,40850,Library,12/15/2017,W,"3,109"
532,40850,Library,12/05/2017,W,"3,767"
821,40850,Library,12/31/2017,U,778
861,40850,Library,12/23/2017,A,"1,033"
942,40850,Library,12/11/2017,W,"3,495"
1212,40850,Library,12/02/2017,A,"1,868"
1487,40850,Library,12/04/2017,W,"3,681"
1576,40850,Library,12/08/2017,W,"3,360"
1808,40850,Library,12/24/2017,U,706
1838,40850,Library,12/27/2017,W,"1,656"
1849,40850,Library,12/10/2017,U,"1,146"
1883,40850,Library,12/01/2017,W,"3,569"
2068,40850,Library,12/03/2017,U,"1,480"
2081,40850,Library,12/17/2017,U,"1,059"
2106,40850,Library,12/19/2017,W,"3,110"
2179,40850,Library,12/13/2017,W,"3,489"
2405,40850,Library,12/12/2017,W,"3,514"
2848,40850,Library,12/30/2017,A,"1,056"
3007,40850,Library,12/18/2017,W,"3,045"
3090,40850,Library,12/14/2017,W,"3,659"
3139,40850,Library,12/20/2017,W,"2,969"
3256,40850,Library,12/07/2017,W,"3,721"
3355,40850,Library,12/21/2017,W,"2,871"
3458,40850,Library,12/06/2017,W,"3,681"
3508,40850,Library,12/09/2017,A,"1,823"
3622,40850,Library,12/29/2017,W,"1,809"
3703,40850,Library,12/26/2017,W,"1,342"
3910,40850,Library,12/28/2017,W,"1,897"
4054,40850,Library,12/16/2017,A,"1,542"
4191,40850,Library,12/22/2017,W,"2,298"
4564,40850,Library,03/24/2018,A,"1,741"
4702,40850,Library,02/05/2018,W,"3,537"
4921,40850,Library,01/21/2018,U,"1,049"
4936,40850,Library,01/02/2018,W,"2,343"
5016,40850,Library,01/01/2018,U,561
5155,40850,Library,02/20/2018,W,"3,938"
5237,40850,Library,01/13/2018,A,"1,408"
5261,40850,Library,03/25/2018,U,"1,793"
5356,40850,Library,03/07/2018,W,"3,742"
5555,40850,Library,02/28/2018,W,"3,896"
5572,40850,Library,01/09/2018,W,"3,492"
5671,40850,Library,01/11/2018,W,"3,320"
5807,40850,Library,03/26/2018,W,"3,541"
6025,40850,Library,01/16/2018,W,"3,605"
6139,40850,Library,03/21/2018,W,"3,469"
6297,40850,Library,03/23/2018,W,"3,009"
6320,40850,Library,02/25/2018,U,"1,176"
6564,40850,Library,01/12/2018,W,"2,776"
6577,40850,Library,02/11/2018,U,999
6642,40850,Library,02/06/2018,W,"3,847"
7591,40850,Library,02/26/2018,W,"3,844"
7714,40850,Library,02/14/2018,W,"3,776"
7992,40850,Library,01/20/2018,A,"2,900"
8380,40850,Library,01/26/2018,W,"3,230"
8780,40850,Library,01/30/2018,W,"4,002"
8964,40850,Library,01/18/2018,W,"3,508"
9125,40850,Library,03/29/2018,W,"3,511"
9137,40850,Library,02/08/2018,W,"3,821"
9143,40850,Library,01/17/2018,W,"3,598"
9224,40850,Library,01/29/2018,W,"3,829"
9234,40850,Library,02/15/2018,W,"3,843"
9247,40850,Library,01/04/2018,W,"2,770"
9289,40850,Library,01/22/2018,W,"3,809"
9414,40850,Library,03/04/2018,U,"1,046"
9416,40850,Library,02/24/2018,A,"1,606"
9986,40850,Library,03/31/2018,A,"1,396"
10330,40850,Library,03/09/2018,W,"3,102"
10506,40850,Library,01/19/2018,W,"2,982"
10564,40850,Library,02/16/2018,W,"3,443"
10699,40850,Library,03/08/2018,W,"3,709"
10868,40850,Library,01/31/2018,W,"3,880"
10896,40850,Library,03/30/2018,W,"2,666"
10983,40850,Library,03/10/2018,A,"1,571"
11040,40850,Library,01/08/2018,W,"3,301"
11174,40850,Library,02/03/2018,A,"1,458"
11256,40850,Library,02/02/2018,W,"2,872"
11475,40850,Library,01/05/2018,W,"2,329"
11556,40850,Library,02/19/2018,W,"2,511"
11678,40850,Library,03/17/2018,A,"2,969"
11741,40850,Library,02/07/2018,W,"3,809"
12294,40850,Library,01/06/2018,A,"1,117"
12532,40850,Library,03/16/2018,W,"3,240"
12666,40850,Library,03/12/2018,W,"3,682"
