,station_id,stationname,date,daytype,rides
146,41050,Linden,12/29/2017,W,617
148,41050,Linden,12/22/2017,W,870
282,41050,Linden,12/01/2017,W,913
456,41050,Linden,12/08/2017,W,860
469,41050,Linden,12/12/2017,W,778
665,41050,Linden,12/16/2017,A,783
667,41050,Linden,12/13/2017,W,893
707,41050,Linden,12/02/2017,A,530
907,41050,Linden,12/31/2017,U,427
935,41050,Linden,12/10/2017,U,310
1010,41050,Linden,12/28/2017,W,565
1213,41050,Linden,12/25/2017,U,125
1676,41050,Linden,12/30/2017,A,296
1711,41050,Linden,12/20/2017,W,882
2206,41050,Linden,12/21/2017,W,"1,089"
2441,41050,Linden,12/23/2017,A,475
2594,41050,Linden,12/19/2017,W,905
2702,41050,Linden,12/24/2017,U,217
2743,41050,Linden,12/06/2017,W,874
3089,41050,Linden,12/18/2017,W,829
3164,41050,Linden,12/11/2017,W,807
3215,41050,Linden,12/17/2017,U,308
3243,41050,Linden,12/05/2017,W,812
3501,41050,Linden,12/15/2017,W,"1,048"
3603,41050,Linden,12/14/2017,W,858
3638,41050,Linden,12/04/2017,W,878
3667,41050,Linden,12/09/2017,A,459
3745,41050,Linden,12/27/2017,W,541
4125,41050,Linden,12/03/2017,U,334
4309,41050,Linden,12/07/2017,W,849
4346,41050,Linden,12/26/2017,W,458
4773,41050,Linden,01/18/2018,W,818
4910,41050,Linden,02/14/2018,W,882
5034,41050,Linden,03/11/2018,U,320
5080,41050,Linden,02/05/2018,W,844
5179,41050,Linden,03/22/2018,W,851
5235,41050,Linden,01/09/2018,W,789
5249,41050,Linden,03/30/2018,W,656
5317,41050,Linden,03/17/2018,A,802
5534,41050,Linden,02/06/2018,W,829
5596,41050,Linden,02/13/2018,W,874
5763,41050,Linden,01/21/2018,U,227
5902,41050,Linden,02/17/2018,A,365
5964,41050,Linden,03/04/2018,U,302
6189,41050,Linden,03/02/2018,W,838
6464,41050,Linden,01/16/2018,W,819
6567,41050,Linden,02/27/2018,W,877
6906,41050,Linden,02/22/2018,W,870
7067,41050,Linden,02/01/2018,W,840
7072,41050,Linden,03/08/2018,W,840
7073,41050,Linden,01/02/2018,W,586
7139,41050,Linden,02/28/2018,W,848
7192,41050,Linden,01/31/2018,W,839
7274,41050,Linden,03/09/2018,W,873
7413,41050,Linden,01/24/2018,W,854
7476,41050,Linden,02/12/2018,W,855
7676,41050,Linden,01/22/2018,W,812
7979,41050,Linden,01/26/2018,W,818
8282,41050,Linden,01/15/2018,W,553
8363,41050,Linden,03/28/2018,W,834
8401,41050,Linden,03/29/2018,W,756
8502,41050,Linden,01/25/2018,W,909
8613,41050,Linden,02/16/2018,W,724
8664,41050,Linden,03/21/2018,W,908
8767,41050,Linden,01/04/2018,W,684
8837,41050,Linden,02/19/2018,W,612
9275,41050,Linden,03/14/2018,W,837
9325,41050,Linden,02/23/2018,W,765
9392,41050,Linden,01/05/2018,W,639
9468,41050,Linden,03/01/2018,W,879
9531,41050,Linden,01/17/2018,W,831
9539,41050,Linden,03/16/2018,W,876
9807,41050,Linden,01/30/2018,W,795
