,station_id,stationname,date,daytype,rides
25,41020,Logan Square,12/18/2017,W,"7,095"
191,41020,Logan Square,12/02/2017,A,"4,518"
285,41020,Logan Square,12/20/2017,W,"7,291"
317,41020,Logan Square,12/11/2017,W,"7,372"
535,41020,Logan Square,12/26/2017,W,"2,938"
931,41020,Logan Square,12/16/2017,A,"4,341"
972,41020,Logan Square,12/10/2017,U,"3,153"
1311,41020,Logan Square,12/28/2017,W,"4,744"
1502,41020,Logan Square,12/06/2017,W,"7,591"
1633,41020,Logan Square,12/15/2017,W,"7,266"
1948,41020,Logan Square,12/30/2017,A,"2,825"
2047,41020,Logan Square,12/24/2017,U,"1,910"
2086,41020,Logan Square,12/12/2017,W,"7,359"
2119,41020,Logan Square,12/31/2017,U,"2,593"
2157,41020,Logan Square,12/27/2017,W,"4,154"
2271,41020,Logan Square,12/21/2017,W,"7,011"
2281,41020,Logan Square,12/01/2017,W,"7,984"
2356,41020,Logan Square,12/03/2017,U,"3,324"
2952,41020,Logan Square,12/05/2017,W,"7,521"
3066,41020,Logan Square,12/08/2017,W,"7,872"
3205,41020,Logan Square,12/22/2017,W,"6,092"
3296,41020,Logan Square,12/23/2017,A,"3,379"
3574,41020,Logan Square,12/13/2017,W,"7,184"
3712,41020,Logan Square,12/04/2017,W,"7,602"
3856,41020,Logan Square,12/07/2017,W,"7,698"
4146,41020,Logan Square,12/14/2017,W,"7,690"
4186,41020,Logan Square,12/25/2017,U,"1,039"
4303,41020,Logan Square,12/19/2017,W,"7,247"
4400,41020,Logan Square,12/17/2017,U,"3,133"
4402,41020,Logan Square,12/29/2017,W,"4,729"
4463,41020,Logan Square,12/09/2017,A,"4,320"
4683,41020,Logan Square,02/24/2018,A,"3,847"
4963,41020,Logan Square,01/19/2018,W,"7,342"
4989,41020,Logan Square,03/12/2018,W,"7,165"
5093,41020,Logan Square,03/17/2018,A,"5,394"
5139,41020,Logan Square,01/15/2018,W,"4,610"
5465,41020,Logan Square,02/19/2018,W,"5,476"
5931,41020,Logan Square,01/06/2018,A,"3,002"
5943,41020,Logan Square,01/02/2018,W,"5,579"
6379,41020,Logan Square,03/30/2018,W,"6,565"
6724,41020,Logan Square,03/27/2018,W,"7,221"
6728,41020,Logan Square,03/13/2018,W,"7,456"
7223,41020,Logan Square,02/25/2018,U,"2,997"
7509,41020,Logan Square,02/27/2018,W,"7,525"
7544,41020,Logan Square,01/11/2018,W,"7,121"
7778,41020,Logan Square,02/18/2018,U,"2,938"
8312,41020,Logan Square,01/01/2018,U,"2,028"
8702,41020,Logan Square,01/14/2018,U,"2,549"
8852,41020,Logan Square,03/03/2018,A,"3,964"
8869,41020,Logan Square,02/17/2018,A,"3,840"
8893,41020,Logan Square,03/31/2018,A,"3,536"
9162,41020,Logan Square,01/25/2018,W,"7,583"
9181,41020,Logan Square,02/28/2018,W,"7,429"
9475,41020,Logan Square,02/04/2018,U,"2,399"
9526,41020,Logan Square,02/09/2018,W,"5,281"
9621,41020,Logan Square,01/22/2018,W,"7,103"
9675,41020,Logan Square,02/08/2018,W,"7,384"
9683,41020,Logan Square,03/24/2018,A,"3,819"
9754,41020,Logan Square,02/11/2018,U,"2,773"
9783,41020,Logan Square,02/03/2018,A,"3,295"
9939,41020,Logan Square,02/20/2018,W,"7,207"
10017,41020,Logan Square,01/16/2018,W,"7,128"
