,station_id,stationname,date,daytype,rides
110,40640,Madison+Wabash,12/05/2017,W,0
333,40640,Madison+Wabash,12/03/2017,U,0
354,40640,Madison+Wabash,12/11/2017,W,0
423,40640,Madison+Wabash,12/30/2017,A,0
490,40640,Madison+Wabash,12/19/2017,W,0
501,40640,Madison+Wabash,12/22/2017,W,0
506,40640,Madison+Wabash,12/04/2017,W,0
688,40640,Madison+Wabash,12/28/2017,W,0
783,40640,Madison+Wabash,12/12/2017,W,0
805,40640,Madison+Wabash,12/21/2017,W,0
1559,40640,Madison+Wabash,12/26/2017,W,0
1804,40640,Madison+Wabash,12/20/2017,W,0
1898,40640,Madison+Wabash,12/01/2017,W,0
2219,40640,Madison+Wabash,12/24/2017,U,0
2423,40640,Madison+Wabash,12/27/2017,W,0
2470,40640,Madison+Wabash,12/08/2017,W,0
2595,40640,Madison+Wabash,12/14/2017,W,0
2647,40640,Madison+Wabash,12/06/2017,W,0
2747,40640,Madison+Wabash,12/29/2017,W,0
2897,40640,Madison+Wabash,12/25/2017,U,0
3074,40640,Madison+Wabash,12/09/2017,A,0
3165,40640,Madison+Wabash,12/16/2017,A,0
3447,40640,Madison+Wabash,12/17/2017,U,0
3546,40640,Madison+Wabash,12/13/2017,W,0
3725,40640,Madison+Wabash,12/07/2017,W,0
3747,40640,Madison+Wabash,12/23/2017,A,0
3869,40640,Madison+Wabash,12/18/2017,W,0
4007,40640,Madison+Wabash,12/10/2017,U,0
4204,40640,Madison+Wabash,12/31/2017,U,0
4229,40640,Madison+Wabash,12/02/2017,A,0
4265,40640,Madison+Wabash,12/15/2017,W,0
6499,40640,Madison+Wabash,01/01/2018,U,0
148683,40640,Madison+Wabash,03/12/2016,A,0
148736,40640,Madison+Wabash,10/30/2007,W,"5,824"
148739,40640,Madison+Wabash,06/26/2009,W,"7,362"
148831,40640,Madison+Wabash,10/08/2004,W,"4,497"
149681,40640,Madison+Wabash,09/04/2016,U,0
150318,40640,Madison+Wabash,12/30/2013,W,"5,142"
150359,40640,Madison+Wabash,04/12/2007,W,"5,323"
150424,40640,Madison+Wabash,11/20/2015,W,0
150532,40640,Madison+Wabash,07/10/2012,W,"6,764"
150632,40640,Madison+Wabash,08/13/2013,W,"7,256"
150688,40640,Madison+Wabash,10/06/2013,U,"2,286"
150840,40640,Madison+Wabash,06/08/2014,U,"2,871"
150841,40640,Madison+Wabash,09/15/2010,W,"8,354"
150992,40640,Madison+Wabash,05/20/2002,W,"4,065"
151054,40640,Madison+Wabash,10/13/2013,U,"3,700"
151057,40640,Madison+Wabash,04/29/2008,W,"5,466"
151175,40640,Madison+Wabash,10/07/2005,W,"4,875"
151296,40640,Madison+Wabash,09/14/2013,A,"3,959"
151369,40640,Madison+Wabash,03/29/2005,W,"4,557"
151406,40640,Madison+Wabash,07/25/2011,W,"7,090"
151587,40640,Madison+Wabash,04/21/2016,W,0
151704,40640,Madison+Wabash,11/21/2007,W,"5,274"
151751,40640,Madison+Wabash,06/09/2016,W,0
151766,40640,Madison+Wabash,12/26/2010,U,"1,393"
151917,40640,Madison+Wabash,04/27/2012,W,"6,366"
152147,40640,Madison+Wabash,01/27/2007,A,"2,278"
152174,40640,Madison+Wabash,08/12/2001,U,558
152176,40640,Madison+Wabash,04/29/2006,A,"1,936"
152208,40640,Madison+Wabash,03/27/2006,W,"4,556"
152215,40640,Madison+Wabash,08/25/2008,W,"5,974"
152360,40640,Madison+Wabash,03/11/2010,W,"5,885"
152448,40640,Madison+Wabash,07/17/2001,W,"4,223"
152631,40640,Madison+Wabash,08/29/2007,W,"5,835"
152846,40640,Madison+Wabash,03/12/2006,U,"1,084"
152854,40640,Madison+Wabash,09/25/2002,W,"4,442"
152855,40640,Madison+Wabash,01/11/2002,W,"4,084"
153102,40640,Madison+Wabash,03/30/2015,W,0
153167,40640,Madison+Wabash,01/14/2006,A,"2,033"
153207,40640,Madison+Wabash,06/08/2008,U,"4,707"
153296,40640,Madison+Wabash,11/22/2004,W,"4,475"
153309,40640,Madison+Wabash,06/14/2002,W,"4,392"
153580,40640,Madison+Wabash,05/17/2016,W,0
153592,40640,Madison+Wabash,05/27/2009,W,"5,409"
153640,40640,Madison+Wabash,03/04/2007,U,"1,102"
153858,40640,Madison+Wabash,12/10/2005,A,"2,463"
153926,40640,Madison+Wabash,09/07/2010,W,"6,272"
154026,40640,Madison+Wabash,03/30/2005,W,"4,327"
154113,40640,Madison+Wabash,10/11/2017,W,0
154341,40640,Madison+Wabash,02/23/2007,W,"4,909"
154417,40640,Madison+Wabash,02/25/2017,A,0
154957,40640,Madison+Wabash,03/03/2001,A,"1,432"
155043,40640,Madison+Wabash,12/06/2016,W,0
155160,40640,Madison+Wabash,03/13/2014,W,"7,295"
155300,40640,Madison+Wabash,01/09/2006,W,"4,511"
155490,40640,Madison+Wabash,04/07/2001,A,"1,570"
155666,40640,Madison+Wabash,11/17/2017,W,0
155813,40640,Madison+Wabash,03/10/2016,W,0
155948,40640,Madison+Wabash,10/01/2015,W,0
155973,40640,Madison+Wabash,12/18/2015,W,0
156035,40640,Madison+Wabash,12/13/2002,W,"4,327"
156253,40640,Madison+Wabash,04/25/2017,W,0
156358,40640,Madison+Wabash,11/10/2004,W,"4,755"
156359,40640,Madison+Wabash,02/05/2016,W,0
156403,40640,Madison+Wabash,08/18/2010,W,"6,699"
156446,40640,Madison+Wabash,08/02/2006,W,"6,037"
156675,40640,Madison+Wabash,06/14/2016,W,0
156870,40640,Madison+Wabash,05/30/2013,W,"6,963"
156984,40640,Madison+Wabash,11/13/2011,U,"1,828"
157045,40640,Madison+Wabash,09/21/2013,A,"3,882"
157308,40640,Madison+Wabash,11/06/2003,W,"4,363"
157312,40640,Madison+Wabash,08/16/2003,A,"1,720"
157474,40640,Madison+Wabash,08/21/2014,W,"6,939"
157527,40640,Madison+Wabash,09/30/2012,U,"1,548"
157641,40640,Madison+Wabash,02/19/2004,W,"4,171"
157692,40640,Madison+Wabash,05/24/2017,W,0
157709,40640,Madison+Wabash,06/28/2005,W,"5,401"
157809,40640,Madison+Wabash,08/12/2009,W,"6,255"
157943,40640,Madison+Wabash,06/01/2006,W,"5,487"
157954,40640,Madison+Wabash,02/20/2004,W,"4,094"
158190,40640,Madison+Wabash,03/11/2001,U,489
158371,40640,Madison+Wabash,07/23/2011,A,"3,252"
158626,40640,Madison+Wabash,12/09/2009,W,"5,828"
159326,40640,Madison+Wabash,09/04/2002,W,"4,439"
