,station_id,stationname,date,daytype,rides
10,40270,Main,12/16/2017,A,887
207,40270,Main,12/31/2017,U,398
1352,40270,Main,12/21/2017,W,"1,093"
1509,40270,Main,12/06/2017,W,"1,161"
1805,40270,Main,12/26/2017,W,552
1934,40270,Main,12/04/2017,W,"1,143"
1996,40270,Main,12/14/2017,W,"1,169"
2110,40270,Main,12/03/2017,U,619
2221,40270,Main,12/28/2017,W,704
2302,40270,Main,12/25/2017,U,207
2439,40270,Main,12/24/2017,U,347
2524,40270,Main,12/15/2017,W,"1,242"
2531,40270,Main,12/18/2017,W,"1,082"
2567,40270,Main,12/13/2017,W,"1,216"
2642,40270,Main,12/20/2017,W,"1,097"
2651,40270,Main,12/10/2017,U,588
2697,40270,Main,12/08/2017,W,"1,213"
2760,40270,Main,12/02/2017,A,897
2766,40270,Main,12/29/2017,W,712
2796,40270,Main,12/11/2017,W,"1,163"
3104,40270,Main,12/12/2017,W,"1,214"
3263,40270,Main,12/23/2017,A,567
3409,40270,Main,12/27/2017,W,598
3436,40270,Main,12/01/2017,W,"1,315"
3563,40270,Main,12/09/2017,A,803
3566,40270,Main,12/07/2017,W,"1,225"
3930,40270,Main,12/30/2017,A,449
3956,40270,Main,12/05/2017,W,"1,247"
3997,40270,Main,12/22/2017,W,921
4154,40270,Main,12/19/2017,W,"1,119"
4291,40270,Main,12/17/2017,U,485
4714,40270,Main,02/11/2018,U,532
4723,40270,Main,02/07/2018,W,"1,166"
4724,40270,Main,03/15/2018,W,"1,193"
4770,40270,Main,01/31/2018,W,"1,147"
5186,40270,Main,02/02/2018,W,"1,126"
5257,40270,Main,03/05/2018,W,"1,100"
5353,40270,Main,02/14/2018,W,"1,270"
5424,40270,Main,01/22/2018,W,"1,128"
5459,40270,Main,03/26/2018,W,"1,008"
5607,40270,Main,01/11/2018,W,"1,118"
5701,40270,Main,01/27/2018,A,801
5866,40270,Main,03/16/2018,W,"1,189"
5878,40270,Main,03/13/2018,W,"1,231"
6073,40270,Main,03/27/2018,W,"1,060"
6207,40270,Main,02/24/2018,A,722
6272,40270,Main,03/29/2018,W,"1,098"
6437,40270,Main,03/01/2018,W,"1,176"
6508,40270,Main,02/09/2018,W,"1,014"
6619,40270,Main,01/08/2018,W,"1,100"
6681,40270,Main,02/15/2018,W,"1,377"
6771,40270,Main,01/07/2018,U,462
6862,40270,Main,03/25/2018,U,493
6887,40270,Main,01/02/2018,W,809
7031,40270,Main,01/29/2018,W,"1,102"
7127,40270,Main,01/15/2018,W,897
7145,40270,Main,02/01/2018,W,"1,126"
7391,40270,Main,02/03/2018,A,722
7536,40270,Main,02/13/2018,W,"1,209"
7713,40270,Main,01/05/2018,W,932
7794,40270,Main,02/26/2018,W,"1,127"
7821,40270,Main,03/02/2018,W,"1,229"
7846,40270,Main,01/10/2018,W,"1,104"
7917,40270,Main,01/17/2018,W,"1,163"
7924,40270,Main,01/30/2018,W,"1,240"
7949,40270,Main,03/24/2018,A,806
8661,40270,Main,01/21/2018,U,468
9207,40270,Main,03/19/2018,W,"1,131"
9216,40270,Main,03/08/2018,W,"1,189"
9357,40270,Main,02/27/2018,W,"1,244"
9383,40270,Main,02/22/2018,W,"1,138"
9430,40270,Main,02/25/2018,U,571
9541,40270,Main,03/04/2018,U,521
9780,40270,Main,02/08/2018,W,"1,184"
10033,40270,Main,01/18/2018,W,"1,214"
10093,40270,Main,01/24/2018,W,"1,161"
10114,40270,Main,01/12/2018,W,"1,034"
10391,40270,Main,02/28/2018,W,"1,205"
10542,40270,Main,02/12/2018,W,"1,120"
10818,40270,Main,01/13/2018,A,672
10829,40270,Main,01/04/2018,W,919
10939,40270,Main,03/14/2018,W,"1,253"
11306,40270,Main,01/19/2018,W,"1,199"
11490,40270,Main,03/17/2018,A,943
11565,40270,Main,03/10/2018,A,812
11660,40270,Main,02/23/2018,W,"1,147"
11865,40270,Main,02/17/2018,A,819
11950,40270,Main,01/28/2018,U,513
11952,40270,Main,03/23/2018,W,"1,206"
12203,40270,Main,03/21/2018,W,"1,111"
12283,40270,Main,03/03/2018,A,773
12372,40270,Main,02/19/2018,W,888
12492,40270,Main,01/09/2018,W,"1,171"
12571,40270,Main,01/20/2018,A,"1,056"
12628,40270,Main,02/05/2018,W,"1,062"
12654,40270,Main,03/31/2018,A,645
12679,40270,Main,01/16/2018,W,"1,198"
12701,40270,Main,01/01/2018,U,239
12955,40270,Main,03/07/2018,W,"1,179"
12981,40270,Main,03/28/2018,W,"1,097"
13170,40270,Main,02/10/2018,A,777
13264,40270,Main,03/09/2018,W,"1,150"
13317,40270,Main,03/22/2018,W,"1,148"
