,station_id,stationname,date,daytype,rides
235,40810,Medical Center,12/24/2017,U,307
375,40810,Medical Center,12/05/2017,W,"2,452"
719,40810,Medical Center,12/25/2017,U,240
1097,40810,Medical Center,12/17/2017,U,579
1124,40810,Medical Center,12/06/2017,W,"2,339"
1159,40810,Medical Center,12/11/2017,W,"2,602"
1406,40810,Medical Center,12/14/2017,W,"2,144"
1440,40810,Medical Center,12/08/2017,W,"2,117"
1748,40810,Medical Center,12/09/2017,A,872
1821,40810,Medical Center,12/10/2017,U,516
2020,40810,Medical Center,12/02/2017,A,665
2046,40810,Medical Center,12/31/2017,U,369
2306,40810,Medical Center,12/29/2017,W,"1,203"
2376,40810,Medical Center,12/03/2017,U,595
2715,40810,Medical Center,12/30/2017,A,405
2806,40810,Medical Center,12/15/2017,W,"1,732"
3082,40810,Medical Center,12/26/2017,W,806
3121,40810,Medical Center,12/16/2017,A,687
3233,40810,Medical Center,12/23/2017,A,412
3288,40810,Medical Center,12/12/2017,W,"2,370"
3461,40810,Medical Center,12/27/2017,W,"1,147"
3483,40810,Medical Center,12/07/2017,W,"2,313"
3601,40810,Medical Center,12/21/2017,W,"1,679"
3613,40810,Medical Center,12/19/2017,W,"1,886"
3814,40810,Medical Center,12/28/2017,W,"1,031"
4013,40810,Medical Center,12/04/2017,W,"2,741"
4131,40810,Medical Center,12/22/2017,W,"1,528"
4160,40810,Medical Center,12/13/2017,W,"2,379"
4239,40810,Medical Center,12/18/2017,W,"2,074"
4414,40810,Medical Center,12/20/2017,W,"1,935"
4460,40810,Medical Center,12/01/2017,W,"2,353"
4692,40810,Medical Center,01/12/2018,W,"1,777"
5378,40810,Medical Center,03/31/2018,A,467
5390,40810,Medical Center,02/16/2018,W,"1,917"
5494,40810,Medical Center,01/04/2018,W,"1,219"
5573,40810,Medical Center,03/15/2018,W,"2,249"
5612,40810,Medical Center,01/10/2018,W,"2,008"
5666,40810,Medical Center,02/04/2018,U,367
5676,40810,Medical Center,03/23/2018,W,"2,248"
6046,40810,Medical Center,02/12/2018,W,"2,074"
6168,40810,Medical Center,01/13/2018,A,710
6227,40810,Medical Center,02/24/2018,A,575
6230,40810,Medical Center,03/14/2018,W,"2,294"
6731,40810,Medical Center,01/16/2018,W,"2,720"
6767,40810,Medical Center,01/21/2018,U,495
6769,40810,Medical Center,02/07/2018,W,"2,209"
6841,40810,Medical Center,02/13/2018,W,"2,371"
7126,40810,Medical Center,02/10/2018,A,774
7187,40810,Medical Center,03/16/2018,W,"1,987"
7208,40810,Medical Center,02/14/2018,W,"2,469"
7314,40810,Medical Center,03/20/2018,W,"2,393"
7368,40810,Medical Center,03/27/2018,W,"1,611"
7390,40810,Medical Center,01/07/2018,U,450
8027,40810,Medical Center,02/09/2018,W,"1,424"
8089,40810,Medical Center,02/15/2018,W,"2,416"
8098,40810,Medical Center,01/02/2018,W,"1,114"
8891,40810,Medical Center,03/10/2018,A,798
9198,40810,Medical Center,03/28/2018,W,"1,606"
9420,40810,Medical Center,01/19/2018,W,"2,043"
9660,40810,Medical Center,01/15/2018,W,820
9841,40810,Medical Center,02/25/2018,U,395
9941,40810,Medical Center,01/09/2018,W,"1,872"
10013,40810,Medical Center,02/06/2018,W,"2,420"
10036,40810,Medical Center,01/05/2018,W,"1,165"
10045,40810,Medical Center,02/01/2018,W,"2,259"
10120,40810,Medical Center,03/22/2018,W,"2,421"
10172,40810,Medical Center,03/09/2018,W,"2,175"
10257,40810,Medical Center,03/26/2018,W,"1,628"
10338,40810,Medical Center,03/29/2018,W,"1,619"
10388,40810,Medical Center,02/17/2018,A,806
10466,40810,Medical Center,01/22/2018,W,"2,546"
10823,40810,Medical Center,02/21/2018,W,"2,455"
10942,40810,Medical Center,03/01/2018,W,"2,124"
10973,40810,Medical Center,02/20/2018,W,"2,219"
11161,40810,Medical Center,03/12/2018,W,"2,159"
11388,40810,Medical Center,01/20/2018,A,809
11412,40810,Medical Center,03/17/2018,A,"1,212"
11770,40810,Medical Center,02/11/2018,U,351
11771,40810,Medical Center,02/26/2018,W,"2,333"
12342,40810,Medical Center,01/26/2018,W,"2,171"
12355,40810,Medical Center,02/19/2018,W,985
12405,40810,Medical Center,01/11/2018,W,"2,045"
12678,40810,Medical Center,02/02/2018,W,"1,892"
12999,40810,Medical Center,03/08/2018,W,"2,380"
13013,40810,Medical Center,01/27/2018,A,666
13172,40810,Medical Center,03/05/2018,W,"2,465"
13311,40810,Medical Center,01/29/2018,W,"2,304"
13492,40810,Medical Center,03/18/2018,U,604
13556,40810,Medical Center,03/04/2018,U,434
13722,40810,Medical Center,02/22/2018,W,"2,585"
13755,40810,Medical Center,01/01/2018,U,426
13758,40810,Medical Center,03/19/2018,W,"2,267"
13810,40810,Medical Center,03/30/2018,W,"1,204"
14034,40810,Medical Center,01/28/2018,U,621
14212,40810,Medical Center,02/23/2018,W,"2,095"
14223,40810,Medical Center,02/05/2018,W,"2,151"
14364,40810,Medical Center,01/17/2018,W,"2,673"
14778,40810,Medical Center,01/06/2018,A,437
14833,40810,Medical Center,02/27/2018,W,"2,353"
14900,40810,Medical Center,02/08/2018,W,"2,406"
14932,40810,Medical Center,03/07/2018,W,"2,484"
15211,40810,Medical Center,03/25/2018,U,420
15418,40810,Medical Center,01/31/2018,W,"2,328"
15472,40810,Medical Center,03/21/2018,W,"2,386"
15498,40810,Medical Center,01/18/2018,W,"2,447"
15549,40810,Medical Center,01/03/2018,W,"1,328"
15642,40810,Medical Center,01/08/2018,W,"2,052"
15708,40810,Medical Center,01/24/2018,W,"2,522"
15770,40810,Medical Center,01/30/2018,W,"2,275"
16133,40810,Medical Center,03/24/2018,A,662
16290,40810,Medical Center,01/25/2018,W,"2,346"
16396,40810,Medical Center,02/03/2018,A,609
16541,40810,Medical Center,01/14/2018,U,491
16579,40810,Medical Center,03/02/2018,W,"2,168"
16676,40810,Medical Center,01/23/2018,W,"2,416"
16845,40810,Medical Center,03/06/2018,W,"2,464"
17118,40810,Medical Center,02/18/2018,U,418
17217,40810,Medical Center,02/28/2018,W,"2,307"
17270,40810,Medical Center,03/13/2018,W,"2,452"
17369,40810,Medical Center,03/11/2018,U,542
17441,40810,Medical Center,03/03/2018,A,752
17670,40810,Medical Center,06/04/2018,W,"1,944"
17912,40810,Medical Center,04/18/2018,W,"2,220"
18094,40810,Medical Center,05/27/2018,U,404
18445,40810,Medical Center,05/09/2018,W,"2,151"
18624,40810,Medical Center,04/05/2018,W,"2,151"
18685,40810,Medical Center,04/20/2018,W,"1,959"
