,station_id,stationname,date,daytype,rides
394,40790,Monroe+Dearborn,12/04/2017,W,"8,266"
429,40790,Monroe+Dearborn,12/21/2017,W,"7,520"
533,40790,Monroe+Dearborn,12/19/2017,W,"7,961"
566,40790,Monroe+Dearborn,12/27/2017,W,"4,738"
846,40790,Monroe+Dearborn,12/18/2017,W,"7,894"
1081,40790,Monroe+Dearborn,12/03/2017,U,"2,110"
1261,40790,Monroe+Dearborn,12/02/2017,A,"2,701"
1349,40790,Monroe+Dearborn,12/22/2017,W,"5,931"
1482,40790,Monroe+Dearborn,12/20/2017,W,"7,794"
1597,40790,Monroe+Dearborn,12/07/2017,W,"8,752"
1776,40790,Monroe+Dearborn,12/29/2017,W,"4,921"
1814,40790,Monroe+Dearborn,12/10/2017,U,"1,828"
1909,40790,Monroe+Dearborn,12/09/2017,A,"2,418"
1924,40790,Monroe+Dearborn,12/30/2017,A,"1,564"
2288,40790,Monroe+Dearborn,12/06/2017,W,"8,490"
2517,40790,Monroe+Dearborn,12/16/2017,A,"2,426"
2543,40790,Monroe+Dearborn,12/14/2017,W,"8,456"
2554,40790,Monroe+Dearborn,12/25/2017,U,543
2696,40790,Monroe+Dearborn,12/13/2017,W,"8,334"
2744,40790,Monroe+Dearborn,12/08/2017,W,"8,009"
2996,40790,Monroe+Dearborn,12/15/2017,W,"7,779"
3069,40790,Monroe+Dearborn,12/23/2017,A,"1,857"
3124,40790,Monroe+Dearborn,12/28/2017,W,"5,214"
3130,40790,Monroe+Dearborn,12/31/2017,U,"1,199"
3381,40790,Monroe+Dearborn,12/17/2017,U,"1,805"
3700,40790,Monroe+Dearborn,12/05/2017,W,"8,445"
3727,40790,Monroe+Dearborn,12/24/2017,U,"1,121"
4245,40790,Monroe+Dearborn,12/26/2017,W,"3,247"
4264,40790,Monroe+Dearborn,12/11/2017,W,"8,324"
4331,40790,Monroe+Dearborn,12/12/2017,W,"8,332"
4377,40790,Monroe+Dearborn,12/01/2017,W,"8,500"
4572,40790,Monroe+Dearborn,03/31/2018,A,"2,014"
4866,40790,Monroe+Dearborn,03/20/2018,W,"8,551"
5153,40790,Monroe+Dearborn,01/03/2018,W,"7,120"
5193,40790,Monroe+Dearborn,03/10/2018,A,"2,178"
5457,40790,Monroe+Dearborn,01/31/2018,W,"8,736"
5485,40790,Monroe+Dearborn,03/16/2018,W,"8,149"
5889,40790,Monroe+Dearborn,03/21/2018,W,"8,498"
6043,40790,Monroe+Dearborn,02/08/2018,W,"8,929"
6050,40790,Monroe+Dearborn,03/25/2018,U,"1,889"
6335,40790,Monroe+Dearborn,02/11/2018,U,"1,431"
6433,40790,Monroe+Dearborn,01/29/2018,W,"8,224"
6439,40790,Monroe+Dearborn,02/14/2018,W,"8,839"
6489,40790,Monroe+Dearborn,01/04/2018,W,"7,527"
6596,40790,Monroe+Dearborn,02/05/2018,W,"8,267"
6746,40790,Monroe+Dearborn,02/23/2018,W,"8,379"
6818,40790,Monroe+Dearborn,01/27/2018,A,"2,033"
7205,40790,Monroe+Dearborn,01/12/2018,W,"7,773"
7364,40790,Monroe+Dearborn,02/03/2018,A,"1,864"
7612,40790,Monroe+Dearborn,03/26/2018,W,"7,844"
7626,40790,Monroe+Dearborn,03/01/2018,W,"8,440"
7755,40790,Monroe+Dearborn,02/19/2018,W,"5,120"
7766,40790,Monroe+Dearborn,02/20/2018,W,"8,377"
7812,40790,Monroe+Dearborn,03/17/2018,A,"4,163"
8303,40790,Monroe+Dearborn,01/20/2018,A,"4,528"
8503,40790,Monroe+Dearborn,03/28/2018,W,"8,196"
8511,40790,Monroe+Dearborn,03/29/2018,W,"8,442"
8512,40790,Monroe+Dearborn,01/06/2018,A,"1,509"
8739,40790,Monroe+Dearborn,03/24/2018,A,"1,937"
9157,40790,Monroe+Dearborn,02/16/2018,W,"8,211"
9253,40790,Monroe+Dearborn,03/08/2018,W,"8,740"
9282,40790,Monroe+Dearborn,03/30/2018,W,"6,878"
9362,40790,Monroe+Dearborn,02/01/2018,W,"8,659"
9413,40790,Monroe+Dearborn,02/17/2018,A,"2,239"
9556,40790,Monroe+Dearborn,01/24/2018,W,"8,684"
9948,40790,Monroe+Dearborn,03/12/2018,W,"8,388"
9981,40790,Monroe+Dearborn,01/13/2018,A,"1,678"
10173,40790,Monroe+Dearborn,03/06/2018,W,"8,398"
10266,40790,Monroe+Dearborn,01/11/2018,W,"8,467"
10281,40790,Monroe+Dearborn,03/14/2018,W,"8,751"
10460,40790,Monroe+Dearborn,02/28/2018,W,"8,455"
10600,40790,Monroe+Dearborn,01/17/2018,W,"8,247"
10790,40790,Monroe+Dearborn,03/07/2018,W,"8,598"
10990,40790,Monroe+Dearborn,02/09/2018,W,"5,281"
11093,40790,Monroe+Dearborn,03/22/2018,W,"8,770"
11096,40790,Monroe+Dearborn,02/18/2018,U,"1,682"
11121,40790,Monroe+Dearborn,01/26/2018,W,"8,419"
11144,40790,Monroe+Dearborn,01/16/2018,W,"8,069"
11244,40790,Monroe+Dearborn,01/07/2018,U,"1,132"
11338,40790,Monroe+Dearborn,03/15/2018,W,"8,648"
11413,40790,Monroe+Dearborn,03/19/2018,W,"8,572"
11822,40790,Monroe+Dearborn,02/07/2018,W,"8,518"
11923,40790,Monroe+Dearborn,01/21/2018,U,"1,396"
11980,40790,Monroe+Dearborn,02/12/2018,W,"8,214"
12105,40790,Monroe+Dearborn,02/15/2018,W,"8,900"
12116,40790,Monroe+Dearborn,01/05/2018,W,"7,055"
12305,40790,Monroe+Dearborn,01/09/2018,W,"8,090"
12486,40790,Monroe+Dearborn,01/10/2018,W,"8,423"
12489,40790,Monroe+Dearborn,03/04/2018,U,"1,602"
12658,40790,Monroe+Dearborn,02/06/2018,W,"8,329"
12764,40790,Monroe+Dearborn,01/15/2018,W,"4,012"
12823,40790,Monroe+Dearborn,02/04/2018,U,"1,316"
12833,40790,Monroe+Dearborn,01/28/2018,U,"1,479"
12856,40790,Monroe+Dearborn,02/21/2018,W,"8,621"
13039,40790,Monroe+Dearborn,03/18/2018,U,"1,811"
13116,40790,Monroe+Dearborn,01/02/2018,W,"6,402"
13361,40790,Monroe+Dearborn,02/24/2018,A,"2,289"
13363,40790,Monroe+Dearborn,01/01/2018,U,915
13765,40790,Monroe+Dearborn,02/25/2018,U,"1,662"
13855,40790,Monroe+Dearborn,02/02/2018,W,"7,948"
14174,40790,Monroe+Dearborn,03/09/2018,W,"8,088"
14182,40790,Monroe+Dearborn,02/27/2018,W,"8,394"
14204,40790,Monroe+Dearborn,01/22/2018,W,"8,053"
14490,40790,Monroe+Dearborn,02/22/2018,W,"8,866"
14516,40790,Monroe+Dearborn,02/13/2018,W,"8,655"
15227,40790,Monroe+Dearborn,01/14/2018,U,"1,364"
15319,40790,Monroe+Dearborn,02/26/2018,W,"8,273"
15350,40790,Monroe+Dearborn,01/23/2018,W,"8,460"
15374,40790,Monroe+Dearborn,01/30/2018,W,"8,449"
15406,40790,Monroe+Dearborn,03/27/2018,W,"8,196"
15515,40790,Monroe+Dearborn,03/02/2018,W,"8,096"
16266,40790,Monroe+Dearborn,03/05/2018,W,"8,237"
16356,40790,Monroe+Dearborn,03/11/2018,U,"1,651"
16652,40790,Monroe+Dearborn,01/08/2018,W,"7,888"
16717,40790,Monroe+Dearborn,01/25/2018,W,"8,827"
16908,40790,Monroe+Dearborn,03/03/2018,A,"2,241"
16957,40790,Monroe+Dearborn,01/19/2018,W,"8,016"
17315,40790,Monroe+Dearborn,03/23/2018,W,"8,072"
17354,40790,Monroe+Dearborn,02/10/2018,A,"1,829"
17430,40790,Monroe+Dearborn,01/18/2018,W,"8,644"
17478,40790,Monroe+Dearborn,03/13/2018,W,"8,742"
17705,40790,Monroe+Dearborn,05/21/2018,W,"8,111"
18120,40790,Monroe+Dearborn,04/17/2018,W,"8,500"
18143,40790,Monroe+Dearborn,05/25/2018,W,"7,189"
18201,40790,Monroe+Dearborn,06/10/2018,U,"2,061"
18352,40790,Monroe+Dearborn,05/04/2018,W,"7,969"
18582,40790,Monroe+Dearborn,04/04/2018,W,"8,602"
18723,40790,Monroe+Dearborn,05/30/2018,W,"8,468"
18799,40790,Monroe+Dearborn,04/20/2018,W,"8,438"
18833,40790,Monroe+Dearborn,06/05/2018,W,"8,836"
18978,40790,Monroe+Dearborn,05/02/2018,W,"8,559"
19213,40790,Monroe+Dearborn,05/01/2018,W,"8,618"
19249,40790,Monroe+Dearborn,05/03/2018,W,"8,734"
19462,40790,Monroe+Dearborn,04/24/2018,W,"8,454"
19584,40790,Monroe+Dearborn,05/28/2018,U,"2,126"
19688,40790,Monroe+Dearborn,04/26/2018,W,"8,806"
19754,40790,Monroe+Dearborn,06/12/2018,W,"8,603"
19870,40790,Monroe+Dearborn,06/26/2018,W,"8,441"
19918,40790,Monroe+Dearborn,05/29/2018,W,"8,204"
20473,40790,Monroe+Dearborn,05/05/2018,A,"2,548"
20766,40790,Monroe+Dearborn,04/10/2018,W,"8,431"
20776,40790,Monroe+Dearborn,06/19/2018,W,"8,419"
21296,40790,Monroe+Dearborn,05/07/2018,W,"8,278"
21659,40790,Monroe+Dearborn,05/24/2018,W,"8,703"
21904,40790,Monroe+Dearborn,04/30/2018,W,"8,313"
21969,40790,Monroe+Dearborn,04/29/2018,U,"1,928"
22192,40790,Monroe+Dearborn,05/11/2018,W,"8,557"
22387,40790,Monroe+Dearborn,05/15/2018,W,"8,496"
22496,40790,Monroe+Dearborn,06/18/2018,W,"8,280"
22525,40790,Monroe+Dearborn,05/27/2018,U,"1,988"
22946,40790,Monroe+Dearborn,06/24/2018,U,"2,080"
23026,40790,Monroe+Dearborn,05/31/2018,W,"8,713"
23043,40790,Monroe+Dearborn,06/03/2018,U,"2,046"
23139,40790,Monroe+Dearborn,06/14/2018,W,"8,616"
23279,40790,Monroe+Dearborn,05/13/2018,U,"1,712"
23424,40790,Monroe+Dearborn,05/08/2018,W,"8,619"
23469,40790,Monroe+Dearborn,04/03/2018,W,"8,324"
23503,40790,Monroe+Dearborn,06/27/2018,W,"8,882"
23794,40790,Monroe+Dearborn,06/02/2018,A,"2,419"
23882,40790,Monroe+Dearborn,06/28/2018,W,"8,726"
23978,40790,Monroe+Dearborn,04/28/2018,A,"2,295"
24121,40790,Monroe+Dearborn,05/09/2018,W,"8,845"
24392,40790,Monroe+Dearborn,04/05/2018,W,"8,745"
