,station_id,stationname,date,daytype,rides
26,40100,Morse,12/31/2017,U,"2,486"
53,40100,Morse,12/06/2017,W,"4,575"
162,40100,Morse,12/10/2017,U,"2,526"
214,40100,Morse,12/22/2017,W,"3,760"
252,40100,Morse,12/28/2017,W,"3,146"
806,40100,Morse,12/18/2017,W,"4,058"
831,40100,Morse,12/07/2017,W,"4,645"
1043,40100,Morse,12/02/2017,A,"3,655"
1179,40100,Morse,12/23/2017,A,"2,535"
1570,40100,Morse,12/16/2017,A,"3,393"
1603,40100,Morse,12/25/2017,U,"1,053"
1672,40100,Morse,12/29/2017,W,"3,223"
1699,40100,Morse,12/20/2017,W,"4,201"
1981,40100,Morse,12/14/2017,W,"4,653"
2033,40100,Morse,12/19/2017,W,"4,307"
2523,40100,Morse,12/05/2017,W,"4,685"
2711,40100,Morse,12/04/2017,W,"4,590"
2819,40100,Morse,12/03/2017,U,"2,803"
2835,40100,Morse,12/27/2017,W,"2,802"
2935,40100,Morse,12/11/2017,W,"4,256"
3086,40100,Morse,12/08/2017,W,"4,680"
3147,40100,Morse,12/09/2017,A,"3,291"
3159,40100,Morse,12/30/2017,A,"2,378"
3605,40100,Morse,12/15/2017,W,"4,577"
3731,40100,Morse,12/24/2017,U,"1,883"
3772,40100,Morse,12/01/2017,W,"4,881"
4034,40100,Morse,12/13/2017,W,"4,593"
4068,40100,Morse,12/12/2017,W,"4,491"
4170,40100,Morse,12/17/2017,U,"2,565"
4292,40100,Morse,12/26/2017,W,"2,201"
4384,40100,Morse,12/21/2017,W,"4,194"
4640,40100,Morse,02/27/2018,W,"4,666"
4667,40100,Morse,02/06/2018,W,"4,525"
4672,40100,Morse,02/28/2018,W,"4,584"
4734,40100,Morse,03/21/2018,W,"4,521"
4846,40100,Morse,03/08/2018,W,"4,632"
4974,40100,Morse,02/10/2018,A,"3,194"
5224,40100,Morse,01/28/2018,U,"2,389"
5425,40100,Morse,01/13/2018,A,"2,839"
5505,40100,Morse,02/04/2018,U,"2,334"
5530,40100,Morse,01/21/2018,U,"2,418"
5724,40100,Morse,02/18/2018,U,"2,636"
5772,40100,Morse,02/03/2018,A,"3,057"
6246,40100,Morse,03/24/2018,A,"3,139"
6286,40100,Morse,01/11/2018,W,"4,384"
6627,40100,Morse,01/09/2018,W,"4,236"
6798,40100,Morse,03/31/2018,A,"3,023"
6852,40100,Morse,02/07/2018,W,"4,533"
6879,40100,Morse,01/20/2018,A,"3,491"
6947,40100,Morse,03/02/2018,W,"4,681"
6977,40100,Morse,02/08/2018,W,"4,681"
7015,40100,Morse,03/26/2018,W,"4,016"
7033,40100,Morse,01/19/2018,W,"4,649"
7185,40100,Morse,01/29/2018,W,"4,318"
7206,40100,Morse,03/03/2018,A,"3,158"
7237,40100,Morse,02/22/2018,W,"4,714"
7246,40100,Morse,03/25/2018,U,"2,522"
7288,40100,Morse,01/27/2018,A,"3,161"
7526,40100,Morse,03/12/2018,W,"4,470"
7636,40100,Morse,01/25/2018,W,"4,768"
7654,40100,Morse,03/04/2018,U,"2,548"
7685,40100,Morse,01/08/2018,W,"4,169"
7982,40100,Morse,01/06/2018,A,"2,655"
8162,40100,Morse,01/02/2018,W,"3,319"
8407,40100,Morse,02/05/2018,W,"4,192"
8975,40100,Morse,02/20/2018,W,"4,519"
9006,40100,Morse,02/25/2018,U,"2,561"
9311,40100,Morse,01/16/2018,W,"4,560"
9369,40100,Morse,03/14/2018,W,"4,712"
9442,40100,Morse,03/18/2018,U,"2,707"
9485,40100,Morse,03/10/2018,A,"3,343"
9515,40100,Morse,03/16/2018,W,"4,664"
9586,40100,Morse,02/17/2018,A,"3,216"
9637,40100,Morse,03/09/2018,W,"4,647"
9710,40100,Morse,03/13/2018,W,"4,465"
9811,40100,Morse,02/13/2018,W,"4,609"
9929,40100,Morse,03/05/2018,W,"4,294"
9959,40100,Morse,03/22/2018,W,"4,658"
10167,40100,Morse,02/12/2018,W,"4,392"
10340,40100,Morse,01/04/2018,W,"3,723"
10347,40100,Morse,03/07/2018,W,"4,536"
10402,40100,Morse,02/26/2018,W,"4,495"
10425,40100,Morse,01/24/2018,W,"4,705"
10824,40100,Morse,03/19/2018,W,"4,309"
10881,40100,Morse,01/22/2018,W,"4,547"
10928,40100,Morse,02/15/2018,W,"4,769"
10943,40100,Morse,03/15/2018,W,"4,738"
11259,40100,Morse,01/10/2018,W,"4,340"
11275,40100,Morse,02/09/2018,W,"3,863"
12087,40100,Morse,01/01/2018,U,"1,643"
12261,40100,Morse,01/18/2018,W,"4,687"
12266,40100,Morse,02/19/2018,W,"3,620"
12315,40100,Morse,02/01/2018,W,"4,630"
