,station_id,stationname,date,daytype,rides
129,40650,North+Clybourn,12/01/2017,W,"6,229"
267,40650,North+Clybourn,12/07/2017,W,"5,708"
510,40650,North+Clybourn,12/03/2017,U,"3,883"
537,40650,North+Clybourn,12/26/2017,W,"2,704"
597,40650,North+Clybourn,12/04/2017,W,"5,622"
763,40650,North+Clybourn,12/08/2017,W,"5,883"
836,40650,North+Clybourn,12/15/2017,W,"6,201"
1018,40650,North+Clybourn,12/22/2017,W,"5,387"
1114,40650,North+Clybourn,12/19/2017,W,"5,823"
1254,40650,North+Clybourn,12/17/2017,U,"4,158"
1263,40650,North+Clybourn,12/18/2017,W,"5,605"
1317,40650,North+Clybourn,12/02/2017,A,"5,094"
1534,40650,North+Clybourn,12/13/2017,W,"5,846"
1653,40650,North+Clybourn,12/31/2017,U,"2,609"
2149,40650,North+Clybourn,12/24/2017,U,"1,902"
2426,40650,North+Clybourn,12/05/2017,W,"5,614"
2436,40650,North+Clybourn,12/09/2017,A,"4,731"
2587,40650,North+Clybourn,12/20/2017,W,"5,893"
2682,40650,North+Clybourn,12/29/2017,W,"4,290"
2809,40650,North+Clybourn,12/28/2017,W,"3,898"
3027,40650,North+Clybourn,12/25/2017,U,683
3490,40650,North+Clybourn,12/23/2017,A,"3,540"
3527,40650,North+Clybourn,12/10/2017,U,"3,632"
3576,40650,North+Clybourn,12/14/2017,W,"6,118"
3692,40650,North+Clybourn,12/11/2017,W,"5,666"
3707,40650,North+Clybourn,12/12/2017,W,"5,496"
3782,40650,North+Clybourn,12/21/2017,W,"5,807"
3890,40650,North+Clybourn,12/27/2017,W,"3,437"
4059,40650,North+Clybourn,12/06/2017,W,"5,878"
4329,40650,North+Clybourn,12/30/2017,A,"3,514"
4458,40650,North+Clybourn,12/16/2017,A,"5,657"
4687,40650,North+Clybourn,01/19/2018,W,"5,835"
4928,40650,North+Clybourn,03/28/2018,W,"5,320"
5019,40650,North+Clybourn,03/12/2018,W,"5,461"
5361,40650,North+Clybourn,02/18/2018,U,"4,001"
5410,40650,North+Clybourn,03/08/2018,W,"5,720"
5512,40650,North+Clybourn,03/06/2018,W,"5,495"
5559,40650,North+Clybourn,03/01/2018,W,"5,604"
5584,40650,North+Clybourn,01/30/2018,W,"5,486"
5825,40650,North+Clybourn,02/20/2018,W,"5,365"
5876,40650,North+Clybourn,02/27/2018,W,"5,565"
6274,40650,North+Clybourn,02/02/2018,W,"5,222"
6344,40650,North+Clybourn,01/29/2018,W,"5,394"
6403,40650,North+Clybourn,03/30/2018,W,"5,149"
6539,40650,North+Clybourn,02/23/2018,W,"6,112"
6572,40650,North+Clybourn,03/10/2018,A,"4,933"
6659,40650,North+Clybourn,01/09/2018,W,"5,441"
6668,40650,North+Clybourn,03/14/2018,W,"5,917"
6700,40650,North+Clybourn,03/11/2018,U,"3,430"
6793,40650,North+Clybourn,03/27/2018,W,"5,291"
6973,40650,North+Clybourn,02/22/2018,W,"5,620"
7091,40650,North+Clybourn,01/26/2018,W,"5,772"
7143,40650,North+Clybourn,03/16/2018,W,"5,970"
8276,40650,North+Clybourn,03/23/2018,W,"5,511"
8597,40650,North+Clybourn,01/10/2018,W,"5,629"
8627,40650,North+Clybourn,01/12/2018,W,"5,306"
8649,40650,North+Clybourn,01/31/2018,W,"5,641"
8937,40650,North+Clybourn,02/15/2018,W,"5,811"
8978,40650,North+Clybourn,02/14/2018,W,"5,853"
9390,40650,North+Clybourn,02/11/2018,U,"3,420"
9476,40650,North+Clybourn,02/10/2018,A,"4,520"
9496,40650,North+Clybourn,02/08/2018,W,"5,754"
9533,40650,North+Clybourn,02/03/2018,A,"4,249"
9600,40650,North+Clybourn,03/20/2018,W,"5,539"
9755,40650,North+Clybourn,03/26/2018,W,"4,955"
9864,40650,North+Clybourn,03/03/2018,A,"4,885"
9923,40650,North+Clybourn,01/23/2018,W,"5,753"
10269,40650,North+Clybourn,01/01/2018,U,"2,372"
10405,40650,North+Clybourn,03/22/2018,W,"5,620"
10575,40650,North+Clybourn,03/17/2018,A,"5,157"
10626,40650,North+Clybourn,01/27/2018,A,"4,594"
10644,40650,North+Clybourn,01/04/2018,W,"4,735"
10719,40650,North+Clybourn,03/05/2018,W,"5,128"
10801,40650,North+Clybourn,03/09/2018,W,"5,802"
10950,40650,North+Clybourn,03/24/2018,A,"4,275"
11187,40650,North+Clybourn,02/04/2018,U,"2,836"
11207,40650,North+Clybourn,03/07/2018,W,"5,737"
11474,40650,North+Clybourn,03/15/2018,W,"5,883"
11476,40650,North+Clybourn,01/08/2018,W,"5,183"
11649,40650,North+Clybourn,02/25/2018,U,"3,757"
11904,40650,North+Clybourn,01/11/2018,W,"5,414"
11965,40650,North+Clybourn,02/19/2018,W,"4,664"
12138,40650,North+Clybourn,01/25/2018,W,"5,826"
12241,40650,North+Clybourn,02/12/2018,W,"5,569"
12686,40650,North+Clybourn,02/05/2018,W,"5,189"
