,station_id,stationname,date,daytype,rides
205,41350,Oak Park-Lake,12/21/2017,W,"1,532"
213,41350,Oak Park-Lake,12/12/2017,W,"1,558"
305,41350,Oak Park-Lake,12/26/2017,W,631
558,41350,Oak Park-Lake,12/24/2017,U,342
652,41350,Oak Park-Lake,12/17/2017,U,490
762,41350,Oak Park-Lake,12/20/2017,W,"1,547"
1009,41350,Oak Park-Lake,12/05/2017,W,"1,570"
1248,41350,Oak Park-Lake,12/13/2017,W,"1,607"
1312,41350,Oak Park-Lake,12/11/2017,W,"1,504"
1433,41350,Oak Park-Lake,12/10/2017,U,504
1677,41350,Oak Park-Lake,12/31/2017,U,418
1681,41350,Oak Park-Lake,12/06/2017,W,"1,599"
1904,41350,Oak Park-Lake,12/29/2017,W,"1,001"
1917,41350,Oak Park-Lake,12/07/2017,W,"1,638"
2130,41350,Oak Park-Lake,12/02/2017,A,769
2154,41350,Oak Park-Lake,12/08/2017,W,"1,583"
2303,41350,Oak Park-Lake,12/23/2017,A,600
2333,41350,Oak Park-Lake,12/03/2017,U,549
2434,41350,Oak Park-Lake,12/19/2017,W,"1,620"
2464,41350,Oak Park-Lake,12/09/2017,A,790
2483,41350,Oak Park-Lake,12/15/2017,W,"1,541"
2638,41350,Oak Park-Lake,12/14/2017,W,"1,658"
2782,41350,Oak Park-Lake,12/18/2017,W,"1,540"
3125,41350,Oak Park-Lake,12/01/2017,W,"1,598"
3628,41350,Oak Park-Lake,12/28/2017,W,980
3732,41350,Oak Park-Lake,12/04/2017,W,"1,626"
3791,41350,Oak Park-Lake,12/22/2017,W,"1,249"
3938,41350,Oak Park-Lake,12/25/2017,U,156
4012,41350,Oak Park-Lake,12/27/2017,W,883
4134,41350,Oak Park-Lake,12/30/2017,A,420
4166,41350,Oak Park-Lake,12/16/2017,A,752
4760,41350,Oak Park-Lake,02/07/2018,W,"1,570"
4805,41350,Oak Park-Lake,02/20/2018,W,"1,485"
5120,41350,Oak Park-Lake,03/28/2018,W,"1,535"
5220,41350,Oak Park-Lake,01/03/2018,W,"1,267"
5759,41350,Oak Park-Lake,01/09/2018,W,"1,509"
5762,41350,Oak Park-Lake,03/06/2018,W,"1,485"
5938,41350,Oak Park-Lake,01/21/2018,U,407
6107,41350,Oak Park-Lake,01/27/2018,A,723
6429,41350,Oak Park-Lake,02/09/2018,W,990
6498,41350,Oak Park-Lake,03/21/2018,W,"1,633"
6851,41350,Oak Park-Lake,02/08/2018,W,"1,512"
7070,41350,Oak Park-Lake,03/31/2018,A,621
7352,41350,Oak Park-Lake,02/15/2018,W,"1,575"
7587,41350,Oak Park-Lake,03/17/2018,A,"1,238"
7603,41350,Oak Park-Lake,01/16/2018,W,"1,584"
7930,41350,Oak Park-Lake,01/18/2018,W,"1,547"
7937,41350,Oak Park-Lake,03/19/2018,W,"1,461"
8021,41350,Oak Park-Lake,03/08/2018,W,"1,584"
8123,41350,Oak Park-Lake,03/24/2018,A,"1,276"
8144,41350,Oak Park-Lake,01/31/2018,W,"1,540"
8218,41350,Oak Park-Lake,01/15/2018,W,806
8715,41350,Oak Park-Lake,02/05/2018,W,"1,402"
8724,41350,Oak Park-Lake,02/22/2018,W,"1,520"
9252,41350,Oak Park-Lake,03/11/2018,U,442
9497,41350,Oak Park-Lake,03/15/2018,W,"1,628"
9579,41350,Oak Park-Lake,03/23/2018,W,"1,526"
9594,41350,Oak Park-Lake,02/11/2018,U,377
9741,41350,Oak Park-Lake,03/14/2018,W,"1,655"
9808,41350,Oak Park-Lake,02/19/2018,W,"1,025"
10021,41350,Oak Park-Lake,02/16/2018,W,"1,477"
10078,41350,Oak Park-Lake,01/12/2018,W,"1,406"
10153,41350,Oak Park-Lake,03/22/2018,W,"1,544"
10175,41350,Oak Park-Lake,03/13/2018,W,"1,514"
10396,41350,Oak Park-Lake,03/29/2018,W,"1,507"
10819,41350,Oak Park-Lake,01/07/2018,U,371
11079,41350,Oak Park-Lake,02/03/2018,A,596
11162,41350,Oak Park-Lake,02/21/2018,W,"1,629"
11278,41350,Oak Park-Lake,03/27/2018,W,"1,498"
11427,41350,Oak Park-Lake,01/13/2018,A,559
11466,41350,Oak Park-Lake,03/05/2018,W,"1,445"
11482,41350,Oak Park-Lake,01/01/2018,U,207
11541,41350,Oak Park-Lake,01/06/2018,A,493
11542,41350,Oak Park-Lake,02/12/2018,W,"1,427"
11644,41350,Oak Park-Lake,01/17/2018,W,"1,559"
11832,41350,Oak Park-Lake,02/23/2018,W,"1,455"
11894,41350,Oak Park-Lake,01/29/2018,W,"1,494"
12049,41350,Oak Park-Lake,03/01/2018,W,"1,562"
12254,41350,Oak Park-Lake,03/04/2018,U,466
12414,41350,Oak Park-Lake,01/24/2018,W,"1,615"
12468,41350,Oak Park-Lake,02/24/2018,A,702
12478,41350,Oak Park-Lake,01/04/2018,W,"1,321"
12540,41350,Oak Park-Lake,02/02/2018,W,"1,403"
12815,41350,Oak Park-Lake,02/28/2018,W,"1,542"
13011,41350,Oak Park-Lake,01/11/2018,W,"1,565"
13532,41350,Oak Park-Lake,01/22/2018,W,"1,444"
13942,41350,Oak Park-Lake,02/14/2018,W,"1,580"
13946,41350,Oak Park-Lake,03/20/2018,W,"1,588"
14053,41350,Oak Park-Lake,03/26/2018,W,"1,398"
14079,41350,Oak Park-Lake,03/07/2018,W,"1,528"
14145,41350,Oak Park-Lake,01/23/2018,W,"1,561"
14218,41350,Oak Park-Lake,03/10/2018,A,750
14274,41350,Oak Park-Lake,03/16/2018,W,"1,527"
14481,41350,Oak Park-Lake,03/03/2018,A,678
14648,41350,Oak Park-Lake,03/25/2018,U,532
14703,41350,Oak Park-Lake,02/18/2018,U,492
14870,41350,Oak Park-Lake,02/06/2018,W,"1,477"
14888,41350,Oak Park-Lake,01/25/2018,W,"1,569"
14890,41350,Oak Park-Lake,01/10/2018,W,"1,545"
14983,41350,Oak Park-Lake,01/19/2018,W,"1,479"
15071,41350,Oak Park-Lake,01/30/2018,W,"1,531"
15210,41350,Oak Park-Lake,01/14/2018,U,377
15399,41350,Oak Park-Lake,01/05/2018,W,"1,255"
15425,41350,Oak Park-Lake,03/30/2018,W,"1,284"
15522,41350,Oak Park-Lake,01/08/2018,W,"1,427"
15534,41350,Oak Park-Lake,02/25/2018,U,534
15689,41350,Oak Park-Lake,01/28/2018,U,400
15729,41350,Oak Park-Lake,01/20/2018,A,"1,200"
15882,41350,Oak Park-Lake,03/12/2018,W,"1,507"
15923,41350,Oak Park-Lake,03/09/2018,W,"1,506"
16116,41350,Oak Park-Lake,02/26/2018,W,"1,513"
16248,41350,Oak Park-Lake,02/13/2018,W,"1,510"
16263,41350,Oak Park-Lake,01/26/2018,W,"1,519"
16403,41350,Oak Park-Lake,01/02/2018,W,"1,123"
16419,41350,Oak Park-Lake,02/10/2018,A,615
16673,41350,Oak Park-Lake,02/17/2018,A,700
16954,41350,Oak Park-Lake,02/01/2018,W,"1,538"
16997,41350,Oak Park-Lake,02/27/2018,W,"1,560"
17004,41350,Oak Park-Lake,03/02/2018,W,"1,397"
17203,41350,Oak Park-Lake,02/04/2018,U,362
17454,41350,Oak Park-Lake,03/18/2018,U,541
17525,41350,Oak Park-Lake,06/06/2018,W,"1,696"
17547,41350,Oak Park-Lake,05/05/2018,A,849
17586,41350,Oak Park-Lake,05/17/2018,W,"1,672"
17617,41350,Oak Park-Lake,05/06/2018,U,493
17677,41350,Oak Park-Lake,05/11/2018,W,"1,551"
17808,41350,Oak Park-Lake,04/19/2018,W,"1,640"
18166,41350,Oak Park-Lake,04/26/2018,W,"1,604"
18317,41350,Oak Park-Lake,04/22/2018,U,496
18333,41350,Oak Park-Lake,06/27/2018,W,"1,740"
18498,41350,Oak Park-Lake,04/10/2018,W,"1,624"
18578,41350,Oak Park-Lake,05/02/2018,W,"1,555"
18642,41350,Oak Park-Lake,05/23/2018,W,"1,812"
18964,41350,Oak Park-Lake,04/25/2018,W,"1,563"
19470,41350,Oak Park-Lake,04/12/2018,W,"1,654"
19659,41350,Oak Park-Lake,05/14/2018,W,"1,517"
19819,41350,Oak Park-Lake,06/02/2018,A,783
20244,41350,Oak Park-Lake,05/07/2018,W,"1,637"
20351,41350,Oak Park-Lake,05/03/2018,W,"1,613"
20398,41350,Oak Park-Lake,04/04/2018,W,"1,618"
20809,41350,Oak Park-Lake,04/01/2018,U,336
20954,41350,Oak Park-Lake,04/27/2018,W,"1,553"
21021,41350,Oak Park-Lake,04/30/2018,W,"1,598"
21085,41350,Oak Park-Lake,04/03/2018,W,"1,577"
