,station_id,stationname,date,daytype,rides
38,41030,Polk,12/23/2017,A,510
179,41030,Polk,12/07/2017,W,"3,358"
203,41030,Polk,12/17/2017,U,496
623,41030,Polk,12/29/2017,W,"1,485"
955,41030,Polk,12/08/2017,W,"3,222"
1049,41030,Polk,12/09/2017,A,718
1051,41030,Polk,12/30/2017,A,411
1069,41030,Polk,12/06/2017,W,"3,644"
1126,41030,Polk,12/18/2017,W,"3,017"
1328,41030,Polk,12/16/2017,A,732
1879,41030,Polk,12/04/2017,W,"3,623"
1886,41030,Polk,12/15/2017,W,"2,825"
1972,41030,Polk,12/12/2017,W,"3,438"
2099,41030,Polk,12/31/2017,U,355
2305,41030,Polk,12/25/2017,U,277
2526,41030,Polk,12/05/2017,W,"3,585"
2580,41030,Polk,12/13/2017,W,"3,346"
2951,41030,Polk,12/21/2017,W,"2,650"
2992,41030,Polk,12/03/2017,U,582
3110,41030,Polk,12/02/2017,A,771
3499,41030,Polk,12/11/2017,W,"3,445"
3531,41030,Polk,12/10/2017,U,530
3556,41030,Polk,12/27/2017,W,"1,381"
3679,41030,Polk,12/14/2017,W,"3,234"
3724,41030,Polk,12/22/2017,W,"2,111"
3973,41030,Polk,12/01/2017,W,"3,439"
4062,41030,Polk,12/26/2017,W,"1,013"
4092,41030,Polk,12/28/2017,W,"1,517"
4172,41030,Polk,12/19/2017,W,"2,978"
4198,41030,Polk,12/24/2017,U,327
4284,41030,Polk,12/20/2017,W,"2,846"
4662,41030,Polk,02/21/2018,W,"3,382"
4781,41030,Polk,01/19/2018,W,"3,197"
4791,41030,Polk,03/07/2018,W,"3,393"
4873,41030,Polk,03/25/2018,U,477
4905,41030,Polk,02/02/2018,W,"2,994"
4957,41030,Polk,03/04/2018,U,530
5075,41030,Polk,03/09/2018,W,"3,149"
5189,41030,Polk,03/11/2018,U,451
5214,41030,Polk,02/16/2018,W,"3,257"
5218,41030,Polk,03/05/2018,W,"3,262"
5372,41030,Polk,03/18/2018,U,529
5705,41030,Polk,03/20/2018,W,"3,361"
5779,41030,Polk,02/27/2018,W,"3,424"
5815,41030,Polk,02/22/2018,W,"3,351"
5838,41030,Polk,01/26/2018,W,"3,209"
5846,41030,Polk,01/04/2018,W,"2,493"
5864,41030,Polk,03/01/2018,W,"3,312"
5905,41030,Polk,01/12/2018,W,"2,734"
6129,41030,Polk,03/06/2018,W,"3,490"
6462,41030,Polk,03/24/2018,A,771
6591,41030,Polk,01/16/2018,W,"3,489"
6683,41030,Polk,03/15/2018,W,"3,464"
6694,41030,Polk,02/07/2018,W,"3,419"
7036,41030,Polk,03/21/2018,W,"3,311"
7039,41030,Polk,02/04/2018,U,397
7052,41030,Polk,01/17/2018,W,"3,435"
7100,41030,Polk,03/19/2018,W,"3,362"
7170,41030,Polk,02/11/2018,U,452
7404,41030,Polk,01/23/2018,W,"3,479"
7488,41030,Polk,02/23/2018,W,"3,145"
7490,41030,Polk,03/17/2018,A,"1,037"
7538,41030,Polk,03/29/2018,W,"2,894"
7706,41030,Polk,03/03/2018,A,768
7720,41030,Polk,03/13/2018,W,"3,486"
8309,41030,Polk,03/12/2018,W,"3,278"
