,station_id,stationname,date,daytype,rides
116,40150,Pulaski-Cermak,12/16/2017,A,715
297,40150,Pulaski-Cermak,12/13/2017,W,"1,102"
340,40150,Pulaski-Cermak,12/23/2017,A,639
426,40150,Pulaski-Cermak,12/10/2017,U,507
592,40150,Pulaski-Cermak,12/07/2017,W,"1,133"
1037,40150,Pulaski-Cermak,12/06/2017,W,"1,192"
1075,40150,Pulaski-Cermak,12/30/2017,A,498
1273,40150,Pulaski-Cermak,12/31/2017,U,451
1560,40150,Pulaski-Cermak,12/22/2017,W,989
1652,40150,Pulaski-Cermak,12/29/2017,W,833
1692,40150,Pulaski-Cermak,12/28/2017,W,765
1758,40150,Pulaski-Cermak,12/26/2017,W,576
2485,40150,Pulaski-Cermak,12/04/2017,W,"1,150"
2990,40150,Pulaski-Cermak,12/01/2017,W,"1,211"
3050,40150,Pulaski-Cermak,12/11/2017,W,"1,087"
3051,40150,Pulaski-Cermak,12/14/2017,W,"1,130"
3076,40150,Pulaski-Cermak,12/20/2017,W,"1,044"
3118,40150,Pulaski-Cermak,12/08/2017,W,"1,072"
3169,40150,Pulaski-Cermak,12/27/2017,W,700
3175,40150,Pulaski-Cermak,12/05/2017,W,"1,102"
3513,40150,Pulaski-Cermak,12/17/2017,U,494
3611,40150,Pulaski-Cermak,12/02/2017,A,758
3646,40150,Pulaski-Cermak,12/09/2017,A,662
3760,40150,Pulaski-Cermak,12/18/2017,W,"1,034"
4015,40150,Pulaski-Cermak,12/12/2017,W,"1,086"
4038,40150,Pulaski-Cermak,12/24/2017,U,433
4192,40150,Pulaski-Cermak,12/21/2017,W,"1,066"
4206,40150,Pulaski-Cermak,12/15/2017,W,"1,060"
4270,40150,Pulaski-Cermak,12/03/2017,U,603
4369,40150,Pulaski-Cermak,12/19/2017,W,"1,063"
4461,40150,Pulaski-Cermak,12/25/2017,U,324
5119,40150,Pulaski-Cermak,02/07/2018,W,"1,052"
5132,40150,Pulaski-Cermak,03/23/2018,W,994
5136,40150,Pulaski-Cermak,01/12/2018,W,902
5170,40150,Pulaski-Cermak,01/01/2018,U,368
5341,40150,Pulaski-Cermak,02/16/2018,W,965
5399,40150,Pulaski-Cermak,03/30/2018,W,876
5429,40150,Pulaski-Cermak,03/19/2018,W,984
5562,40150,Pulaski-Cermak,02/01/2018,W,"1,050"
5886,40150,Pulaski-Cermak,01/11/2018,W,"1,025"
5911,40150,Pulaski-Cermak,01/29/2018,W,"1,016"
6121,40150,Pulaski-Cermak,03/22/2018,W,"1,017"
6341,40150,Pulaski-Cermak,01/26/2018,W,"1,016"
6707,40150,Pulaski-Cermak,03/24/2018,A,625
6725,40150,Pulaski-Cermak,02/19/2018,W,777
7243,40150,Pulaski-Cermak,01/09/2018,W,974
8073,40150,Pulaski-Cermak,01/04/2018,W,824
8212,40150,Pulaski-Cermak,01/10/2018,W,"1,034"
8412,40150,Pulaski-Cermak,01/25/2018,W,"1,062"
8570,40150,Pulaski-Cermak,03/09/2018,W,993
8580,40150,Pulaski-Cermak,02/18/2018,U,461
9122,40150,Pulaski-Cermak,01/30/2018,W,"1,043"
9267,40150,Pulaski-Cermak,02/12/2018,W,989
9321,40150,Pulaski-Cermak,01/27/2018,A,661
9523,40150,Pulaski-Cermak,03/18/2018,U,498
9645,40150,Pulaski-Cermak,03/11/2018,U,432
9856,40150,Pulaski-Cermak,02/15/2018,W,"1,069"
9860,40150,Pulaski-Cermak,03/07/2018,W,"1,048"
9883,40150,Pulaski-Cermak,02/28/2018,W,"1,086"
10285,40150,Pulaski-Cermak,01/20/2018,A,607
10321,40150,Pulaski-Cermak,02/27/2018,W,"1,100"
