,station_id,stationname,date,daytype,rides
144,40920,Pulaski-Forest Park,12/25/2017,U,692
367,40920,Pulaski-Forest Park,12/10/2017,U,956
412,40920,Pulaski-Forest Park,12/01/2017,W,"1,839"
437,40920,Pulaski-Forest Park,12/29/2017,W,"1,325"
442,40920,Pulaski-Forest Park,12/05/2017,W,"1,670"
663,40920,Pulaski-Forest Park,12/08/2017,W,"1,698"
678,40920,Pulaski-Forest Park,12/06/2017,W,"1,671"
740,40920,Pulaski-Forest Park,12/11/2017,W,"1,530"
929,40920,Pulaski-Forest Park,12/26/2017,W,954
932,40920,Pulaski-Forest Park,12/23/2017,A,"1,226"
1012,40920,Pulaski-Forest Park,12/31/2017,U,847
1337,40920,Pulaski-Forest Park,12/12/2017,W,"1,542"
1394,40920,Pulaski-Forest Park,12/09/2017,A,"1,191"
1609,40920,Pulaski-Forest Park,12/18/2017,W,"1,638"
1638,40920,Pulaski-Forest Park,12/19/2017,W,"1,676"
1665,40920,Pulaski-Forest Park,12/02/2017,A,"1,299"
1771,40920,Pulaski-Forest Park,12/16/2017,A,"1,273"
1861,40920,Pulaski-Forest Park,12/30/2017,A,"1,004"
1902,40920,Pulaski-Forest Park,12/14/2017,W,"1,662"
2107,40920,Pulaski-Forest Park,12/03/2017,U,"1,081"
2259,40920,Pulaski-Forest Park,12/24/2017,U,925
2354,40920,Pulaski-Forest Park,12/27/2017,W,"1,158"
2410,40920,Pulaski-Forest Park,12/13/2017,W,"1,574"
2420,40920,Pulaski-Forest Park,12/17/2017,U,"1,075"
2497,40920,Pulaski-Forest Park,12/07/2017,W,"1,591"
3128,40920,Pulaski-Forest Park,12/28/2017,W,"1,182"
3282,40920,Pulaski-Forest Park,12/20/2017,W,"1,590"
3529,40920,Pulaski-Forest Park,12/22/2017,W,"1,653"
3905,40920,Pulaski-Forest Park,12/04/2017,W,"1,746"
4024,40920,Pulaski-Forest Park,12/21/2017,W,"1,632"
4228,40920,Pulaski-Forest Park,12/15/2017,W,"1,619"
4613,40920,Pulaski-Forest Park,02/10/2018,A,"1,203"
4796,40920,Pulaski-Forest Park,03/24/2018,A,"1,230"
5131,40920,Pulaski-Forest Park,03/05/2018,W,"1,588"
5268,40920,Pulaski-Forest Park,01/02/2018,W,"1,061"
5506,40920,Pulaski-Forest Park,03/06/2018,W,"1,695"
5707,40920,Pulaski-Forest Park,03/25/2018,U,"1,029"
5788,40920,Pulaski-Forest Park,03/11/2018,U,"1,008"
5981,40920,Pulaski-Forest Park,02/04/2018,U,978
6236,40920,Pulaski-Forest Park,01/10/2018,W,"1,568"
6434,40920,Pulaski-Forest Park,03/04/2018,U,"1,147"
6617,40920,Pulaski-Forest Park,02/07/2018,W,"1,599"
6651,40920,Pulaski-Forest Park,03/02/2018,W,"1,702"
6797,40920,Pulaski-Forest Park,03/26/2018,W,"1,530"
6837,40920,Pulaski-Forest Park,02/15/2018,W,"1,759"
6871,40920,Pulaski-Forest Park,01/30/2018,W,"1,639"
6997,40920,Pulaski-Forest Park,02/19/2018,W,"1,399"
7545,40920,Pulaski-Forest Park,02/20/2018,W,"1,632"
7874,40920,Pulaski-Forest Park,02/12/2018,W,"1,558"
8213,40920,Pulaski-Forest Park,01/11/2018,W,"1,604"
8214,40920,Pulaski-Forest Park,03/07/2018,W,"1,739"
8438,40920,Pulaski-Forest Park,03/19/2018,W,"1,593"
8579,40920,Pulaski-Forest Park,02/11/2018,U,940
8654,40920,Pulaski-Forest Park,03/17/2018,A,"1,300"
8773,40920,Pulaski-Forest Park,03/09/2018,W,"1,639"
8799,40920,Pulaski-Forest Park,01/04/2018,W,"1,288"
8864,40920,Pulaski-Forest Park,03/13/2018,W,"1,673"
9084,40920,Pulaski-Forest Park,03/30/2018,W,"1,597"
9176,40920,Pulaski-Forest Park,02/28/2018,W,"1,603"
9191,40920,Pulaski-Forest Park,03/10/2018,A,"1,367"
9330,40920,Pulaski-Forest Park,02/27/2018,W,"1,576"
9575,40920,Pulaski-Forest Park,01/20/2018,A,"1,253"
9596,40920,Pulaski-Forest Park,02/09/2018,W,"1,261"
9739,40920,Pulaski-Forest Park,01/05/2018,W,"1,399"
10098,40920,Pulaski-Forest Park,01/03/2018,W,"1,240"
10165,40920,Pulaski-Forest Park,03/27/2018,W,"1,578"
10230,40920,Pulaski-Forest Park,03/29/2018,W,"1,625"
10447,40920,Pulaski-Forest Park,02/24/2018,A,"1,193"
10615,40920,Pulaski-Forest Park,01/17/2018,W,"1,519"
10694,40920,Pulaski-Forest Park,03/22/2018,W,"1,719"
10746,40920,Pulaski-Forest Park,01/12/2018,W,"1,554"
10885,40920,Pulaski-Forest Park,01/22/2018,W,"1,534"
11094,40920,Pulaski-Forest Park,02/08/2018,W,"1,576"
11185,40920,Pulaski-Forest Park,03/15/2018,W,"1,731"
11355,40920,Pulaski-Forest Park,02/17/2018,A,"1,272"
11431,40920,Pulaski-Forest Park,02/13/2018,W,"1,679"
11459,40920,Pulaski-Forest Park,01/16/2018,W,"1,472"
11754,40920,Pulaski-Forest Park,01/21/2018,U,"1,002"
11811,40920,Pulaski-Forest Park,03/12/2018,W,"1,606"
11896,40920,Pulaski-Forest Park,01/13/2018,A,"1,023"
11972,40920,Pulaski-Forest Park,01/24/2018,W,"1,609"
12071,40920,Pulaski-Forest Park,02/22/2018,W,"1,687"
12233,40920,Pulaski-Forest Park,03/18/2018,U,"1,114"
12420,40920,Pulaski-Forest Park,03/21/2018,W,"1,648"
12431,40920,Pulaski-Forest Park,03/23/2018,W,"1,688"
12534,40920,Pulaski-Forest Park,01/09/2018,W,"1,560"
