,station_id,stationname,date,daytype,rides
147,40030,Pulaski-Lake,12/24/2017,U,595
189,40030,Pulaski-Lake,12/27/2017,W,860
236,40030,Pulaski-Lake,12/11/2017,W,"1,280"
380,40030,Pulaski-Lake,12/26/2017,W,789
459,40030,Pulaski-Lake,12/08/2017,W,"1,398"
515,40030,Pulaski-Lake,12/25/2017,U,486
576,40030,Pulaski-Lake,12/28/2017,W,914
895,40030,Pulaski-Lake,12/21/2017,W,"1,295"
981,40030,Pulaski-Lake,12/14/2017,W,"1,281"
1232,40030,Pulaski-Lake,12/19/2017,W,"1,263"
1469,40030,Pulaski-Lake,12/03/2017,U,752
1636,40030,Pulaski-Lake,12/05/2017,W,"1,348"
1729,40030,Pulaski-Lake,12/06/2017,W,"1,477"
1752,40030,Pulaski-Lake,12/13/2017,W,"1,368"
1787,40030,Pulaski-Lake,12/09/2017,A,819
1958,40030,Pulaski-Lake,12/17/2017,U,683
2155,40030,Pulaski-Lake,12/15/2017,W,"1,347"
2442,40030,Pulaski-Lake,12/30/2017,A,673
2633,40030,Pulaski-Lake,12/16/2017,A,968
3032,40030,Pulaski-Lake,12/23/2017,A,845
3114,40030,Pulaski-Lake,12/04/2017,W,"1,384"
3194,40030,Pulaski-Lake,12/10/2017,U,663
3251,40030,Pulaski-Lake,12/18/2017,W,"1,292"
3372,40030,Pulaski-Lake,12/12/2017,W,"1,244"
3625,40030,Pulaski-Lake,12/01/2017,W,"1,560"
3815,40030,Pulaski-Lake,12/02/2017,A,988
3952,40030,Pulaski-Lake,12/22/2017,W,"1,319"
3976,40030,Pulaski-Lake,12/07/2017,W,"1,315"
3994,40030,Pulaski-Lake,12/29/2017,W,998
4042,40030,Pulaski-Lake,12/20/2017,W,"1,378"
4060,40030,Pulaski-Lake,12/31/2017,U,525
4703,40030,Pulaski-Lake,02/28/2018,W,"1,344"
4968,40030,Pulaski-Lake,01/28/2018,U,684
5003,40030,Pulaski-Lake,03/09/2018,W,"1,337"
5222,40030,Pulaski-Lake,03/05/2018,W,"1,257"
5243,40030,Pulaski-Lake,01/05/2018,W,"1,014"
5279,40030,Pulaski-Lake,01/09/2018,W,"1,300"
5329,40030,Pulaski-Lake,03/21/2018,W,"1,298"
5435,40030,Pulaski-Lake,02/17/2018,A,846
5587,40030,Pulaski-Lake,02/20/2018,W,"1,254"
5704,40030,Pulaski-Lake,03/20/2018,W,"1,236"
