,station_id,stationname,date,daytype,rides
171,40960,Pulaski-Orange,12/20/2017,W,"5,037"
180,40960,Pulaski-Orange,12/25/2017,U,528
301,40960,Pulaski-Orange,12/30/2017,A,"1,507"
485,40960,Pulaski-Orange,12/05/2017,W,"5,591"
794,40960,Pulaski-Orange,12/27/2017,W,"2,923"
845,40960,Pulaski-Orange,12/18/2017,W,"4,829"
1026,40960,Pulaski-Orange,12/26/2017,W,"2,573"
1140,40960,Pulaski-Orange,12/24/2017,U,"1,163"
1230,40960,Pulaski-Orange,12/11/2017,W,"5,206"
1424,40960,Pulaski-Orange,12/29/2017,W,"3,033"
1875,40960,Pulaski-Orange,12/28/2017,W,"3,084"
1997,40960,Pulaski-Orange,12/17/2017,U,"1,505"
2031,40960,Pulaski-Orange,12/07/2017,W,"5,611"
2188,40960,Pulaski-Orange,12/22/2017,W,"4,606"
2200,40960,Pulaski-Orange,12/15/2017,W,"4,963"
2287,40960,Pulaski-Orange,12/16/2017,A,"2,380"
2331,40960,Pulaski-Orange,12/06/2017,W,"5,692"
2534,40960,Pulaski-Orange,12/10/2017,U,"1,491"
2706,40960,Pulaski-Orange,12/03/2017,U,"2,031"
2729,40960,Pulaski-Orange,12/14/2017,W,"5,228"
2807,40960,Pulaski-Orange,12/31/2017,U,"1,213"
2987,40960,Pulaski-Orange,12/21/2017,W,"4,927"
3083,40960,Pulaski-Orange,12/02/2017,A,"2,885"
3173,40960,Pulaski-Orange,12/08/2017,W,"5,309"
3219,40960,Pulaski-Orange,12/13/2017,W,"5,290"
3362,40960,Pulaski-Orange,12/04/2017,W,"5,562"
3388,40960,Pulaski-Orange,12/12/2017,W,"5,169"
4294,40960,Pulaski-Orange,12/23/2017,A,"2,103"
4438,40960,Pulaski-Orange,12/01/2017,W,"5,689"
4446,40960,Pulaski-Orange,12/09/2017,A,"2,193"
4471,40960,Pulaski-Orange,12/19/2017,W,"5,123"
4548,40960,Pulaski-Orange,02/20/2018,W,"5,289"
4733,40960,Pulaski-Orange,03/07/2018,W,"5,322"
5011,40960,Pulaski-Orange,02/01/2018,W,"5,299"
5207,40960,Pulaski-Orange,02/15/2018,W,"5,351"
5251,40960,Pulaski-Orange,03/28/2018,W,"4,563"
5358,40960,Pulaski-Orange,03/29/2018,W,"4,192"
5362,40960,Pulaski-Orange,03/26/2018,W,"4,167"
5453,40960,Pulaski-Orange,03/31/2018,A,"1,720"
