,station_id,stationname,date,daytype,rides
23,40200,Randolph+Wabash,12/25/2017,U,0
427,40200,Randolph+Wabash,12/27/2017,W,0
735,40200,Randolph+Wabash,12/21/2017,W,0
757,40200,Randolph+Wabash,12/26/2017,W,0
963,40200,Randolph+Wabash,12/24/2017,U,0
1038,40200,Randolph+Wabash,12/12/2017,W,0
1042,40200,Randolph+Wabash,12/22/2017,W,0
1319,40200,Randolph+Wabash,12/31/2017,U,0
1454,40200,Randolph+Wabash,12/18/2017,W,0
1478,40200,Randolph+Wabash,12/13/2017,W,0
1511,40200,Randolph+Wabash,12/29/2017,W,0
1554,40200,Randolph+Wabash,12/03/2017,U,0
1868,40200,Randolph+Wabash,12/16/2017,A,0
1911,40200,Randolph+Wabash,12/07/2017,W,0
2035,40200,Randolph+Wabash,12/30/2017,A,0
2512,40200,Randolph+Wabash,12/19/2017,W,0
2558,40200,Randolph+Wabash,12/04/2017,W,0
2801,40200,Randolph+Wabash,12/28/2017,W,0
2821,40200,Randolph+Wabash,12/09/2017,A,0
3155,40200,Randolph+Wabash,12/08/2017,W,0
3212,40200,Randolph+Wabash,12/20/2017,W,0
3729,40200,Randolph+Wabash,12/02/2017,A,0
3758,40200,Randolph+Wabash,12/06/2017,W,0
3942,40200,Randolph+Wabash,12/10/2017,U,0
3951,40200,Randolph+Wabash,12/01/2017,W,0
3975,40200,Randolph+Wabash,12/17/2017,U,0
4208,40200,Randolph+Wabash,12/05/2017,W,0
4223,40200,Randolph+Wabash,12/14/2017,W,0
4225,40200,Randolph+Wabash,12/15/2017,W,0
4295,40200,Randolph+Wabash,12/11/2017,W,0
4376,40200,Randolph+Wabash,12/23/2017,A,0
4574,40200,Randolph+Wabash,01/17/2018,W,0
4588,40200,Randolph+Wabash,02/07/2018,W,0
4617,40200,Randolph+Wabash,03/30/2018,W,0
4679,40200,Randolph+Wabash,01/01/2018,U,0
4895,40200,Randolph+Wabash,03/24/2018,A,0
5225,40200,Randolph+Wabash,03/01/2018,W,0
5272,40200,Randolph+Wabash,01/07/2018,U,0
5398,40200,Randolph+Wabash,02/24/2018,A,0
5417,40200,Randolph+Wabash,02/15/2018,W,0
6101,40200,Randolph+Wabash,02/26/2018,W,0
6141,40200,Randolph+Wabash,01/05/2018,W,0
6203,40200,Randolph+Wabash,02/03/2018,A,0
6258,40200,Randolph+Wabash,02/14/2018,W,0
6514,40200,Randolph+Wabash,02/21/2018,W,0
6635,40200,Randolph+Wabash,02/28/2018,W,0
6703,40200,Randolph+Wabash,01/12/2018,W,0
6737,40200,Randolph+Wabash,01/15/2018,W,0
6859,40200,Randolph+Wabash,01/16/2018,W,0
6913,40200,Randolph+Wabash,01/03/2018,W,0
7088,40200,Randolph+Wabash,03/18/2018,U,0
7092,40200,Randolph+Wabash,01/30/2018,W,0
7255,40200,Randolph+Wabash,03/16/2018,W,0
7472,40200,Randolph+Wabash,02/16/2018,W,0
7764,40200,Randolph+Wabash,02/02/2018,W,0
7889,40200,Randolph+Wabash,02/20/2018,W,0
8317,40200,Randolph+Wabash,02/22/2018,W,0
8405,40200,Randolph+Wabash,03/25/2018,U,0
8424,40200,Randolph+Wabash,03/17/2018,A,0
8462,40200,Randolph+Wabash,03/27/2018,W,0
8690,40200,Randolph+Wabash,02/01/2018,W,0
8810,40200,Randolph+Wabash,01/14/2018,U,0
8868,40200,Randolph+Wabash,01/21/2018,U,0
9128,40200,Randolph+Wabash,02/04/2018,U,0
9254,40200,Randolph+Wabash,01/19/2018,W,0
9380,40200,Randolph+Wabash,03/11/2018,U,0
9576,40200,Randolph+Wabash,02/19/2018,W,0
10225,40200,Randolph+Wabash,01/20/2018,A,0
10390,40200,Randolph+Wabash,03/02/2018,W,0
10429,40200,Randolph+Wabash,02/17/2018,A,0
10558,40200,Randolph+Wabash,01/02/2018,W,0
10592,40200,Randolph+Wabash,03/06/2018,W,0
10845,40200,Randolph+Wabash,03/10/2018,A,0
