,station_id,stationname,date,daytype,rides
139,40610,Ridgeland,12/25/2017,U,134
248,40610,Ridgeland,12/28/2017,W,789
253,40610,Ridgeland,12/22/2017,W,"1,117"
331,40610,Ridgeland,12/21/2017,W,"1,310"
480,40610,Ridgeland,12/24/2017,U,285
525,40610,Ridgeland,12/16/2017,A,590
560,40610,Ridgeland,12/06/2017,W,"1,424"
627,40610,Ridgeland,12/05/2017,W,"1,408"
859,40610,Ridgeland,12/26/2017,W,491
1076,40610,Ridgeland,12/15/2017,W,"1,341"
1091,40610,Ridgeland,12/07/2017,W,"1,466"
1095,40610,Ridgeland,12/27/2017,W,774
1205,40610,Ridgeland,12/29/2017,W,767
1630,40610,Ridgeland,12/10/2017,U,350
1723,40610,Ridgeland,12/03/2017,U,400
1803,40610,Ridgeland,12/04/2017,W,"1,458"
1830,40610,Ridgeland,12/20/2017,W,"1,429"
1881,40610,Ridgeland,12/14/2017,W,"1,417"
1983,40610,Ridgeland,12/01/2017,W,"1,432"
2278,40610,Ridgeland,12/18/2017,W,"1,349"
2294,40610,Ridgeland,12/17/2017,U,360
2467,40610,Ridgeland,12/08/2017,W,"1,434"
2600,40610,Ridgeland,12/19/2017,W,"1,426"
2676,40610,Ridgeland,12/12/2017,W,"1,425"
2816,40610,Ridgeland,12/09/2017,A,482
3060,40610,Ridgeland,12/13/2017,W,"1,427"
3514,40610,Ridgeland,12/30/2017,A,287
3675,40610,Ridgeland,12/23/2017,A,534
4020,40610,Ridgeland,12/31/2017,U,324
4199,40610,Ridgeland,12/11/2017,W,"1,396"
4355,40610,Ridgeland,12/02/2017,A,569
4581,40610,Ridgeland,03/29/2018,W,"1,153"
4592,40610,Ridgeland,01/19/2018,W,"1,327"
4776,40610,Ridgeland,02/01/2018,W,"1,399"
4788,40610,Ridgeland,03/24/2018,A,924
4848,40610,Ridgeland,02/19/2018,W,868
4923,40610,Ridgeland,03/26/2018,W,"1,160"
5020,40610,Ridgeland,01/15/2018,W,735
5569,40610,Ridgeland,03/25/2018,U,334
5703,40610,Ridgeland,01/21/2018,U,234
5893,40610,Ridgeland,03/10/2018,A,505
6048,40610,Ridgeland,03/22/2018,W,"1,419"
6100,40610,Ridgeland,01/07/2018,U,213
6110,40610,Ridgeland,01/01/2018,U,144
6222,40610,Ridgeland,03/20/2018,W,"1,352"
6261,40610,Ridgeland,02/25/2018,U,313
6467,40610,Ridgeland,02/21/2018,W,"1,434"
6490,40610,Ridgeland,03/18/2018,U,335
6806,40610,Ridgeland,01/08/2018,W,"1,342"
6901,40610,Ridgeland,01/25/2018,W,"1,412"
7042,40610,Ridgeland,02/24/2018,A,472
7498,40610,Ridgeland,03/31/2018,A,414
7777,40610,Ridgeland,02/28/2018,W,"1,390"
7890,40610,Ridgeland,01/14/2018,U,263
8064,40610,Ridgeland,01/03/2018,W,"1,087"
8463,40610,Ridgeland,02/14/2018,W,"1,446"
8504,40610,Ridgeland,03/15/2018,W,"1,416"
8850,40610,Ridgeland,01/12/2018,W,"1,259"
8883,40610,Ridgeland,01/20/2018,A,"1,115"
9346,40610,Ridgeland,01/28/2018,U,267
9401,40610,Ridgeland,01/18/2018,W,"1,388"
9421,40610,Ridgeland,01/16/2018,W,"1,360"
9459,40610,Ridgeland,03/05/2018,W,"1,308"
9815,40610,Ridgeland,02/03/2018,A,413
9836,40610,Ridgeland,01/30/2018,W,"1,385"
9906,40610,Ridgeland,01/09/2018,W,"1,409"
9933,40610,Ridgeland,03/13/2018,W,"1,422"
10253,40610,Ridgeland,02/11/2018,U,281
10268,40610,Ridgeland,03/01/2018,W,"1,361"
10282,40610,Ridgeland,03/21/2018,W,"1,385"
10394,40610,Ridgeland,03/19/2018,W,"1,364"
11131,40610,Ridgeland,01/05/2018,W,"1,100"
11160,40610,Ridgeland,02/20/2018,W,"1,363"
11195,40610,Ridgeland,02/02/2018,W,"1,255"
11298,40610,Ridgeland,03/12/2018,W,"1,369"
11303,40610,Ridgeland,01/06/2018,A,312
11493,40610,Ridgeland,03/14/2018,W,"1,430"
11576,40610,Ridgeland,02/13/2018,W,"1,388"
11713,40610,Ridgeland,03/08/2018,W,"1,454"
12011,40610,Ridgeland,01/31/2018,W,"1,423"
12080,40610,Ridgeland,03/27/2018,W,"1,205"
12235,40610,Ridgeland,03/23/2018,W,"1,286"
12249,40610,Ridgeland,03/28/2018,W,"1,263"
12306,40610,Ridgeland,02/06/2018,W,"1,350"
12319,40610,Ridgeland,03/07/2018,W,"1,442"
12843,40610,Ridgeland,03/16/2018,W,"1,325"
12877,40610,Ridgeland,02/15/2018,W,"1,462"
12916,40610,Ridgeland,01/11/2018,W,"1,386"
13085,40610,Ridgeland,03/02/2018,W,"1,352"
13214,40610,Ridgeland,02/04/2018,U,261
13229,40610,Ridgeland,01/26/2018,W,"1,356"
13278,40610,Ridgeland,02/12/2018,W,"1,301"
13323,40610,Ridgeland,03/04/2018,U,299
13566,40610,Ridgeland,01/24/2018,W,"1,420"
13843,40610,Ridgeland,02/18/2018,U,353
13860,40610,Ridgeland,01/17/2018,W,"1,404"
13873,40610,Ridgeland,02/23/2018,W,"1,380"
14114,40610,Ridgeland,02/10/2018,A,400
14123,40610,Ridgeland,03/06/2018,W,"1,438"
14265,40610,Ridgeland,03/03/2018,A,498
14314,40610,Ridgeland,02/26/2018,W,"1,407"
14328,40610,Ridgeland,02/09/2018,W,876
14690,40610,Ridgeland,02/27/2018,W,"1,459"
14720,40610,Ridgeland,01/10/2018,W,"1,435"
14969,40610,Ridgeland,01/23/2018,W,"1,425"
14989,40610,Ridgeland,02/17/2018,A,460
15032,40610,Ridgeland,01/13/2018,A,337
15149,40610,Ridgeland,02/05/2018,W,"1,293"
15272,40610,Ridgeland,02/07/2018,W,"1,379"
15390,40610,Ridgeland,02/22/2018,W,"1,437"
15398,40610,Ridgeland,01/22/2018,W,"1,381"
15482,40610,Ridgeland,03/30/2018,W,"1,001"
15493,40610,Ridgeland,01/27/2018,A,433
15667,40610,Ridgeland,03/11/2018,U,294
15810,40610,Ridgeland,01/04/2018,W,"1,156"
16038,40610,Ridgeland,01/02/2018,W,922
16213,40610,Ridgeland,03/09/2018,W,"1,421"
16214,40610,Ridgeland,01/29/2018,W,"1,333"
16839,40610,Ridgeland,02/08/2018,W,"1,366"
16918,40610,Ridgeland,03/17/2018,A,966
17088,40610,Ridgeland,02/16/2018,W,"1,304"
17557,40610,Ridgeland,04/07/2018,A,497
17772,40610,Ridgeland,06/24/2018,U,701
17925,40610,Ridgeland,05/16/2018,W,"1,515"
17939,40610,Ridgeland,06/04/2018,W,"1,455"
18395,40610,Ridgeland,05/18/2018,W,"1,383"
18454,40610,Ridgeland,05/10/2018,W,"1,484"
18667,40610,Ridgeland,04/04/2018,W,"1,408"
18870,40610,Ridgeland,04/10/2018,W,"1,429"
19165,40610,Ridgeland,06/18/2018,W,"1,390"
19403,40610,Ridgeland,04/18/2018,W,"1,369"
19758,40610,Ridgeland,06/19/2018,W,"1,503"
19802,40610,Ridgeland,04/02/2018,W,"1,289"
20115,40610,Ridgeland,05/22/2018,W,"1,488"
20218,40610,Ridgeland,05/31/2018,W,"1,498"
20577,40610,Ridgeland,06/07/2018,W,"1,440"
21074,40610,Ridgeland,06/25/2018,W,"1,444"
21133,40610,Ridgeland,05/07/2018,W,"1,433"
21225,40610,Ridgeland,05/11/2018,W,"1,352"
21747,40610,Ridgeland,04/24/2018,W,"1,409"
21814,40610,Ridgeland,04/16/2018,W,"1,372"
21979,40610,Ridgeland,06/15/2018,W,"1,432"
22068,40610,Ridgeland,05/12/2018,A,441
22141,40610,Ridgeland,05/17/2018,W,"1,455"
22368,40610,Ridgeland,05/04/2018,W,"1,391"
22575,40610,Ridgeland,06/01/2018,W,"1,826"
22646,40610,Ridgeland,04/30/2018,W,"1,396"
22660,40610,Ridgeland,06/21/2018,W,"1,362"
22677,40610,Ridgeland,06/29/2018,W,"1,435"
22754,40610,Ridgeland,05/01/2018,W,"1,470"
22780,40610,Ridgeland,04/08/2018,U,320
22916,40610,Ridgeland,04/20/2018,W,"1,428"
23109,40610,Ridgeland,04/28/2018,A,494
23123,40610,Ridgeland,06/02/2018,A,569
23265,40610,Ridgeland,06/28/2018,W,"1,574"
23395,40610,Ridgeland,05/20/2018,U,273
23432,40610,Ridgeland,04/05/2018,W,"1,395"
23437,40610,Ridgeland,06/05/2018,W,"1,533"
23591,40610,Ridgeland,04/25/2018,W,"1,427"
23725,40610,Ridgeland,04/29/2018,U,360
23735,40610,Ridgeland,04/01/2018,U,201
23787,40610,Ridgeland,06/12/2018,W,"1,487"
23852,40610,Ridgeland,06/11/2018,W,"1,350"
23880,40610,Ridgeland,04/26/2018,W,"1,458"
23982,40610,Ridgeland,06/13/2018,W,"1,569"
23989,40610,Ridgeland,05/15/2018,W,"1,488"
24001,40610,Ridgeland,06/22/2018,W,"1,255"
24091,40610,Ridgeland,05/09/2018,W,"1,380"
24127,40610,Ridgeland,04/06/2018,W,"1,299"
24373,40610,Ridgeland,05/08/2018,W,"1,556"
24509,40610,Ridgeland,05/05/2018,A,610
24516,40610,Ridgeland,04/15/2018,U,275
24686,40610,Ridgeland,05/03/2018,W,"1,441"
24715,40610,Ridgeland,05/13/2018,U,317
24731,40610,Ridgeland,06/30/2018,A,775
24902,40610,Ridgeland,04/14/2018,A,359
24955,40610,Ridgeland,05/26/2018,A,594
24971,40610,Ridgeland,05/23/2018,W,"1,517"
25071,40610,Ridgeland,06/20/2018,W,"1,469"
25170,40610,Ridgeland,04/22/2018,U,279
26193,40610,Ridgeland,06/03/2018,U,382
26735,40610,Ridgeland,04/23/2018,W,"1,340"
26753,40610,Ridgeland,04/03/2018,W,"1,361"
26780,40610,Ridgeland,04/13/2018,W,"1,279"
26808,40610,Ridgeland,04/09/2018,W,"1,295"
26873,40610,Ridgeland,05/24/2018,W,"1,492"
27046,40610,Ridgeland,04/27/2018,W,"1,393"
27108,40610,Ridgeland,06/27/2018,W,"1,518"
27231,40610,Ridgeland,04/17/2018,W,"1,404"
27304,40610,Ridgeland,06/17/2018,U,337
27377,40610,Ridgeland,06/26/2018,W,"1,435"
27919,40610,Ridgeland,06/06/2018,W,"1,423"
27921,40610,Ridgeland,06/08/2018,W,"1,310"
28250,40610,Ridgeland,05/29/2018,W,"1,487"
28544,40610,Ridgeland,06/09/2018,A,632
28586,40610,Ridgeland,04/21/2018,A,465
28650,40610,Ridgeland,06/14/2018,W,"1,527"
28715,40610,Ridgeland,05/06/2018,U,339
28833,40610,Ridgeland,06/16/2018,A,652
28938,40610,Ridgeland,05/14/2018,W,"1,336"
28988,40610,Ridgeland,05/27/2018,U,382
29102,40610,Ridgeland,04/12/2018,W,"1,733"
29188,40610,Ridgeland,06/10/2018,U,364
29197,40610,Ridgeland,06/23/2018,A,633
29246,40610,Ridgeland,05/21/2018,W,"1,282"
29464,40610,Ridgeland,05/19/2018,A,489
29573,40610,Ridgeland,05/28/2018,U,366
29657,40610,Ridgeland,05/02/2018,W,"1,412"
29766,40610,Ridgeland,05/30/2018,W,"1,473"
30134,40610,Ridgeland,05/25/2018,W,"1,453"
30311,40610,Ridgeland,04/11/2018,W,"1,436"
30514,40610,Ridgeland,04/19/2018,W,"1,441"
32396,40610,Ridgeland,07/01/2018,U,390
32397,40610,Ridgeland,07/02/2018,W,"1,355"
32398,40610,Ridgeland,07/03/2018,W,"1,416"
32399,40610,Ridgeland,07/04/2018,U,484
32400,40610,Ridgeland,07/05/2018,W,"1,190"
32401,40610,Ridgeland,07/06/2018,W,"1,300"
32402,40610,Ridgeland,07/07/2018,A,656
32403,40610,Ridgeland,07/08/2018,U,383
32404,40610,Ridgeland,07/09/2018,W,"1,405"
32405,40610,Ridgeland,07/10/2018,W,"1,572"
32406,40610,Ridgeland,07/11/2018,W,"1,625"
32407,40610,Ridgeland,07/12/2018,W,"1,620"
32408,40610,Ridgeland,07/13/2018,W,"1,513"
32409,40610,Ridgeland,07/14/2018,A,591
32410,40610,Ridgeland,07/15/2018,U,449
32411,40610,Ridgeland,07/16/2018,W,"1,301"
32412,40610,Ridgeland,07/17/2018,W,"1,534"
32413,40610,Ridgeland,07/18/2018,W,"1,554"
32414,40610,Ridgeland,07/19/2018,W,"1,540"
32415,40610,Ridgeland,07/20/2018,W,"1,439"
