,station_id,stationname,date,daytype,rides
83,41400,Roosevelt,12/31/2017,U,"4,775"
197,41400,Roosevelt,12/27/2017,W,"6,404"
356,41400,Roosevelt,12/14/2017,W,"10,434"
432,41400,Roosevelt,12/09/2017,A,"7,331"
611,41400,Roosevelt,12/18/2017,W,"9,385"
872,41400,Roosevelt,12/02/2017,A,"8,747"
945,41400,Roosevelt,12/08/2017,W,"11,275"
1107,41400,Roosevelt,12/28/2017,W,"7,382"
1118,41400,Roosevelt,12/06/2017,W,"10,861"
1188,41400,Roosevelt,12/15/2017,W,"10,670"
1208,41400,Roosevelt,12/16/2017,A,"8,071"
1216,41400,Roosevelt,12/10/2017,U,"5,770"
1235,41400,Roosevelt,12/05/2017,W,"10,721"
1245,41400,Roosevelt,12/17/2017,U,"5,627"
1455,41400,Roosevelt,12/01/2017,W,"11,844"
1515,41400,Roosevelt,12/24/2017,U,"7,317"
1682,41400,Roosevelt,12/21/2017,W,"9,766"
1765,41400,Roosevelt,12/29/2017,W,"8,067"
1806,41400,Roosevelt,12/19/2017,W,"9,745"
2009,41400,Roosevelt,12/25/2017,U,"1,949"
2039,41400,Roosevelt,12/04/2017,W,"10,637"
2059,41400,Roosevelt,12/13/2017,W,"10,250"
2077,41400,Roosevelt,12/20/2017,W,"9,817"
2191,41400,Roosevelt,12/30/2017,A,"5,507"
2244,41400,Roosevelt,12/03/2017,U,"9,972"
2968,41400,Roosevelt,12/23/2017,A,"6,323"
3718,41400,Roosevelt,12/26/2017,W,"5,535"
4150,41400,Roosevelt,12/12/2017,W,"10,052"
4164,41400,Roosevelt,12/11/2017,W,"10,001"
4277,41400,Roosevelt,12/07/2017,W,"10,647"
4285,41400,Roosevelt,12/22/2017,W,"9,569"
4583,41400,Roosevelt,02/09/2018,W,"7,550"
4749,41400,Roosevelt,03/03/2018,A,"8,131"
4898,41400,Roosevelt,01/23/2018,W,"10,239"
4947,41400,Roosevelt,01/19/2018,W,"10,342"
5028,41400,Roosevelt,01/09/2018,W,"9,271"
5315,41400,Roosevelt,01/22/2018,W,"9,872"
5351,41400,Roosevelt,03/01/2018,W,"10,402"
5608,41400,Roosevelt,03/06/2018,W,"10,145"
6069,41400,Roosevelt,03/12/2018,W,"10,200"
6217,41400,Roosevelt,02/02/2018,W,"10,035"
6248,41400,Roosevelt,01/04/2018,W,"8,260"
6432,41400,Roosevelt,02/08/2018,W,"10,358"
6589,41400,Roosevelt,02/06/2018,W,"9,888"
6717,41400,Roosevelt,03/16/2018,W,"11,222"
7054,41400,Roosevelt,03/27/2018,W,"10,365"
7250,41400,Roosevelt,01/11/2018,W,"9,445"
7290,41400,Roosevelt,01/08/2018,W,"8,959"
7341,41400,Roosevelt,03/18/2018,U,"6,290"
7358,41400,Roosevelt,02/05/2018,W,"9,137"
7397,41400,Roosevelt,01/29/2018,W,"9,462"
7445,41400,Roosevelt,03/21/2018,W,"9,771"
7530,41400,Roosevelt,01/27/2018,A,"7,592"
7775,41400,Roosevelt,03/09/2018,W,"10,763"
7931,41400,Roosevelt,01/14/2018,U,"4,838"
8051,41400,Roosevelt,01/06/2018,A,"5,904"
