,station_id,stationname,date,daytype,rides
41,40800,Sedgwick,12/11/2017,W,"3,825"
87,40800,Sedgwick,12/04/2017,W,"3,878"
228,40800,Sedgwick,12/16/2017,A,"2,278"
387,40800,Sedgwick,12/20/2017,W,"3,613"
674,40800,Sedgwick,12/14/2017,W,"3,759"
803,40800,Sedgwick,12/09/2017,A,"2,248"
870,40800,Sedgwick,12/22/2017,W,"2,780"
922,40800,Sedgwick,12/30/2017,A,"1,129"
991,40800,Sedgwick,12/21/2017,W,"3,447"
1148,40800,Sedgwick,12/06/2017,W,"3,935"
1400,40800,Sedgwick,12/26/2017,W,"1,095"
1967,40800,Sedgwick,12/12/2017,W,"3,688"
2005,40800,Sedgwick,12/17/2017,U,"1,625"
2037,40800,Sedgwick,12/05/2017,W,"3,848"
2072,40800,Sedgwick,12/15/2017,W,"3,812"
2098,40800,Sedgwick,12/31/2017,U,"1,019"
2160,40800,Sedgwick,12/25/2017,U,418
2177,40800,Sedgwick,12/10/2017,U,"1,636"
2335,40800,Sedgwick,12/03/2017,U,"1,887"
2641,40800,Sedgwick,12/01/2017,W,"4,259"
2805,40800,Sedgwick,12/07/2017,W,"3,783"
2814,40800,Sedgwick,12/24/2017,U,685
3226,40800,Sedgwick,12/28/2017,W,"1,799"
3612,40800,Sedgwick,12/29/2017,W,"2,058"
3648,40800,Sedgwick,12/13/2017,W,"3,951"
3932,40800,Sedgwick,12/08/2017,W,"3,900"
3981,40800,Sedgwick,12/23/2017,A,"1,301"
4057,40800,Sedgwick,12/02/2017,A,"2,865"
4222,40800,Sedgwick,12/27/2017,W,"1,610"
4240,40800,Sedgwick,12/18/2017,W,"3,781"
4401,40800,Sedgwick,12/19/2017,W,"3,906"
4593,40800,Sedgwick,02/28/2018,W,"3,682"
4757,40800,Sedgwick,02/06/2018,W,"3,509"
4787,40800,Sedgwick,03/04/2018,U,"1,654"
4887,40800,Sedgwick,01/31/2018,W,"3,697"
5517,40800,Sedgwick,03/15/2018,W,"3,842"
5829,40800,Sedgwick,02/14/2018,W,"3,795"
6256,40800,Sedgwick,02/25/2018,U,"1,557"
6288,40800,Sedgwick,01/06/2018,A,"1,403"
6295,40800,Sedgwick,03/18/2018,U,"1,719"
6484,40800,Sedgwick,02/22/2018,W,"3,684"
6585,40800,Sedgwick,03/09/2018,W,"3,710"
6697,40800,Sedgwick,02/10/2018,A,"1,938"
6808,40800,Sedgwick,02/02/2018,W,"3,209"
6893,40800,Sedgwick,01/28/2018,U,"1,492"
6930,40800,Sedgwick,02/13/2018,W,"3,847"
6943,40800,Sedgwick,01/27/2018,A,"2,059"
6961,40800,Sedgwick,01/24/2018,W,"3,720"
7111,40800,Sedgwick,03/13/2018,W,"3,805"
7232,40800,Sedgwick,01/22/2018,W,"3,521"
8016,40800,Sedgwick,01/04/2018,W,"2,957"
8031,40800,Sedgwick,03/01/2018,W,"3,630"
8291,40800,Sedgwick,02/09/2018,W,"2,642"
8415,40800,Sedgwick,03/06/2018,W,"3,626"
8435,40800,Sedgwick,03/08/2018,W,"3,674"
8558,40800,Sedgwick,03/10/2018,A,"1,996"
8673,40800,Sedgwick,02/05/2018,W,"3,313"
8696,40800,Sedgwick,03/27/2018,W,"3,548"
8712,40800,Sedgwick,02/03/2018,A,"1,742"
8713,40800,Sedgwick,03/20/2018,W,"3,761"
8725,40800,Sedgwick,01/20/2018,A,"2,368"
8747,40800,Sedgwick,01/13/2018,A,"1,694"
8766,40800,Sedgwick,03/25/2018,U,"1,582"
9005,40800,Sedgwick,03/12/2018,W,"3,783"
9117,40800,Sedgwick,03/16/2018,W,"3,775"
9175,40800,Sedgwick,03/30/2018,W,"3,109"
9264,40800,Sedgwick,02/12/2018,W,"3,600"
9434,40800,Sedgwick,01/14/2018,U,"1,376"
9566,40800,Sedgwick,03/21/2018,W,"3,552"
9663,40800,Sedgwick,03/05/2018,W,"3,499"
9806,40800,Sedgwick,02/15/2018,W,"3,794"
10567,40800,Sedgwick,03/26/2018,W,"3,423"
10877,40800,Sedgwick,01/30/2018,W,"3,675"
10944,40800,Sedgwick,03/24/2018,A,"1,906"
10998,40800,Sedgwick,03/28/2018,W,"3,521"
11366,40800,Sedgwick,03/19/2018,W,"3,599"
11519,40800,Sedgwick,01/23/2018,W,"3,793"
11520,40800,Sedgwick,01/26/2018,W,"3,845"
11543,40800,Sedgwick,01/25/2018,W,"3,807"
11698,40800,Sedgwick,02/21/2018,W,"3,698"
11973,40800,Sedgwick,01/19/2018,W,"3,862"
12005,40800,Sedgwick,01/11/2018,W,"3,612"
12034,40800,Sedgwick,01/09/2018,W,"3,771"
12215,40800,Sedgwick,01/21/2018,U,"1,388"
12483,40800,Sedgwick,03/14/2018,W,"3,858"
12493,40800,Sedgwick,01/08/2018,W,"3,640"
12748,40800,Sedgwick,02/01/2018,W,"3,550"
12837,40800,Sedgwick,03/31/2018,A,"1,669"
13032,40800,Sedgwick,01/17/2018,W,"3,631"
13151,40800,Sedgwick,01/01/2018,U,822
13272,40800,Sedgwick,02/08/2018,W,"3,750"
13313,40800,Sedgwick,01/12/2018,W,"3,388"
13365,40800,Sedgwick,02/11/2018,U,"1,489"
13373,40800,Sedgwick,01/05/2018,W,"2,910"
13456,40800,Sedgwick,02/07/2018,W,"3,552"
13464,40800,Sedgwick,02/26/2018,W,"3,662"
13487,40800,Sedgwick,02/18/2018,U,"1,526"
13575,40800,Sedgwick,02/27/2018,W,"3,861"
13628,40800,Sedgwick,03/07/2018,W,"3,729"
13861,40800,Sedgwick,01/15/2018,W,"2,244"
14248,40800,Sedgwick,01/29/2018,W,"3,566"
14387,40800,Sedgwick,03/02/2018,W,"3,790"
14510,40800,Sedgwick,01/03/2018,W,"2,899"
14511,40800,Sedgwick,02/20/2018,W,"3,486"
14616,40800,Sedgwick,03/29/2018,W,"3,463"
