,station_id,stationname,date,daytype,rides
229,40840,South Boulevard,12/27/2017,W,391
410,40840,South Boulevard,12/08/2017,W,763
615,40840,South Boulevard,12/26/2017,W,324
724,40840,South Boulevard,12/22/2017,W,616
790,40840,South Boulevard,12/31/2017,U,218
949,40840,South Boulevard,12/10/2017,U,260
1293,40840,South Boulevard,12/18/2017,W,680
1313,40840,South Boulevard,12/16/2017,A,417
1775,40840,South Boulevard,12/23/2017,A,298
1797,40840,South Boulevard,12/04/2017,W,789
1859,40840,South Boulevard,12/11/2017,W,756
2002,40840,South Boulevard,12/15/2017,W,816
2237,40840,South Boulevard,12/12/2017,W,759
2258,40840,South Boulevard,12/17/2017,U,236
2372,40840,South Boulevard,12/25/2017,U,117
2404,40840,South Boulevard,12/02/2017,A,413
2623,40840,South Boulevard,12/09/2017,A,357
2718,40840,South Boulevard,12/13/2017,W,777
2727,40840,South Boulevard,12/21/2017,W,769
2895,40840,South Boulevard,12/19/2017,W,729
2924,40840,South Boulevard,12/24/2017,U,227
2944,40840,South Boulevard,12/01/2017,W,788
3041,40840,South Boulevard,12/05/2017,W,775
3635,40840,South Boulevard,12/20/2017,W,749
3661,40840,South Boulevard,12/28/2017,W,495
3673,40840,South Boulevard,12/06/2017,W,806
3817,40840,South Boulevard,12/03/2017,U,248
4093,40840,South Boulevard,12/30/2017,A,231
4104,40840,South Boulevard,12/14/2017,W,720
4412,40840,South Boulevard,12/07/2017,W,737
4441,40840,South Boulevard,12/29/2017,W,493
4616,40840,South Boulevard,01/23/2018,W,821
5074,40840,South Boulevard,02/26/2018,W,775
5103,40840,South Boulevard,03/18/2018,U,257
5130,40840,South Boulevard,03/05/2018,W,750
5173,40840,South Boulevard,03/12/2018,W,773
5174,40840,South Boulevard,01/07/2018,U,222
5183,40840,South Boulevard,02/11/2018,U,291
5206,40840,South Boulevard,03/02/2018,W,791
5240,40840,South Boulevard,03/16/2018,W,776
5309,40840,South Boulevard,02/24/2018,A,338
5832,40840,South Boulevard,03/15/2018,W,809
5880,40840,South Boulevard,01/11/2018,W,767
5937,40840,South Boulevard,01/29/2018,W,750
6319,40840,South Boulevard,03/03/2018,A,390
6660,40840,South Boulevard,02/21/2018,W,812
6827,40840,South Boulevard,01/25/2018,W,791
6937,40840,South Boulevard,03/31/2018,A,337
7469,40840,South Boulevard,03/01/2018,W,790
7569,40840,South Boulevard,01/19/2018,W,791
7671,40840,South Boulevard,02/17/2018,A,371
7750,40840,South Boulevard,03/06/2018,W,794
8083,40840,South Boulevard,02/08/2018,W,785
8479,40840,South Boulevard,02/19/2018,W,609
8578,40840,South Boulevard,02/14/2018,W,848
8612,40840,South Boulevard,03/10/2018,A,414
8630,40840,South Boulevard,01/04/2018,W,641
8865,40840,South Boulevard,01/05/2018,W,629
8897,40840,South Boulevard,03/13/2018,W,829
9212,40840,South Boulevard,01/16/2018,W,770
9697,40840,South Boulevard,01/14/2018,U,212
9863,40840,South Boulevard,03/30/2018,W,657
9972,40840,South Boulevard,03/04/2018,U,251
10353,40840,South Boulevard,03/20/2018,W,765
10397,40840,South Boulevard,02/18/2018,U,249
10502,40840,South Boulevard,01/28/2018,U,260
10669,40840,South Boulevard,01/26/2018,W,756
10724,40840,South Boulevard,03/22/2018,W,792
10791,40840,South Boulevard,03/23/2018,W,783
11011,40840,South Boulevard,02/02/2018,W,740
11193,40840,South Boulevard,01/10/2018,W,734
11243,40840,South Boulevard,03/08/2018,W,790
11286,40840,South Boulevard,01/06/2018,A,280
11504,40840,South Boulevard,03/14/2018,W,839
11551,40840,South Boulevard,02/03/2018,A,351
11834,40840,South Boulevard,01/21/2018,U,216
12359,40840,South Boulevard,01/13/2018,A,322
12551,40840,South Boulevard,02/05/2018,W,757
12655,40840,South Boulevard,03/25/2018,U,249
12711,40840,South Boulevard,02/07/2018,W,769
12994,40840,South Boulevard,02/10/2018,A,382
13195,40840,South Boulevard,01/24/2018,W,807
13205,40840,South Boulevard,03/19/2018,W,778
13223,40840,South Boulevard,02/06/2018,W,761
13259,40840,South Boulevard,01/15/2018,W,485
13479,40840,South Boulevard,01/18/2018,W,804
13561,40840,South Boulevard,02/25/2018,U,254
13570,40840,South Boulevard,02/22/2018,W,843
13581,40840,South Boulevard,03/17/2018,A,523
13742,40840,South Boulevard,03/26/2018,W,732
13994,40840,South Boulevard,02/28/2018,W,821
14197,40840,South Boulevard,01/09/2018,W,784
14460,40840,South Boulevard,01/02/2018,W,536
14494,40840,South Boulevard,02/09/2018,W,642
14499,40840,South Boulevard,02/01/2018,W,780
14522,40840,South Boulevard,03/11/2018,U,254
14797,40840,South Boulevard,01/08/2018,W,719
14865,40840,South Boulevard,03/28/2018,W,739
15070,40840,South Boulevard,03/24/2018,A,417
15284,40840,South Boulevard,02/16/2018,W,763
15314,40840,South Boulevard,02/04/2018,U,194
15381,40840,South Boulevard,02/13/2018,W,819
15542,40840,South Boulevard,03/07/2018,W,805
15571,40840,South Boulevard,03/27/2018,W,764
15631,40840,South Boulevard,01/30/2018,W,758
15696,40840,South Boulevard,01/17/2018,W,792
15943,40840,South Boulevard,01/20/2018,A,537
15994,40840,South Boulevard,02/23/2018,W,799
16373,40840,South Boulevard,01/03/2018,W,649
16443,40840,South Boulevard,02/20/2018,W,767
16547,40840,South Boulevard,01/31/2018,W,761
16566,40840,South Boulevard,02/15/2018,W,774
16619,40840,South Boulevard,01/12/2018,W,664
16697,40840,South Boulevard,03/09/2018,W,766
16719,40840,South Boulevard,02/12/2018,W,815
16794,40840,South Boulevard,03/21/2018,W,780
16813,40840,South Boulevard,03/29/2018,W,705
16840,40840,South Boulevard,01/27/2018,A,379
17123,40840,South Boulevard,01/22/2018,W,757
17164,40840,South Boulevard,01/01/2018,U,136
17251,40840,South Boulevard,02/27/2018,W,839
17577,40840,South Boulevard,06/16/2018,A,445
17592,40840,South Boulevard,05/22/2018,W,803
17744,40840,South Boulevard,04/16/2018,W,727
17818,40840,South Boulevard,04/25/2018,W,800
17932,40840,South Boulevard,04/13/2018,W,800
18249,40840,South Boulevard,06/13/2018,W,830
18771,40840,South Boulevard,05/19/2018,A,361
18856,40840,South Boulevard,06/07/2018,W,861
18930,40840,South Boulevard,06/28/2018,W,818
18962,40840,South Boulevard,06/17/2018,U,262
19111,40840,South Boulevard,04/05/2018,W,819
19170,40840,South Boulevard,04/24/2018,W,779
19748,40840,South Boulevard,04/18/2018,W,778
20126,40840,South Boulevard,06/11/2018,W,762
20177,40840,South Boulevard,04/03/2018,W,747
20217,40840,South Boulevard,06/26/2018,W,815
20276,40840,South Boulevard,04/30/2018,W,744
20326,40840,South Boulevard,05/30/2018,W,774
20519,40840,South Boulevard,05/07/2018,W,774
20540,40840,South Boulevard,05/26/2018,A,427
20588,40840,South Boulevard,06/02/2018,A,364
20630,40840,South Boulevard,05/08/2018,W,848
20654,40840,South Boulevard,04/01/2018,U,214
20856,40840,South Boulevard,04/14/2018,A,362
20904,40840,South Boulevard,05/02/2018,W,763
21025,40840,South Boulevard,06/22/2018,W,755
21053,40840,South Boulevard,06/29/2018,W,769
21355,40840,South Boulevard,06/18/2018,W,797
21481,40840,South Boulevard,04/21/2018,A,343
21972,40840,South Boulevard,06/12/2018,W,803
22472,40840,South Boulevard,04/02/2018,W,767
22508,40840,South Boulevard,04/22/2018,U,243
22589,40840,South Boulevard,06/03/2018,U,260
22626,40840,South Boulevard,05/20/2018,U,205
22773,40840,South Boulevard,05/12/2018,A,364
23103,40840,South Boulevard,04/09/2018,W,755
23207,40840,South Boulevard,04/27/2018,W,964
23248,40840,South Boulevard,05/05/2018,A,412
23461,40840,South Boulevard,05/25/2018,W,734
23586,40840,South Boulevard,05/27/2018,U,332
23791,40840,South Boulevard,05/17/2018,W,754
23937,40840,South Boulevard,04/17/2018,W,758
24303,40840,South Boulevard,04/07/2018,A,388
24377,40840,South Boulevard,05/11/2018,W,756
24488,40840,South Boulevard,04/04/2018,W,798
24653,40840,South Boulevard,05/24/2018,W,779
24758,40840,South Boulevard,06/24/2018,U,487
24775,40840,South Boulevard,05/23/2018,W,843
24777,40840,South Boulevard,06/27/2018,W,853
24937,40840,South Boulevard,05/18/2018,W,788
25121,40840,South Boulevard,05/15/2018,W,803
25285,40840,South Boulevard,05/06/2018,U,249
25398,40840,South Boulevard,06/10/2018,U,267
25477,40840,South Boulevard,05/10/2018,W,762
25673,40840,South Boulevard,04/29/2018,U,322
25860,40840,South Boulevard,04/10/2018,W,806
25861,40840,South Boulevard,05/14/2018,W,733
26058,40840,South Boulevard,06/25/2018,W,781
26072,40840,South Boulevard,06/08/2018,W,838
26462,40840,South Boulevard,05/09/2018,W,794
26512,40840,South Boulevard,05/03/2018,W,781
26523,40840,South Boulevard,06/01/2018,W,811
26605,40840,South Boulevard,05/16/2018,W,833
26727,40840,South Boulevard,05/29/2018,W,787
26951,40840,South Boulevard,05/01/2018,W,799
27006,40840,South Boulevard,06/20/2018,W,840
27128,40840,South Boulevard,04/23/2018,W,756
27169,40840,South Boulevard,05/21/2018,W,710
27248,40840,South Boulevard,04/12/2018,W,794
27605,40840,South Boulevard,06/06/2018,W,863
27981,40840,South Boulevard,04/19/2018,W,797
28140,40840,South Boulevard,06/19/2018,W,837
28165,40840,South Boulevard,06/04/2018,W,819
28256,40840,South Boulevard,05/28/2018,U,255
28556,40840,South Boulevard,04/15/2018,U,224
28697,40840,South Boulevard,05/31/2018,W,827
28934,40840,South Boulevard,06/30/2018,A,495
29037,40840,South Boulevard,06/21/2018,W,765
29047,40840,South Boulevard,04/08/2018,U,248
29414,40840,South Boulevard,06/09/2018,A,449
29427,40840,South Boulevard,06/15/2018,W,803
