,station_id,stationname,date,daytype,rides
221,40360,Southport,12/11/2017,W,"3,468"
650,40360,Southport,12/03/2017,U,"1,617"
818,40360,Southport,12/12/2017,W,"3,616"
916,40360,Southport,12/20/2017,W,"3,606"
940,40360,Southport,12/27/2017,W,"1,652"
1093,40360,Southport,12/30/2017,A,"1,348"
1347,40360,Southport,12/09/2017,A,"2,401"
1396,40360,Southport,12/05/2017,W,"3,608"
1622,40360,Southport,12/06/2017,W,"3,672"
1690,40360,Southport,12/19/2017,W,"3,753"
1780,40360,Southport,12/23/2017,A,"1,293"
1962,40360,Southport,12/17/2017,U,"1,595"
1986,40360,Southport,12/07/2017,W,"3,661"
2017,40360,Southport,12/04/2017,W,"3,601"
2620,40360,Southport,12/16/2017,A,"2,513"
2644,40360,Southport,12/25/2017,U,170
2733,40360,Southport,12/10/2017,U,"1,558"
2736,40360,Southport,12/29/2017,W,"2,122"
2871,40360,Southport,12/13/2017,W,"3,642"
2903,40360,Southport,12/15/2017,W,"3,676"
2917,40360,Southport,12/02/2017,A,"2,850"
3247,40360,Southport,12/26/2017,W,969
3467,40360,Southport,12/28/2017,W,"1,982"
3618,40360,Southport,12/08/2017,W,"3,798"
3647,40360,Southport,12/31/2017,U,"1,224"
3801,40360,Southport,12/14/2017,W,"3,647"
3861,40360,Southport,12/01/2017,W,"4,208"
3867,40360,Southport,12/22/2017,W,"2,737"
3888,40360,Southport,12/24/2017,U,582
4112,40360,Southport,12/18/2017,W,"3,569"
4475,40360,Southport,12/21/2017,W,"3,323"
4584,40360,Southport,02/13/2018,W,"3,765"
4699,40360,Southport,03/15/2018,W,"3,722"
4704,40360,Southport,01/11/2018,W,"3,676"
4772,40360,Southport,02/05/2018,W,"3,329"
5147,40360,Southport,02/02/2018,W,"3,377"
5337,40360,Southport,01/22/2018,W,"3,502"
5365,40360,Southport,01/31/2018,W,"3,668"
5412,40360,Southport,02/23/2018,W,"3,664"
5446,40360,Southport,01/06/2018,A,"1,663"
5514,40360,Southport,03/03/2018,A,"2,224"
5615,40360,Southport,02/25/2018,U,"1,529"
5644,40360,Southport,03/21/2018,W,"3,547"
5936,40360,Southport,03/30/2018,W,"3,095"
6215,40360,Southport,03/31/2018,A,"1,613"
6312,40360,Southport,01/14/2018,U,"1,381"
6630,40360,Southport,02/11/2018,U,"1,649"
6802,40360,Southport,01/02/2018,W,"2,717"
6912,40360,Southport,03/23/2018,W,"3,493"
7193,40360,Southport,01/08/2018,W,"3,500"
7426,40360,Southport,01/10/2018,W,"3,625"
7502,40360,Southport,02/19/2018,W,"2,706"
7573,40360,Southport,01/15/2018,W,"2,469"
7580,40360,Southport,03/05/2018,W,"3,385"
7646,40360,Southport,01/12/2018,W,"3,616"
7732,40360,Southport,03/29/2018,W,"3,536"
8145,40360,Southport,01/29/2018,W,"3,518"
8337,40360,Southport,02/10/2018,A,"2,152"
8394,40360,Southport,03/02/2018,W,"3,670"
8656,40360,Southport,02/17/2018,A,"2,054"
8774,40360,Southport,01/30/2018,W,"3,575"
8886,40360,Southport,02/22/2018,W,"3,505"
9031,40360,Southport,01/13/2018,A,"1,809"
9813,40360,Southport,03/26/2018,W,"3,364"
10092,40360,Southport,02/12/2018,W,"3,556"
10202,40360,Southport,01/03/2018,W,"3,270"
10381,40360,Southport,01/17/2018,W,"3,612"
10459,40360,Southport,03/28/2018,W,"3,638"
10499,40360,Southport,01/09/2018,W,"3,690"
10579,40360,Southport,02/03/2018,A,"1,807"
10604,40360,Southport,01/01/2018,U,937
10628,40360,Southport,03/24/2018,A,"1,938"
10767,40360,Southport,03/18/2018,U,"1,706"
10784,40360,Southport,03/04/2018,U,"1,417"
10786,40360,Southport,01/28/2018,U,"1,454"
10848,40360,Southport,01/25/2018,W,"3,687"
10918,40360,Southport,01/21/2018,U,"1,348"
10948,40360,Southport,02/16/2018,W,"3,649"
11086,40360,Southport,02/21/2018,W,"3,604"
11242,40360,Southport,02/01/2018,W,"3,562"
11280,40360,Southport,03/07/2018,W,"3,658"
11587,40360,Southport,03/27/2018,W,"3,467"
11632,40360,Southport,02/27/2018,W,"3,707"
11852,40360,Southport,02/09/2018,W,"2,693"
11906,40360,Southport,02/08/2018,W,"3,630"
12024,40360,Southport,01/18/2018,W,"3,711"
12099,40360,Southport,03/17/2018,A,"3,402"
12142,40360,Southport,02/15/2018,W,"3,650"
12293,40360,Southport,01/16/2018,W,"3,651"
12543,40360,Southport,01/24/2018,W,"3,754"
12599,40360,Southport,02/18/2018,U,"1,534"
12622,40360,Southport,03/06/2018,W,"3,559"
12729,40360,Southport,03/09/2018,W,"3,639"
12762,40360,Southport,02/24/2018,A,"2,088"
13136,40360,Southport,01/19/2018,W,"3,738"
13146,40360,Southport,03/01/2018,W,"3,531"
13319,40360,Southport,03/08/2018,W,"3,642"
13393,40360,Southport,01/27/2018,A,"2,259"
13501,40360,Southport,08/25/2007,A,0
13715,40360,Southport,02/04/2018,U,"1,189"
13902,40360,Southport,03/20/2018,W,"3,473"
13935,40360,Southport,02/28/2018,W,"3,660"
14057,40360,Southport,03/11/2018,U,"1,463"
14109,40360,Southport,03/19/2018,W,"3,403"
14238,40360,Southport,03/14/2018,W,"3,781"
14397,40360,Southport,01/23/2018,W,"3,626"
14789,40360,Southport,01/26/2018,W,"3,836"
14810,40360,Southport,02/20/2018,W,"3,426"
15106,40360,Southport,02/14/2018,W,"3,899"
15337,40360,Southport,03/16/2018,W,"3,754"
15344,40360,Southport,03/22/2018,W,"3,584"
15580,40360,Southport,03/12/2018,W,"3,475"
15600,40360,Southport,01/04/2018,W,"3,263"
15606,40360,Southport,01/05/2018,W,"3,088"
15652,40360,Southport,02/26/2018,W,"3,567"
15803,40360,Southport,02/06/2018,W,"3,597"
15906,40360,Southport,03/13/2018,W,"3,634"
17167,40360,Southport,03/25/2018,U,"1,508"
17222,40360,Southport,03/10/2018,A,"2,286"
17380,40360,Southport,01/07/2018,U,"1,118"
17473,40360,Southport,02/07/2018,W,"3,549"
