,station_id,stationname,date,daytype,rides
19,40260,State+Lake,12/06/2017,W,"12,646"
121,40260,State+Lake,12/11/2017,W,"12,074"
183,40260,State+Lake,12/10/2017,U,"4,406"
269,40260,State+Lake,12/17/2017,U,"4,532"
1206,40260,State+Lake,12/22/2017,W,"8,874"
1240,40260,State+Lake,12/26/2017,W,"4,625"
1369,40260,State+Lake,12/24/2017,U,"2,902"
1548,40260,State+Lake,12/07/2017,W,"13,473"
1634,40260,State+Lake,12/03/2017,U,"5,157"
1705,40260,State+Lake,12/23/2017,A,"5,147"
1721,40260,State+Lake,12/14/2017,W,"11,971"
2055,40260,State+Lake,12/27/2017,W,"6,077"
2163,40260,State+Lake,12/21/2017,W,"9,960"
2209,40260,State+Lake,12/04/2017,W,"12,710"
2210,40260,State+Lake,12/01/2017,W,"12,171"
2502,40260,State+Lake,12/25/2017,U,"1,398"
2546,40260,State+Lake,12/08/2017,W,"11,728"
2607,40260,State+Lake,12/19/2017,W,"10,820"
2872,40260,State+Lake,12/30/2017,A,"4,126"
2884,40260,State+Lake,12/15/2017,W,"10,625"
2988,40260,State+Lake,12/28/2017,W,"7,146"
3396,40260,State+Lake,12/29/2017,W,"7,044"
3756,40260,State+Lake,12/20/2017,W,"10,301"
3790,40260,State+Lake,12/02/2017,A,"7,035"
3849,40260,State+Lake,12/05/2017,W,"12,375"
4098,40260,State+Lake,12/09/2017,A,"6,153"
4177,40260,State+Lake,12/12/2017,W,"12,029"
4272,40260,State+Lake,12/13/2017,W,"12,181"
4409,40260,State+Lake,12/31/2017,U,"3,250"
4420,40260,State+Lake,12/16/2017,A,"6,321"
4445,40260,State+Lake,12/18/2017,W,"10,523"
4754,40260,State+Lake,02/01/2018,W,"11,591"
4855,40260,State+Lake,02/26/2018,W,"11,684"
5098,40260,State+Lake,01/11/2018,W,"10,394"
5253,40260,State+Lake,02/10/2018,A,"5,088"
5471,40260,State+Lake,02/03/2018,A,"4,989"
5508,40260,State+Lake,01/14/2018,U,"3,338"
5560,40260,State+Lake,03/22/2018,W,"12,155"
5635,40260,State+Lake,01/21/2018,U,"3,605"
5692,40260,State+Lake,03/14/2018,W,"12,710"
5731,40260,State+Lake,02/12/2018,W,"11,662"
5867,40260,State+Lake,01/23/2018,W,"11,932"
6002,40260,State+Lake,03/21/2018,W,"12,339"
6151,40260,State+Lake,03/09/2018,W,"11,005"
6805,40260,State+Lake,02/21/2018,W,"12,141"
6877,40260,State+Lake,03/25/2018,U,"4,264"
6951,40260,State+Lake,01/10/2018,W,"10,182"
7216,40260,State+Lake,01/05/2018,W,"8,764"
7234,40260,State+Lake,03/28/2018,W,"11,300"
7272,40260,State+Lake,02/11/2018,U,"3,336"
7411,40260,State+Lake,02/16/2018,W,"10,822"
7508,40260,State+Lake,03/18/2018,U,"5,360"
7534,40260,State+Lake,02/06/2018,W,"11,413"
7541,40260,State+Lake,02/18/2018,U,"4,604"
7718,40260,State+Lake,01/30/2018,W,"11,751"
7796,40260,State+Lake,01/29/2018,W,"11,181"
