,station_id,stationname,date,daytype,rides
464,40880,Thorndale,12/17/2017,U,"1,472"
628,40880,Thorndale,12/16/2017,A,"2,135"
659,40880,Thorndale,12/24/2017,U,"1,114"
890,40880,Thorndale,12/06/2017,W,"3,374"
1116,40880,Thorndale,12/04/2017,W,"3,250"
1197,40880,Thorndale,12/12/2017,W,"3,271"
1599,40880,Thorndale,12/25/2017,U,616
1663,40880,Thorndale,12/19/2017,W,"3,135"
1939,40880,Thorndale,12/05/2017,W,"3,251"
2132,40880,Thorndale,12/20/2017,W,"3,083"
2135,40880,Thorndale,12/01/2017,W,"3,521"
2183,40880,Thorndale,12/11/2017,W,"3,152"
2184,40880,Thorndale,12/29/2017,W,"1,955"
2394,40880,Thorndale,12/27/2017,W,"1,620"
2624,40880,Thorndale,12/18/2017,W,"3,077"
2663,40880,Thorndale,12/13/2017,W,"3,202"
2789,40880,Thorndale,12/08/2017,W,"3,248"
2954,40880,Thorndale,12/31/2017,U,"1,441"
2980,40880,Thorndale,12/14/2017,W,"3,328"
3091,40880,Thorndale,12/23/2017,A,"1,583"
3203,40880,Thorndale,12/28/2017,W,"1,797"
3341,40880,Thorndale,12/07/2017,W,"3,393"
3518,40880,Thorndale,12/09/2017,A,"2,094"
3532,40880,Thorndale,12/22/2017,W,"2,703"
3543,40880,Thorndale,12/26/2017,W,"1,374"
3552,40880,Thorndale,12/21/2017,W,"3,004"
3695,40880,Thorndale,12/30/2017,A,"1,430"
3716,40880,Thorndale,12/15/2017,W,"3,272"
3800,40880,Thorndale,12/02/2017,A,"2,159"
3964,40880,Thorndale,12/03/2017,U,"1,670"
4426,40880,Thorndale,12/10/2017,U,"1,482"
4632,40880,Thorndale,03/15/2018,W,"3,395"
4639,40880,Thorndale,03/13/2018,W,"3,283"
4725,40880,Thorndale,01/05/2018,W,"2,281"
4795,40880,Thorndale,03/07/2018,W,"3,243"
4812,40880,Thorndale,01/20/2018,A,"2,099"
4832,40880,Thorndale,03/12/2018,W,"3,150"
4944,40880,Thorndale,02/03/2018,A,"1,920"
5245,40880,Thorndale,03/29/2018,W,"2,686"
5382,40880,Thorndale,02/17/2018,A,"2,024"
5427,40880,Thorndale,01/29/2018,W,"3,244"
5565,40880,Thorndale,01/10/2018,W,"3,030"
5600,40880,Thorndale,02/02/2018,W,"2,654"
5849,40880,Thorndale,01/26/2018,W,"3,293"
5945,40880,Thorndale,03/23/2018,W,"3,192"
6005,40880,Thorndale,02/18/2018,U,"1,528"
6111,40880,Thorndale,02/19/2018,W,"2,164"
6292,40880,Thorndale,02/15/2018,W,"3,352"
6353,40880,Thorndale,03/20/2018,W,"3,335"
6547,40880,Thorndale,02/10/2018,A,"2,001"
6752,40880,Thorndale,02/16/2018,W,"3,299"
6867,40880,Thorndale,01/03/2018,W,"2,247"
