,station_id,stationname,date,daytype,rides
148610,40500,Washington+State,10/26/2006,W,0
148735,40500,Washington+State,02/23/2008,A,0
149028,40500,Washington+State,04/22/2007,U,0
149113,40500,Washington+State,09/07/2007,W,0
149245,40500,Washington+State,01/16/2005,U,"2,615"
149288,40500,Washington+State,06/15/2007,W,0
149327,40500,Washington+State,05/05/2004,W,"8,181"
149376,40500,Washington+State,11/02/2001,W,"7,851"
149426,40500,Washington+State,03/10/2007,A,0
149668,40500,Washington+State,07/29/2005,W,"10,653"
149977,40500,Washington+State,10/28/2003,W,"7,785"
150131,40500,Washington+State,03/24/2002,U,"1,596"
150172,40500,Washington+State,05/26/2007,A,0
150300,40500,Washington+State,02/12/2001,W,"6,257"
150312,40500,Washington+State,11/22/2005,W,"9,270"
150374,40500,Washington+State,10/15/2003,W,"8,735"
151166,40500,Washington+State,08/11/2004,W,"8,346"
151313,40500,Washington+State,07/05/2008,A,0
152216,40500,Washington+State,03/12/2008,W,0
152428,40500,Washington+State,02/28/2001,W,"7,232"
152567,40500,Washington+State,08/12/2001,U,"1,820"
152799,40500,Washington+State,01/03/2007,W,0
153049,40500,Washington+State,07/27/2003,U,"1,640"
153234,40500,Washington+State,02/15/2003,A,"2,714"
153271,40500,Washington+State,07/28/2002,U,"1,561"
154312,40500,Washington+State,04/04/2002,W,"7,201"
154447,40500,Washington+State,04/06/2007,W,0
154879,40500,Washington+State,01/22/2008,W,0
155144,40500,Washington+State,07/01/2007,U,0
155385,40500,Washington+State,09/20/2008,A,0
155547,40500,Washington+State,11/28/2007,W,0
156974,40500,Washington+State,01/13/2005,W,"9,682"
157071,40500,Washington+State,04/02/2008,W,0
157403,40500,Washington+State,12/05/2002,W,"7,634"
158217,40500,Washington+State,01/27/2005,W,"9,939"
158267,40500,Washington+State,07/10/2006,W,"9,218"
158491,40500,Washington+State,06/29/2002,A,"3,194"
158548,40500,Washington+State,02/27/2007,W,4
158595,40500,Washington+State,09/04/2002,W,"7,547"
158769,40500,Washington+State,03/20/2006,W,"9,045"
158863,40500,Washington+State,04/14/2003,W,"7,557"
158868,40500,Washington+State,06/09/2004,W,"8,179"
159051,40500,Washington+State,10/13/2004,W,"10,721"
159283,40500,Washington+State,09/26/2007,W,0
160304,40500,Washington+State,06/28/2006,W,"9,407"
160627,40500,Washington+State,05/16/2006,W,"9,236"
160661,40500,Washington+State,06/25/2004,W,"7,992"
160984,40500,Washington+State,01/19/2002,A,"2,896"
161172,40500,Washington+State,11/17/2002,U,"1,655"
161257,40500,Washington+State,06/29/2007,W,0
161394,40500,Washington+State,12/30/2001,U,"1,864"
161832,40500,Washington+State,12/11/2002,W,"7,718"
161972,40500,Washington+State,03/07/2003,W,"7,074"
162466,40500,Washington+State,06/18/2008,W,0
162610,40500,Washington+State,01/14/2001,U,"1,444"
162690,40500,Washington+State,08/30/2007,W,0
162985,40500,Washington+State,08/24/2005,W,"10,215"
162997,40500,Washington+State,04/27/2002,A,"2,666"
163304,40500,Washington+State,02/08/2002,W,"7,471"
163685,40500,Washington+State,12/29/2005,W,"7,589"
