,station_id,stationname,date,daytype,rides
192,40670,Western+Milwaukee,12/08/2017,W,"5,733"
393,40670,Western+Milwaukee,12/21/2017,W,"5,106"
514,40670,Western+Milwaukee,12/29/2017,W,"3,059"
713,40670,Western+Milwaukee,12/23/2017,A,"2,009"
977,40670,Western+Milwaukee,12/30/2017,A,"1,638"
1059,40670,Western+Milwaukee,12/16/2017,A,"2,623"
1163,40670,Western+Milwaukee,12/28/2017,W,"3,244"
1294,40670,Western+Milwaukee,12/27/2017,W,"2,808"
1403,40670,Western+Milwaukee,12/05/2017,W,"5,616"
1763,40670,Western+Milwaukee,12/04/2017,W,"5,585"
1842,40670,Western+Milwaukee,12/22/2017,W,"4,311"
2166,40670,Western+Milwaukee,12/24/2017,U,"1,204"
2312,40670,Western+Milwaukee,12/20/2017,W,"5,403"
2374,40670,Western+Milwaukee,12/19/2017,W,"5,406"
2480,40670,Western+Milwaukee,12/13/2017,W,"5,510"
2609,40670,Western+Milwaukee,12/26/2017,W,"1,953"
2845,40670,Western+Milwaukee,12/11/2017,W,"5,390"
2849,40670,Western+Milwaukee,12/10/2017,U,"1,876"
3006,40670,Western+Milwaukee,12/09/2017,A,"2,650"
3010,40670,Western+Milwaukee,12/25/2017,U,589
3295,40670,Western+Milwaukee,12/18/2017,W,"5,305"
3382,40670,Western+Milwaukee,12/14/2017,W,"5,490"
3390,40670,Western+Milwaukee,12/31/2017,U,"1,345"
3545,40670,Western+Milwaukee,12/17/2017,U,"1,874"
3698,40670,Western+Milwaukee,12/06/2017,W,"5,601"
3743,40670,Western+Milwaukee,12/02/2017,A,"2,665"
4021,40670,Western+Milwaukee,12/01/2017,W,"5,884"
4026,40670,Western+Milwaukee,12/12/2017,W,"5,480"
4089,40670,Western+Milwaukee,12/07/2017,W,"5,745"
4210,40670,Western+Milwaukee,12/15/2017,W,"5,373"
4408,40670,Western+Milwaukee,12/03/2017,U,"2,282"
4804,40670,Western+Milwaukee,03/08/2018,W,"5,636"
4837,40670,Western+Milwaukee,03/29/2018,W,"5,193"
4926,40670,Western+Milwaukee,02/10/2018,A,"2,348"
5239,40670,Western+Milwaukee,01/12/2018,W,"5,083"
5423,40670,Western+Milwaukee,02/05/2018,W,"5,010"
5515,40670,Western+Milwaukee,01/27/2018,A,"2,441"
5845,40670,Western+Milwaukee,02/23/2018,W,"5,460"
6180,40670,Western+Milwaukee,01/10/2018,W,"5,293"
6214,40670,Western+Milwaukee,01/20/2018,A,"2,828"
6526,40670,Western+Milwaukee,03/11/2018,U,"1,712"
6653,40670,Western+Milwaukee,02/19/2018,W,"3,751"
6678,40670,Western+Milwaukee,03/07/2018,W,"5,479"
6735,40670,Western+Milwaukee,01/03/2018,W,"4,354"
6799,40670,Western+Milwaukee,03/22/2018,W,"5,504"
6998,40670,Western+Milwaukee,01/25/2018,W,"5,593"
7158,40670,Western+Milwaukee,03/13/2018,W,"5,445"
7338,40670,Western+Milwaukee,03/03/2018,A,"2,471"
7621,40670,Western+Milwaukee,03/21/2018,W,"5,476"
7638,40670,Western+Milwaukee,02/13/2018,W,"5,644"
7836,40670,Western+Milwaukee,02/06/2018,W,"5,365"
8055,40670,Western+Milwaukee,01/05/2018,W,"4,422"
8130,40670,Western+Milwaukee,03/27/2018,W,"5,153"
8228,40670,Western+Milwaukee,03/26/2018,W,"5,070"
8333,40670,Western+Milwaukee,02/04/2018,U,"1,437"
8341,40670,Western+Milwaukee,01/26/2018,W,"5,325"
8509,40670,Western+Milwaukee,02/16/2018,W,"5,497"
8572,40670,Western+Milwaukee,03/20/2018,W,"5,341"
8585,40670,Western+Milwaukee,03/31/2018,A,"2,313"
8682,40670,Western+Milwaukee,02/14/2018,W,"5,677"
8856,40670,Western+Milwaukee,02/27/2018,W,"5,514"
9665,40670,Western+Milwaukee,01/31/2018,W,"5,557"
9724,40670,Western+Milwaukee,03/10/2018,A,"2,470"
9944,40670,Western+Milwaukee,03/23/2018,W,"5,396"
10118,40670,Western+Milwaukee,03/09/2018,W,"5,448"
10212,40670,Western+Milwaukee,03/06/2018,W,"5,458"
10373,40670,Western+Milwaukee,03/30/2018,W,"4,475"
10681,40670,Western+Milwaukee,02/18/2018,U,"1,735"
11039,40670,Western+Milwaukee,02/07/2018,W,"5,396"
11105,40670,Western+Milwaukee,03/05/2018,W,"5,205"
11140,40670,Western+Milwaukee,03/25/2018,U,"1,789"
11295,40670,Western+Milwaukee,01/15/2018,W,"3,097"
11346,40670,Western+Milwaukee,02/08/2018,W,"5,413"
11441,40670,Western+Milwaukee,02/01/2018,W,"5,453"
11464,40670,Western+Milwaukee,01/23/2018,W,"5,493"
11465,40670,Western+Milwaukee,01/14/2018,U,"1,488"
11503,40670,Western+Milwaukee,02/26/2018,W,"5,338"
11521,40670,Western+Milwaukee,01/30/2018,W,"5,552"
11538,40670,Western+Milwaukee,01/18/2018,W,"5,350"
11571,40670,Western+Milwaukee,01/09/2018,W,"5,260"
11794,40670,Western+Milwaukee,02/09/2018,W,"3,734"
11996,40670,Western+Milwaukee,02/17/2018,A,"2,453"
12121,40670,Western+Milwaukee,02/21/2018,W,"5,467"
12398,40670,Western+Milwaukee,01/13/2018,A,"2,146"
12788,40670,Western+Milwaukee,03/02/2018,W,"5,282"
12831,40670,Western+Milwaukee,01/07/2018,U,"1,369"
13334,40670,Western+Milwaukee,01/28/2018,U,"1,504"
13477,40670,Western+Milwaukee,01/11/2018,W,"5,252"
13578,40670,Western+Milwaukee,01/21/2018,U,"1,483"
13619,40670,Western+Milwaukee,01/24/2018,W,"5,501"
13642,40670,Western+Milwaukee,02/22/2018,W,"5,712"
13679,40670,Western+Milwaukee,01/22/2018,W,"5,258"
13721,40670,Western+Milwaukee,03/01/2018,W,"5,388"
14153,40670,Western+Milwaukee,03/18/2018,U,"1,944"
14189,40670,Western+Milwaukee,02/24/2018,A,"2,284"
14216,40670,Western+Milwaukee,01/19/2018,W,"5,281"
14400,40670,Western+Milwaukee,01/04/2018,W,"4,494"
14651,40670,Western+Milwaukee,01/16/2018,W,"5,525"
14681,40670,Western+Milwaukee,01/17/2018,W,"5,419"
14751,40670,Western+Milwaukee,02/15/2018,W,"5,659"
14799,40670,Western+Milwaukee,03/14/2018,W,"5,572"
14839,40670,Western+Milwaukee,03/17/2018,A,"3,780"
14956,40670,Western+Milwaukee,02/11/2018,U,"1,735"
15074,40670,Western+Milwaukee,03/04/2018,U,"1,792"
15185,40670,Western+Milwaukee,03/24/2018,A,"2,269"
15300,40670,Western+Milwaukee,03/28/2018,W,"5,268"
15338,40670,Western+Milwaukee,02/25/2018,U,"1,755"
15389,40670,Western+Milwaukee,01/06/2018,A,"1,729"
15633,40670,Western+Milwaukee,01/02/2018,W,"3,909"
15664,40670,Western+Milwaukee,03/19/2018,W,"5,368"
15780,40670,Western+Milwaukee,01/29/2018,W,"5,264"
15847,40670,Western+Milwaukee,02/20/2018,W,"5,285"
16307,40670,Western+Milwaukee,03/15/2018,W,"5,537"
16362,40670,Western+Milwaukee,03/12/2018,W,"5,390"
16388,40670,Western+Milwaukee,02/28/2018,W,"5,413"
16439,40670,Western+Milwaukee,01/08/2018,W,"5,024"
16495,40670,Western+Milwaukee,02/03/2018,A,"2,183"
17281,40670,Western+Milwaukee,03/16/2018,W,"5,514"
17301,40670,Western+Milwaukee,01/01/2018,U,"1,446"
17373,40670,Western+Milwaukee,02/02/2018,W,"4,931"
17432,40670,Western+Milwaukee,02/12/2018,W,"5,421"
18103,40670,Western+Milwaukee,04/06/2018,W,"5,482"
18500,40670,Western+Milwaukee,04/29/2018,U,"1,859"
18600,40670,Western+Milwaukee,05/20/2018,U,"1,782"
18618,40670,Western+Milwaukee,04/25/2018,W,"5,553"
18687,40670,Western+Milwaukee,05/04/2018,W,"5,721"
18693,40670,Western+Milwaukee,06/27/2018,W,"5,714"
18876,40670,Western+Milwaukee,06/25/2018,W,"5,487"
18913,40670,Western+Milwaukee,06/05/2018,W,"5,683"
19145,40670,Western+Milwaukee,06/17/2018,U,"2,009"
19849,40670,Western+Milwaukee,04/09/2018,W,"5,267"
20168,40670,Western+Milwaukee,04/13/2018,W,"5,251"
20175,40670,Western+Milwaukee,04/28/2018,A,"2,430"
20222,40670,Western+Milwaukee,06/02/2018,A,"2,710"
20230,40670,Western+Milwaukee,05/01/2018,W,"5,631"
20334,40670,Western+Milwaukee,04/12/2018,W,"5,667"
20441,40670,Western+Milwaukee,05/23/2018,W,"5,615"
20554,40670,Western+Milwaukee,06/18/2018,W,"5,418"
20617,40670,Western+Milwaukee,06/10/2018,U,"1,991"
20719,40670,Western+Milwaukee,05/24/2018,W,"5,680"
20748,40670,Western+Milwaukee,05/31/2018,W,"5,689"
20889,40670,Western+Milwaukee,05/12/2018,A,"2,254"
20995,40670,Western+Milwaukee,06/20/2018,W,"5,693"
21138,40670,Western+Milwaukee,04/22/2018,U,"1,777"
21223,40670,Western+Milwaukee,05/03/2018,W,"5,796"
