,station_id,stationname,date,daytype,rides
137,40220,Western-Forest Park,12/23/2017,A,754
342,40220,Western-Forest Park,12/01/2017,W,"1,912"
383,40220,Western-Forest Park,12/26/2017,W,731
573,40220,Western-Forest Park,12/16/2017,A,"1,016"
711,40220,Western-Forest Park,12/02/2017,A,"1,044"
793,40220,Western-Forest Park,12/31/2017,U,511
842,40220,Western-Forest Park,12/25/2017,U,377
903,40220,Western-Forest Park,12/30/2017,A,636
925,40220,Western-Forest Park,12/14/2017,W,"1,640"
939,40220,Western-Forest Park,12/09/2017,A,890
1015,40220,Western-Forest Park,12/20/2017,W,"1,561"
1246,40220,Western-Forest Park,12/18/2017,W,"1,561"
1247,40220,Western-Forest Park,12/19/2017,W,"1,610"
1345,40220,Western-Forest Park,12/17/2017,U,738
1580,40220,Western-Forest Park,12/11/2017,W,"1,561"
1635,40220,Western-Forest Park,12/15/2017,W,"1,649"
2060,40220,Western-Forest Park,12/22/2017,W,"1,398"
2080,40220,Western-Forest Park,12/04/2017,W,"1,720"
2131,40220,Western-Forest Park,12/27/2017,W,856
2392,40220,Western-Forest Park,12/29/2017,W,897
2478,40220,Western-Forest Park,12/05/2017,W,"1,738"
2510,40220,Western-Forest Park,12/06/2017,W,"1,699"
2629,40220,Western-Forest Park,12/12/2017,W,"1,545"
2703,40220,Western-Forest Park,12/10/2017,U,656
2756,40220,Western-Forest Park,12/21/2017,W,"1,528"
3592,40220,Western-Forest Park,12/24/2017,U,540
3958,40220,Western-Forest Park,12/03/2017,U,774
4030,40220,Western-Forest Park,12/28/2017,W,864
4216,40220,Western-Forest Park,12/13/2017,W,"1,655"
4236,40220,Western-Forest Park,12/08/2017,W,"1,694"
4343,40220,Western-Forest Park,12/07/2017,W,"1,690"
5059,40220,Western-Forest Park,03/19/2018,W,"1,529"
5141,40220,Western-Forest Park,02/23/2018,W,"1,714"
5400,40220,Western-Forest Park,02/03/2018,A,743
5507,40220,Western-Forest Park,02/14/2018,W,"1,729"
5585,40220,Western-Forest Park,03/02/2018,W,"1,666"
5623,40220,Western-Forest Park,03/01/2018,W,"1,611"
5961,40220,Western-Forest Park,02/12/2018,W,"1,473"
6102,40220,Western-Forest Park,01/06/2018,A,649
6333,40220,Western-Forest Park,03/14/2018,W,"1,687"
6441,40220,Western-Forest Park,02/06/2018,W,"1,541"
6606,40220,Western-Forest Park,01/07/2018,U,542
6632,40220,Western-Forest Park,03/10/2018,A,849
6786,40220,Western-Forest Park,03/21/2018,W,"1,601"
7184,40220,Western-Forest Park,02/09/2018,W,886
7227,40220,Western-Forest Park,01/26/2018,W,"1,666"
7478,40220,Western-Forest Park,03/05/2018,W,"1,491"
7484,40220,Western-Forest Park,01/29/2018,W,"1,487"
7533,40220,Western-Forest Park,03/22/2018,W,"1,556"
7972,40220,Western-Forest Park,02/25/2018,U,707
7981,40220,Western-Forest Park,01/27/2018,A,831
8024,40220,Western-Forest Park,01/08/2018,W,"1,360"
8125,40220,Western-Forest Park,01/15/2018,W,803
8293,40220,Western-Forest Park,02/26/2018,W,"1,648"
8300,40220,Western-Forest Park,02/24/2018,A,866
8307,40220,Western-Forest Park,02/17/2018,A,839
8429,40220,Western-Forest Park,03/18/2018,U,656
8516,40220,Western-Forest Park,03/17/2018,A,"1,115"
8555,40220,Western-Forest Park,02/04/2018,U,550
8559,40220,Western-Forest Park,01/09/2018,W,"1,484"
8602,40220,Western-Forest Park,01/04/2018,W,"1,046"
8658,40220,Western-Forest Park,02/27/2018,W,"1,729"
8838,40220,Western-Forest Park,03/09/2018,W,"1,646"
8900,40220,Western-Forest Park,03/26/2018,W,"1,175"
8914,40220,Western-Forest Park,01/05/2018,W,"1,033"
8915,40220,Western-Forest Park,02/15/2018,W,"1,610"
8917,40220,Western-Forest Park,01/17/2018,W,"1,603"
8929,40220,Western-Forest Park,03/11/2018,U,599
8950,40220,Western-Forest Park,02/19/2018,W,"1,060"
9033,40220,Western-Forest Park,03/27/2018,W,"1,208"
9177,40220,Western-Forest Park,03/31/2018,A,716
9230,40220,Western-Forest Park,03/12/2018,W,"1,506"
9246,40220,Western-Forest Park,01/13/2018,A,761
9292,40220,Western-Forest Park,01/28/2018,U,606
9363,40220,Western-Forest Park,01/01/2018,U,414
9424,40220,Western-Forest Park,02/13/2018,W,"1,668"
9589,40220,Western-Forest Park,02/16/2018,W,"1,694"
9750,40220,Western-Forest Park,03/30/2018,W,"1,171"
9924,40220,Western-Forest Park,02/10/2018,A,724
10462,40220,Western-Forest Park,01/11/2018,W,"1,514"
10553,40220,Western-Forest Park,01/14/2018,U,571
10737,40220,Western-Forest Park,03/03/2018,A,856
11109,40220,Western-Forest Park,03/29/2018,W,"1,270"
11170,40220,Western-Forest Park,03/24/2018,A,802
11297,40220,Western-Forest Park,02/21/2018,W,"1,691"
11386,40220,Western-Forest Park,01/22/2018,W,"1,516"
11726,40220,Western-Forest Park,03/13/2018,W,"1,588"
12172,40220,Western-Forest Park,02/28/2018,W,"1,743"
12515,40220,Western-Forest Park,01/30/2018,W,"1,647"
12526,40220,Western-Forest Park,03/08/2018,W,"1,696"
12538,40220,Western-Forest Park,01/31/2018,W,"1,671"
12564,40220,Western-Forest Park,03/16/2018,W,"1,687"
12639,40220,Western-Forest Park,01/10/2018,W,"1,531"
12708,40220,Western-Forest Park,01/16/2018,W,"1,602"
13222,40220,Western-Forest Park,02/11/2018,U,573
13353,40220,Western-Forest Park,02/18/2018,U,694
13476,40220,Western-Forest Park,03/07/2018,W,"1,697"
13723,40220,Western-Forest Park,01/21/2018,U,589
14007,40220,Western-Forest Park,03/20/2018,W,"1,595"
14222,40220,Western-Forest Park,01/12/2018,W,"1,418"
14227,40220,Western-Forest Park,03/06/2018,W,"1,641"
14422,40220,Western-Forest Park,03/23/2018,W,"1,599"
14468,40220,Western-Forest Park,01/18/2018,W,"1,610"
15033,40220,Western-Forest Park,02/22/2018,W,"1,683"
15175,40220,Western-Forest Park,02/07/2018,W,"1,556"
15396,40220,Western-Forest Park,01/03/2018,W,"1,052"
15758,40220,Western-Forest Park,02/20/2018,W,"1,608"
15897,40220,Western-Forest Park,02/05/2018,W,"1,439"
15913,40220,Western-Forest Park,02/01/2018,W,"1,703"
15996,40220,Western-Forest Park,03/15/2018,W,"1,725"
16243,40220,Western-Forest Park,01/19/2018,W,"1,611"
16393,40220,Western-Forest Park,01/24/2018,W,"1,644"
16442,40220,Western-Forest Park,01/20/2018,A,957
16537,40220,Western-Forest Park,01/25/2018,W,"1,651"
16696,40220,Western-Forest Park,02/02/2018,W,"1,313"
16709,40220,Western-Forest Park,03/28/2018,W,"1,327"
16965,40220,Western-Forest Park,03/04/2018,U,676
17152,40220,Western-Forest Park,01/02/2018,W,874
17241,40220,Western-Forest Park,02/08/2018,W,"1,602"
17379,40220,Western-Forest Park,01/23/2018,W,"1,664"
17419,40220,Western-Forest Park,03/25/2018,U,598
17518,40220,Western-Forest Park,06/23/2018,A,944
17526,40220,Western-Forest Park,04/18/2018,W,"1,684"
17698,40220,Western-Forest Park,06/06/2018,W,"1,781"
17740,40220,Western-Forest Park,05/06/2018,U,739
18185,40220,Western-Forest Park,04/25/2018,W,"1,717"
