,station_id,stationname,date,daytype,rides
17,40540,Wilson,12/22/2017,W,"4,861"
96,40540,Wilson,12/17/2017,U,"2,858"
98,40540,Wilson,12/12/2017,W,"6,215"
230,40540,Wilson,12/09/2017,A,"4,228"
420,40540,Wilson,12/03/2017,U,"3,193"
1016,40540,Wilson,12/11/2017,W,"6,248"
1150,40540,Wilson,12/13/2017,W,"6,145"
1265,40540,Wilson,12/28/2017,W,"3,779"
1423,40540,Wilson,12/24/2017,U,"2,241"
1757,40540,Wilson,12/10/2017,U,"3,221"
2066,40540,Wilson,12/07/2017,W,"6,608"
2214,40540,Wilson,12/26/2017,W,"2,761"
2586,40540,Wilson,12/15/2017,W,"5,932"
2740,40540,Wilson,12/20/2017,W,"5,361"
2863,40540,Wilson,12/06/2017,W,"6,631"
2941,40540,Wilson,12/08/2017,W,"5,861"
3081,40540,Wilson,12/04/2017,W,"6,674"
3385,40540,Wilson,12/25/2017,U,"1,172"
3426,40540,Wilson,12/27/2017,W,"3,327"
3466,40540,Wilson,12/18/2017,W,"5,236"
3498,40540,Wilson,12/02/2017,A,"4,551"
3821,40540,Wilson,12/14/2017,W,"6,319"
3948,40540,Wilson,12/16/2017,A,"4,095"
3989,40540,Wilson,12/19/2017,W,"5,544"
4088,40540,Wilson,12/31/2017,U,"2,464"
4121,40540,Wilson,12/23/2017,A,"3,237"
4158,40540,Wilson,12/29/2017,W,"4,158"
4167,40540,Wilson,12/30/2017,A,"2,881"
4311,40540,Wilson,12/01/2017,W,"6,361"
4371,40540,Wilson,12/05/2017,W,"6,628"
4444,40540,Wilson,12/21/2017,W,"5,323"
4810,40540,Wilson,03/05/2018,W,"6,492"
5090,40540,Wilson,02/13/2018,W,"7,079"
5256,40540,Wilson,01/04/2018,W,"4,566"
5273,40540,Wilson,03/16/2018,W,"6,285"
5336,40540,Wilson,01/24/2018,W,"6,886"
5407,40540,Wilson,03/10/2018,A,"4,315"
5768,40540,Wilson,02/22/2018,W,"6,908"
5786,40540,Wilson,03/13/2018,W,"6,839"
5828,40540,Wilson,02/27/2018,W,"6,899"
5888,40540,Wilson,02/12/2018,W,"6,609"
6175,40540,Wilson,01/10/2018,W,"5,951"
6243,40540,Wilson,02/18/2018,U,"3,026"
6517,40540,Wilson,03/22/2018,W,"6,766"
6692,40540,Wilson,01/01/2018,U,"1,727"
6716,40540,Wilson,01/17/2018,W,"6,689"
6757,40540,Wilson,03/14/2018,W,"6,952"
6796,40540,Wilson,03/19/2018,W,"6,742"
6928,40540,Wilson,02/21/2018,W,"6,947"
7270,40540,Wilson,03/27/2018,W,"5,270"
7535,40540,Wilson,03/02/2018,W,"6,280"
7596,40540,Wilson,01/21/2018,U,"2,767"
8175,40540,Wilson,03/09/2018,W,"5,965"
8491,40540,Wilson,01/15/2018,W,"3,881"
8521,40540,Wilson,01/29/2018,W,"6,406"
8665,40540,Wilson,03/07/2018,W,"6,900"
9302,40540,Wilson,03/23/2018,W,"5,784"
9314,40540,Wilson,01/20/2018,A,"4,426"
9374,40540,Wilson,03/15/2018,W,"7,082"
9975,40540,Wilson,02/07/2018,W,"6,793"
10007,40540,Wilson,01/27/2018,A,"4,144"
10248,40540,Wilson,03/12/2018,W,"6,807"
10303,40540,Wilson,03/29/2018,W,"5,200"
10355,40540,Wilson,01/31/2018,W,"6,832"
10550,40540,Wilson,01/07/2018,U,"2,471"
10687,40540,Wilson,03/30/2018,W,"4,975"
10768,40540,Wilson,03/28/2018,W,"5,403"
11019,40540,Wilson,02/06/2018,W,"6,607"
11138,40540,Wilson,03/21/2018,W,"6,643"
11157,40540,Wilson,01/02/2018,W,"4,152"
11192,40540,Wilson,01/11/2018,W,"5,860"
11270,40540,Wilson,02/15/2018,W,"6,971"
11468,40540,Wilson,02/01/2018,W,"6,704"
11479,40540,Wilson,02/02/2018,W,"5,610"
11656,40540,Wilson,01/05/2018,W,"4,475"
12185,40540,Wilson,01/26/2018,W,"6,130"
12425,40540,Wilson,02/20/2018,W,"6,666"
12523,40540,Wilson,02/28/2018,W,"6,989"
12761,40540,Wilson,01/16/2018,W,"6,770"
12807,40540,Wilson,01/08/2018,W,"5,569"
12813,40540,Wilson,01/14/2018,U,"2,564"
12966,40540,Wilson,02/16/2018,W,"6,065"
13019,40540,Wilson,01/25/2018,W,"6,918"
13052,40540,Wilson,01/13/2018,A,"3,528"
13196,40540,Wilson,02/05/2018,W,"6,287"
13201,40540,Wilson,01/03/2018,W,"4,587"
13250,40540,Wilson,03/18/2018,U,"3,203"
13451,40540,Wilson,02/23/2018,W,"5,963"
13563,40540,Wilson,03/06/2018,W,"6,827"
14025,40540,Wilson,03/25/2018,U,"2,956"
14038,40540,Wilson,02/11/2018,U,"2,793"
14195,40540,Wilson,03/17/2018,A,"4,889"
14196,40540,Wilson,03/03/2018,A,"4,398"
14232,40540,Wilson,03/24/2018,A,"4,426"
14243,40540,Wilson,03/04/2018,U,"2,920"
14437,40540,Wilson,01/06/2018,A,"3,357"
14707,40540,Wilson,03/20/2018,W,"6,640"
15027,40540,Wilson,02/14/2018,W,"7,130"
15052,40540,Wilson,03/31/2018,A,"3,577"
15059,40540,Wilson,01/19/2018,W,"5,786"
15097,40540,Wilson,02/17/2018,A,"4,152"
15225,40540,Wilson,02/09/2018,W,"4,384"
15365,40540,Wilson,02/04/2018,U,"2,485"
15370,40540,Wilson,02/24/2018,A,"4,391"
15385,40540,Wilson,01/22/2018,W,"6,836"
15591,40540,Wilson,02/25/2018,U,"2,905"
15618,40540,Wilson,02/19/2018,W,"4,337"
16008,40540,Wilson,01/23/2018,W,"6,718"
16193,40540,Wilson,01/09/2018,W,"5,760"
16372,40540,Wilson,02/10/2018,A,"4,037"
16411,40540,Wilson,02/26/2018,W,"6,683"
16427,40540,Wilson,01/12/2018,W,"5,060"
16728,40540,Wilson,01/18/2018,W,"6,781"
16925,40540,Wilson,02/03/2018,A,"4,053"
16933,40540,Wilson,02/08/2018,W,"6,880"
16956,40540,Wilson,03/08/2018,W,"6,791"
16992,40540,Wilson,03/11/2018,U,"2,886"
17048,40540,Wilson,03/01/2018,W,"6,821"
17084,40540,Wilson,01/28/2018,U,"2,836"
17246,40540,Wilson,03/26/2018,W,"5,116"
17415,40540,Wilson,01/30/2018,W,"6,771"
17833,40540,Wilson,06/17/2018,U,"3,091"
17917,40540,Wilson,05/11/2018,W,"5,897"
17954,40540,Wilson,04/25/2018,W,"6,906"
18137,40540,Wilson,04/14/2018,A,"3,964"
18270,40540,Wilson,04/20/2018,W,"6,092"
18671,40540,Wilson,06/26/2018,W,"6,158"
18726,40540,Wilson,06/05/2018,W,"6,551"
18831,40540,Wilson,04/06/2018,W,"5,815"
